Time,Device name,Chip Time(),Acceleration X(g),Acceleration Y(g),Acceleration Z(g),Angular velocity X(°/s),Angular velocity Y(°/s),Angular velocity Z(°/s),Angle X(°),Angle Y(°),Angle Z(°),Magnetic field X(ʯt),Magnetic field Y(ʯt),Magnetic field Z(ʯt),Temperature(℃),Pressure(Pa),Height(m),Longitude(),Latitude(),GPS ground speed(km),Angle of course(°),GPS height(m),Number of satellites(),Position location(),Horizontal position(),Vertical position(),Quaternions 0(),Quaternions 1(),Quaternions 2(),Quaternions 3()
 19:05:55.974,COM16, 2000-00-00 00:25:59.080, 0.134, 0.080, 0.980, -3.174, -1.282, 42.725, -1.351, -0.939, -18.100, -8.440, 23.827, -37.787, 31.32,,,,,,,,,,,,,,,,
 19:05:55.975,COM16, 2000-00-00 00:25:59.090, 0.134, -0.142, 1.017, -5.005, -8.240, 42.297, -1.417, -1.033, -17.650, -8.240, 23.740, -37.780, 31.33,,,,,,,,,,,,,,,,
 19:05:55.975,COM14, 2000-00-06 17:25:56.738, -0.113, -0.061, 1.018, 4.761, -0.732, 43.518, -0.829, 0.335, 12.266, -32.013, 18.240, -31.260, 31.51,,,,,,,,,,,,,,,,
 19:05:55.990,COM16, 2000-00-00 00:25:59.100, 0.004, -0.142, 1.017, -5.005, -8.240, 42.297, -1.489, -1.121, -17.194, -7.780, 23.680, -37.847, 31.33,,,,,,,,,,,,,,,,
 19:05:55.990,COM16, 2000-00-00 00:25:59.110, 0.004, -0.174, 1.018, 6.348, 2.625, 45.715, -1.445, -1.104, -16.710, -7.453, 23.627, -37.967, 31.34,,,,,,,,,,,,,,,,
 19:05:55.990,COM16, 2000-00-00 00:25:59.120, 0.081, -0.174, 1.018, 6.348, 2.625, 45.715, -1.406, -1.082, -16.232, -7.227, 23.567, -37.973, 31.34,,,,,,,,,,,,,,,,
 19:05:55.990,COM13, 2000-00-00 00:27:17.155, -0.051, 0.127, 0.915, -6.592, -2.014, 91.370, 2.395, 5.971, 85.913, -23.553, 89.160, -175.247, 31.27,,,,,,,,,,,,,,,,
 19:05:55.990,COM13, 2000-00-00 00:27:17.175, -0.051, -0.027, 0.926, -11.292, 4.883, 91.431, 2.379, 5.977, 87.742, -24.680, 86.680, -178.900, 31.29,,,,,,,,,,,,,,,,
 19:05:55.990,COM14, 2000-00-06 17:25:56.758, 0.078, -0.083, 0.892, 3.479, 0.427, 46.997, -0.791, 0.335, 13.206, -32.940, 19.153, -31.447, 31.51,,,,,,,,,,,,,,,,
 19:05:56.005,COM16, 2000-00-00 00:25:59.130, 0.081, -0.091, 1.031, 4.639, 5.920, 48.645, -1.384, -1.027, -15.727, -7.093, 23.533, -37.953, 31.33,,,,,,,,,,,,,,,,
