Time,Device name,Chip Time(),Acceleration X(g),Acceleration Y(g),Acceleration Z(g),Angular velocity X(°/s),Angular velocity Y(°/s),Angular velocity Z(°/s),Angle X(°),Angle Y(°),Angle Z(°),Magnetic field X(ʯt),Magnetic field Y(ʯt),Magnetic field Z(ʯt),Temperature(℃),Pressure(Pa),Height(m),Longitude(),Latitude(),GPS ground speed(km),Angle of course(°),GPS height(m),Number of satellites(),Position location(),Horizontal position(),Vertical position(),Quaternions 0(),Quaternions 1(),Quaternions 2(),Quaternions 3()
 22:01:55.544,COM13,,-0.031,0.021,0.982,-4.822,-0.244,87.463,-0.731,0.143,-89.187,-3639,3755,-3998,33.12,,,,,,,,,,,,,,,
 22:01:55.551,COM13,,-0.055,0,0.966,-5.432,2.075,86.853,-0.747,0.137,-87.44,-3689,3845,-4035,33.16,,,,,,,,,,,,,,,
 22:01:55.581,COM13,,-0.059,0.011,1.003,-5.737,2.258,88.074,-0.775,0.17,-85.699,-3721,3998,-4082,33.14,,,,,,,,,,,,,,,
 22:01:55.585,COM13,,-0.052,-0.01,1,-5.798,1.343,88.867,-0.797,0.214,-83.941,-3669,4095,-4124,33.15,,,,,,,,,,,,,,,
 22:01:55.614,COM13,,-0.044,0.01,0.997,-6.348,1.648,88.196,-0.829,0.253,-82.161,-3562,4141,-4174,33.14,,,,,,,,,,,,,,,
 22:01:55.646,COM13,,-0.057,0.016,0.979,-3.906,1.587,91.248,-0.824,0.291,-80.392,-3526,4296,-4243,33.16,,,,,,,,,,,,,,,
 22:01:55.649,COM13,,-0.09,-0.007,1.042,-6.653,0.977,89.844,-0.846,0.324,-78.58,-3492,4379,-4282,33.16,,,,,,,,,,,,,,,
 22:01:55.674,COM13,,-0.038,0.042,0.971,-5.859,0.183,91.37,-0.868,0.357,-76.772,-3427,4560,-4339,33.16,,,,,,,,,,,,,,,
 22:01:55.705,COM13,,-0.051,-0.001,0.988,-7.202,1.221,92.651,-0.901,0.374,-74.954,-3472,4632,-4413,33.14,,,,,,,,,,,,,,,
 22:01:55.707,COM13,,-0.074,0.025,0.995,-7.385,1.282,93.506,-0.939,0.401,-73.103,-3450,4659,-4457,33.13,,,,,,,,,,,,,,,
 22:01:55.735,COM13,,-0.062,-0.006,0.988,-7.813,1.526,93.506,-0.983,0.439,-71.235,-3458,4817,-4499,33.17,,,,,,,,,,,,,,,
 22:01:55.742,COM13,,-0.052,-0.035,1.005,-5.432,2.319,95.581,-0.989,0.478,-69.362,-3445,4878,-4579,33.12,,,,,,,,,,,,,,,
 22:01:55.775,COM13,,-0.087,0.021,0.976,-6.47,2.686,94.055,-1.005,0.538,-67.456,-3462,4994,-4645,33.17,,,,,,,,,,,,,,,
 22:01:55.831,COM13,,-0.026,-0.02,0.976,-7.385,3.967,93.933,-1.044,0.604,-65.566,-3452,5094,-4703,33.13,,,,,,,,,,,,,,,
 22:01:55.837,COM13,,-0.096,0,1.034,-7.69,2.991,94.482,-1.082,0.698,-63.682,-3466,5191,-4776,33.14,,,,,,,,,,,,,,,
 22:01:55.841,COM13,,-0.124,-0.048,1.034,-5.554,-0.183,93.506,-1.082,0.769,-61.793,-3360,5332,-4843,33.13,,,,,,,,,,,,,,,
 22:01:55.843,COM13,,-0.008,0.046,0.991,-5.249,-1.404,95.947,-1.071,0.786,-59.919,-3271,5402,-4899,33.15,,,,,,,,,,,,,,,
 22:01:55.875,COM13,,-0.075,-0.015,0.949,-7.629,-0.183,94.971,-1.11,0.78,-57.997,-3255,5581,-4966,33.14,,,,,,,,,,,,,,,
 22:01:55.910,COM13,,-0.067,-0.03,0.958,-6.104,3.723,93.872,-1.115,0.791,-56.091,-3242,5651,-5061,33.12,,,,,,,,,,,,,,,
 22:01:55.914,COM13,,-0.065,0.013,0.999,-5.859,5.493,96.741,-1.11,0.884,-54.212,-3308,5687,-5104,33.18,,,,,,,,,,,,,,,
 22:01:55.965,COM13,,-0.092,0.015,1.029,-6.836,3.906,96.191,-1.121,1.016,-52.273,-3281,5849,-5186,33.14,,,,,,,,,,,,,,,
 22:01:55.973,COM13,,-0.067,-0.058,1.025,-7.446,0.488,94.604,-1.143,1.11,-50.345,-3296,5916,-5279,33.14,,,,,,,,,,,,,,,
 22:01:55.975,COM13,,-0.125,0.015,0.976,-7.324,-0.366,94.91,-1.165,1.137,-48.45,-3204,6078,-5371,33.13,,,,,,,,,,,,,,,
 22:01:56.005,COM13,,-0.067,-0.018,1.007,-4.761,0.122,96.619,-1.132,1.154,-46.549,-3081,6146,-5471,33.13,,,,,,,,,,,,,,,
 22:01:56.008,COM13,,-0.029,-0.032,0.989,-6.042,0,94.91,-1.132,1.187,-44.61,-3119,6232,-5567,33.13,,,,,,,,,,,,,,,
 22:01:56.042,COM13,,-0.099,-0.029,0.955,-4.7,2.747,93.811,-1.104,1.203,-42.709,-3089,6360,-5687,33.17,,,,,,,,,,,,,,,
 22:01:56.045,COM13,,-0.083,0.025,0.98,-5.31,4.883,94.727,-1.082,1.28,-40.825,-3113,6427,-5767,33.17,,,,,,,,,,,,,,,
 22:01:56.075,COM13,,-0.059,-0.032,1.053,-6.531,2.625,92.773,-1.082,1.395,-38.93,-3066,6559,-5873,33.13,,,,,,,,,,,,,,,
 22:01:56.108,COM13,,-0.119,-0.014,1.024,-6.226,-1.282,92.834,-1.082,1.461,-37.068,-3108,6643,-6000,33.13,,,,,,,,,,,,,,,
 22:01:56.112,COM13,,-0.09,0.003,0.957,-3.601,-0.549,94.421,-1.022,1.456,-35.206,-3072,6824,-6139,33.13,,,,,,,,,,,,,,,
 22:01:56.141,COM13,,-0.042,-0.012,0.997,-5.92,0.793,92.896,-1.011,1.467,-33.311,-3104,6930,-6255,33.13,,,,,,,,,,,,,,,
 22:01:56.146,COM13,,-0.073,-0.029,0.974,-5.127,1.648,91.919,-0.983,1.5,-31.448,-3069,7084,-6416,33.15,,,,,,,,,,,,,,,
 22:01:56.181,COM13,,-0.085,0.016,0.984,-5.92,2.747,91.919,-0.972,1.544,-29.608,-3093,7144,-6526,33.16,,,,,,,,,,,,,,,
 22:01:56.193,COM13,,-0.083,-0.042,1.005,-5.615,2.93,91.064,-0.956,1.615,-27.762,-3085,7215,-6688,33.14,,,,,,,,,,,,,,,
 22:01:56.224,COM13,,-0.067,0.006,1.02,-6.042,1.404,89.539,-0.945,1.686,-25.939,-3015,7357,-6847,33.17,,,,,,,,,,,,,,,
 22:01:56.227,COM13,,-0.133,0.005,0.991,-3.174,0.793,92.224,-0.873,1.725,-24.142,-3041,7472,-6985,33.15,,,,,,,,,,,,,,,
 22:01:56.260,COM13,,-0.069,0.004,1.02,-3.784,-0.427,92.896,-0.807,1.752,-22.291,-3084,7525,-7136,33.15,,,,,,,,,,,,,,,
 22:01:56.263,COM13,,-0.045,0.002,0.968,-6.897,-0.244,90.698,-0.813,1.758,-20.429,-3094,7609,-7335,33.16,,,,,,,,,,,,,,,
