Time,Device name,Chip Time(),Acceleration X(g),Acceleration Y(g),Acceleration Z(g),Angular velocity X(°/s),Angular velocity Y(°/s),Angular velocity Z(°/s),Angle X(°),Angle Y(°),Angle Z(°),Magnetic field X(ʯt),Magnetic field Y(ʯt),Magnetic field Z(ʯt),Temperature(℃),Quaternions 0(),Quaternions 1(),Quaternions 2(),Quaternions 3()
 12:21:15.753,ef:e4:2c:bf:73:a9, 2015-01-01 00:28:30.435, 0.913, 0.022, 1.323, 0.061, -1.16, 0, 1.45, -44.313, 34.222, 0.000, 0.000, -3211.264, 25.1, 0.88339, 0.12238, -0.35751, 0.27695,
 12:21:15.767,c3:a3:c5:ed:f8:8e, 2015-01-01 00:31:10.865, -0.668, -0.031, -0.834, 0.427, -60.242, -0.244, -177.654, 26.895, -43.363, 0.000, 0.000, -3211.264, 24.95, 0.05511, -0.92511, 0.36365, 0.09363,
 12:21:15.797,c3:a3:c5:ed:f8:8e, 2015-01-01 00:31:10.865, -0.702, -0.033, -0.806, 0.427, -61.096, -0.305, -177.556, 30.048, -43.462, 0.000, 0.000, -3211.264, 24.95, 0.05511, -0.92511, 0.36365, 0.09363,
 12:21:15.872,ef:e4:2c:bf:73:a9, 2015-01-01 00:28:30.820, 0.911, 0.024, 1.322, -0.061, 1.831, 0, 1.434, -44.006, 34.228, 0.000, 0.000, -3211.264, 25.1, 0.88339, 0.12238, -0.35751, 0.27695,
 12:21:15.872,ef:e4:2c:bf:73:a9, 2015-01-01 00:28:30.820, 0.902, 0.025, 1.322, 0.061, 4.211, 0, 1.417, -43.572, 34.239, 0.000, 0.000, -3211.264, 25.1, 0.88339, 0.12238, -0.35751, 0.27695,
 12:21:15.888,c3:a3:c5:ed:f8:8e, 2015-01-01 00:31:10.865, -0.761, -0.034, -0.782, 0.427, -61.768, -0.183, -177.44, 33.239, -43.539, 0.000, 0.000, -3211.264, 24.95, 0.05511, -0.92511, 0.36365, 0.09363,
 12:21:15.888,c3:a3:c5:ed:f8:8e, 2015-01-01 00:31:10.865, -0.795, -0.032, -0.734, 0.427, -61.707, -0.183, -177.314, 36.447, -43.599, 0.000, 0.000, -3211.264, 24.95, 0.05511, -0.92511, 0.36365, 0.09363,
 12:21:15.902,ef:e4:2c:bf:73:a9, 2015-01-01 00:28:30.820, 0.895, 0.022, 1.323, -0.061, 7.141, 0, 1.39, -43.022, 34.255, 0.000, 0.000, -3211.264, 25.1, 0.88339, 0.12238, -0.35751, 0.27695,
 12:21:15.962,ef:e4:2c:bf:73:a9, 2015-01-01 00:28:30.820, 0.89, 0.021, 1.324, -0.122, 8.789, 0, 1.368, -42.374, 34.277, 0.000, 0.000, -3211.264, 25.1, 0.88339, 0.12238, -0.35751, 0.27695,
 12:21:15.976,c3:a3:c5:ed:f8:8e, 2015-01-01 00:31:10.865, -0.816, -0.031, -0.704, 0.427, -60.059, -0.183, -177.171, 39.589, -43.643, 0.000, 0.000, -3211.264, 24.95, 0.13968, -0.87643, 0.35883, 0.28897,
 12:21:16.006,c3:a3:c5:ed:f8:8e, 2015-01-01 00:31:11.255, -0.858, -0.032, -0.676, 0.427, -60.73, -0.244, -177.012, 42.671, -43.654, 0.000, 0.000, -3211.264, 24.95, 0.13968, -0.87643, 0.35883, 0.28897,
 12:21:16.036,c3:a3:c5:ed:f8:8e, 2015-01-01 00:31:11.255, -0.913, -0.032, -0.632, 0.488, -63.538, -0.183, -176.825, 45.879, -43.632, 0.000, 0.000, -3211.264, 24.95, 0.13968, -0.87643, 0.35883, 0.28897,
 12:21:16.052,ef:e4:2c:bf:73:a9, 2015-01-01 00:28:30.820, 0.872, 0.022, 1.325, -0.183, 11.902, 0, 1.335, -41.622, 34.299, 0.000, 0.000, -3211.264, 25.1, 0.88339, 0.12238, -0.35751, 0.27695,
 12:21:16.112,ef:e4:2c:bf:73:a9, 2015-01-01 00:28:30.820, 0.858, 0.023, 1.326, -0.122, 13.733, 0, 1.302, -40.754, 34.321, 0.000, 0.000, -3211.264, 25.1, 0.88339, 0.12238, -0.35751, 0.27695,
 12:21:16.114,ef:e4:2c:bf:73:a9, 2015-01-01 00:28:30.820, 0.853, 0.021, 1.327, -0.183, 15.076, 0, 1.269, -39.831, 34.349, 0.000, 0.000, -3211.264, 25.1, 0.88339, 0.12238, -0.35751, 0.27695,
 12:21:16.142,ef:e4:2c:bf:73:a9, 2015-01-01 00:28:30.820, 0.826, 0.02, 1.328, -0.183, 16.724, 0, 1.236, -38.853, 34.376, 0.000, 0.000, -3211.264, 25.1, 0.8981, 0.10956, -0.31937, 0.28156,
 12:21:16.157,c3:a3:c5:ed:f8:8e, 2015-01-01 00:31:11.255, -0.92, -0.031, -0.574, 0.488, -59.509, -0.183, -176.605, 49.032, -43.577, 0.000, 0.000, -3211.264, 24.95, 0.13968, -0.87643, 0.35883, 0.28897,
 12:21:16.159,c3:a3:c5:ed:f8:8e, 2015-01-01 00:31:11.255, -0.952, -0.031, -0.553, 0.488, -59.448, -0.183, -176.364, 52.07, -43.489, 0.000, 0.000, -3211.264, 24.95, 0.13968, -0.87643, 0.35883, 0.28897,
 12:21:16.218,c3:a3:c5:ed:f8:8e, 2015-01-01 00:31:11.255, -1, -0.031, -0.498, 0.427, -63.477, -0.244, -176.067, 55.217, -43.341, 0.000, 0.000, -3211.264, 24.95, 0.13968, -0.87643, 0.35883, 0.28897,
 12:21:16.232,ef:e4:2c:bf:73:a9, 2015-01-01 00:28:31.210, 0.804, 0.021, 1.329, -0.244, 19.775, 0, 1.198, -37.76, 34.404, 0.000, 0.000, -3211.264, 25.1, 0.8981, 0.10956, -0.31937, 0.28156,
 12:21:16.248,c3:a3:c5:ed:f8:8e, 2015-01-01 00:31:11.255, -1.011, -0.03, -0.44, 0.427, -62.256, -0.244, -175.704, 58.414, -43.11, 0.000, 0.000, -3211.264, 24.95, 0.13968, -0.87643, 0.35883, 0.28897,
 12:21:16.263,ef:e4:2c:bf:73:a9, 2015-01-01 00:28:31.210, 0.794, 0.022, 1.328, -0.244, 20.02, 0, 1.165, -36.628, 34.437, 0.000, 0.000, -3211.264, 25.1, 0.8981, 0.10956, -0.31937, 0.28156,
 12:21:16.309,c3:a3:c5:ed:f8:8e, 2015-01-01 00:31:11.255, -1.013, -0.031, -0.397, 0.488, -58.594, -0.183, -175.281, 61.441, -42.819, 0.000, 0.000, -3211.264, 24.95, 0.13968, -0.87643, 0.35883, 0.28897,
 12:21:16.352,ef:e4:2c:bf:73:a9, 2015-01-01 00:28:31.210, 0.785, 0.022, 1.331, -0.305, 20.935, 0, 1.126, -35.486, 34.464, 0.000, 0.000, -3211.264, 25.1, 0.8981, 0.10956, -0.31937, 0.28156,
 12:21:16.352,ef:e4:2c:bf:73:a9, 2015-01-01 00:28:31.210, 0.739, 0.021, 1.331, -0.244, 22.827, 0, 1.093, -34.288, 34.492, 0.000, 0.000, -3211.264, 25.1, 0.8981, 0.10956, -0.31937, 0.28156,
 12:21:16.397,c3:a3:c5:ed:f8:8e, 2015-01-01 00:31:11.255, -1.051, -0.031, -0.37, 0.488, -59.875, 0, -174.771, 64.44, -42.446, 0.000, 0.000, -3211.264, 24.95, 0.2247, -0.78448, 0.33038, 0.47415,
 12:21:16.399,c3:a3:c5:ed:f8:8e, 2015-01-01 00:31:11.255, -1.079, -0.031, -0.292, 0.488, -62.927, 0, -174.106, 67.566, -41.902, 0.000, 0.000, -3211.264, 24.95, 0.2247, -0.78448, 0.33038, 0.47415,
