matlab_sample_id,matlab_sweep_id,matlab_sweep_index,input_angle_rad,input_direction,jacobian_condition,eligibility,pmks_sample_id,status,reason
matlab_0000,matlab_sweep_00,0,0.46364760900080609,1,2.0413869742066506,eligible,pmks_positive_0000,matched,
matlab_0001,matlab_sweep_00,1,0.48110090152074941,1,2.0487625982122504,eligible,pmks_positive_0001,matched,
matlab_0002,matlab_sweep_00,2,0.49855419404069268,1,2.0563536088393088,eligible,pmks_positive_0002,matched,
matlab_0003,matlab_sweep_00,3,0.516007486560636,1,2.0641537240600236,eligible,pmks_positive_0003,matched,
matlab_0004,matlab_sweep_00,4,0.53346077908057932,1,2.0721564146083313,eligible,pmks_positive_0004,matched,
matlab_0005,matlab_sweep_00,5,0.55091407160052264,1,2.0803548996408794,eligible,pmks_positive_0005,matched,
matlab_0006,matlab_sweep_00,6,0.56836736412046596,1,2.0887421421939774,eligible,pmks_positive_0006,matched,
matlab_0007,matlab_sweep_00,7,0.58582065664040939,1,2.0973108444794852,eligible,pmks_positive_0007,matched,
matlab_0008,matlab_sweep_00,8,0.6032739491603526,1,2.1060534430688418,eligible,pmks_positive_0008,matched,
matlab_0009,matlab_sweep_00,9,0.62072724168029592,1,2.114962104020623,eligible,pmks_positive_0009,matched,
matlab_0010,matlab_sweep_00,10,0.63818053420023924,1,2.1240287180132951,eligible,pmks_positive_0010,matched,
matlab_0011,matlab_sweep_00,11,0.65563382672018256,1,2.1332448955509107,eligible,pmks_positive_0011,matched,
matlab_0012,matlab_sweep_00,12,0.67308711924012576,1,2.1426019623156476,eligible,pmks_positive_0012,matched,
matlab_0013,matlab_sweep_00,13,0.69054041176006919,1,2.1520909547469973,eligible,pmks_positive_0013,matched,
matlab_0014,matlab_sweep_00,14,0.70799370428001251,1,2.1617026159331698,eligible,pmks_positive_0014,matched,
matlab_0015,matlab_sweep_00,15,0.72544699679995595,1,2.1714273919058611,eligible,pmks_positive_0015,matched,
matlab_0016,matlab_sweep_00,16,0.74290028931989927,1,2.1812554284347598,eligible,pmks_positive_0016,matched,
matlab_0017,matlab_sweep_00,17,0.76035358183984258,1,2.1911765684230868,eligible,pmks_positive_0017,matched,
matlab_0018,matlab_sweep_00,18,0.77780687435978579,1,2.2011803500099427,eligible,pmks_positive_0018,matched,
matlab_0019,matlab_sweep_00,19,0.79526016687972911,1,2.2112560054892048,eligible,pmks_positive_0019,matched,
matlab_0020,matlab_sweep_00,20,0.81271345939967232,1,2.2213924611581448,eligible,pmks_positive_0020,matched,
matlab_0021,matlab_sweep_00,21,0.83016675191961586,1,2.2315783382115475,eligible,pmks_positive_0021,matched,
matlab_0022,matlab_sweep_00,22,0.84762004443955896,1,2.2418019547991337,eligible,pmks_positive_0022,matched,
matlab_0023,matlab_sweep_00,23,0.8650733369595025,1,2.2520513293649977,eligible,pmks_positive_0023,matched,
matlab_0024,matlab_sweep_00,24,0.8825266294794456,1,2.2623141853878672,eligible,pmks_positive_0024,matched,
matlab_0025,matlab_sweep_00,25,0.89997992199938892,1,2.2725779576397667,eligible,pmks_positive_0025,matched,
matlab_0026,matlab_sweep_00,26,0.91743321451933224,1,2.2828298000784266,eligible,pmks_positive_0026,matched,
matlab_0027,matlab_sweep_00,27,0.93488650703927567,1,2.2930565954849516,eligible,pmks_positive_0027,matched,
matlab_0028,matlab_sweep_00,28,0.95233979955921899,1,2.3032449669531458,eligible,pmks_positive_0028,matched,
matlab_0029,matlab_sweep_00,29,0.96979309207916231,1,2.3133812913300957,eligible,pmks_positive_0029,matched,
matlab_0030,matlab_sweep_00,30,0.98724638459910563,1,2.3234517146992095,eligible,pmks_positive_0030,matched,
matlab_0031,matlab_sweep_00,31,1.0046996771190488,1,2.3334421699866867,eligible,pmks_positive_0031,matched,
matlab_0032,matlab_sweep_00,32,1.0221529696389922,1,2.3433383967604349,eligible,pmks_positive_0032,matched,
matlab_0033,matlab_sweep_00,33,1.0396062621589355,1,2.3531259632765829,eligible,pmks_positive_0033,matched,
matlab_0034,matlab_sweep_00,34,1.0570595546788788,1,2.3627902908129639,eligible,pmks_positive_0034,matched,
matlab_0035,matlab_sweep_00,35,1.0745128471988221,1,2.3723166803114055,eligible,pmks_positive_0035,matched,
matlab_0036,matlab_sweep_00,36,1.0919661397187654,1,2.3816903413311872,eligible,pmks_positive_0036,matched,
matlab_0037,matlab_sweep_00,37,1.1094194322387088,1,2.3908964232949015,eligible,pmks_positive_0037,matched,
matlab_0038,matlab_sweep_00,38,1.1268727247586521,1,2.3999200489851571,eligible,pmks_positive_0038,matched,
matlab_0039,matlab_sweep_00,39,1.1443260172785954,1,2.4087463502263744,eligible,pmks_positive_0039,matched,
matlab_0040,matlab_sweep_00,40,1.1617793097985387,1,2.417360505660441,eligible,pmks_positive_0040,matched,
