sample_id,x,y,vx,vy,ax,ay
matlab_0000,12,1.3333333333333333,-2.4434609527920612,-8.8817841970012523e-16,-6.4426584284888868,-0.36554090374405024
matlab_0001,11.958384981428276,1.3332829004107356,-2.5500901320115674,-0.006031490705405318,-6.352247273776042,-0.3581753643506369
matlab_0002,11.915005532040619,1.3331329829833936,-2.6551827730718731,-0.011937102364115937,-6.258280216205665,-0.35043607689563006
matlab_0003,11.869887752881722,1.3328857307574489,-2.7586799368297674,-0.01771063983994825,-6.1607968225737224,-0.34232718553808894
matlab_0004,11.823058721691078,1.3325433960976454,-2.8605233668781538,-0.023345980348326911,-6.0598394771538882,-0.33385323214327167
matlab_0005,11.774546481126373,1.3321083327650423,-2.9606555376540404,-0.028837080278496963,-5.9554535204849595,-0.32501917966613636
matlab_0006,11.724380026165548,1.3315829945379631,-3.0590197048982484,-0.034177982411903951,-5.8476873927494983,-0.31583043630325669
matlab_0007,11.672589290647785,1.3309699337090715,-3.1555599585406497,-0.039362823549135229,-5.7365927813815922,-0.30629288035366864
matlab_0008,11.619205132912404,1.3302717994519515,-3.2502212780777318,-0.044385842556616151,-5.622224772464028,-0.29641288571672852
matlab_0009,11.564259320493548,1.3294913360499689,-3.3429495905014743,-0.049241388842976352,-5.5046420053903891,-0.2861973479410711
matlab_0010,11.507784513827863,1.3286313809802295,-3.4336918308288995,-0.053923931273501147,-5.3839068301755519,-0.2756537107237631
matlab_0011,11.449814248931339,1.3276948628452627,-3.5223960052706484,-0.058428067529152639,-5.2600854666986621,-0.26478999274254411
matlab_0012,11.390382919001189,1.3266847991449859,-3.6090112570640747,-0.062748533914670723,-5.1332481650563491,-0.25361481468663305
matlab_0013,11.329525754898219,1.3256042938814425,-3.6934879349817242,-0.06688021561778168,-5.0034693660907568,-0.24213742633313284
matlab_0014,11.267278804465116,1.3244565349887929,-3.7757776645095067,-0.070818157418881977,-4.8708278610376698,-0.23036773349656414
