sample_id,theta_delta_rad,omega_rad_s,alpha_rad_s2
matlab_0000,0,-0.52359877559829893,0.20561675835602825
matlab_0001,-0.0086976928435202605,-0.52010057679912702,0.21418075936216358
matlab_0002,-0.017335889118200637,-0.51645895774311545,0.22282741058407468
matlab_0003,-0.025912186948397947,-0.51267253049842454,0.23155792434133754
matlab_0004,-0.034424161168936623,-0.50873988892715527,0.24037327027120056
matlab_0005,-0.042869363056158766,-0.50465961287047589,0.24927415836440661
matlab_0006,-0.051245320131111965,-0.50043027262211282,0.25826102132919143
matlab_0007,-0.059549536039776113,-0.49605043370117891,0.26733399631308108
matlab_0008,-0.067779490515403856,-0.49151866193472266,0.27649290602142684
matlab_0009,-0.075932639428219123,-0.48683352885966502,0.2857372392818146
matlab_0010,-0.084006414927871004,-0.48199361745286795,0.2950661311145733
matlab_0011,-0.091998225684176732,-0.47699752819698554,0.30447834238159921
matlab_0012,-0.099905457231806244,-0.47184388548843398,0.31397223909858307
matlab_0013,-0.10772547242465061,-0.46653134439228483,0.32354577150945535
matlab_0014,-0.11545561200568652,-0.46105859774712482,0.33319645303639839
matlab_0015,-0.12309319529817966,-0.45542438362090071,0.34292133923404861
matlab_0016,-0.13063552102407014,-0.44962749311650257,0.35271700689242397
matlab_0017,-0.13807986825534044,-0.44366677852328384,0.36257953344954597
matlab_0018,-0.14542349750408221,-0.43754116180790253,0.3725044768915291
matlab_0019,-0.15266365195683876,-0.43124964343475736,0.38248685633489415
matlab_0020,-0.15979755885861138,-0.42479131150290722,0.39252113350281348
matlab_0021,-0.16682243105167502,-0.41816535118269849,0.40260119532366329
matlab_0022,-0.17373546867402304,-0.41137105443137434,0.41272033789633283
matlab_0023,-0.1805338610218972,-0.40440782996274771,0.42287125208193049
matlab_0024,-0.18721478858039345,-0.39727521344156902,0.43304601099542461
matlab_0025,-0.19377542522561345,-0.38997287786855511,0.44323605968301016
matlab_0026,-0.20021294060122299,-0.38250064411720019,0.45343220728113615
matlab_0027,-0.20652450267158654,-0.37485849157848433,0.46362462196073811
matlab_0028,-0.21270728045287715,-0.3670465688644971,0.47380282896479786
matlab_0029,-0.21875844692269811,-0.35906520451684226,0.48395571204843674
matlab_0030,-0.22467518210780915,-0.35091491766055549,0.49407151862782317
matlab_0031,-0.23045467634852254,-0.34259642853921812,0.50413786893679058
matlab_0032,-0.23609413373721536,-0.33411066886206076,0.51414176947773393
matlab_0033,-0.24159077572721763,-0.32545879188921883,0.52406963103567394
matlab_0034,-0.2469418449070668,-0.31664218217700313,0.53390729150098559
matlab_0035,-0.25214460893378188,-0.30766246490119548,0.54364004371685837
matlab_0036,-0.25719636461742013,-0.29852151467306687,0.55325266853191346
matlab_0037,-0.26209444214773092,-0.28922146376014957,0.56272947319640931
matlab_0038,-0.26683620945223718,-0.27976470962187983,0.57205433519216242
matlab_0039,-0.27141907667357279,-0.27015392166917329,0.58121075153185198
matlab_0040,-0.27584050075237798,-0.26039204715689368,0.59018189350306238
matlab_0041,-0.28009799010054937,-0.25048231611912669,0.5989506667667519
matlab_0042,-0.28418910934815678,-0.24042824525925943,0.60749977664946808
matlab_0043,-0.28811148414589316,-0.23023364071015187,0.61581179839438249
matlab_0044,-0.29186280600354886,-0.21990259958424691,0.62386925205913213
matlab_0045,-0.29544083714372016,-0.20943951023931898,0.63165468166971916
matlab_0046,-0.29884341534876935,-0.19884905119273108,0.63915073816064782
matlab_0047,-0.30206845877801403,-0.18813618862555484,0.64634026555361068
matlab_0048,-0.30511397073122115,-0.17730617242766586,0.65320638975193501
matlab_0049,-0.30797804433375442,-0.16636453074590227,0.65973260925734534
matlab_0050,-0.31065886711819657,-0.15531706300948012,0.66590288705114242
matlab_0051,-0.31315472547694057,-0.14416983141997283,0.67170174282530259
matlab_0052,-0.3154640089601507,-0.13292915090714463,0.67711434470195375
matlab_0053,-0.31758521439363807,-0.12160157756660303,0.68212659954373556
matlab_0054,-0.31951694979158185,-0.11019389561040578,0.68672524093405862
matlab_0055,-0.32125793803968428,-0.098713102877211634,0.69089791389645894
matlab_0056,-0.32280702032524222,-0.087166394964056954,0.69463325542697529
matlab_0057,-0.32416315929179063,-0.075561148057130656,0.69792096993340924
matlab_0058,-0.32532544189737966,-0.063904900553749158,0.70075189871070476
matlab_0059,-0.32629308195720741,-0.052205333581843823,0.70311808263244002
matlab_0060,-0.32706542235321112,-0.040470250536412969,0.70501281730408061
matlab_0061,-0.32764193689531118,-0.028707555764317903,0.70643070000335073
matlab_0062,-0.32802223182128487,-0.01692523253929186,0.70736766782562188
matlab_0063,-0.32820604692468081,-0.0051313204778820447,0.70782102655602053
matlab_0064,-0.3281932563027673,0.006666107445915277,0.70778946990314873
matlab_0065,-0.32798386871917462,0.018458968124476501,0.70727308884973106
matlab_0066,-0.32757802757863641,0.03023919161294018,0.70627337100081322
matlab_0067,-0.32697601051401348,0.041998744331348363,0.70479318993784323
matlab_0068,-0.32617822858855083,0.053729652006927399,0.70283678471450184
matlab_0069,-0.32518522511906112,0.065424022194206247,0.70040972975496463
matlab_0070,-0.32399767412838265,0.07707406621602006,0.69751889553488233
matlab_0071,-0.32261637843802804,0.088672120375731744,0.69417240053746543
matlab_0072,-0.32104226741435105,0.10021066630007842,0.69037955507947657
matlab_0073,-0.31927639438381983,0.11168235028273817,0.68615079769290854
matlab_0074,-0.31731993373505463,0.12308000151081132,0.68149762482605458
matlab_0075,-0.31517417772713208,0.13439664906968954,0.67643251469143795
matlab_0076,-0.3128405330252958,0.14562553763600519,0.67096884613684471
matlab_0077,-0.31032051698658103,0.15676014178325817,0.6651208134490626
