sample_id,x,y,vx,vy,ax,ay
pmks_positive_0000,12,1.3333333333333333,-2.4434609527920612,0,-6.4426584284888859,-0.36554090374405002
pmks_positive_0001,11.958384981428274,1.3332829004107385,-2.5500901320115661,-0.0060314907054044298,-6.352247273776042,-0.35817536435063801
pmks_positive_0002,11.915005532040617,1.3331329829833891,-2.6551827730718753,-0.011937102364115049,-6.2582802162056641,-0.35043607689562895
pmks_positive_0003,11.86988775288172,1.3328857307574518,-2.7586799368297656,-0.017710639839947362,-6.1607968225737224,-0.34232718553809005
pmks_positive_0004,11.823058721691078,1.3325433960976421,-2.8605233668781556,-0.023345980348326911,-6.0598394771538882,-0.33385323214327034
pmks_positive_0005,11.774546481126372,1.3321083327650436,-2.96065553765404,-0.028837080278495186,-5.9554535204849595,-0.32501917966613747
pmks_positive_0006,11.724380026165544,1.3315829945379629,-3.0590197048982484,-0.034177982411902175,-5.8476873927494974,-0.31583043630325758
pmks_positive_0007,11.672589290647785,1.3309699337090712,-3.1555599585406484,-0.039362823549135229,-5.736592781381594,-0.30629288035366908
pmks_positive_0008,11.6192051329124,1.3302717994519517,-3.2502212780777309,-0.04438584255661393,-5.622224772464028,-0.29641288571672986
pmks_positive_0009,11.564259320493546,1.3294913360499694,-3.3429495905014734,-0.049241388842975464,-5.5046420053903891,-0.28619734794107154
pmks_positive_0010,11.507784513827865,1.3286313809802299,-3.4336918308288986,-0.053923931273501591,-5.3839068301755528,-0.27565371072376266
pmks_positive_0011,11.449814248931338,1.3276948628452634,-3.5223960052706476,-0.05842806752915175,-5.2600854666986621,-0.26478999274254544
pmks_positive_0012,11.390382919001187,1.3266847991449859,-3.6090112570640747,-0.062748533914669835,-5.1332481650563491,-0.25361481468663394
pmks_positive_0013,11.329525754898215,1.3256042938814421,-3.6934879349817242,-0.066880215617779903,-5.0034693660907559,-0.24213742633313373
pmks_positive_0014,11.267278804465114,1.3244565349887916,-3.7757776645095071,-0.070818157418881089,-4.870827861037669,-0.23036773349656459
pmks_positive_0015,11.203678910636356,1.3232447915810841,-3.855833421670229,-0.074557574847500252,-4.7354069491149779,-0.21831632465864992
pmks_positive_0016,11.138763688295947,1.3219724110104039,-3.9336096094474362,-0.078093865778447125,-4.5972945917420969,-0.20599449706429374
pmks_positive_0017,11.072571499840244,1.3206428157281624,-4.0090621367415888,-0.081422622456828631,-4.4565835619477161,-0.19341428204794653
pmks_positive_0018,11.005141429404352,1.3192594999424987,-4.0821484997653812,-0.084539643936980546,-4.313371587387639,-0.18058846933240424
pmks_positive_0019,10.936513255712438,1.3178260260650483,-4.1528278657576596,-0.087440948915889827,-4.1677614852584037,-0.16753063001985469
pmks_positive_0020,10.866727423514485,1.3163460209406903,-4.2210611588655969,-0.090122788936808362,-4.019861287257358,-0.15425513797296286
pmks_positive_0021,10.795825013574889,1.3148231718543659,-4.2868111480129256,-0.092581661933579973,-3.8697843526084816,-0.1407771892622991
pmks_positive_0022,10.723847711181479,1.3132612223095399,-4.350042536537952,-0.094814326080599365,-3.7176494670475955,-0.12711281933592167
pmks_positive_0023,10.650837773147563,1.3116639675735811,-4.4107220533489304,-0.096817813907431827,-3.5635809255437634,-0.1132789175478357
pmks_positive_0024,10.576837993284064,1.3100352499860084,-4.4688185453065188,-0.098589446630933608,-3.40770859642859,-0.099293238664887706
pmks_positive_0025,10.501891666323983,1.3083789540264164,-4.5243030705033735,-0.10012684865125632,-3.2501679645150561,-0.085174410956924351
pmks_positive_0026,10.426042550287267,1.3066990011398616,-4.5771489920700485,-0.10142796215136451,-3.0911001507161586,-0.070941940463459474
pmks_positive_0027,10.349334827280703,1.3049993443185146,-4.6273320720944415,-0.10249106173296108,-2.9306519056247264,-0.056616211021988327
pmks_positive_0028,10.271813062734678,1.3032839624395982,-4.6748305651994482,-0.10331476901462677,-2.7689755744931088,-0.042218479639513973
pmks_positive_0029,10.19352216308657,1.3015568543608738,-4.7196253112808737,-0.10389806711113181,-2.606229031059224,-0.027770866790003179
pmks_positive_0030,10.11450733192925,1.2998220327764196,-4.7616998268653434,-0.10424031490589591,-2.4425755777075437,-0.013296341227432062
pmks_positive_0031,10.03481402465245,1.2980835178369241,-4.8010403945067077,-0.10434126102184216,-2.2781838095338784,0.0011813010828287673
pmks_positive_0032,9.9544879016148258,1.2963453305403023,-4.8376361495999554,-0.10420105738948093,-2.1132274400051028,0.015637464291616165
pmks_positive_0033,9.8735747798951863,1.2946114859003215,-4.871479163954378,-0.10382027230489843,-1.9478850860725356,0.030046786602484055
pmks_positive_0034,9.7921205836826282,1.2928859859025938,-4.9025645254338821,-0.10319990286486558,-1.782340010813416,0.044383181131857796
pmks_positive_0035,9.71017129337711,1.291172812259334,-4.9308904129423068,-0.10234138666132653,-1.6167798219411904,0.058619883964089681
pmks_positive_0036,9.6277728934842166,1.2894759189762222,-4.9564581660066187,-0.10124661261344015,-1.4513961248436438,0.072729509620693911
pmks_positive_0037,9.5449713194005579,1.287799224746784,-4.9792723481914463,-0.099917930812214006,-1.2863841291789067,0.086684114102500764
pmks_positive_0038,9.4618124031990511,1.2861466051918096,-4.9993408035657447,-0.09835816125064456,-1.1219422084826738,0.10045526559432272
pmks_positive_0039,9.37834181853645,1.2845218849634321,-5.0166747054371692,-0.096570601311460003,-0.95827141271397864,0.11401412284438006
pmks_positive_0040,9.294605024818491,1.2829288297356749,-5.0312885965727583,-0.094559031885012468,-0.79557493418876724,0.12733152114548041
pmks_positive_0041,9.2106472107710111,1.2813711381052908,-5.0432004201367109,-0.092327721991898981,-0.63405752791587866,0.14037806575270384
pmks_positive_0042,9.126513237577992,1.2798524334288959,-5.0524315405979179,-0.089881431788399802,-0.47392488795337595,0.1531242324737736
pmks_positive_0043,9.042247581759721,1.2783762556242841,-5.0590067538921355,-0.087225413838122767,-0.31538298203690607,0.16554047506490921
pmks_positive_0044,8.9578942779758481,1.2769460529657715,-5.0629542861666055,-0.0843654125402169,-0.15863734738764035,0.17759733895780094
pmks_positive_0045,8.8734968619488264,1.2755651739051448,-5.064305780489013,-0.081307661613355453,-0.0038923512747364164,0.18926558073443367
pmks_positive_0046,8.7890983137130672,1.274236858951364,-5.0630962709677778,-0.078058879545304993,0.14864957942485257,0.20051629265743554
pmks_positive_0047,8.7047410014037006,1.2729642326436226,-5.0593641438068762,-0.074626262930337584,0.29878875477076217,0.21132103145659276
pmks_positive_0048,8.6204666258060652,1.2717502956535029,-5.0531510849053829,-0.071017477630926917,0.44632903887942987,0.2216519504692922
pmks_positive_0049,8.5363161658927762,1.270597917052894,-5.0445020137089553,-0.067240647716031221,0.59107868150157383,0.2314819341363874
pmks_positive_0050,8.452329825579211,1.26950982678505,-5.0334650031270955,-0.063304342145631853,0.73285115740226803,0.24078473376733367
pmks_positive_0051,8.3685469819303897,1.2684886083764262,-5.0200911854448984,-0.059217559189965296,0.87146600642136662,0.24953510341220664
pmks_positive_0052,8.2850061350524555,1.2675366919270408,-5.0044346442800176,-0.054989708591809072,1.0067496667063955,0.2577089346152075
pmks_positive_0053,8.2017448599000051,1.2666563474167365,-4.986552292763335,-0.050630591501006461,1.1385362933196945,0.26528338877686952
pmks_positive_0054,8.1187997602264925,1.2658496783641184,-4.9665037382533841,-0.046150378231918587,1.2666685542374301,0.27223702582210585
pmks_positive_0055,8.036206424898598,1.2651186158738343,-4.9443511340284614,-0.041559583916315868,1.3909983956904626,0.27854992786020727
pmks_positive_0056,7.9539993867870349,1.2644649131065466,-4.9201590185341333,-0.036869042146083997,1.5113877688527591,0.28420381653199023
pmks_positive_0057,7.8722120844353869,1.2638901402041522,-4.893994142895802,-0.03208987672163055,1.6277093100676781,0.28918216276944442
pmks_positive_0058,7.7908768266958308,1.2633956797007126,-4.8659252875336731,-0.027233471642733709,1.7398469671175831,0.29347028774467621
pmks_positive_0059,7.7100247605055001,1.2629827224471097,-4.8360230688388492,-0.022311439498380659,1.847696564487376,0.29705545385761045
pmks_positive_0060,7.6296858419603719,1.262652264074676,-4.8043597369821933,-0.017335588430570481,1.9511663011432998,0.29992694470512316
pmks_positive_0061,7.5498888108248075,1.2624051020199882,-4.7710089660299788,-0.01231788786376728,2.0501771750375912,0.30207613308677228
pmks_positive_0062,7.4706611685945656,1.2622418331297092,-4.7360456376303546,-0.0072704332063732169,2.144663329346852,0.30349653623249306
pmks_positive_0063,7.3920291602093435,1.2621628518607788,-4.6995456196105065,-0.0022054097429781705,2.2345723163441327,0.3041838575832756
pmks_positive_0064,7.3140177594881068,1.262168349087569,-4.6615855408847731,0.0028649440540183257,2.319865275775697,0.30413601461432371
pmks_positive_0065,7.2366506583366661,1.262258311523726,-4.6222425641175837,0.0079283735576959058,2.4005170256453292,0.3033531523587385
