sample_id,x,y,vx,vy,ax,ay
pmks_positive_0000,4,2,-2.0943951023931953,4.1887902047863905,-4.3864908449286029,-2.1932454224643014
pmks_positive_0001,3.9644859677509983,2.0695050160619166,-2.1671805850091146,4.1515999971821191,-4.3475453505969162,-2.2694662016223548
pmks_positive_0002,3.9277643146713812,2.1383796408481954,-2.2393059234248902,4.1131451720012526,-4.3072755518358203,-2.3449956793905806
pmks_positive_0003,3.8898462265324083,2.2066028944809233,-2.3107491475637474,4.073437442956064,-4.2656937152161207,-2.4198108487583814
pmks_positive_0004,3.8507432535510469,2.27415399549615,-2.3814884951275266,4.0324889054054749,-4.2228125069680624,-2.4938889203004164
pmks_positive_0005,3.8104673068716659,2.3410123671741236,-2.4515024182256924,3.9903120326707029,-4.1786449891230779,-2.5672073291184825
pmks_positive_0006,3.7690306549377866,2.4071576438071607,-2.5207695899390306,3.9469196722357585,-4.1332046155349644,-2.6397437417150043
pmks_positive_0007,3.7264459197549935,2.4725696769032339,-2.5892689108160294,3.9023250418339823,-4.0865052277817062,-2.7114760627960273
pmks_positive_0008,3.6827260730461506,2.5372285413234028,-2.6569795152999829,3.8565417254217911,-4.0385610509492009,-2.7823824420016647
pmks_positive_0009,3.6378844323000892,2.6011145413511993,-2.7238807780848373,3.8095836690408782,-3.9893866892981573,-2.8524412805619246
pmks_positive_0010,3.5919346567149715,2.6642082166921379,-2.7899523203978611,3.7614651765701095,-3.9389971218154964,-2.9216312378759057
pmks_positive_0011,3.5448907430375658,2.7264903484015073,-2.8551740162072168,3.7122009053684262,-3.8874076976516085,-2.9899312380123519
pmks_positive_0012,3.496767021299704,2.7879419647386494,-2.9195259983525448,3.6618058618100711,-3.8346341314448531,-3.0573204761295867
pmks_positive_0013,3.4475781504532104,2.8485443469459311,-2.9829886645966903,3.610295396713497,-3.780692498534723,-3.1237784248128633
pmks_positive_0014,3.3973391139046498,2.9082790349506649,-3.0455426835967403,3.5576852006653681,-3.7255992300651495,-3.1892848403272209
pmks_positive_0015,3.3460652149512313,2.9671278329882207,-3.1071690007925321,3.5039912992410467,-3.6693711079794085,-3.2538197687839188
pmks_positive_0016,3.2937720721192765,3.0250728151446351,-3.1678488442108597,3.4492300481230496,-3.6120252599081799,-3.3173635522185845
pmks_positive_0017,3.2404756144066678,3.0820963308170191,-3.2275637301836011,3.3934181281189528,-3.5535791539523092,-3.3798968345792231
pmks_positive_0018,3.1861920764307183,3.138181010090098,-3.2862954689780159,3.3365725400802511,-3.4940505933618504,-3.4414005676222525
pmks_positive_0019,3.1309379934829531,3.1933097690272616,-3.3440261703375209,3.2787105997237376,-3.433457711113026,-3.5018560167147887
pmks_positive_0020,3.0747301964922951,3.2474658148744928,-3.4007382489312326,3.2198499323569649,-3.3718189643847443,-3.561244766541392
pmks_positive_0021,3.0175858068982055,3.3006326511756057,-3.4564144297106281,3.1600084675094098,-3.3091531289363671,-3.6195487267135542
pmks_positive_0022,2.9595222314353249,3.3527940827972245,-3.5110377531716961,3.0992044334709625,-3.2454792933884304,-3.6767501372802043
pmks_positive_0023,2.9005571568312125,3.4039342208619772,-3.5645915805209611,3.0374563517394115,-3.180816853408063,-3.7328315741375597
pmks_positive_0024,2.8407085444188018,3.4540374875884043,-3.6170595987438254,2.9747830313786205,-3.1151855058008828,-3.787775954336682
pmks_positive_0025,2.7799946246651994,3.503088621036099,-3.668425825573669,2.9112035632891016,-3.0486052425111563,-3.841566541287103
pmks_positive_0026,2.7184338916185116,3.551072679754645,-3.7186746143602041,2.8467373143927426,-2.9810963445320589,-3.8941869498549577
pmks_positive_0027,2.6560450972743763,3.5979750473349243,-3.7677906588355952,2.7814039217334559,-2.9126793757278882,-3.9456211513540507
pmks_positive_0028,2.5928472458639247,3.6437814368614183,-3.8157589977768973,2.7152232864955446,-2.8433751765701119,-3.9958534784283501
pmks_positive_0029,2.5288595880649072,3.6884778952641408,-3.8625650195633887,2.6482155679416075,-2.7732048577891582,-4.0448686298244185
pmks_positive_0030,2.4641016151377526,3.7320508075688785,-3.908194466627414,2.5804011772718356,-2.7021897939438837,-4.0926516750523207
pmks_positive_0031,2.398593052988339,3.7744869010444431,-3.9526334397973755,2.5118007714065596,-2.6303516169106742,-4.1391880589335956
pmks_positive_0032,2.3323538561592922,3.8157732492456735,-3.9958684025315541,2.4424352466939525,-2.5577122092941647,-4.1844636060349041
pmks_positive_0033,2.2654042017516396,3.8558972759509578,-4.037886185041474,2.3723257325447999,-2.484293697761589,-4.2284645249860038
pmks_positive_0034,2.1977644832786707,3.8948467589930726,-4.0786739883035503,2.3014935849962797,-2.4101184463027825,-4.2711774126807383
pmks_positive_0035,2.1294553044538724,3.9326098339821698,-4.1182193879577866,2.2299603802067005,-2.3352090494178905,-4.3125892583597452
pmks_positive_0036,2.0604974729148409,3.9691749979197888,-4.1565103380923629,2.1577479078831989,-2.2595883252348679,-4.3526874475736648
pmks_positive_0037,1.9909119938850721,4.0045311127027805,-4.1935351749129381,2.0848781646443832,-2.1832793085588547,-4.3914597660256245
pmks_positive_0038,1.9207200637755686,4.038667408516079,-4.2292826202955469,2.0113733473199482,-2.1063052438555534,-4.4288944032918263
pmks_positive_0039,1.8499430637282057,4.0715734871132927,-4.2637417852220318,1.9372558461893084,-2.0286895781707361,-4.4649799564191213
pmks_positive_0040,1.7786025531028304,4.1032393249841146,-4.296902173096945,1.8625482381613006,-1.9504559539880513,-4.4997054333984599
