sample_id,theta_delta_rad,omega_rad_s,alpha_rad_s2
pmks_positive_0000,0,-0.52359877559829882,0.20561675835602827
pmks_positive_0001,-0.008697692843520205,-0.52010057679912702,0.21418075936216358
pmks_positive_0002,-0.017335889118200581,-0.51645895774311545,0.22282741058407474
pmks_positive_0003,-0.025912186948397947,-0.51267253049842454,0.23155792434133748
pmks_positive_0004,-0.034424161168936457,-0.50873988892715527,0.24037327027120059
pmks_positive_0005,-0.042869363056158544,-0.50465961287047578,0.24927415836440661
pmks_positive_0006,-0.05124532013111191,-0.50043027262211282,0.25826102132919143
pmks_positive_0007,-0.059549536039776058,-0.49605043370117902,0.26733399631308091
pmks_positive_0008,-0.067779490515403745,-0.49151866193472271,0.27649290602142673
pmks_positive_0009,-0.075932639428219012,-0.48683352885966502,0.28573723928181455
pmks_positive_0010,-0.084006414927870837,-0.48199361745286795,0.2950661311145733
pmks_positive_0011,-0.091998225684176566,-0.47699752819698554,0.30447834238159904
pmks_positive_0012,-0.099905457231806133,-0.47184388548843398,0.31397223909858302
pmks_positive_0013,-0.10772547242465044,-0.46653134439228483,0.32354577150945535
pmks_positive_0014,-0.11545561200568652,-0.46105859774712482,0.33319645303639839
pmks_positive_0015,-0.12309319529817961,-0.45542438362090087,0.34292133923404861
pmks_positive_0016,-0.13063552102406981,-0.44962749311650257,0.35271700689242386
pmks_positive_0017,-0.13807986825534027,-0.4436667785232839,0.36257953344954597
pmks_positive_0018,-0.14542349750408226,-0.43754116180790253,0.37250447689152916
pmks_positive_0019,-0.15266365195683865,-0.4312496434347573,0.3824868563348941
pmks_positive_0020,-0.15979755885861155,-0.42479131150290733,0.39252113350281348
pmks_positive_0021,-0.16682243105167491,-0.41816535118269849,0.40260119532366312
pmks_positive_0022,-0.17373546867402292,-0.41137105443137434,0.41272033789633278
pmks_positive_0023,-0.18053386102189725,-0.40440782996274782,0.42287125208193049
pmks_positive_0024,-0.18721478858039345,-0.39727521344156896,0.43304601099542461
pmks_positive_0025,-0.19377542522561333,-0.38997287786855511,0.44323605968301011
pmks_positive_0026,-0.20021294060122277,-0.38250064411720003,0.45343220728113609
pmks_positive_0027,-0.20652450267158665,-0.37485849157848433,0.46362462196073811
pmks_positive_0028,-0.21270728045287726,-0.36704656886449727,0.47380282896479792
pmks_positive_0029,-0.21875844692269783,-0.35906520451684215,0.48395571204843657
pmks_positive_0030,-0.2246751821078091,-0.35091491766055549,0.49407151862782289
pmks_positive_0031,-0.23045467634852237,-0.34259642853921807,0.50413786893679058
pmks_positive_0032,-0.23609413373721524,-0.33411066886206076,0.51414176947773393
pmks_positive_0033,-0.24159077572721763,-0.32545879188921883,0.52406963103567406
pmks_positive_0034,-0.24694184490706686,-0.31664218217700318,0.5339072915009857
pmks_positive_0035,-0.25214460893378188,-0.30766246490119548,0.54364004371685837
pmks_positive_0036,-0.25719636461742013,-0.29852151467306687,0.55325266853191357
pmks_positive_0037,-0.26209444214773092,-0.28922146376014962,0.56272947319640931
pmks_positive_0038,-0.26683620945223707,-0.27976470962187983,0.57205433519216253
pmks_positive_0039,-0.27141907667357268,-0.27015392166917329,0.58121075153185209
pmks_positive_0040,-0.27584050075237776,-0.26039204715689357,0.59018189350306216
pmks_positive_0041,-0.28009799010054925,-0.25048231611912669,0.5989506667667519
pmks_positive_0042,-0.28418910934815678,-0.24042824525925943,0.60749977664946819
pmks_positive_0043,-0.28811148414589305,-0.23023364071015187,0.61581179839438249
pmks_positive_0044,-0.29186280600354897,-0.21990259958424696,0.62386925205913224
pmks_positive_0045,-0.29544083714372016,-0.209439510239319,0.63165468166971928
pmks_positive_0046,-0.29884341534876935,-0.19884905119273111,0.63915073816064782
pmks_positive_0047,-0.30206845877801414,-0.1881361886255549,0.64634026555361102
pmks_positive_0048,-0.30511397073122104,-0.17730617242766586,0.65320638975193501
pmks_positive_0049,-0.30797804433375442,-0.16636453074590224,0.65973260925734512
pmks_positive_0050,-0.31065886711819646,-0.15531706300948012,0.6659028870511422
pmks_positive_0051,-0.31315472547694068,-0.14416983141997286,0.67170174282530271
pmks_positive_0052,-0.3154640089601507,-0.13292915090714466,0.67711434470195397
pmks_positive_0053,-0.31758521439363807,-0.12160157756660306,0.68212659954373578
pmks_positive_0054,-0.31951694979158185,-0.11019389561040578,0.68672524093405862
pmks_positive_0055,-0.32125793803968439,-0.098713102877211648,0.69089791389645905
pmks_positive_0056,-0.32280702032524233,-0.087166394964056954,0.69463325542697529
pmks_positive_0057,-0.32416315929179074,-0.075561148057130656,0.69792096993340935
pmks_positive_0058,-0.32532544189737966,-0.063904900553749158,0.70075189871070487
pmks_positive_0059,-0.32629308195720741,-0.052205333581843816,0.70311808263243991
pmks_positive_0060,-0.32706542235321101,-0.040470250536412955,0.70501281730408039
pmks_positive_0061,-0.32764193689531129,-0.028707555764317907,0.70643070000335084
pmks_positive_0062,-0.32802223182128487,-0.016925232539291856,0.70736766782562188
pmks_positive_0063,-0.32820604692468069,-0.0051313204778820438,0.70782102655602042
pmks_positive_0064,-0.32819325630276719,0.006666107445915277,0.7077894699031485
pmks_positive_0065,-0.32798386871917451,0.018458968124476498,0.70727308884973095
pmks_positive_0066,-0.32757802757863641,0.03023919161294018,0.70627337100081322
pmks_positive_0067,-0.32697601051401348,0.041998744331348356,0.70479318993784323
pmks_positive_0068,-0.32617822858855083,0.053729652006927399,0.70283678471450195
pmks_positive_0069,-0.32518522511906112,0.065424022194206247,0.70040972975496463
pmks_positive_0070,-0.32399767412838232,0.077074066216020046,0.69751889553488222
pmks_positive_0071,-0.32261637843802815,0.088672120375731758,0.69417240053746554
