sample_id,sweep_id,sweep_index,input_angle_rad,input_direction,time_s,jacobian_condition,eligibility
pmks_positive_0000,pmks_positive,0,0.46364760900080609,1,0,2.0413869742066506,eligible
pmks_positive_0001,pmks_positive,1,0.48110090152074941,1,0.01666666666666667,2.0487625982122508,eligible
pmks_positive_0002,pmks_positive,2,0.49855419404069268,1,0.03333333333333334,2.0563536088393088,eligible
pmks_positive_0003,pmks_positive,3,0.516007486560636,1,0.05000000000000001,2.0641537240600236,eligible
pmks_positive_0004,pmks_positive,4,0.53346077908057932,1,0.06666666666666668,2.0721564146083313,eligible
pmks_positive_0005,pmks_positive,5,0.55091407160052253,1,0.083333333333333343,2.0803548996408803,eligible
pmks_positive_0006,pmks_positive,6,0.56836736412046585,1,0.10000000000000001,2.0887421421939778,eligible
pmks_positive_0007,pmks_positive,7,0.58582065664040917,1,0.11666666666666667,2.0973108444794852,eligible
pmks_positive_0008,pmks_positive,8,0.60327394916035249,1,0.13333333333333333,2.1060534430688405,eligible
pmks_positive_0009,pmks_positive,9,0.6207272416802958,1,0.14999999999999999,2.1149621040206235,eligible
pmks_positive_0010,pmks_positive,10,0.63818053420023912,1,0.16666666666666666,2.124028718013296,eligible
pmks_positive_0011,pmks_positive,11,0.65563382672018244,1,0.18333333333333332,2.1332448955509102,eligible
pmks_positive_0012,pmks_positive,12,0.67308711924012576,1,0.19999999999999998,2.142601962315648,eligible
pmks_positive_0013,pmks_positive,13,0.69054041176006919,1,0.21666666666666665,2.1520909547469973,eligible
pmks_positive_0014,pmks_positive,14,0.70799370428001251,1,0.23333333333333331,2.1617026159331694,eligible
pmks_positive_0015,pmks_positive,15,0.72544699679995572,1,0.24999999999999997,2.1714273919058611,eligible
pmks_positive_0016,pmks_positive,16,0.74290028931989904,1,0.26666666666666666,2.1812554284347589,eligible
pmks_positive_0017,pmks_positive,17,0.76035358183984247,1,0.28333333333333333,2.1911765684230873,eligible
pmks_positive_0018,pmks_positive,18,0.77780687435978579,1,0.29999999999999999,2.2011803500099418,eligible
pmks_positive_0019,pmks_positive,19,0.79526016687972911,1,0.31666666666666665,2.2112560054892052,eligible
pmks_positive_0020,pmks_positive,20,0.81271345939967232,1,0.33333333333333331,2.2213924611581453,eligible
pmks_positive_0021,pmks_positive,21,0.83016675191961564,1,0.34999999999999998,2.2315783382115479,eligible
pmks_positive_0022,pmks_positive,22,0.84762004443955896,1,0.36666666666666664,2.2418019547991324,eligible
pmks_positive_0023,pmks_positive,23,0.86507333695950239,1,0.3833333333333333,2.2520513293649982,eligible
pmks_positive_0024,pmks_positive,24,0.88252662947944571,1,0.39999999999999997,2.2623141853878668,eligible
pmks_positive_0025,pmks_positive,25,0.89997992199938892,1,0.41666666666666663,2.2725779576397662,eligible
pmks_positive_0026,pmks_positive,26,0.91743321451933224,1,0.43333333333333329,2.2828298000784266,eligible
pmks_positive_0027,pmks_positive,27,0.93488650703927556,1,0.44999999999999996,2.293056595484952,eligible
pmks_positive_0028,pmks_positive,28,0.95233979955921888,1,0.46666666666666662,2.303244966953145,eligible
