matlab_sample_id,matlab_sweep_id,matlab_sweep_index,input_angle_rad,input_direction,jacobian_condition,eligibility,pmks_sample_id,status,reason
matlab_0000,matlab_sweep_00,0,2.0335712711697056,1,2.0413869742066511,eligible,pmks_positive_0000,matched,
matlab_0001,matlab_sweep_00,1,2.0510245636896487,1,2.0487625982122504,eligible,pmks_positive_0001,matched,
matlab_0002,matlab_sweep_00,2,2.0684778562095918,1,2.056353608839308,eligible,pmks_positive_0002,matched,
matlab_0003,matlab_sweep_00,3,2.0859311487295349,1,2.0641537240600227,eligible,pmks_positive_0003,matched,
matlab_0004,matlab_sweep_00,4,2.103384441249478,1,2.0721564146083327,eligible,pmks_positive_0004,matched,
matlab_0005,matlab_sweep_00,5,2.1208377337694211,1,2.0803548996408785,eligible,pmks_positive_0005,matched,
matlab_0006,matlab_sweep_00,6,2.1382910262893642,1,2.0887421421939769,eligible,pmks_positive_0006,matched,
matlab_0007,matlab_sweep_00,7,2.1557443188093073,1,2.0973108444794848,eligible,pmks_positive_0007,matched,
matlab_0008,matlab_sweep_00,8,2.1731976113292504,1,2.10605344306884,eligible,pmks_positive_0008,matched,
matlab_0009,matlab_sweep_00,9,2.1906509038491935,1,2.1149621040206226,eligible,pmks_positive_0009,matched,
matlab_0010,matlab_sweep_00,10,2.2081041963691366,1,2.1240287180132933,eligible,pmks_positive_0010,matched,
matlab_0011,matlab_sweep_00,11,2.2255574888890797,1,2.1332448955509093,eligible,pmks_positive_0011,matched,
matlab_0012,matlab_sweep_00,12,2.2430107814090228,1,2.1426019623156458,eligible,pmks_positive_0012,matched,
matlab_0013,matlab_sweep_00,13,2.2604640739289659,1,2.152090954746996,eligible,pmks_positive_0013,matched,
matlab_0014,matlab_sweep_00,14,2.277917366448909,1,2.1617026159331676,eligible,pmks_positive_0014,matched,
matlab_0015,matlab_sweep_00,15,2.2953706589688521,1,2.1714273919058589,eligible,pmks_positive_0015,matched,
matlab_0016,matlab_sweep_00,16,2.3128239514887952,1,2.1812554284347567,eligible,pmks_positive_0016,matched,
matlab_0017,matlab_sweep_00,17,2.3302772440087383,1,2.1911765684230842,eligible,pmks_positive_0017,matched,
matlab_0018,matlab_sweep_00,18,2.3477305365286814,1,2.2011803500099396,eligible,pmks_positive_0018,matched,
matlab_0019,matlab_sweep_00,19,2.3651838290486245,1,2.211256005489203,eligible,pmks_positive_0019,matched,
matlab_0020,matlab_sweep_00,20,2.3826371215685676,1,2.2213924611581426,eligible,pmks_positive_0020,matched,
matlab_0021,matlab_sweep_00,21,2.4000904140885106,1,2.2315783382115448,eligible,pmks_positive_0021,matched,
matlab_0022,matlab_sweep_00,22,2.4175437066084537,1,2.2418019547991292,eligible,pmks_positive_0022,matched,
matlab_0023,matlab_sweep_00,23,2.4349969991283968,1,2.2520513293649946,eligible,pmks_positive_0023,matched,
matlab_0024,matlab_sweep_00,24,2.4524502916483399,1,2.2623141853878628,eligible,pmks_positive_0024,matched,
matlab_0025,matlab_sweep_00,25,2.469903584168283,1,2.2725779576397631,eligible,pmks_positive_0025,matched,
matlab_0026,matlab_sweep_00,26,2.4873568766882261,1,2.2828298000784231,eligible,pmks_positive_0026,matched,
matlab_0027,matlab_sweep_00,27,2.5048101692081692,1,2.293056595484948,eligible,pmks_positive_0027,matched,
matlab_0028,matlab_sweep_00,28,2.5222634617281123,1,2.303244966953141,eligible,pmks_positive_0028,matched,
matlab_0029,matlab_sweep_00,29,2.5397167542480554,1,2.3133812913300913,eligible,pmks_positive_0029,matched,
matlab_0030,matlab_sweep_00,30,2.5571700467679985,1,2.3234517146992055,eligible,pmks_positive_0030,matched,
matlab_0031,matlab_sweep_00,31,2.5746233392879416,1,2.3334421699866827,eligible,pmks_positive_0031,matched,
matlab_0032,matlab_sweep_00,32,2.5920766318078847,1,2.3433383967604313,eligible,pmks_positive_0032,matched,
matlab_0033,matlab_sweep_00,33,2.6095299243278278,1,2.3531259632765784,eligible,pmks_positive_0033,matched,
matlab_0034,matlab_sweep_00,34,2.6269832168477709,1,2.3627902908129594,eligible,pmks_positive_0034,matched,
matlab_0035,matlab_sweep_00,35,2.644436509367714,1,2.372316680311402,eligible,pmks_positive_0035,matched,
matlab_0036,matlab_sweep_00,36,2.6618898018876571,1,2.3816903413311832,eligible,pmks_positive_0036,matched,
matlab_0037,matlab_sweep_00,37,2.6793430944076002,1,2.3908964232948979,eligible,pmks_positive_0037,matched,
matlab_0038,matlab_sweep_00,38,2.6967963869275433,1,2.3999200489851513,eligible,pmks_positive_0038,matched,
matlab_0039,matlab_sweep_00,39,2.7142496794474864,1,2.40874635022637,eligible,pmks_positive_0039,matched,
matlab_0040,matlab_sweep_00,40,2.7317029719674295,1,2.4173605056604379,eligible,pmks_positive_0040,matched,
matlab_0041,matlab_sweep_00,41,2.7491562644873726,1,2.4257477804985701,eligible,pmks_positive_0041,matched,
matlab_0042,matlab_sweep_00,42,2.7666095570073157,1,2.4338935681046046,eligible,pmks_positive_0042,matched,
matlab_0043,matlab_sweep_00,43,2.7840628495272588,1,2.4417834332375055,eligible,pmks_positive_0043,matched,
matlab_0044,matlab_sweep_00,44,2.8015161420472019,1,2.4494031567534988,eligible,pmks_positive_0044,matched,
matlab_0045,matlab_sweep_00,45,2.818969434567145,1,2.4567387815412358,eligible,pmks_positive_0045,matched,
matlab_0046,matlab_sweep_00,46,2.8364227270870881,1,2.4637766594375448,eligible,pmks_positive_0046,matched,
matlab_0047,matlab_sweep_00,47,2.8538760196070312,1,2.4705034988465768,eligible,pmks_positive_0047,matched,
matlab_0048,matlab_sweep_00,48,2.8713293121269743,1,2.4769064127625549,eligible,pmks_positive_0048,matched,
matlab_0049,matlab_sweep_00,49,2.8887826046469174,1,2.4829729668759537,eligible,pmks_positive_0049,matched,
matlab_0050,matlab_sweep_00,50,2.9062358971668605,1,2.4886912274254751,eligible,pmks_positive_0050,matched,
matlab_0051,matlab_sweep_00,51,2.9236891896868036,1,2.4940498084440623,eligible,pmks_positive_0051,matched,
matlab_0052,matlab_sweep_00,52,2.9411424822067467,1,2.499037918036775,eligible,pmks_positive_0052,matched,
matlab_0053,matlab_sweep_00,53,2.9585957747266898,1,2.5036454033220799,eligible,pmks_positive_0053,matched,
matlab_0054,matlab_sweep_00,54,2.9760490672466329,1,2.5078627936663911,eligible,pmks_positive_0054,matched,
matlab_0055,matlab_sweep_00,55,2.993502359766576,1,2.511681341844469,eligible,pmks_positive_0055,matched,
matlab_0056,matlab_sweep_00,56,3.0109556522865191,1,2.5150930627662604,eligible,pmks_positive_0056,matched,
matlab_0057,matlab_sweep_00,57,3.0284089448064622,1,2.5180907694233996,eligible,pmks_positive_0057,matched,
matlab_0058,matlab_sweep_00,58,3.0458622373264053,1,2.5206681057263931,eligible,pmks_positive_0058,matched,
matlab_0059,matlab_sweep_00,59,3.0633155298463484,1,2.5228195759261003,eligible,pmks_positive_0059,matched,
matlab_0060,matlab_sweep_00,60,3.0807688223662915,1,2.5245405703402803,eligible,pmks_positive_0060,matched,
