sample_id,x,y,vx,vy,ax,ay
matlab_0000,-0.99825429019777911,2.0008719029717339,-2.0953081570500762,-1.045369448166612,1.0947083262158148,-2.1942015710650957
matlab_0001,-1.0330222809138319,1.9831452208891769,-2.0767448189823816,-1.0817784029044886,1.1328356944589468,-2.1747620888985715
matlab_0002,-1.0674756030360069,1.9648144535611785,-2.0575488843249472,-1.1178578374614176,1.1706179899755209,-2.1546601531323764
matlab_0003,-1.1016037617486287,1.9458851847170402,-2.0377262003454235,-1.1535967616921241,1.2080437039123173,-2.1339018870108748
matlab_0004,-1.1353963612839466,1.9263631803954238,-2.0172828052253773,-1.1889842891740763,1.24510143603432,-2.1124936137030179
matlab_0005,-1.168843108088786,1.90625438718796,-1.9962249262210026,-1.2240096405235967,1.2817798981973383,-2.0904418543762429
matlab_0006,-1.2019338139600642,1.8855649304278579,-1.9745589777662358,-1.2586621466793662,1.3180679177864849,-2.0677533262100591
matlab_0007,-1.2346583991482156,1.8643011123240698,-1.952291559518859,-1.2929312521523229,1.3539544411194633,-2.044434940349936
matlab_0008,-1.2670068954275822,1.8424694100415775,-1.92942945435018,-1.3268065182409676,1.3894285368136252,-2.0204937998020962
matlab_0009,-1.2989694491328301,1.8200764737283845,-1.9059796262789028,-1.3602776262110929,1.4244793991157774,-1.9959371972698734
matlab_0010,-1.3305363241604726,1.7971291244898171,-1.8819492183498219,-1.3933343804389693,1.4590963511937172,-1.9707726129322845
matlab_0011,-1.3616979049345808,1.7736343523107494,-1.8573455504579803,-1.4259667115170305,1.4932688483884995,-1.9450077121654936
matlab_0012,-1.3924446993357824,1.7495993139263861,-1.8321761171189588,-1.458164679321114,1.5269864814264427,-1.9186503432078643
matlab_0013,-1.4227673415926514,1.7250313306422518,-1.8064485851859744,-1.4899184760383177,1.560238979589893,-1.8917085347693108
matlab_0014,-1.4526565951346151,1.6999378861040499,-1.7801707915144818,-1.5212184291545563,1.5930162138457864,-1.8641904935856743
matlab_0015,-1.4821033554054999,1.674326624018073,-1.7533507405749924,-1.5520550044009001,1.625308199931047,-1.8361046019188729
matlab_0016,-1.5110986526368706,1.6482053458228536,-1.7259966020148336,-1.582418808657809,1.6571051013938951,-1.8074594150035823
matlab_0017,-1.5396336545803069,1.6215820083127732,-1.6981167081695969,-1.6123005928163656,1.6883972325901206,-1.7782636584412292
matlab_0018,-1.5676996691977918,1.594464721214343,-1.6697195515250258,-1.6416912545956437,1.7191750616334283,-1.7485262255420884
matlab_0019,-1.5952881473093916,1.5668617447159043,-1.6408137821301234,-1.6705818413153519,1.7494292132989395,-1.718256174616293
matlab_0020,-1.6223906851974175,1.5387814869514944,-1.6114082049622642,-1.6989635526229057,1.7791504718789786,-1.6874627262145883
matlab_0021,-1.6489990271662809,1.5102325014396483,-1.5815117772451117,-1.726827743174101,1.8083297839902659,-1.6561552603196601
matlab_0022,-1.675105068057257,1.4812234844779131,-1.5511336057201621,-1.7541659252665696,1.8369582613316655,-1.6243433134889025
matlab_0023,-1.7007008557173959,1.4517632724938718,-1.5202829438727414,-1.7809697714252151,1.8650271833916494,-1.5920365759494892
matlab_0024,-1.7257785934218242,1.4218608393534822,-1.4889691891133054,-1.8072311169388429,1.8925280001046483,-1.5592448886466372
matlab_0025,-1.7503306422487035,1.3915252936275502,-1.4572018799148971,-1.8329419623472103,1.9194523344554848,-1.5259782402459587
matlab_0026,-1.7743495234061202,1.360765875817171,-1.424990692907635,-1.8580944758777391,1.9457919850310939,-1.4922467640908184
matlab_0027,-1.7978279205101975,1.3295919555389828,-1.3923454399311184,-1.8826809958311501,1.9715389285187523,-1.4580607351156165
matlab_0028,-1.8207586818137376,1.2980130286710911,-1.3592760650456457,-1.906694032915291,1.9966853221500578,-1.4234305667159473
matlab_0029,-1.8431348223847117,1.2660387144605321,-1.3257926415031578,-1.9301262725264461,2.0212235060899113,-1.3883668075765754
matlab_0030,-1.8649495262339393,1.2336787525931554,-1.2919053686788255,-1.9529705769774361,2.0451460057697775,-1.3528801384582037
matlab_0031,-1.8861961483913043,1.2009430002268247,-1.2576245689642258,-1.9752199876718282,2.0684455341645123,-1.316981368944014
matlab_0032,-1.9068682169298772,1.1678414289888286,-1.2229606846230365,-1.99686772722359,2.091114994012059,-1.2806814341469583
matlab_0033,-1.926959434937326,1.1343841219384287,-1.1879242746102252,-2.0179072015215471,2.1131474799753436,-1.2439913913788223
matlab_0034,-1.9464636824340178,1.1005812704954605,-1.1525260113556866,-2.0383320017380151,2.1345362807457082,-1.2069224167820571
matlab_0035,-1.9653750182372227,1.0664431713359293,-1.1167766775133188,-2.0581359062809881,2.1552748810872409,-1.1694858019254197
matlab_0036,-1.9836876817708577,1.0319802232555424,-1.0806871626765222,-2.0773128826892977,2.1753569638213777,-1.1316929503644533
matlab_0037,-2.001396094820211,0.99720292400213473,-1.0442684600611223,-2.0958570894701585,2.1947764117511785,-1.0935553741678492
matlab_0038,-2.018494863231123,0.96212186707795444,-1.0075316631567324,-2.1137628778785431,2.2135273095246832,-1.0550846904107654
matlab_0039,-2.0349787785530959,0.92674773851277847,-0.9704879623475664,-2.1310247936378452,2.2316039454367864,-1.0162926176361473
matlab_0040,-2.050842819625839,0.89109131360884453,-0.93314864150374144,-2.1476375786013042,2.2490008131690762,-0.97719097228514984
matlab_0041,-2.0660821541087642,0.85516345365858992,-0.89552507454410046,-2.1635961723536892,2.2657126134671151,-0.9377916650977326
matlab_0042,-2.0806921399529608,0.81897510263619655,-0.85762872197160722,-2.1788957137527487,2.2817342557546412,-0.89810669748453476
matlab_0043,-2.0946683268152095,0.78253728386395027,-0.81947112738236549,-2.193531542409962,2.2970608596842079,-0.8581481578711283
matlab_0044,-2.108006457413603,0.74586109665443001,-0.78106391394932795,-2.2074992001101399,2.3116877566237863,-0.81792821801576632
matlab_0045,-2.1207024688243514,0.70895771292955034,-0.74241878088176561,-2.2207944321694399,2.325610491078876,-0.77745912930174832
matlab_0046,-2.1327524937193898,0.67183837381748457,-0.70354749986157417,-2.2334131887313822,2.3388248220496881,-0.73675321900552904
matlab_0047,-2.1441528615444043,0.63451438622850964,-0.66446191145750744,-2.2453516260004776,2.3513267243229987,-0.69582288654171232
matlab_0048,-2.1549000996369165,0.59699711941081068,-0.62517392151842377,-2.2566061074130834,2.3631123896982675,-0.65468059968606729
matlab_0049,-2.1649909342840936,0.55929800148729814,-0.58569549754664962,-2.2671732047451369,2.3741782281476498,-0.6133388907777243
matlab_0050,-2.1744222917199498,0.52142851597449114,-0.54603866505256315,-2.2770496991564255,2.3845208689095583,-0.57181035290170334
matlab_0051,-2.1831912990616464,0.48340019828452691,-0.50621550389150627,-2.2862325821710749,2.3941371615154239,-0.53010763605293709
matlab_0052,-2.1912952851845997,0.44522463221136233,-0.46623814458414448,-2.294719056593963,2.4030241767493647,-0.48824344328296132
matlab_0053,-2.1987317815361314,0.40691344640223837,-0.42611876462139198,-2.3025065373627691,2.411179207540449,-0.44623052683044107
matlab_0054,-2.2054985228874147,0.36847831081548116,-0.38586958475503064,-2.309592652335414,2.4185997697873005,-0.40408168423671609
matlab_0055,-2.2115934480234825,0.32993093316572003,-0.34550286527515034,-2.3159752430126308,2.4252836031147722,-0.36180975444754543
matlab_0056,-2.2170147003710952,0.2912830553576039,-0.3050309022755458,-2.3216523651954697,2.4312286715624847,-0.31942761390224023
matlab_0057,-2.2217606285642715,0.25254644990910352,-0.26446602390820739,-2.3266222895775188,2.436433164204999,-0.27694817261137561
matlab_0058,-2.2258297869473087,0.21373291636548847,-0.22382058662804674,-2.3308835022716665,2.4408954957034381,-0.23438437022427649
matlab_0059,-2.2292209360151443,0.1748542777050712,-0.1831069714290004,-2.3344347052712462,2.4446143067884001,-0.19174917208747458
matlab_0060,-2.2319330427909216,0.1359223767378136,-0.14233758007265979,-2.337274816845424,2.4475884646740043,-0.14905556529533895
matlab_0061,-2.2339652811406441,0.096949072497891975,-0.10152483131057388,-2.3394029718687013,2.4498170634029468,-0.10631655473408064
matlab_0062,-2.2353170320248235,0.057946236631320765,-0.06068115710137769,-2.3408185220844415,2.4512994241224662,-0.063545159120338743
matlab_0063,-2.2359878836870459,0.018925749779733859,-0.019818998823896844,-2.3415210363023373,2.4520350952911274,-0.020754407035553025
matlab_0064,-2.235977631779396,-0.020100502038573817,0.021049196512616719,-2.3415103005297513,2.4520238528163651,0.02204266704266819
matlab_0065,-2.2352862794247041,-0.059120631049242603,0.061910980059964392,-2.340786318036904,2.4512657001227458,0.064833026710976099
matlab_0066,-2.2339140372155959,-0.098122751342979375,0.10275390492304066,-2.3393493093558773,2.4497608681509266,0.1076036376112962
matlab_0067,-2.2318613231503401,-0.13709498249612065,0.14356552995127797,-2.3371997122134345,2.4475098152873014,0.15034147140122009
