sample_id,x,y,vx,vy,ax,ay
pmks_positive_0000,0,0,0,0,0,0
pmks_positive_0001,0,0,0,0,0,0
pmks_positive_0002,0,0,0,0,0,0
pmks_positive_0003,0,0,0,0,0,0
pmks_positive_0004,0,0,0,0,0,0
pmks_positive_0005,0,0,0,0,0,0
pmks_positive_0006,0,0,0,0,0,0
pmks_positive_0007,0,0,0,0,0,0
pmks_positive_0008,0,0,0,0,0,0
pmks_positive_0009,0,0,0,0,0,0
pmks_positive_0010,0,0,0,0,0,0
pmks_positive_0011,0,0,0,0,0,0
pmks_positive_0012,0,0,0,0,0,0
pmks_positive_0013,0,0,0,0,0,0
pmks_positive_0014,0,0,0,0,0,0
pmks_positive_0015,0,0,0,0,0,0
pmks_positive_0016,0,0,0,0,0,0
pmks_positive_0017,0,0,0,0,0,0
pmks_positive_0018,0,0,0,0,0,0
pmks_positive_0019,0,0,0,0,0,0
pmks_positive_0020,0,0,0,0,0,0
pmks_positive_0021,0,0,0,0,0,0
pmks_positive_0022,0,0,0,0,0,0
pmks_positive_0023,0,0,0,0,0,0
pmks_positive_0024,0,0,0,0,0,0
pmks_positive_0025,0,0,0,0,0,0
pmks_positive_0026,0,0,0,0,0,0
pmks_positive_0027,0,0,0,0,0,0
pmks_positive_0028,0,0,0,0,0,0
pmks_positive_0029,0,0,0,0,0,0
pmks_positive_0030,0,0,0,0,0,0
pmks_positive_0031,0,0,0,0,0,0
pmks_positive_0032,0,0,0,0,0,0
pmks_positive_0033,0,0,0,0,0,0
pmks_positive_0034,0,0,0,0,0,0
pmks_positive_0035,0,0,0,0,0,0
pmks_positive_0036,0,0,0,0,0,0
pmks_positive_0037,0,0,0,0,0,0
pmks_positive_0038,0,0,0,0,0,0
pmks_positive_0039,0,0,0,0,0,0
pmks_positive_0040,0,0,0,0,0,0
pmks_positive_0041,0,0,0,0,0,0
pmks_positive_0042,0,0,0,0,0,0
pmks_positive_0043,0,0,0,0,0,0
pmks_positive_0044,0,0,0,0,0,0
pmks_positive_0045,0,0,0,0,0,0
pmks_positive_0046,0,0,0,0,0,0
pmks_positive_0047,0,0,0,0,0,0
pmks_positive_0048,0,0,0,0,0,0
pmks_positive_0049,0,0,0,0,0,0
pmks_positive_0050,0,0,0,0,0,0
pmks_positive_0051,0,0,0,0,0,0
pmks_positive_0052,0,0,0,0,0,0
pmks_positive_0053,0,0,0,0,0,0
pmks_positive_0054,0,0,0,0,0,0
pmks_positive_0055,0,0,0,0,0,0
pmks_positive_0056,0,0,0,0,0,0
pmks_positive_0057,0,0,0,0,0,0
pmks_positive_0058,0,0,0,0,0,0
pmks_positive_0059,0,0,0,0,0,0
pmks_positive_0060,0,0,0,0,0,0
pmks_positive_0061,0,0,0,0,0,0
pmks_positive_0062,0,0,0,0,0,0
pmks_positive_0063,0,0,0,0,0,0
pmks_positive_0064,0,0,0,0,0,0
pmks_positive_0065,0,0,0,0,0,0
pmks_positive_0066,0,0,0,0,0,0
pmks_positive_0067,0,0,0,0,0,0
pmks_positive_0068,0,0,0,0,0,0
pmks_positive_0069,0,0,0,0,0,0
pmks_positive_0070,0,0,0,0,0,0
pmks_positive_0071,0,0,0,0,0,0
pmks_positive_0072,0,0,0,0,0,0
pmks_positive_0073,0,0,0,0,0,0
pmks_positive_0074,0,0,0,0,0,0
pmks_positive_0075,0,0,0,0,0,0
pmks_positive_0076,0,0,0,0,0,0
pmks_positive_0077,0,0,0,0,0,0
pmks_positive_0078,0,0,0,0,0,0
pmks_positive_0079,0,0,0,0,0,0
pmks_positive_0080,0,0,0,0,0,0
pmks_positive_0081,0,0,0,0,0,0
pmks_positive_0082,0,0,0,0,0,0
pmks_positive_0083,0,0,0,0,0,0
pmks_positive_0084,0,0,0,0,0,0
pmks_positive_0085,0,0,0,0,0,0
pmks_positive_0086,0,0,0,0,0,0
pmks_positive_0087,0,0,0,0,0,0
pmks_positive_0088,0,0,0,0,0,0
pmks_positive_0089,0,0,0,0,0,0
pmks_positive_0090,0,0,0,0,0,0
pmks_positive_0091,0,0,0,0,0,0
pmks_positive_0092,0,0,0,0,0,0
pmks_positive_0093,0,0,0,0,0,0
pmks_positive_0094,0,0,0,0,0,0
pmks_positive_0095,0,0,0,0,0,0
pmks_positive_0096,0,0,0,0,0,0
pmks_positive_0097,0,0,0,0,0,0
pmks_positive_0098,0,0,0,0,0,0
pmks_positive_0099,0,0,0,0,0,0
pmks_positive_0100,0,0,0,0,0,0
pmks_positive_0101,0,0,0,0,0,0
pmks_positive_0102,0,0,0,0,0,0
pmks_positive_0103,0,0,0,0,0,0
pmks_positive_0104,0,0,0,0,0,0
pmks_positive_0105,0,0,0,0,0,0
pmks_positive_0106,0,0,0,0,0,0
pmks_positive_0107,0,0,0,0,0,0
pmks_positive_0108,0,0,0,0,0,0
pmks_positive_0109,0,0,0,0,0,0
pmks_positive_0110,0,0,0,0,0,0
pmks_positive_0111,0,0,0,0,0,0
pmks_positive_0112,0,0,0,0,0,0
pmks_positive_0113,0,0,0,0,0,0
pmks_positive_0114,0,0,0,0,0,0
pmks_positive_0115,0,0,0,0,0,0
pmks_positive_0116,0,0,0,0,0,0
pmks_positive_0117,0,0,0,0,0,0
pmks_positive_0118,0,0,0,0,0,0
pmks_positive_0119,0,0,0,0,0,0
pmks_positive_0120,0,0,0,0,0,0
pmks_positive_0121,0,0,0,0,0,0
pmks_positive_0122,0,0,0,0,0,0
pmks_positive_0123,0,0,0,0,0,0
pmks_positive_0124,0,0,0,0,0,0
pmks_positive_0125,0,0,0,0,0,0
pmks_positive_0126,0,0,0,0,0,0
pmks_positive_0127,0,0,0,0,0,0
pmks_positive_0128,0,0,0,0,0,0
pmks_positive_0129,0,0,0,0,0,0
pmks_positive_0130,0,0,0,0,0,0
pmks_positive_0131,0,0,0,0,0,0
pmks_positive_0132,0,0,0,0,0,0
pmks_positive_0133,0,0,0,0,0,0
pmks_positive_0134,0,0,0,0,0,0
pmks_positive_0135,0,0,0,0,0,0
pmks_positive_0136,0,0,0,0,0,0
pmks_positive_0137,0,0,0,0,0,0
pmks_positive_0138,0,0,0,0,0,0
pmks_positive_0139,0,0,0,0,0,0
pmks_positive_0140,0,0,0,0,0,0
pmks_positive_0141,0,0,0,0,0,0
pmks_positive_0142,0,0,0,0,0,0
pmks_positive_0143,0,0,0,0,0,0
pmks_positive_0144,0,0,0,0,0,0
pmks_positive_0145,0,0,0,0,0,0
pmks_positive_0146,0,0,0,0,0,0
pmks_positive_0147,0,0,0,0,0,0
pmks_positive_0148,0,0,0,0,0,0
pmks_positive_0149,0,0,0,0,0,0
pmks_positive_0150,0,0,0,0,0,0
pmks_positive_0151,0,0,0,0,0,0
pmks_positive_0152,0,0,0,0,0,0
pmks_positive_0153,0,0,0,0,0,0
pmks_positive_0154,0,0,0,0,0,0
pmks_positive_0155,0,0,0,0,0,0
pmks_positive_0156,0,0,0,0,0,0
pmks_positive_0157,0,0,0,0,0,0
pmks_positive_0158,0,0,0,0,0,0
pmks_positive_0159,0,0,0,0,0,0
pmks_positive_0160,0,0,0,0,0,0
pmks_positive_0161,0,0,0,0,0,0
pmks_positive_0162,0,0,0,0,0,0
pmks_positive_0163,0,0,0,0,0,0
pmks_positive_0164,0,0,0,0,0,0
pmks_positive_0165,0,0,0,0,0,0
pmks_positive_0166,0,0,0,0,0,0
pmks_positive_0167,0,0,0,0,0,0
pmks_positive_0168,0,0,0,0,0,0
pmks_positive_0169,0,0,0,0,0,0
pmks_positive_0170,0,0,0,0,0,0
pmks_positive_0171,0,0,0,0,0,0
pmks_positive_0172,0,0,0,0,0,0
pmks_positive_0173,0,0,0,0,0,0
pmks_positive_0174,0,0,0,0,0,0
pmks_positive_0175,0,0,0,0,0,0
pmks_positive_0176,0,0,0,0,0,0
pmks_positive_0177,0,0,0,0,0,0
pmks_positive_0178,0,0,0,0,0,0
pmks_positive_0179,0,0,0,0,0,0
pmks_positive_0180,0,0,0,0,0,0
pmks_positive_0181,0,0,0,0,0,0
pmks_positive_0182,0,0,0,0,0,0
pmks_positive_0183,0,0,0,0,0,0
pmks_positive_0184,0,0,0,0,0,0
pmks_positive_0185,0,0,0,0,0,0
pmks_positive_0186,0,0,0,0,0,0
pmks_positive_0187,0,0,0,0,0,0
pmks_positive_0188,0,0,0,0,0,0
pmks_positive_0189,0,0,0,0,0,0
pmks_positive_0190,0,0,0,0,0,0
pmks_positive_0191,0,0,0,0,0,0
pmks_positive_0192,0,0,0,0,0,0
pmks_positive_0193,0,0,0,0,0,0
pmks_positive_0194,0,0,0,0,0,0
pmks_positive_0195,0,0,0,0,0,0
pmks_positive_0196,0,0,0,0,0,0
pmks_positive_0197,0,0,0,0,0,0
pmks_positive_0198,0,0,0,0,0,0
pmks_positive_0199,0,0,0,0,0,0
pmks_positive_0200,0,0,0,0,0,0
pmks_positive_0201,0,0,0,0,0,0
pmks_positive_0202,0,0,0,0,0,0
pmks_positive_0203,0,0,0,0,0,0
pmks_positive_0204,0,0,0,0,0,0
pmks_positive_0205,0,0,0,0,0,0
pmks_positive_0206,0,0,0,0,0,0
pmks_positive_0207,0,0,0,0,0,0
pmks_positive_0208,0,0,0,0,0,0
pmks_positive_0209,0,0,0,0,0,0
pmks_positive_0210,0,0,0,0,0,0
pmks_positive_0211,0,0,0,0,0,0
pmks_positive_0212,0,0,0,0,0,0
pmks_positive_0213,0,0,0,0,0,0
pmks_positive_0214,0,0,0,0,0,0
pmks_positive_0215,0,0,0,0,0,0
pmks_positive_0216,0,0,0,0,0,0
pmks_positive_0217,0,0,0,0,0,0
pmks_positive_0218,0,0,0,0,0,0
pmks_positive_0219,0,0,0,0,0,0
pmks_positive_0220,0,0,0,0,0,0
pmks_positive_0221,0,0,0,0,0,0
pmks_positive_0222,0,0,0,0,0,0
pmks_positive_0223,0,0,0,0,0,0
pmks_positive_0224,0,0,0,0,0,0
pmks_positive_0225,0,0,0,0,0,0
pmks_positive_0226,0,0,0,0,0,0
pmks_positive_0227,0,0,0,0,0,0
pmks_positive_0228,0,0,0,0,0,0
pmks_positive_0229,0,0,0,0,0,0
pmks_positive_0230,0,0,0,0,0,0
pmks_positive_0231,0,0,0,0,0,0
pmks_positive_0232,0,0,0,0,0,0
pmks_positive_0233,0,0,0,0,0,0
pmks_positive_0234,0,0,0,0,0,0
pmks_positive_0235,0,0,0,0,0,0
pmks_positive_0236,0,0,0,0,0,0
pmks_positive_0237,0,0,0,0,0,0
pmks_positive_0238,0,0,0,0,0,0
pmks_positive_0239,0,0,0,0,0,0
pmks_positive_0240,0,0,0,0,0,0
pmks_positive_0241,0,0,0,0,0,0
pmks_positive_0242,0,0,0,0,0,0
pmks_positive_0243,0,0,0,0,0,0
pmks_positive_0244,0,0,0,0,0,0
pmks_positive_0245,0,0,0,0,0,0
pmks_positive_0246,0,0,0,0,0,0
pmks_positive_0247,0,0,0,0,0,0
pmks_positive_0248,0,0,0,0,0,0
pmks_positive_0249,0,0,0,0,0,0
pmks_positive_0250,0,0,0,0,0,0
pmks_positive_0251,0,0,0,0,0,0
pmks_positive_0252,0,0,0,0,0,0
pmks_positive_0253,0,0,0,0,0,0
pmks_positive_0254,0,0,0,0,0,0
pmks_positive_0255,0,0,0,0,0,0
pmks_positive_0256,0,0,0,0,0,0
pmks_positive_0257,0,0,0,0,0,0
pmks_positive_0258,0,0,0,0,0,0
pmks_positive_0259,0,0,0,0,0,0
pmks_positive_0260,0,0,0,0,0,0
pmks_positive_0261,0,0,0,0,0,0
pmks_positive_0262,0,0,0,0,0,0
pmks_positive_0263,0,0,0,0,0,0
pmks_positive_0264,0,0,0,0,0,0
pmks_positive_0265,0,0,0,0,0,0
pmks_positive_0266,0,0,0,0,0,0
pmks_positive_0267,0,0,0,0,0,0
pmks_positive_0268,0,0,0,0,0,0
pmks_positive_0269,0,0,0,0,0,0
pmks_positive_0270,0,0,0,0,0,0
pmks_positive_0271,0,0,0,0,0,0
pmks_positive_0272,0,0,0,0,0,0
pmks_positive_0273,0,0,0,0,0,0
pmks_positive_0274,0,0,0,0,0,0
pmks_positive_0275,0,0,0,0,0,0
pmks_positive_0276,0,0,0,0,0,0
pmks_positive_0277,0,0,0,0,0,0
pmks_positive_0278,0,0,0,0,0,0
pmks_positive_0279,0,0,0,0,0,0
pmks_positive_0280,0,0,0,0,0,0
pmks_positive_0281,0,0,0,0,0,0
pmks_positive_0282,0,0,0,0,0,0
pmks_positive_0283,0,0,0,0,0,0
pmks_positive_0284,0,0,0,0,0,0
pmks_positive_0285,0,0,0,0,0,0
pmks_positive_0286,0,0,0,0,0,0
pmks_positive_0287,0,0,0,0,0,0
pmks_positive_0288,0,0,0,0,0,0
pmks_positive_0289,0,0,0,0,0,0
pmks_positive_0290,0,0,0,0,0,0
pmks_positive_0291,0,0,0,0,0,0
pmks_positive_0292,0,0,0,0,0,0
pmks_positive_0293,0,0,0,0,0,0
pmks_positive_0294,0,0,0,0,0,0
pmks_positive_0295,0,0,0,0,0,0
pmks_positive_0296,0,0,0,0,0,0
pmks_positive_0297,0,0,0,0,0,0
pmks_positive_0298,0,0,0,0,0,0
pmks_positive_0299,0,0,0,0,0,0
pmks_positive_0300,0,0,0,0,0,0
pmks_positive_0301,0,0,0,0,0,0
pmks_positive_0302,0,0,0,0,0,0
pmks_positive_0303,0,0,0,0,0,0
pmks_positive_0304,0,0,0,0,0,0
pmks_positive_0305,0,0,0,0,0,0
pmks_positive_0306,0,0,0,0,0,0
pmks_positive_0307,0,0,0,0,0,0
pmks_positive_0308,0,0,0,0,0,0
pmks_positive_0309,0,0,0,0,0,0
pmks_positive_0310,0,0,0,0,0,0
pmks_positive_0311,0,0,0,0,0,0
pmks_positive_0312,0,0,0,0,0,0
pmks_positive_0313,0,0,0,0,0,0
pmks_positive_0314,0,0,0,0,0,0
pmks_positive_0315,0,0,0,0,0,0
pmks_positive_0316,0,0,0,0,0,0
pmks_positive_0317,0,0,0,0,0,0
pmks_positive_0318,0,0,0,0,0,0
pmks_positive_0319,0,0,0,0,0,0
pmks_positive_0320,0,0,0,0,0,0
pmks_positive_0321,0,0,0,0,0,0
pmks_positive_0322,0,0,0,0,0,0
pmks_positive_0323,0,0,0,0,0,0
pmks_positive_0324,0,0,0,0,0,0
pmks_positive_0325,0,0,0,0,0,0
pmks_positive_0326,0,0,0,0,0,0
pmks_positive_0327,0,0,0,0,0,0
pmks_positive_0328,0,0,0,0,0,0
pmks_positive_0329,0,0,0,0,0,0
pmks_positive_0330,0,0,0,0,0,0
pmks_positive_0331,0,0,0,0,0,0
pmks_positive_0332,0,0,0,0,0,0
pmks_positive_0333,0,0,0,0,0,0
pmks_positive_0334,0,0,0,0,0,0
pmks_positive_0335,0,0,0,0,0,0
pmks_positive_0336,0,0,0,0,0,0
pmks_positive_0337,0,0,0,0,0,0
pmks_positive_0338,0,0,0,0,0,0
pmks_positive_0339,0,0,0,0,0,0
pmks_positive_0340,0,0,0,0,0,0
pmks_positive_0341,0,0,0,0,0,0
pmks_positive_0342,0,0,0,0,0,0
pmks_positive_0343,0,0,0,0,0,0
pmks_positive_0344,0,0,0,0,0,0
pmks_positive_0345,0,0,0,0,0,0
pmks_positive_0346,0,0,0,0,0,0
pmks_positive_0347,0,0,0,0,0,0
pmks_positive_0348,0,0,0,0,0,0
pmks_positive_0349,0,0,0,0,0,0
pmks_positive_0350,0,0,0,0,0,0
pmks_positive_0351,0,0,0,0,0,0
pmks_positive_0352,0,0,0,0,0,0
pmks_positive_0353,0,0,0,0,0,0
pmks_positive_0354,0,0,0,0,0,0
pmks_positive_0355,0,0,0,0,0,0
pmks_positive_0356,0,0,0,0,0,0
pmks_positive_0357,0,0,0,0,0,0
pmks_positive_0358,0,0,0,0,0,0
pmks_positive_0359,0,0,0,0,0,0
pmks_negative_0000,0,0,-0,-0,0,0
pmks_negative_0001,0,0,-0,-0,0,0
pmks_negative_0002,0,0,-0,-0,0,0
pmks_negative_0003,0,0,-0,-0,0,0
pmks_negative_0004,0,0,-0,-0,0,0
pmks_negative_0005,0,0,-0,-0,0,0
pmks_negative_0006,0,0,-0,-0,0,0
pmks_negative_0007,0,0,-0,-0,0,0
pmks_negative_0008,0,0,-0,-0,0,0
pmks_negative_0009,0,0,-0,-0,0,0
pmks_negative_0010,0,0,-0,-0,0,0
pmks_negative_0011,0,0,-0,-0,0,0
pmks_negative_0012,0,0,-0,-0,0,0
pmks_negative_0013,0,0,-0,-0,0,0
pmks_negative_0014,0,0,-0,-0,0,0
pmks_negative_0015,0,0,-0,-0,0,0
