sample_id,x,y,vx,vy,ax,ay
pmks_positive_0000,-1.9965085803955582,4.0017438059434678,-4.1906163141001525,-2.0907388963332241,2.1894166524316292,-4.3884031421301914
pmks_positive_0001,-2.0660445618276642,3.9662904417783547,-4.1534896379647641,-2.1635568058089776,2.2656713889178941,-4.3495241777971438
pmks_positive_0002,-2.1349512060720142,3.9296289071223574,-4.1150977686498944,-2.2357156749228357,2.3412359799510423,-4.3093203062647527
pmks_positive_0003,-2.2032075234972579,3.8917703694340808,-4.0754524006908479,-2.3071935233842487,2.4160874078246355,-4.2678037740217505
pmks_positive_0004,-2.2707927225678941,3.8527263607908484,-4.0345656104507555,-2.3779685783481535,2.4902028720686409,-4.2249872274060376
pmks_positive_0005,-2.3376862161775724,3.8125087743759205,-3.9924498524420056,-2.4480192810471939,2.563559796394677,-4.1808837087524857
pmks_positive_0006,-2.4038676279201288,3.7711298608557167,-3.9491179555324725,-2.5173242933587328,2.6361358355729703,-4.1355066524201192
pmks_positive_0007,-2.4693167982964321,3.7286022246481401,-3.9045831190377185,-2.5858625043046466,2.7079088822389275,-4.088869880699872
pmks_positive_0008,-2.5340137908551648,3.6849388200831559,-3.8588589087003609,-2.6536130364819357,2.7788570736272509,-4.0409875996041924
pmks_positive_0009,-2.597938898265661,3.6401529474567695,-3.8119592525578061,-2.7205552524221872,2.8489587982315556,-3.9918743945397472
pmks_positive_0010,-2.6610726483209457,3.5942582489796346,-3.7638984366996442,-2.786668760877939,2.9181927023874348,-3.9415452258645693
pmks_positive_0011,-2.723395809869162,3.5472687046214997,-3.7146911009159616,-2.8519334230340614,2.9865376967769994,-3.8900154243309881
pmks_positive_0012,-2.7848893986715653,3.4991986278527731,-3.6643522342379184,-2.9163293586422285,3.0539729628528858,-3.8373006864157295
pmks_positive_0013,-2.8455346831853037,3.450062661284504,-3.6128971703719492,-2.9798369520766363,3.1204779591797869,-3.783417069538622
pmks_positive_0014,-2.9053131902692306,3.3998757722081003,-3.560341583028964,-3.042436858309113,3.1860324276915732,-3.7283809871713491
pmks_positive_0015,-2.9642067108110002,3.3486532480361464,-3.5067014811499853,-3.1041100088018005,3.2506163998620949,-3.6722092038377467
pmks_positive_0016,-3.0221973052737416,3.2964106916457081,-3.4519932040296681,-3.1648376173156185,3.3142102027877902,-3.6149188300071655
pmks_positive_0017,-3.0792673091606146,3.2431640166255473,-3.3962334163391947,-3.2246011856327321,3.3767944651802426,-3.5565273168824598
pmks_positive_0018,-3.1353993383955845,3.1889294424286865,-3.3394391030500521,-3.2833825091912883,3.4383501232668574,-3.4970524510841767
pmks_positive_0019,-3.1905762946187841,3.1337234894318091,-3.2816275642602477,-3.3411636826307047,3.4988584265978804,-3.4365123492325864
pmks_positive_0020,-3.2447813703948358,3.0775629739029897,-3.2228164099245293,-3.3979271052458122,3.5583009437579585,-3.3749254524291774
pmks_positive_0021,-3.2979980543325627,3.0204650028792974,-3.1630235544902243,-3.453655486348203,3.6166595679805327,-3.3123105206393211
pmks_positive_0022,-3.3502101361145149,2.9624469689558266,-3.1022672114403247,-3.50833185053314,3.6739165226633319,-3.2486866269778054
pmks_positive_0023,-3.4014017114347923,2.9035265449877441,-3.0405658877454833,-3.5619395428504306,3.7300543667832993,-3.1840731518989793
pmks_positive_0024,-3.4515571868436492,2.8437216787069648,-2.9779383782266113,-3.6144622338776866,3.7850560002092974,-3.1184897772932749
pmks_positive_0025,-3.5006612844974074,2.7830505872551008,-2.9144037598297947,-3.665883924694421,3.83890466891097,-3.0519564804919179
pmks_positive_0026,-3.5486990468122408,2.7215317516343425,-2.8499813858152705,-3.7161889517554787,3.8915839700621886,-2.9844935281816367
pmks_positive_0027,-3.5956558410203958,2.6591839110779665,-2.7846908798622376,-3.7653619916623011,3.9430778570375056,-2.9161214702312339
pmks_positive_0028,-3.6415173636274756,2.5960260573421832,-2.7185521300912923,-3.8133880658305825,3.993370644300116,-2.8468611334318958
pmks_positive_0029,-3.6862696447694239,2.5320774289210646,-2.651585283006316,-3.8602525450528926,4.0424470121798226,-2.7767336151531512
pmks_positive_0030,-3.7298990524678795,2.4673575051863113,-2.5838107373576515,-3.9059411539548732,4.0902920115395558,-2.7057602769164082
pmks_positive_0031,-3.7723922967826096,2.4018860004536497,-2.5152491379284521,-3.9504399753436572,4.1368910683290254,-2.6339627378880284
pmks_positive_0032,-3.8137364338597552,2.3356828579776576,-2.4459213692460735,-3.9937354544471808,4.1822299880241189,-2.5613628682939171
pmks_positive_0033,-3.8539188698746529,2.2687682438768579,-2.3758485492204509,-4.0358144030430951,4.226294959950688,-2.4879827827576451
pmks_positive_0034,-3.8929273648680365,2.2011625409909215,-2.3050520227113735,-4.076664003476032,4.2690725614914182,-2.4138448335641143
pmks_positive_0035,-3.9307500364744463,2.1328863426718589,-2.233553355026638,-4.1162718125619771,4.3105497621744826,-2.3389716038508399
pmks_positive_0036,-3.9673753635417164,2.0639604465110852,-2.1613743253530449,-4.1546257653785963,4.3507139276427562,-2.2633859007289066
pmks_positive_0037,-4.0027921896404228,1.9944058480042699,-2.088536920122245,-4.1917141789403178,4.389552823502358,-2.1871107483356993
pmks_positive_0038,-4.036989726462247,1.9242437341559093,-2.0150633263134652,-4.2275257557570871,4.4270546190493674,-2.1101693808215312
pmks_positive_0039,-4.0699575571061928,1.8534954770255574,-1.9409759246951332,-4.2620495872756914,4.4632078908735737,-2.0325852352722951
pmks_positive_0040,-4.1016856392516789,1.7821826272176895,-1.8662972830074833,-4.2952751572026093,4.4980016263381533,-1.9543819445703001
pmks_positive_0041,-4.1321643082175292,1.7103269073171801,-1.7910501490882011,-4.3271923447073792,4.531425226934231,-1.8755833301954654
pmks_positive_0042,-4.1613842799059215,1.6379502052723935,-1.7152574439432149,-4.3577914275054974,4.5634685115092832,-1.79621339496907
pmks_positive_0043,-4.18933665363042,1.5650745677279008,-1.6389422547647312,-4.3870630848199248,4.5941217193684167,-1.7162963157422568
pmks_positive_0044,-4.216012914827207,1.4917221933088605,-1.5621278278986563,-4.4149984002202807,4.6233755132475745,-1.6358564360315331
pmks_positive_0045,-4.2414049376487037,1.4179154258591009,-1.4848375617635314,-4.4415888643388808,4.6512209821577528,-1.5549182586034969
pmks_positive_0046,-4.2655049874387805,1.3436767476349696,-1.4070949997231488,-4.4668263774627652,4.6776496440993762,-1.4735064380110587
pmks_positive_0047,-4.2883057230888095,1.2690287724570195,-1.3289238229150151,-4.490703252000956,4.7026534486459992,-1.3916457730834249
pmks_positive_0048,-4.309800199273834,1.1939942388216216,-1.2503478430368478,-4.5132122148261677,4.7262247793965351,-1.3093611993721348
pmks_positive_0049,-4.3299818685681881,1.1185960029745965,-1.1713909950932995,-4.5343464094902748,4.7483564562953005,-1.226677781555449
pmks_positive_0050,-4.3488445834399005,1.0428570319489825,-1.0920773301051265,-4.5540993983128519,4.7690417378191166,-1.1436207058034069
pmks_positive_0051,-4.3663825981232938,0.96680039656905403,-1.0124310077830128,-4.5724651643421508,4.7882743230308487,-1.0602152721058746
pmks_positive_0052,-4.3825905703692003,0.89044926442272476,-0.93247628916828906,-4.5894381131879269,4.8060483534987304,-0.97648688656592275
pmks_positive_0053,-4.3974635630722636,0.81382689280447684,-0.85223752924278406,-4.6050130747255391,4.8223584150808998,-0.89246105366088224
pmks_positive_0054,-4.4109970457748302,0.73695662163096243,-0.77173916951006138,-4.6191853046708289,4.8371995395746019,-0.80816336847343229
pmks_positive_0055,-4.4231868960469658,0.65986186633144017,-0.69100573055030079,-4.6319504860252625,4.8505672062295444,-0.72361950889509097
pmks_positive_0056,-4.4340294007421912,0.58256611071520792,-0.61006180455109171,-4.6433047303909403,4.8624573431249702,-0.63885522780448056
pmks_positive_0057,-4.4435212571285438,0.50509289981820715,-0.5289320478164149,-4.6532445791550385,4.8728663284099989,-0.55389634522275144
pmks_positive_0058,-4.4516595738946183,0.42746583273097699,-0.44764117325609354,-4.6617670045433339,4.8817909914068771,-0.46876874044855305
pmks_positive_0059,-4.4584418720302894,0.34970855541014251,-0.36621394285800091,-4.6688694105424933,4.8892286135768019,-0.38349834417494927
pmks_positive_0060,-4.4638660855818442,0.27184475347562725,-0.28467516014531963,-4.674549633690849,4.8951769293480094,-0.29811113059067801
pmks_positive_0061,-4.467930562281289,0.19389814499578401,-0.20304966262114782,-4.6788059437374034,4.8996341268058945,-0.21263310946816133
pmks_positive_0062,-4.4706340640496478,0.11589247326264156,-0.12136231420275541,-4.6816370441688848,4.9025988482449332,-0.12709031824067751
pmks_positive_0063,-4.4719757673740927,0.037851499559467726,-0.039637997647793695,-4.6830420726046755,4.9040701905822557,-0.041508814071106057
pmks_positive_0064,-4.4719552635587929,-0.040201004077147641,0.042098393025233445,-4.6830206010595035,4.9040477056327303,0.044085334085336388
pmks_positive_0065,-4.4705725588494092,-0.11824126209848435,0.12382196011992788,-4.6815726360738088,4.9025314002454925,0.12966605342195126
pmks_positive_0066,-4.4678280744311927,-0.19624550268595789,0.20550780984608041,-4.6786986187117554,4.8995217363018542,0.21520727522259145
pmks_positive_0067,-4.4637226463006812,-0.27418996499224046,0.28713105990255505,-4.6743994244268698,4.8950196305746037,0.30068294280243923
pmks_positive_0068,-4.4582575250110548,-0.35205090637904851,0.36866684705668223,-4.6686763627953809,4.8890264544487607,0.38606701944512822
pmks_positive_0069,-4.4514343752911989,-0.42980460964937983,0.4500903347178401,-4.6615311771172996,4.8815440335038298,0.47133349633377913
pmks_positive_0070,-4.4432552755386165,-0.50742739027200123,0.53137672050291995,-4.652966043885403,4.8725746469577143,0.55645640047353662
pmks_positive_0071,-4.4337227171863249,-0.58489560359598636,0.61250124379137283,-4.6429835721222448,4.8621210269724457,0.6414098026031958
pmks_positive_0072,-4.4228396039439417,-0.66218565205310498,0.69343919326753378,-4.6315868025854252,4.8501863578219373,0.72616782509350553
