sample_id,theta_delta_rad,omega_rad_s,alpha_rad_s2
pmks_positive_0000,0,-0.52359877559829893,0.20561675835602822
pmks_positive_0001,-0.0086976928435200662,-0.52010057679912691,0.21418075936216352
pmks_positive_0002,-0.017335889118200498,-0.51645895774311557,0.22282741058407451
pmks_positive_0003,-0.025912186948397586,-0.51267253049842465,0.23155792434133726
pmks_positive_0004,-0.034424161168936207,-0.50873988892715549,0.24037327027120015
pmks_positive_0005,-0.042869363056158072,-0.50465961287047612,0.24927415836440622
pmks_positive_0006,-0.051245320131111161,-0.50043027262211315,0.25826102132919088
pmks_positive_0007,-0.059549536039775308,-0.49605043370117924,0.26733399631308036
pmks_positive_0008,-0.067779490515402996,-0.49151866193472332,0.2764929060214259
pmks_positive_0009,-0.075932639428218263,-0.48683352885966558,0.2857372392818136
pmks_positive_0010,-0.084006414927869866,-0.48199361745286845,0.29506613111457219
pmks_positive_0011,-0.091998225684175816,-0.47699752819698632,0.30447834238159782
pmks_positive_0012,-0.099905457231804995,-0.4718438854884347,0.31397223909858163
pmks_positive_0013,-0.10772547242464947,-0.46653134439228577,0.32354577150945385
pmks_positive_0014,-0.1154556120056851,-0.46105859774712565,0.33319645303639683
pmks_positive_0015,-0.12309319529817841,-0.45542438362090187,0.34292133923404683
pmks_positive_0016,-0.13063552102406839,-0.44962749311650363,0.35271700689242191
pmks_positive_0017,-0.1380798682553388,-0.44366677852328523,0.36257953344954397
pmks_positive_0018,-0.1454234975040809,-0.43754116180790403,0.37250447689152688
pmks_positive_0019,-0.15266365195683695,-0.4312496434347588,0.38248685633489177
pmks_positive_0020,-0.15979755885860958,-0.42479131150290889,0.39252113350281104
pmks_positive_0021,-0.16682243105167327,-0.41816535118270021,0.40260119532366057
pmks_positive_0022,-0.17373546867402112,-0.41137105443137617,0.41272033789633011
pmks_positive_0023,-0.18053386102189517,-0.40440782996274971,0.4228712520819275
pmks_positive_0024,-0.18721478858039142,-0.39727521344157107,0.4330460109954215
pmks_positive_0025,-0.1937754252256112,-0.38997287786855728,0.44323605968300683
pmks_positive_0026,-0.20021294060122075,-0.38250064411720264,0.45343220728113293
pmks_positive_0027,-0.20652450267158429,-0.37485849157848694,0.46362462196073467
pmks_positive_0028,-0.2127072804528749,-0.36704656886449988,0.47380282896479436
pmks_positive_0029,-0.21875844692269575,-0.35906520451684515,0.48395571204843307
pmks_positive_0030,-0.22467518210780679,-0.35091491766055849,0.49407151862781928
pmks_positive_0031,-0.23045467634852024,-0.34259642853922123,0.50413786893678669
pmks_positive_0032,-0.23609413373721289,-0.33411066886206403,0.51414176947773005
pmks_positive_0033,-0.24159077572721555,-0.3254587918892225,0.52406963103567006
pmks_positive_0034,-0.24694184490706483,-0.31664218217700707,0.53390729150098171
pmks_positive_0035,-0.25214460893377932,-0.30766246490119936,0.54364004371685404
pmks_positive_0036,-0.25719636461741779,-0.29852151467307103,0.55325266853190913
pmks_positive_0037,-0.26209444214772848,-0.28922146376015373,0.56272947319640487
pmks_positive_0038,-0.26683620945223496,-0.27976470962188432,0.57205433519215798
pmks_positive_0039,-0.27141907667357068,-0.27015392166917807,0.58121075153184787
pmks_positive_0040,-0.27584050075237565,-0.26039204715689851,0.59018189350305772
pmks_positive_0041,-0.28009799010054715,-0.25048231611913174,0.59895066676674735
pmks_positive_0042,-0.28418910934815456,-0.24042824525926476,0.60749977664946386
pmks_positive_0043,-0.28811148414589094,-0.23023364071015731,0.61581179839437805
pmks_positive_0044,-0.29186280600354664,-0.21990259958425262,0.62386925205912791
pmks_positive_0045,-0.29544083714371805,-0.20943951023932489,0.63165468166971483
pmks_positive_0046,-0.29884341534876735,-0.19884905119273719,0.63915073816064338
pmks_positive_0047,-0.30206845877801225,-0.1881361886255612,0.64634026555360702
pmks_positive_0048,-0.30511397073121915,-0.17730617242767238,0.6532063897519309
pmks_positive_0049,-0.30797804433375253,-0.16636453074590901,0.65973260925734123
pmks_positive_0050,-0.31065886711819513,-0.15531706300948708,0.66590288705113876
pmks_positive_0051,-0.3131547254769389,-0.14416983141997991,0.67170174282529893
pmks_positive_0052,-0.31546400896014926,-0.13292915090715196,0.67711434470195053
pmks_positive_0053,-0.31758521439363641,-0.12160157756661051,0.68212659954373223
pmks_positive_0054,-0.31951694979158041,-0.11019389561041348,0.68672524093405585
pmks_positive_0055,-0.32125793803968294,-0.098713102877219544,0.69089791389645616
pmks_positive_0056,-0.32280702032524111,-0.087166394964065072,0.69463325542697274
pmks_positive_0057,-0.32416315929178952,-0.075561148057138913,0.69792096993340702
pmks_positive_0058,-0.32532544189737878,-0.06390490055375761,0.70075189871070276
pmks_positive_0059,-0.32629308195720674,-0.052205333581852469,0.70311808263243847
pmks_positive_0060,-0.32706542235321046,-0.040470250536421802,0.70501281730407928
pmks_positive_0061,-0.32764193689531085,-0.028707555764326896,0.70643070000334995
pmks_positive_0062,-0.32802223182128465,-0.016925232539301012,0.70736766782562155
pmks_positive_0063,-0.32820604692468069,-0.0051313204778913506,0.70782102655602053
pmks_positive_0064,-0.32819325630276741,0.0066661074459058219,0.70778946990314895
pmks_positive_0065,-0.32798386871917473,0.018458968124466769,0.70727308884973161
pmks_positive_0066,-0.32757802757863674,0.030239191612930309,0.70627337100081433
pmks_positive_0067,-0.32697601051401393,0.041998744331338364,0.70479318993784468
pmks_positive_0068,-0.32617822858855172,0.053729652006917282,0.70283678471450395
pmks_positive_0069,-0.32518522511906178,0.065424022194195991,0.70040972975496685
pmks_positive_0070,-0.32399767412838365,0.077074066216009721,0.69751889553488511
