matlab_sample_id,matlab_sweep_id,matlab_sweep_index,input_angle_rad,input_direction,jacobian_condition,eligibility,pmks_sample_id,status,reason
matlab_0000,matlab_sweep_00,0,1.7359450042095235,1,6.6915251011313481,eligible,pmks_positive_0058,matched,
matlab_0001,matlab_sweep_00,1,1.7533982967294668,1,6.6653234214531647,eligible,pmks_positive_0059,matched,
matlab_0002,matlab_sweep_00,2,1.7708515892494103,1,6.643022649365081,eligible,pmks_positive_0060,matched,
matlab_0003,matlab_sweep_00,3,1.7883048817693534,1,6.624680944007749,eligible,pmks_positive_0061,matched,
matlab_0004,matlab_sweep_00,4,1.8057581742892967,1,6.6103731881475785,eligible,pmks_positive_0062,matched,
matlab_0005,matlab_sweep_00,5,1.8232114668092401,1,6.600192097214082,eligible,pmks_positive_0063,matched,
matlab_0006,matlab_sweep_00,6,1.8406647593291836,1,6.5942495805583565,eligible,pmks_positive_0064,matched,
matlab_0007,matlab_sweep_00,7,1.8581180518491267,1,6.5926783946736256,eligible,pmks_positive_0065,matched,
matlab_0008,matlab_sweep_00,8,1.8755713443690702,1,6.5956341379006274,eligible,pmks_positive_0066,matched,
matlab_0009,matlab_sweep_00,9,1.8930246368890133,1,6.6032976483566062,eligible,pmks_positive_0067,matched,
matlab_0010,matlab_sweep_00,10,1.9104779294089569,1,6.6158778822352398,eligible,pmks_positive_0068,matched,
matlab_0011,matlab_sweep_00,11,1.9279312219289,1,6.633615369238175,eligible,pmks_positive_0069,matched,
matlab_0012,matlab_sweep_00,12,1.9453845144488435,1,6.6567863670926251,eligible,pmks_positive_0070,matched,
matlab_0013,matlab_sweep_00,13,1.9628378069687866,1,6.6857078697587013,eligible,pmks_positive_0071,matched,
matlab_0014,matlab_sweep_00,14,1.9802910994887302,1,6.7207436666244309,eligible,pmks_positive_0072,matched,
matlab_0015,matlab_sweep_00,15,1.9977443920086733,1,6.762311706336396,eligible,pmks_positive_0073,matched,
matlab_0016,matlab_sweep_00,16,2.0151976845286166,1,6.8108930940098134,eligible,pmks_positive_0074,matched,
matlab_0017,matlab_sweep_00,17,2.0326509770485597,1,6.8670431516703605,eligible,pmks_positive_0075,matched,
matlab_0018,matlab_sweep_00,18,2.0501042695685028,1,6.9314051094028324,eligible,pmks_positive_0076,matched,
matlab_0019,matlab_sweep_00,19,2.0675575620884459,1,7.0047271842119319,eligible,pmks_positive_0077,matched,
matlab_0020,matlab_sweep_00,20,2.085010854608389,1,7.0878840679327126,eligible,pmks_positive_0078,matched,
matlab_0021,matlab_sweep_00,21,2.1024641471283321,1,7.1819042192648377,eligible,pmks_positive_0079,matched,
matlab_0022,matlab_sweep_00,22,2.1199174396482752,1,7.2880048913503206,eligible,pmks_positive_0080,matched,
matlab_0023,matlab_sweep_00,23,2.1373707321682183,1,7.4076376086296367,eligible,pmks_positive_0081,matched,
matlab_0024,matlab_sweep_00,24,2.1548240246881614,1,7.5425479682962662,eligible,pmks_positive_0082,matched,
matlab_0025,matlab_sweep_00,25,2.1722773172081045,1,7.6948554005316847,eligible,pmks_positive_0083,matched,
matlab_0026,matlab_sweep_00,26,2.1897306097280476,1,7.8671612432982023,eligible,pmks_positive_0084,matched,
matlab_0027,matlab_sweep_00,27,2.2071839022479907,1,8.0626978014628143,eligible,pmks_positive_0085,matched,
matlab_0028,matlab_sweep_00,28,2.2246371947679338,1,8.2855380849992653,eligible,pmks_positive_0086,matched,
matlab_0029,matlab_sweep_00,29,2.2420904872878769,1,8.5408977134895725,eligible,pmks_positive_0087,matched,
matlab_0030,matlab_sweep_00,30,2.25954377980782,1,8.8355809649158239,eligible,pmks_positive_0088,matched,
matlab_0031,matlab_sweep_00,31,2.276997072327763,1,9.17865999011679,eligible,pmks_positive_0089,matched,
matlab_0032,matlab_sweep_00,32,2.2944503648477061,1,9.582546329573864,eligible,pmks_positive_0090,matched,
matlab_0033,matlab_sweep_00,33,2.3119036573676492,1,10.064753944994145,eligible,pmks_positive_0091,matched,
matlab_0034,matlab_sweep_00,34,2.3293569498875923,1,10.65095146040945,eligible,pmks_positive_0092,matched,
matlab_0035,matlab_sweep_00,35,2.3468102424075354,1,11.380589315589242,eligible,pmks_positive_0093,matched,
matlab_0036,matlab_sweep_00,36,2.3642635349274785,1,12.318137034356885,eligible,pmks_positive_0094,matched,
matlab_0037,matlab_sweep_00,37,2.3817168274474216,1,13.578017022489323,eligible,pmks_positive_0095,matched,
matlab_0038,matlab_sweep_00,38,2.3991701199673647,1,15.388651900864586,eligible,pmks_positive_0096,matched,
matlab_0039,matlab_sweep_00,39,2.4166234124873078,1,18.297640280712912,eligible,pmks_positive_0097,matched,
matlab_0040,matlab_sweep_00,40,2.4340767050072509,1,24.140568254671081,eligible,pmks_positive_0098,matched,
matlab_0041,matlab_sweep_00,41,2.451529997527194,1,49.522392348588063,eligible,pmks_positive_0099,matched,
matlab_0042,matlab_sweep_01,0,2.451529997527194,-1,49.522392348588063,eligible,pmks_negative_0000,matched,
matlab_0043,matlab_sweep_01,1,2.4340767050072509,-1,24.140568254671081,eligible,pmks_negative_0001,matched,
matlab_0044,matlab_sweep_01,2,2.4166234124873078,-1,18.297640280712912,eligible,pmks_negative_0002,matched,
