sample_id,x,y,vx,vy,ax,ay
matlab_0000,16,25.333333333333332,-14.43795772713607,0.11140399480814889,2.0871223854331507,-13.931011953062685
matlab_0001,15.759665773550521,25.33325985264581,-14.401637797018449,-0.11994188218907986,2.2713135691266819,-13.830282708187655
matlab_0002,15.519962471814297,25.329344658038817,-14.362246247666487,-0.34959792383479726,2.4556898566695811,-13.728203137092997
matlab_0003,15.280941306772107,25.321616108724957,-14.319781318458308,-0.57754024204209742,2.6400933419704056,-13.624610036316369
matlab_0004,15.042653498096534,25.310102983980869,-14.274243830573505,-0.80374236053672643,2.8243720337754445,-13.519355800577376
matlab_0005,14.805150230921475,25.294834524178381,-14.225637092327993,-1.0281754639231777,3.0083793941999204,-13.41230713831226
matlab_0006,14.568482615127602,25.275840467836534,-14.173966811795736,-1.2508086264934564,3.1919739248809811,-13.303343922459973
matlab_0007,14.332701646028696,25.25315108501405,-14.119241015966448,-1.4716090228988263,3.3750187957246682,-13.192358160793688
matlab_0008,14.097858166355531,25.226797207328513,-14.061469975766947,-1.690542122560347,3.5573815118272916,-13.079253072113495
matlab_0009,13.864002829444876,25.196810254859248,-14.000666136343062,-1.9075718694807078,3.7389336146805099,-12.963942256353356
matlab_0010,13.631186063550343,25.163222260164606,-13.936844052059898,-2.1226608489336192,3.9195504142302875,-12.846348948151219
matlab_0011,13.399458037200731,25.126065889621241,-13.870020325731904,-2.3357704423438093,4.0991107487622447,-12.726405344722298
matlab_0012,13.168868625538982,25.085374462272199,-13.800213551641793,-2.5468609715275496,4.2774967699380362,-12.60405199999177
matlab_0013,12.939467377582126,25.041181966352383,-13.727444261949231,-2.7558918333377616,4.4545937506157678,-12.479237277910183
matlab_0014,12.711303484348647,24.993523073643349,-13.651734876127389,-2.9628216256470803,4.63028991335832,-12.351916858714004
matlab_0015,12.48442574780565,24.942433151794628,-13.573109653098321,-3.1676082655044229,4.8044762777716059,-12.222053292623386
matlab_0016,12.258882550593421,24.887948274735805,-13.491594645767393,-3.3702091002142449,4.977046525024468,-12.089615596104442
matlab_0017,12.034721826489625,24.830105231291526,-13.407217657682798,-3.5705810120111949,5.1478968780869714,-11.954578886377345
matlab_0018,11.811991031579934,24.768941532101024,-13.320008201569269,-3.7686805169350195,5.3169259963871118,-11.816924050335123
matlab_0019,11.590737116105716,24.704495414934257,-13.229997459505434,-3.9644638584502458,5.4840348837305477,-11.676637444461253
matlab_0020,11.371006496963266,24.636805848488091,-13.137218244532571,-4.1578870963014332,5.6491268084556365,-11.533710622704064
matlab_0021,11.152845030832308,24.565912534738104,-13.041704963498574,-4.3489061910469076,5.8121072349094183,-11.388140089590546
matlab_0022,10.93629798791474,24.491855909914772,-12.943493580955341,-4.5374770846709769,5.9728837654303568,-11.239927076146298
matlab_0023,10.721410026267515,24.414677144166188,-12.842621583940675,-4.7235557776361956,6.1313660921127067,-11.089077336438125
matlab_0024,10.508225166716203,24.334418139964015,-12.739127947487109,-4.9070984027027666,6.2874659577059138,-10.935600962774432
matlab_0025,10.296786768338373,24.251121529303958,-12.633053100710393,-5.0880612958109595,6.441097125072293,-10.779512217791062
matlab_0026,10.087137504508322,24.164830669747392,-12.524438893339219,-5.2664010642944845,6.592175354687706,-10.620829381818501
matlab_0027,9.8793193394968508,24.075589639346799,-12.413328562556266,-5.4420746526670625,6.7406183897242524,-10.459574614074674
matlab_0028,9.6733735056219974,23.983443230493247,-12.299766700027487,-5.615039406201495,6.886345948301634,-10.295773826356761
matlab_0029,9.4693404809484445,23.888436942721444,-12.183799219003452,-5.78525313249928,7.029279722535513,-10.129456568019192
matlab_0030,9.2672599675354999,23.790616974503894,-12.065473321382257,-5.952674161229397,7.169343384047421,-9.9606559211238537
matlab_0031,9.067170870235012,23.69003021406375,-11.944837464628886,-6.1172614021972151,7.3064625956317082,-9.7894084047349992
matlab_0032,8.8691112760425739,23.586724229232562,-11.82194132845077,-6.2789744018878366,7.4405650288017799,-9.6157538874063011
matlab_0033,8.6731184340067902,23.480747256377636,-11.696835781133682,-6.4377733986129737,7.5715803869595319,-9.4397355069723901
matlab_0034,8.4792287357031313,23.372148188420908,-11.569572845446306,-6.593619376376048,7.6994404339503264,-9.2613995968133125
matlab_0035,8.2874776962801988,23.260976561970207,-11.440205664025545,-6.7464741175568808,7.8240790277795931,-9.0807956178081071
matlab_0036,8.0978999360878792,23.147282543581543,-11.308788464158399,-6.8963002545044354,7.9454321592778374,-8.8979760952346325
matlab_0037,7.9105291628979844,23.031116915170134,-11.175376521879569,-7.0430613201142354,8.0634379955076465,-8.7129965599071362
matlab_0038,7.7253981547295822,22.912531058586456,-11.040026125307556,-7.1867217974552631,8.1780369277098721,-8.5259154928719809
matlab_0039,7.5425387432921873,22.7915769393727,-10.902794537145203,-7.3272471685002518,8.2891716235865509,-8.3367942730056726
matlab_0040,7.3619817980614473,22.668307089714261,-10.763739956274154,-7.4646039620023217,8.396787083715104,-8.1456971268788596
matlab_0041,7.1837572110029244,22.542774590600175,-10.622921478376117,-7.598759800550603,8.5008307018826201,-7.9526910802655788
matlab_0042,7.1837572110029244,22.542774590600175,10.622921478376117,7.598759800550603,8.5008307018826201,-7.9526910802655788
matlab_0043,7.3619817980614473,22.668307089714261,10.763739956274154,7.4646039620023217,8.396787083715104,-8.1456971268788596
matlab_0044,7.5425387432921873,22.7915769393727,10.902794537145203,7.3272471685002518,8.2891716235865509,-8.3367942730056726
matlab_0045,7.7253981547295822,22.912531058586456,11.040026125307556,7.1867217974552631,8.1780369277098721,-8.5259154928719809
matlab_0046,7.9105291628979844,23.031116915170134,11.175376521879569,7.0430613201142354,8.0634379955076465,-8.7129965599071362
matlab_0047,8.0978999360878792,23.147282543581543,11.308788464158399,6.8963002545044354,7.9454321592778374,-8.8979760952346325
matlab_0048,8.2874776962801988,23.260976561970207,11.440205664025545,6.7464741175568808,7.8240790277795931,-9.0807956178081071
matlab_0049,8.4792287357031313,23.372148188420908,11.569572845446306,6.593619376376048,7.6994404339503264,-9.2613995968133125
matlab_0050,8.6731184340067902,23.480747256377636,11.696835781133682,6.4377733986129737,7.5715803869595319,-9.4397355069723901
matlab_0051,8.8691112760425739,23.586724229232562,11.82194132845077,6.2789744018878366,7.4405650288017799,-9.6157538874063011
matlab_0052,9.067170870235012,23.69003021406375,11.944837464628886,6.1172614021972151,7.3064625956317082,-9.7894084047349992
matlab_0053,9.2672599675354999,23.790616974503894,12.065473321382257,5.952674161229397,7.169343384047421,-9.9606559211238537
matlab_0054,9.4693404809484445,23.888436942721444,12.183799219003452,5.78525313249928,7.029279722535513,-10.129456568019192
matlab_0055,9.6733735056219974,23.983443230493247,12.299766700027487,5.615039406201495,6.886345948301634,-10.295773826356761
matlab_0056,9.8793193394968508,24.075589639346799,12.413328562556266,5.4420746526670625,6.7406183897242524,-10.459574614074674
matlab_0057,10.087137504508322,24.164830669747392,12.524438893339219,5.2664010642944845,6.592175354687706,-10.620829381818501
matlab_0058,10.296786768338373,24.251121529303958,12.633053100710393,5.0880612958109595,6.441097125072293,-10.779512217791062
matlab_0059,10.508225166716203,24.334418139964015,12.739127947487109,4.9070984027027666,6.2874659577059138,-10.935600962774432
matlab_0060,10.721410026267515,24.414677144166188,12.842621583940675,4.7235557776361956,6.1313660921127067,-11.089077336438125
matlab_0061,10.93629798791474,24.491855909914772,12.943493580955341,4.5374770846709769,5.9728837654303568,-11.239927076146298
matlab_0062,11.152845030832308,24.565912534738104,13.041704963498574,4.3489061910469076,5.8121072349094183,-11.388140089590546
matlab_0063,11.371006496963266,24.636805848488091,13.137218244532571,4.1578870963014332,5.6491268084556365,-11.533710622704064
matlab_0064,11.590737116105716,24.704495414934257,13.229997459505434,3.9644638584502458,5.4840348837305477,-11.676637444461253
matlab_0065,11.811991031579934,24.768941532101024,13.320008201569269,3.7686805169350195,5.3169259963871118,-11.816924050335123
matlab_0066,12.034721826489625,24.830105231291526,13.407217657682798,3.5705810120111949,5.1478968780869714,-11.954578886377345
matlab_0067,12.258882550593421,24.887948274735805,13.491594645767393,3.3702091002142449,4.977046525024468,-12.089615596104442
matlab_0068,12.48442574780565,24.942433151794628,13.573109653098321,3.1676082655044229,4.8044762777716059,-12.222053292623386
matlab_0069,12.711303484348647,24.993523073643349,13.651734876127389,2.9628216256470803,4.63028991335832,-12.351916858714004
matlab_0070,12.939467377582126,25.041181966352383,13.727444261949231,2.7558918333377616,4.4545937506157678,-12.479237277910183
matlab_0071,13.168868625538982,25.085374462272199,13.800213551641793,2.5468609715275496,4.2774967699380362,-12.60405199999177
matlab_0072,13.399458037200731,25.126065889621241,13.870020325731904,2.3357704423438093,4.0991107487622447,-12.726405344722298
matlab_0073,13.631186063550343,25.163222260164606,13.936844052059898,2.1226608489336192,3.9195504142302875,-12.846348948151219
matlab_0074,13.864002829444876,25.196810254859248,14.000666136343062,1.9075718694807078,3.7389336146805099,-12.963942256353356
matlab_0075,14.097858166355531,25.226797207328513,14.061469975766947,1.690542122560347,3.5573815118272916,-13.079253072113495
matlab_0076,14.332701646028696,25.25315108501405,14.119241015966448,1.4716090228988263,3.3750187957246682,-13.192358160793688
matlab_0077,14.568482615127602,25.275840467836534,14.173966811795736,1.2508086264934564,3.1919739248809811,-13.303343922459973
matlab_0078,14.805150230921475,25.294834524178381,14.225637092327993,1.0281754639231777,3.0083793941999204,-13.41230713831226
matlab_0079,15.042653498096534,25.310102983980869,14.274243830573505,0.80374236053672643,2.8243720337754445,-13.519355800577376
matlab_0080,15.280941306772107,25.321616108724957,14.319781318458308,0.57754024204209742,2.6400933419704056,-13.624610036316369
matlab_0081,15.519962471814297,25.329344658038817,14.362246247666487,0.34959792383479726,2.4556898566695811,-13.728203137092997
matlab_0082,15.759665773550521,25.33325985264581,14.401637797018449,0.11994188218907986,2.2713135691266819,-13.830282708187655
matlab_0083,16,25.333333333333329,14.437957727136066,-0.11140399480814889,2.0871223854331507,-13.931011953062681
matlab_0084,16.240913990748428,25.329537115585236,14.47121048323503,-0.34441867898186129,1.9032806413370911,-14.03057111114237
matlab_0085,16.482356682610146,25.321843539478042,14.501403306986905,-0.57908429917660231,1.7199596769501568,-14.129159069727857
matlab_0086,16.724277157237417,25.310225214392631,14.528546358509917,-0.81538646684502347,1.5373384788162925,-14.226995174096235
matlab_0087,16.96662469085555,25.294654958037842,14.552652849680776,-1.0533146336467449,1.3556043979027137,-14.324321263627791
matlab_0088,17.209348806323412,25.27510572921987,14.573739190113068,-1.2928624850872055,1.1749539533361388,-14.421403966273811
matlab_0089,17.452399327742921,25.251550553718971,14.591825147322972,-1.5340283748074026,0.99559373317896904,-14.518537288953929
matlab_0090,17.695726437868004,25.223962442553148,14.606934022805772,-1.7768158048126754,0.81774140525968275,-14.616045547721543
