sample_id,torque_nm
matlab_0000,-243.85439295323431
matlab_0001,-271.14632161060058
matlab_0002,-298.68682459973212
matlab_0003,-326.25777344777833
matlab_0004,-353.63530738742014
matlab_0005,-380.58663393941453
matlab_0006,-406.86646235739039
matlab_0007,-432.21294920074439
matlab_0008,-456.34300778817806
matlab_0009,-478.9467964416109
matlab_0010,-499.6811511091006
matlab_0011,-518.16166173201361
matlab_0012,-533.95300233125965
matlab_0013,-546.55700328125113
matlab_0014,-555.39778770169789
matlab_0015,-559.80306347364569
matlab_0016,-558.98034021812191
matlab_0017,-551.98638494893896
matlab_0018,-537.68757766299962
matlab_0019,-514.70788112321145
matlab_0020,-481.35974422394315
matlab_0021,-435.55117079449468
matlab_0022,-374.6590068108481
matlab_0023,-295.35356548889717
matlab_0024,-193.35189217861836
matlab_0025,-63.064296172110289
matlab_0026,102.92230163272335
matlab_0027,314.61671379594361
matlab_0028,585.80769911815651
matlab_0029,935.93272404192851
matlab_0030,1393.1260064619275
matlab_0031,1999.3840596767768
matlab_0032,2819.7221856130855
matlab_0033,3959.2981999620861
matlab_0034,5597.585561102278
matlab_0035,8062.29898985416
matlab_0036,12006.679339584412
matlab_0037,18897.117160562535
matlab_0038,32640.009803935707
matlab_0039,66894.494726818171
matlab_0040,202056.55650009282
matlab_0041,3363564.4158830228
matlab_0042,3363564.4158830228
matlab_0043,202056.55650009282
matlab_0044,66894.494726818171
matlab_0045,32640.009803935707
matlab_0046,18897.117160562535
matlab_0047,12006.679339584412
matlab_0048,8062.29898985416
matlab_0049,5597.585561102278
matlab_0050,3959.2981999620861
matlab_0051,2819.7221856130855
matlab_0052,1999.3840596767768
matlab_0053,1393.1260064619275
matlab_0054,935.93272404192851
matlab_0055,585.80769911815651
matlab_0056,314.61671379594361
matlab_0057,102.92230163272335
matlab_0058,-63.064296172110289
matlab_0059,-193.35189217861836
matlab_0060,-295.35356548889717
matlab_0061,-374.6590068108481
matlab_0062,-435.55117079449468
matlab_0063,-481.35974422394315
matlab_0064,-514.70788112321145
matlab_0065,-537.68757766299962
matlab_0066,-551.98638494893896
matlab_0067,-558.98034021812191
matlab_0068,-559.80306347364569
matlab_0069,-555.39778770169789
matlab_0070,-546.55700328125113
matlab_0071,-533.95300233125965
matlab_0072,-518.16166173201361
matlab_0073,-499.6811511091006
matlab_0074,-478.9467964416109
matlab_0075,-456.34300778817806
matlab_0076,-432.21294920074439
matlab_0077,-406.86646235739039
matlab_0078,-380.58663393941453
matlab_0079,-353.63530738742014
matlab_0080,-326.25777344777833
matlab_0081,-298.68682459973212
matlab_0082,-271.14632161060058
matlab_0083,-243.85439295323445
matlab_0084,-217.02636738324307
matlab_0085,-190.87752499872266
matlab_0086,-165.62574143648135
matlab_0087,-141.49409268019483
matlab_0088,-118.71348370496706
matlab_0089,-97.52536249600098
matlab_0090,-78.18458165328309
matlab_0091,-60.962472763965309
matlab_0092,-46.150204051675175
matlab_0093,-34.062499684086156
matlab_0094,-25.041809859119148
matlab_0095,-19.46303486875015
matlab_0096,-17.738924413005279
matlab_0097,-20.326296383180047
matlab_0098,-27.733248314793226
matlab_0099,-40.527571254375431
matlab_0100,-59.346621896159228
matlab_0101,-84.908967162789608
matlab_0102,-118.02818941111737
matlab_0103,-159.62933475686057
matlab_0104,-210.76860778791695
matlab_0105,-272.65707143617317
matlab_0106,-346.68931216000328
matlab_0107,-434.47829303584319
matlab_0108,-537.89796168270277
matlab_0109,-659.13563491952516
matlab_0110,-800.75678779888983
matlab_0111,-965.78568761859503
matlab_0112,-1157.8064138835889
matlab_0113,-1381.090308095354
matlab_0114,-1640.7579697463327
matlab_0115,-1942.9868022599824
matlab_0116,-2295.2791794095228
matlab_0117,-2706.812098063685
matlab_0118,-3188.8975457573824
