sample_id,fx,fy
matlab_0000,-7.7163456060969908,-48.522121620429083
matlab_0001,-7.3142468794319653,-49.034401845357124
matlab_0002,-6.9073477377664565,-49.557225088307348
matlab_0003,-6.4935950941778895,-50.078292175785279
matlab_0004,-6.0717462094861867,-50.58519310140629
matlab_0005,-5.6413499711391504,-51.065208145363322
matlab_0006,-5.2027485332133914,-51.50508744483286
matlab_0007,-4.7571009973128646,-51.890801282108164
matlab_0008,-4.3064318322764272,-52.207251543749592
matlab_0009,-3.8537079931967395,-52.437932361327512
matlab_0010,-3.4029503123183962,-52.564524653872191
matlab_0011,-2.959386841298107,-52.566404845366641
matlab_0012,-2.5296586309182247,-52.420041988179889
matlab_0013,-2.1220922336836363,-52.098249254025603
matlab_0014,-1.7470584318911542,-51.569244341269233
matlab_0015,-1.417443953747084,-50.795457445111516
matlab_0016,-1.149273174453816,-49.732003043592691
matlab_0017,-0.96253141590736579,-48.324699850803121
matlab_0018,-0.88226261773139425,-46.507477266655194
matlab_0019,-0.9400452199309618,-44.198939347211457
matlab_0020,-1.1759964085722019,-41.297757419083659
matlab_0021,-1.6415250418129081,-37.676411774189241
matlab_0022,-2.4031617704809407,-33.172571568773293
matlab_0023,-3.547964939400198,-27.577040107669632
matlab_0024,-5.1912738613744152,-20.616614326222166
matlab_0025,-7.4880295433661823,-11.929261438684726
matlab_0026,-10.649638804241921,-1.0274287823461659
matlab_0027,-14.969668424852621,12.757436726828567
matlab_0028,-20.86400252614375,30.360966252088282
matlab_0029,-28.935451589385849,53.123374085914605
matlab_0030,-40.081223413808353,83.016594015235754
matlab_0031,-55.678738728871522,123.03431839979132
matlab_0032,-77.921834157857745,177.89298594498351
matlab_0033,-110.46291832848459,255.36186308473586
matlab_0034,-159.72284586786705,368.9585143901266
matlab_0035,-237.79004024923924,543.87628086472205
matlab_0036,-369.5428830883987,831.45359349349371
matlab_0037,-612.75349124645857,1349.7550869607719
matlab_0038,-1127.0926963207526,2421.9694873219933
matlab_0039,-2494.5620031172316,5214.8358114324183
matlab_0040,-8320.7838797497225,16884.486843768362
matlab_0041,-162049.78008105382,318603.73316738615
matlab_0042,-162049.78008105382,318603.73316738615
matlab_0043,-8320.7838797497225,16884.486843768362
matlab_0044,-2494.5620031172316,5214.8358114324183
matlab_0045,-1127.0926963207526,2421.9694873219933
matlab_0046,-612.75349124645857,1349.7550869607719
matlab_0047,-369.5428830883987,831.45359349349371
matlab_0048,-237.79004024923924,543.87628086472205
matlab_0049,-159.72284586786705,368.9585143901266
matlab_0050,-110.46291832848459,255.36186308473586
matlab_0051,-77.921834157857745,177.89298594498351
matlab_0052,-55.678738728871522,123.03431839979132
matlab_0053,-40.081223413808353,83.016594015235754
matlab_0054,-28.935451589385849,53.123374085914605
matlab_0055,-20.86400252614375,30.360966252088282
matlab_0056,-14.969668424852621,12.757436726828567
matlab_0057,-10.649638804241921,-1.0274287823461659
matlab_0058,-7.4880295433661823,-11.929261438684726
matlab_0059,-5.1912738613744152,-20.616614326222166
matlab_0060,-3.547964939400198,-27.577040107669632
matlab_0061,-2.4031617704809407,-33.172571568773293
matlab_0062,-1.6415250418129081,-37.676411774189241
matlab_0063,-1.1759964085722019,-41.297757419083659
matlab_0064,-0.9400452199309618,-44.198939347211457
matlab_0065,-0.88226261773139425,-46.507477266655194
matlab_0066,-0.96253141590736579,-48.324699850803121
matlab_0067,-1.149273174453816,-49.732003043592691
matlab_0068,-1.417443953747084,-50.795457445111516
matlab_0069,-1.7470584318911542,-51.569244341269233
matlab_0070,-2.1220922336836363,-52.098249254025603
matlab_0071,-2.5296586309182247,-52.420041988179889
matlab_0072,-2.959386841298107,-52.566404845366641
