sample_id,fx,fy
matlab_0000,27.729616744581854,-35.920405781324312
matlab_0001,28.266456057343905,-35.78747227232293
matlab_0002,28.816986170464713,-35.691732650196798
matlab_0003,29.386501539070295,-35.635673618663802
matlab_0004,29.980867215607873,-35.62242463017958
matlab_0005,30.606659632468808,-35.655832373365065
matlab_0006,31.271332157583409,-35.740553524025138
matlab_0007,31.983412122345836,-35.882169614912151
matlab_0008,32.752737802560375,-36.087328984564593
matlab_0009,33.59074619942254,-36.363922206511184
matlab_0010,34.510825627797523,-36.721299297108267
matlab_0011,35.528751367599391,-37.17053952122231
matlab_0012,36.663228389578173,-37.724787997080718
matlab_0013,37.936573030625972,-38.399677883328543
matlab_0014,39.375576339149681,-39.213863201213449
matlab_0015,41.012606921266027,-40.189696016452807
matlab_0016,42.887032402807911,-41.354093834360278
matlab_0017,45.047068959722587,-42.739660231073188
matlab_0018,47.5522121661878,-44.386146361255392
matlab_0019,50.476466513059236,-46.342376769225048
matlab_0020,53.912686181651218,-48.668815732382789
matlab_0021,57.978483439039451,-51.44102953729039
matlab_0022,62.824381948195395,-54.754420893520106
matlab_0023,68.645238327004861,-58.730799574575514
matlab_0024,75.696508817746093,-63.527651764112782
matlab_0025,84.317844100987998,-69.351455517755113
matlab_0026,94.968017299867967,-76.477198202233737
matlab_0027,108.27782062594594,-85.277638388944439
matlab_0028,125.13225985052659,-96.268309796753343
matlab_0029,146.80205925621945,-110.17877077456575
matlab_0030,175.16122817920728,-128.06921747560813
matlab_0031,213.06126629336984,-151.52884105761203
matlab_0032,265.00480158808472,-183.02884119515232
matlab_0033,338.42594561154573,-226.58546201891596
matlab_0034,446.28955109002072,-289.08944939415943
matlab_0035,612.81758061235598,-383.19704228983744
matlab_0036,887.49438877745615,-534.30345736838115
matlab_0037,1384.4266687039881,-799.85073794242385
matlab_0038,2416.8733726614901,-1334.2435367196276
matlab_0039,5119.362624082898,-2683.4154201780448
matlab_0040,16477.056333555767,-8109.9039278629452
matlab_0041,312599.50498596014,-140019.75026885504
matlab_0042,312599.50498596014,-140019.75026885504
matlab_0043,16477.056333555767,-8109.9039278629452
matlab_0044,5119.362624082898,-2683.4154201780448
matlab_0045,2416.8733726614901,-1334.2435367196276
matlab_0046,1384.4266687039881,-799.85073794242385
matlab_0047,887.49438877745615,-534.30345736838115
matlab_0048,612.81758061235598,-383.19704228983744
matlab_0049,446.28955109002072,-289.08944939415943
matlab_0050,338.42594561154573,-226.58546201891596
matlab_0051,265.00480158808472,-183.02884119515232
matlab_0052,213.06126629336984,-151.52884105761203
matlab_0053,175.16122817920728,-128.06921747560813
matlab_0054,146.80205925621945,-110.17877077456575
matlab_0055,125.13225985052659,-96.268309796753343
matlab_0056,108.27782062594594,-85.277638388944439
matlab_0057,94.968017299867967,-76.477198202233737
matlab_0058,84.317844100987998,-69.351455517755113
matlab_0059,75.696508817746093,-63.527651764112782
matlab_0060,68.645238327004861,-58.730799574575514
matlab_0061,62.824381948195395,-54.754420893520106
matlab_0062,57.978483439039451,-51.44102953729039
matlab_0063,53.912686181651218,-48.668815732382789
matlab_0064,50.476466513059236,-46.342376769225048
matlab_0065,47.5522121661878,-44.386146361255392
matlab_0066,45.047068959722587,-42.739660231073188
matlab_0067,42.887032402807911,-41.354093834360278
matlab_0068,41.012606921266027,-40.189696016452807
matlab_0069,39.375576339149681,-39.213863201213449
matlab_0070,37.936573030625972,-38.399677883328543
matlab_0071,36.663228389578173,-37.724787997080718
matlab_0072,35.528751367599391,-37.17053952122231
matlab_0073,34.510825627797523,-36.721299297108267
matlab_0074,33.59074619942254,-36.363922206511184
matlab_0075,32.752737802560375,-36.087328984564593
matlab_0076,31.983412122345836,-35.882169614912151
matlab_0077,31.271332157583409,-35.740553524025138
matlab_0078,30.606659632468808,-35.655832373365065
matlab_0079,29.980867215607873,-35.62242463017958
matlab_0080,29.386501539070295,-35.635673618663802
matlab_0081,28.816986170464713,-35.691732650196798
matlab_0082,28.266456057343905,-35.78747227232293
matlab_0083,27.729616744581854,-35.920405781324312
matlab_0084,27.20162301119467,-36.088629999526177
matlab_0085,26.677972591106801,-36.290778989387903
matlab_0086,26.15441141059657,-36.5259889088058
matlab_0087,25.626847350222796,-36.793872640917364
matlab_0088,25.091269961996897,-37.094503183524999
matlab_0089,24.543673872936509,-37.428405078438914
matlab_0090,23.979983804698804,-37.796553415599213
matlab_0091,23.395979249714475,-38.200380173664094
matlab_0092,22.787216875581979,-38.641787868683622
matlab_0093,22.14894868518099,-39.123170684912388
matlab_0094,21.476033839447254,-39.647443465481274
matlab_0095,20.762841848231488,-40.218079154027038
matlab_0096,20.003144542848659,-40.839155510289871
matlab_0097,19.189993847452641,-41.515412182776458
matlab_0098,18.315581844829232,-42.252319520889237
matlab_0099,17.371078957656646,-43.056160860550015
matlab_0100,16.346445201218586,-43.934130437281524
matlab_0101,15.230208357977308,-44.894449588842377
matlab_0102,14.009201511821457,-45.946504530981734
matlab_0103,12.668250571648178,-47.101009756842032
matlab_0104,11.189800091874416,-48.370202064520718
matlab_0105,9.553462702552002,-49.768071412432555
matlab_0106,7.7354735792444673,-51.310636309435196
matlab_0107,5.7080263206376394,-53.016273360210619
matlab_0108,3.438459959779737,-54.906113031435154
matlab_0109,0.88825806021986609,-57.004516849052628
matlab_0110,-1.9881908286572387,-59.339655309158807
matlab_0111,-5.245137743842327,-61.944211095084199
matlab_0112,-8.9474104751118606,-64.856239168207864
matlab_0113,-13.172859790776579,-68.120224532092834
matlab_0114,-18.015470991888854,-71.788390787745584
matlab_0115,-23.589352443897724,-75.922329173753369
matlab_0116,-30.033890619244559,-80.595040291284562
matlab_0117,-37.520471987790806,-85.893511563579906
matlab_0118,-46.261331688194126,-91.921996193773509
matlab_0119,-56.521321864363266,-98.806219162946931
matlab_0120,-68.633737481418152,-106.69882042650116
matlab_0121,-83.021856152671148,-115.78646670118249
matlab_0122,-100.22864180403703,-126.2992391885205
matlab_0123,-120.95829764521656,-138.52316348025548
matlab_0124,-146.13531748535877,-152.81713443948794
matlab_0125,-176.98987408766175,-169.63607498253211
matlab_0126,-215.18369173021543,-189.5630710689972
matlab_0127,-262.99962559300343,-213.35464148006437
matlab_0128,-323.63415830855189,-242.00556043425522
matlab_0129,-401.66115283696206,-276.8433185749538
matlab_0130,-503.79033210006173,-319.66835558604635
matlab_0131,-640.15293631639577,-372.96628659628419
matlab_0132,-826.57350673613564,-440.23519290998621
matlab_0133,-1088.7858352062924,-526.49846348965082
matlab_0134,-1470.7297439077968,-639.11368732234746
matlab_0135,-2052.0911796283735,-789.02163931275368
matlab_0136,-2988.8592819171436,-992.45745972009775
matlab_0137,-4618.6123449941542,-1271.9577739693514
matlab_0138,-7780.1056454645432,-1647.3827738529142
matlab_0139,-15029.342223653401,-2046.7363306532825
matlab_0140,-37315.660142513363,-1426.9479486506455
matlab_0141,-173130.89243048395,19730.157560513395
matlab_0142,-173130.89243048395,19730.157560513395
matlab_0143,-37315.660142513363,-1426.9479486506455
matlab_0144,-15029.342223653401,-2046.7363306532825
matlab_0145,-7780.1056454645432,-1647.3827738529142
matlab_0146,-4618.6123449941542,-1271.9577739693514
matlab_0147,-2988.8592819171436,-992.45745972009775
matlab_0148,-2052.0911796283735,-789.02163931275368
matlab_0149,-1470.7297439077968,-639.11368732234746
matlab_0150,-1088.7858352062924,-526.49846348965082
matlab_0151,-826.57350673613564,-440.23519290998621
matlab_0152,-640.15293631639577,-372.96628659628419
matlab_0153,-503.79033210006173,-319.66835558604635
matlab_0154,-401.66115283696206,-276.8433185749538
matlab_0155,-323.63415830855189,-242.00556043425522
matlab_0156,-262.99962559300343,-213.35464148006437
matlab_0157,-215.18369173021543,-189.5630710689972
matlab_0158,-176.98987408766175,-169.63607498253211
matlab_0159,-146.13531748535877,-152.81713443948794
matlab_0160,-120.95829764521656,-138.52316348025548
matlab_0161,-100.22864180403703,-126.2992391885205
matlab_0162,-83.021856152671148,-115.78646670118249
matlab_0163,-68.633737481418152,-106.69882042650116
matlab_0164,-56.521321864363266,-98.806219162946931
