sample_id,fx,fy
matlab_0000,-18.446342964345817,-33.697807972189956
matlab_0001,-17.685613947453913,-33.686625728932519
matlab_0002,-16.916161753613061,-33.748003805428596
matlab_0003,-16.134307039694963,-33.886392244085862
matlab_0004,-15.335885303960586,-34.10732495320773
matlab_0005,-14.516128141292617,-34.417539946496873
matlab_0006,-13.669523067659229,-34.825128738135156
matlab_0007,-12.789646062127225,-35.339720841599735
matlab_0008,-11.868959402398289,-35.972711006691483
matlab_0009,-10.898565276766153,-36.737539017046053
matlab_0010,-9.8679028543282978,-37.650034737003594
matlab_0011,-8.7643727219237046,-38.728844888787201
matlab_0012,-7.5728674740304536,-39.995963105429148
matlab_0013,-6.275180228865719,-41.477391634738638
matlab_0014,-4.8492531518023982,-43.203972373494175
matlab_0015,-3.2682145354791419,-45.212437719596672
matlab_0016,-1.4991338847305651,-47.546749561230129
matlab_0017,0.4986028300536447,-50.259819842266893
matlab_0018,2.775435062322769,-53.415741984091746
matlab_0019,5.3944819373084965,-57.092714283657941
matlab_0020,8.4353902898509716,-61.386912499171153
matlab_0021,11.999588385711981,-66.417682318330435
matlab_0022,16.217558142778351,-72.334594611354092
matlab_0023,21.259054111888382,-79.327172676860428
matlab_0024,27.34770326144648,-87.638521132944931
matlab_0025,34.782249631196763,-97.584765224887192
matlab_0026,43.968105481064931,-109.58333432178928
matlab_0027,55.465292001934458,-124.19504015507216
matlab_0028,70.063184726080522,-142.18827071675264
matlab_0029,88.900514539171297,-164.63976159734005
matlab_0030,113.66460766685556,-193.098057641092
matlab_0031,146.93532602276753,-229.8589367463469
matlab_0032,192.80657106524342,-278.45066090913616
matlab_0033,258.07220866016797,-344.535597962108
matlab_0034,354.64355555159688,-437.69713607897489
matlab_0035,504.8984544203347,-575.27644962718978
matlab_0036,754.82439007590995,-791.49860180058431
matlab_0037,1211.1403950831407,-1162.3457064047441
matlab_0038,2168.8803787547331,-1887.6755905653229
matlab_0039,4705.1554384013734,-3655.7062301082146
matlab_0040,15518.151887398441,-10435.31678458229
matlab_0041,304056.83495109825,-160887.06757397539
matlab_0042,304056.83495109825,-160887.06757397539
matlab_0043,15518.151887398441,-10435.31678458229
matlab_0044,4705.1554384013734,-3655.7062301082146
matlab_0045,2168.8803787547331,-1887.6755905653229
matlab_0046,1211.1403950831407,-1162.3457064047441
matlab_0047,754.82439007590995,-791.49860180058431
matlab_0048,504.8984544203347,-575.27644962718978
matlab_0049,354.64355555159688,-437.69713607897489
matlab_0050,258.07220866016797,-344.535597962108
matlab_0051,192.80657106524342,-278.45066090913616
matlab_0052,146.93532602276753,-229.8589367463469
matlab_0053,113.66460766685556,-193.098057641092
matlab_0054,88.900514539171297,-164.63976159734005
matlab_0055,70.063184726080522,-142.18827071675264
matlab_0056,55.465292001934458,-124.19504015507216
matlab_0057,43.968105481064931,-109.58333432178928
matlab_0058,34.782249631196763,-97.584765224887192
matlab_0059,27.34770326144648,-87.638521132944931
matlab_0060,21.259054111888382,-79.327172676860428
matlab_0061,16.217558142778351,-72.334594611354092
matlab_0062,11.999588385711981,-66.417682318330435
matlab_0063,8.4353902898509716,-61.386912499171153
matlab_0064,5.3944819373084965,-57.092714283657941
matlab_0065,2.775435062322769,-53.415741984091746
matlab_0066,0.4986028300536447,-50.259819842266893
matlab_0067,-1.4991338847305651,-47.546749561230129
matlab_0068,-3.2682145354791419,-45.212437719596672
matlab_0069,-4.8492531518023982,-43.203972373494175
matlab_0070,-6.275180228865719,-41.477391634738638
matlab_0071,-7.5728674740304536,-39.995963105429148
matlab_0072,-8.7643727219237046,-38.728844888787201
matlab_0073,-9.8679028543282978,-37.650034737003594
matlab_0074,-10.898565276766153,-36.737539017046053
matlab_0075,-11.868959402398289,-35.972711006691483
matlab_0076,-12.789646062127225,-35.339720841599735
matlab_0077,-13.669523067659229,-34.825128738135156
matlab_0078,-14.516128141292617,-34.417539946496873
matlab_0079,-15.335885303960586,-34.10732495320773
matlab_0080,-16.134307039694963,-33.886392244085862
matlab_0081,-16.916161753613061,-33.748003805428596
matlab_0082,-17.685613947453913,-33.686625728932519
matlab_0083,-18.446342964345817,-33.697807972189956
matlab_0084,-19.20164496914639,-33.778088640158131
matlab_0085,-19.954521936184463,-33.924919188281265
matlab_0086,-20.707760743054859,-34.136607775012287
matlab_0087,-21.464004966919742,-34.41227866302625
matlab_0088,-22.225821612164957,-34.751846124541217
matlab_0089,-22.995764739190559,-35.156001778026798
matlab_0090,-23.776437795346268,-35.626214695962823
matlab_0091,-24.570556358442445,-36.164743996437991
matlab_0092,-25.381012983722442,-36.774663982601133
matlab_0093,-26.210945893805896,-37.459902238691491
matlab_0094,-27.063813368978163,-38.225291444287947
matlab_0095,-27.943475887292021,-39.07663604421424
matlab_0096,-28.854288339452044,-40.020795325927438
matlab_0097,-29.801205016347232,-41.065784926772963
matlab_0098,-30.789900557126245,-42.22089934074404
matlab_0099,-31.826910679830721,-43.496858643099927
matlab_0100,-32.919797331000396,-44.905983431958113
matlab_0101,-34.077343933619446,-46.462402937238323
matlab_0102,-35.309787748591759,-48.182302418146747
matlab_0103,-36.629098079414611,-50.084217423978657
matlab_0104,-38.049311257792297,-52.189384311670189
matlab_0105,-39.586936204311307,-54.522158705287197
matlab_0106,-41.261448072529397,-57.110516490351607
matlab_0107,-43.095892342640923,-59.986655650085076
matlab_0108,-45.117628124780644,-63.187722027184201
matlab_0109,-47.359247905458375,-66.756688280113408
matlab_0110,-49.859722282454328,-70.743423370134835
matlab_0111,-52.66583345293617,-75.206000515590489
matlab_0112,-55.83398186752202,-80.212305587953608
matlab_0113,-59.432478725020765,-85.842026668365634
matlab_0114,-63.544476033244436,-92.189130730336359
matlab_0115,-68.271740465077201,-99.364967735326232
matlab_0116,-73.739554133895254,-107.50218954479746
matlab_0117,-80.103135153840327,-116.75973641634842
matlab_0118,-87.556129416543513,-127.3292355498649
matlab_0119,-96.341957194602855,-139.44328634380659
matlab_0120,-106.76914305530622,-153.38629426934313
matlab_0121,-119.23227783918249,-169.50878833589601
matlab_0122,-134.24105964770274,-188.24656135139529
matlab_0123,-152.46110799183242,-210.14658037542154
matlab_0124,-174.77223349096434,-235.9025461379112
matlab_0125,-202.35308551806341,-266.40443421229708
matlab_0126,-236.80650965497196,-302.80866903715537
matlab_0127,-280.34922451819546,-346.63936488675023
matlab_0128,-336.10582394374393,-399.93740096717954
matlab_0129,-408.57708009261171,-465.48500503792695
matlab_0130,-504.40942847820526,-547.15290840288867
matlab_0131,-633.70536672797107,-650.45284124520333
matlab_0132,-812.34979748391493,-783.44656458959651
matlab_0133,-1066.3474970547002,-958.2997941766879
matlab_0134,-1440.3991682188125,-1194.058602550823
matlab_0135,-2016.1170032789159,-1521.8714709559081
matlab_0136,-2954.3394122541213,-1995.4131083019965
matlab_0137,-4605.4785288365247,-2713.1318385092413
matlab_0138,-7845.9100902876717,-3868.9515645530892
matlab_0139,-15362.774295043217,-5868.5470383590082
matlab_0140,-38724.572324941502,-9428.8718519394679
matlab_0141,-182071.65190554349,-7140.7914280722007
matlab_0142,-182071.65190554349,-7140.7914280722007
matlab_0143,-38724.572324941502,-9428.8718519394679
matlab_0144,-15362.774295043217,-5868.5470383590082
matlab_0145,-7845.9100902876717,-3868.9515645530892
matlab_0146,-4605.4785288365247,-2713.1318385092413
matlab_0147,-2954.3394122541213,-1995.4131083019965
matlab_0148,-2016.1170032789159,-1521.8714709559081
matlab_0149,-1440.3991682188125,-1194.058602550823
matlab_0150,-1066.3474970547002,-958.2997941766879
matlab_0151,-812.34979748391493,-783.44656458959651
matlab_0152,-633.70536672797107,-650.45284124520333
