sample_id,torque_nm
matlab_0000,-117.62764152614557
matlab_0001,-79.437302566436088
matlab_0002,-41.751995610626956
matlab_0003,-4.3406654186646838
matlab_0004,33.033990344835445
matlab_0005,70.618986132015635
matlab_0006,108.6749006049081
matlab_0007,147.4802425230136
matlab_0008,187.3364857241406
matlab_0009,228.57396671811875
matlab_0010,271.55888951691998
matlab_0011,316.70175085649885
matlab_0012,364.46759135524701
matlab_0013,415.38860357590988
matlab_0014,470.07979964212342
matlab_0015,529.25867829722881
matlab_0016,593.77016255883495
matlab_0017,664.61854701431889
matlab_0018,743.00886295922874
matlab_0019,830.40103961240322
matlab_0020,928.58166662945894
matlab_0021,1039.7602961008984
matlab_0022,1166.7004663136308
matlab_0023,1312.9006581730041
matlab_0024,1482.8483539778665
matlab_0025,1682.3832569109111
matlab_0026,1919.2271386803843
matlab_0027,2203.7743647342645
matlab_0028,2550.301666801819
matlab_0029,2978.8736716456101
matlab_0030,3518.445237746856
matlab_0031,4212.1096360991032
matlab_0032,5126.3853595027203
matlab_0033,6368.5541895577326
matlab_0034,8121.2052806198599
matlab_0035,10716.844452056435
matlab_0036,14816.543872704255
matlab_0037,21900.592869032705
matlab_0038,35903.12814574728
matlab_0039,70549.757938854571
matlab_0040,206459.14425343694
matlab_0041,3371082.0222028214
matlab_0042,3371082.0222028214
matlab_0043,206459.14425343694
matlab_0044,70549.757938854571
matlab_0045,35903.12814574728
matlab_0046,21900.592869032705
matlab_0047,14816.543872704255
matlab_0048,10716.844452056435
matlab_0049,8121.2052806198599
matlab_0050,6368.5541895577326
matlab_0051,5126.3853595027203
matlab_0052,4212.1096360991032
matlab_0053,3518.445237746856
matlab_0054,2978.8736716456101
matlab_0055,2550.301666801819
matlab_0056,2203.7743647342645
matlab_0057,1919.2271386803843
matlab_0058,1682.3832569109111
matlab_0059,1482.8483539778665
matlab_0060,1312.9006581730041
matlab_0061,1166.7004663136308
matlab_0062,1039.7602961008984
matlab_0063,928.58166662945894
matlab_0064,830.40103961240322
matlab_0065,743.00886295922874
matlab_0066,664.61854701431889
matlab_0067,593.77016255883495
matlab_0068,529.25867829722881
matlab_0069,470.07979964212342
matlab_0070,415.38860357590988
matlab_0071,364.46759135524701
matlab_0072,316.70175085649885
matlab_0073,271.55888951691998
matlab_0074,228.57396671811875
matlab_0075,187.3364857241406
matlab_0076,147.4802425230136
matlab_0077,108.6749006049081
matlab_0078,70.618986132015635
matlab_0079,33.033990344835445
matlab_0080,-4.3406654186646838
matlab_0081,-41.751995610626956
matlab_0082,-79.437302566436088
matlab_0083,-117.62764152614572
matlab_0084,-156.55100405647119
matlab_0085,-196.43530975685064
matlab_0086,-237.51128501361009
matlab_0087,-280.01530007388959
matlab_0088,-324.19223126382207
matlab_0089,-370.29841339740454
matlab_0090,-418.60474810230016
matlab_0091,-469.4000368575368
matlab_0092,-522.9946130584666
matlab_0093,-579.72435558703853
matlab_0094,-639.95517750152362
matlab_0095,-704.08809805364797
matlab_0096,-772.56502496567941
matlab_0097,-845.87539765574138
matlab_0098,-924.56387207815317
matlab_0099,-1009.2392656119671
matlab_0100,-1100.5850280395566
matlab_0101,-1199.3715648073264
matlab_0102,-1306.4708150138256
matlab_0103,-1422.8735836437281
matlab_0104,-1549.7102517459714
matlab_0105,-1688.2756479675625
matlab_0106,-1840.0590714751058
matlab_0107,-2006.7807252864466
matlab_0108,-2190.4361715795894
matlab_0109,-2393.3508859038907
matlab_0110,-2618.2476061557322
matlab_0111,-2868.3300020150359
matlab_0112,-3147.387312646345
matlab_0113,-3459.9261315764538
matlab_0114,-3811.3376270448371
matlab_0115,-4208.1114221273838
matlab_0116,-4658.1114904504011
matlab_0117,-5170.9353055804058
matlab_0118,-5758.385962849823
matlab_0119,-6435.0993853274467
