sample_id,fx,fy
matlab_0000,29.994713881508119,-121.15446252597594
matlab_0001,29.117839773319965,-121.72570301144602
matlab_0002,28.298651389947764,-122.29182683337484
matlab_0003,27.519327508824595,-122.86571227266904
matlab_0004,26.762393365485025,-123.4609116346263
matlab_0005,26.01048283467804,-124.091858888724
matlab_0006,25.246090569409457,-124.77410636223449
matlab_0007,24.45130687691249,-125.52459863161147
matlab_0008,23.607526901016602,-126.36199373587274
matlab_0009,22.695123982865734,-127.30704445621897
matlab_0010,21.693074735102009,-128.38305588506313
matlab_0011,20.578520173688666,-129.61644015211377
matlab_0012,19.326242900524846,-131.037395418139
matlab_0013,17.908034380581732,-132.6807447055339
matlab_0014,16.291918175821422,-134.5869816978248
matlab_0015,14.441183659362697,-136.80358660315036
matlab_0016,12.313168869859458,-139.3866974509852
matlab_0017,9.8577087310797662,-142.40325363486596
matlab_0018,7.0151327475399787,-145.9337734618085
matlab_0019,3.7136497024972441,-150.07599259954694
matlab_0020,-0.13411168129331738,-154.94968608567865
matlab_0021,-4.6357396937275857,-160.70313966026455
matlab_0022,-9.9253437991277327,-167.52195373549762
matlab_0023,-16.172257562196368,-175.64120039597609
matlab_0024,-23.593255027728294,-185.36248707903499
matlab_0025,-32.470016033486822,-197.07834373867553
matlab_0026,-43.174607721475034,-211.30778332840868
matlab_0027,-56.207513686741621,-228.74933273605365
matlab_0028,-72.255855957638317,-250.36214509919873
matlab_0029,-92.28515132665801,-277.49368474908533
matlab_0030,-117.68879843590877,-312.087468900781
matlab_0031,-150.54117024837797,-357.03423991196087
matlab_0032,-194.04590632983178,-416.79285737152532
matlab_0033,-253.37382482125423,-498.54839175783604
matlab_0034,-337.33465567984661,-614.51704937943475
matlab_0035,-461.99358456273058,-786.91839975261189
matlab_0036,-659.34786954583376,-1059.8645859813853
matlab_0037,-1001.2132304841831,-1531.9595579699633
matlab_0038,-1679.038339568898,-2464.6880759220917
matlab_0039,-3363.5701349241135,-4767.715109057689
matlab_0040,-10019.67045768103,-13761.665300439368
matlab_0041,-167737.13379708829,-220851.72905427337
matlab_0042,-167737.13379708829,-220851.72905427337
matlab_0043,-10019.67045768103,-13761.665300439368
matlab_0044,-3363.5701349241135,-4767.715109057689
matlab_0045,-1679.038339568898,-2464.6880759220917
matlab_0046,-1001.2132304841831,-1531.9595579699633
matlab_0047,-659.34786954583376,-1059.8645859813853
matlab_0048,-461.99358456273058,-786.91839975261189
matlab_0049,-337.33465567984661,-614.51704937943475
matlab_0050,-253.37382482125423,-498.54839175783604
matlab_0051,-194.04590632983178,-416.79285737152532
matlab_0052,-150.54117024837797,-357.03423991196087
matlab_0053,-117.68879843590877,-312.087468900781
matlab_0054,-92.28515132665801,-277.49368474908533
matlab_0055,-72.255855957638317,-250.36214509919873
matlab_0056,-56.207513686741621,-228.74933273605365
matlab_0057,-43.174607721475034,-211.30778332840868
matlab_0058,-32.470016033486822,-197.07834373867553
matlab_0059,-23.593255027728294,-185.36248707903499
matlab_0060,-16.172257562196368,-175.64120039597609
matlab_0061,-9.9253437991277327,-167.52195373549762
matlab_0062,-4.6357396937275857,-160.70313966026455
matlab_0063,-0.13411168129331738,-154.94968608567865
matlab_0064,3.7136497024972441,-150.07599259954694
matlab_0065,7.0151327475399787,-145.9337734618085
matlab_0066,9.8577087310797662,-142.40325363486596
matlab_0067,12.313168869859458,-139.3866974509852
matlab_0068,14.441183659362697,-136.80358660315036
matlab_0069,16.291918175821422,-134.5869816978248
matlab_0070,17.908034380581732,-132.6807447055339
matlab_0071,19.326242900524846,-131.037395418139
matlab_0072,20.578520173688666,-129.61644015211377
matlab_0073,21.693074735102009,-128.38305588506313
matlab_0074,22.695123982865734,-127.30704445621897
matlab_0075,23.607526901016602,-126.36199373587274
matlab_0076,24.45130687691249,-125.52459863161147
matlab_0077,25.246090569409457,-124.77410636223449
matlab_0078,26.01048283467804,-124.091858888724
matlab_0079,26.762393365485025,-123.4609116346263
matlab_0080,27.519327508824595,-122.86571227266904
matlab_0081,28.298651389947764,-122.29182683337484
matlab_0082,29.117839773319965,-121.72570301144602
matlab_0083,29.99471388150813,-121.15446252597592
matlab_0084,30.947675565180482,-120.56571588884621
matlab_0085,31.995943697622607,-119.94739406620099
matlab_0086,33.159798405745256,-119.28759236366115
matlab_0087,34.460838715399078,-118.57442248716409
matlab_0088,35.922259365447928,-117.79586917150935
matlab_0089,37.569152928669027,-116.93964805864923
matlab_0090,39.428843975660314,-115.99306166860507
matlab_0091,41.531262849248051,-114.9428503508578
matlab_0092,43.909367711996907,-113.77503503991498
matlab_0093,46.599624932087536,-112.47474846645721
matlab_0094,49.642559642698693,-111.02605119043893
matlab_0095,53.083390525721583,-109.41172841468308
matlab_0096,56.972765635029383,-107.61306299061968
matlab_0097,61.367619521051047,-105.6095793187321
matlab_0098,66.332176220240214,-103.37875194345169
matlab_0099,71.939128055118402,-100.89567150382673
matlab_0100,78.271026946100719,-98.132659272348903
matlab_0101,85.421933448890002,-95.058819723111256
matlab_0102,93.499379505521873,-91.639518323321226
matlab_0103,102.62671460045192,-87.83576891662554
matlab_0104,112.94592253346009,-83.603511501893607
matlab_0105,124.62101854781885,-78.892756694977805
matlab_0106,137.8421656888051,-73.646567412184666
matlab_0107,152.83068719251307,-67.799840957318182
matlab_0108,169.84520139984323,-61.277845224565105
matlab_0109,189.1891712701173,-53.994450464231242
matlab_0110,211.22024776028559,-45.849982065479459
matlab_0111,236.36190318337145,-36.728598807863634
matlab_0112,265.11800857144311,-26.49507324239897
matlab_0113,298.09122438748079,-14.990813790672254
matlab_0114,336.00637032643243,-2.0289182703140818
matlab_0115,379.74035209452114,12.61201917622309
matlab_0116,430.3608023865026,29.195718649023384
matlab_0117,489.17641707519249,48.038142151396173
matlab_0118,557.80315366217837,69.520218290859518
matlab_0119,638.25218952752948,94.104299769143651
matlab_0120,733.04809898334645,122.35565698069186
matlab_0121,845.38955909599849,154.97084669177246
matlab_0122,979.37078250393131,192.81558735112688
matlab_0123,1140.2910460823389,236.97596491812752
matlab_0124,1335.0942574366788,288.82861955336261
matlab_0125,1573.0041772523957,350.13841737096305
matlab_0126,1866.4603306764634,423.19666901911523
matlab_0127,2232.5270589146467,511.02041313608134
matlab_0128,2695.0670162360684,617.64581354200277
matlab_0129,3288.187188638874,748.57042089116771
matlab_0130,4061.8763684878418,911.437930501859
matlab_0131,5091.5667225145653,1117.1314626157769
matlab_0132,6495.0474835997911,1381.5822735758763
matlab_0133,8463.906974832933,1728.889368108609
matlab_0134,11325.569241274445,2196.9731293086325
matlab_0135,15674.946299976211,2848.452592122293
matlab_0136,22680.558599255713,3793.1736029294775
matlab_0137,34885.808642003714,5239.426481167412
matlab_0138,58671.617937966774,7625.4721907283783
matlab_0139,113811.53943376306,12018.203198814677
matlab_0140,287688.12434527028,21640.805426627499
matlab_0141,1422628.9362131399,49260.926327959023
matlab_0142,1422628.9362131399,49260.926327959023
matlab_0143,287688.12434527028,21640.805426627499
matlab_0144,113811.53943376306,12018.203198814677
matlab_0145,58671.617937966774,7625.4721907283783
matlab_0146,34885.808642003714,5239.426481167412
matlab_0147,22680.558599255713,3793.1736029294775
matlab_0148,15674.946299976211,2848.452592122293
matlab_0149,11325.569241274445,2196.9731293086325
matlab_0150,8463.906974832933,1728.889368108609
matlab_0151,6495.0474835997911,1381.5822735758763
matlab_0152,5091.5667225145653,1117.1314626157769
matlab_0153,4061.8763684878418,911.437930501859
matlab_0154,3288.187188638874,748.57042089116771
matlab_0155,2695.0670162360684,617.64581354200277
matlab_0156,2232.5270589146467,511.02041313608134
matlab_0157,1866.4603306764634,423.19666901911523
matlab_0158,1573.0041772523957,350.13841737096305
matlab_0159,1335.0942574366788,288.82861955336261
matlab_0160,1140.2910460823389,236.97596491812752
matlab_0161,979.37078250393131,192.81558735112688
matlab_0162,845.38955909599849,154.97084669177246
matlab_0163,733.04809898334645,122.35565698069186
matlab_0164,638.25218952752948,94.104299769143651
matlab_0165,557.80315366217837,69.520218290859518
matlab_0166,489.17641707519249,48.038142151396173
matlab_0167,430.3608023865026,29.195718649023384
matlab_0168,379.74035209452114,12.61201917622309
matlab_0169,336.00637032643243,-2.0289182703140818
matlab_0170,298.09122438748079,-14.990813790672254
matlab_0171,265.11800857144311,-26.49507324239897
matlab_0172,236.36190318337145,-36.728598807863634
matlab_0173,211.22024776028559,-45.849982065479459
matlab_0174,189.1891712701173,-53.994450464231242
matlab_0175,169.84520139984323,-61.277845224565105
matlab_0176,152.83068719251307,-67.799840957318182
matlab_0177,137.8421656888051,-73.646567412184666
matlab_0178,124.62101854781885,-78.892756694977805
matlab_0179,112.94592253346009,-83.603511501893607
matlab_0180,102.62671460045192,-87.83576891662554
matlab_0181,93.499379505521873,-91.639518323321226
matlab_0182,85.421933448890002,-95.058819723111256
matlab_0183,78.271026946100719,-98.132659272348903
matlab_0184,71.939128055118402,-100.89567150382673
matlab_0185,66.332176220240214,-103.37875194345169
matlab_0186,61.367619521051047,-105.6095793187321
matlab_0187,56.972765635029383,-107.61306299061968
matlab_0188,53.083390525721583,-109.41172841468308
matlab_0189,49.642559642698693,-111.02605119043893
matlab_0190,46.599624932087536,-112.47474846645721
matlab_0191,43.909367711996907,-113.77503503991498
