sample_id,fx,fy
matlab_0000,-17.633853326961926,-166.10571019212756
matlab_0001,-14.733356777146419,-163.66733064002003
matlab_0002,-11.925095503858545,-161.23478091804716
matlab_0003,-9.2054172828279182,-158.79257131786053
matlab_0004,-6.5717612872777202,-156.32504505119164
matlab_0005,-4.0226376672279827,-153.81615306128796
matlab_0006,-1.5576303389562911,-151.24920498657974
matlab_0007,0.82257513366324475,-148.60658791004388
matlab_0008,3.1161355831501552,-145.86944259757087
matlab_0009,5.3199618630012999,-143.01728433528635
matlab_0010,7.429591974680295,-140.02755199098502
matlab_0011,9.4390173610374593,-136.87506422693602
matlab_0012,11.340451033256572,-133.53135542307118
matlab_0013,13.124022155787616,-129.96385517528654
matlab_0014,14.777376181712558,-126.13486326276211
matlab_0015,16.285151958777313,-122.00025533741129
matlab_0016,17.628296446066063,-117.50783120914336
matlab_0017,18.783162333262307,-112.59518437034627
matlab_0018,19.720311704046029,-107.18692357115876
matlab_0019,20.402916457166032,-101.19100745822054
matlab_0020,20.784597995983528,-94.493849910447338
matlab_0021,20.806475864156425,-86.953698098711882
matlab_0022,20.39308299035045,-78.391546923251838
matlab_0023,19.446629577670759,-68.578481240325118
matlab_0024,17.838816439129197,-57.217743628433226
matlab_0025,15.398937662591019,-43.918856445832979
matlab_0026,11.896237440308454,-28.159504165367348
matlab_0027,7.0131448534921228,-9.2280855780765556
matlab_0028,0.3036145544628856,13.865130133259953
matlab_0029,-8.8736364754345942,42.529488167015757
matlab_0030,-21.465770879526978,78.826961647703598
matlab_0031,-38.916456836211765,125.87113656824849
matlab_0032,-63.509630352969999,188.54230735877675
matlab_0033,-99.024040378102086,274.84076285103453
matlab_0034,-152.06448578058556,398.62241623088829
matlab_0035,-235.00016419751159,585.60029724389619
matlab_0036,-373.16507330510257,887.96161828233664
matlab_0037,-625.13416181336891,1425.2766091919661
matlab_0038,-1152.1691900193237,2523.7378933120685
matlab_0039,-2540.0567683370655,5357.2812573262081
matlab_0040,-8407.0060530546161,17106.146419493471
matlab_0041,-162309.7971056813,319161.0104003739
matlab_0042,-162309.7971056813,319161.0104003739
matlab_0043,-8407.0060530546161,17106.146419493471
matlab_0044,-2540.0567683370655,5357.2812573262081
matlab_0045,-1152.1691900193237,2523.7378933120685
matlab_0046,-625.13416181336891,1425.2766091919661
matlab_0047,-373.16507330510257,887.96161828233664
matlab_0048,-235.00016419751159,585.60029724389619
matlab_0049,-152.06448578058556,398.62241623088829
matlab_0050,-99.024040378102086,274.84076285103453
matlab_0051,-63.509630352969999,188.54230735877675
matlab_0052,-38.916456836211765,125.87113656824849
matlab_0053,-21.465770879526978,78.826961647703598
matlab_0054,-8.8736364754345942,42.529488167015757
matlab_0055,0.3036145544628856,13.865130133259953
