sample_id,fx,fy
matlab_0000,37.699128939703805,-86.166747244738943
matlab_0001,39.682598404422585,-86.228851462294188
matlab_0002,41.69841507658807,-86.33656373425211
matlab_0003,43.754054527915365,-86.493012862361539
matlab_0004,45.857707480217719,-86.702028324347978
matlab_0005,48.018441899925023,-86.968222420219604
matlab_0006,50.246392819991947,-87.297091834106382
matlab_0007,52.552987172698558,-87.695142690226874
matlab_0008,54.951212824582768,-88.170044336256836
matlab_0009,57.455943530830915,-88.730818590911738
matlab_0010,60.084334889788458,-89.388073169119409
matlab_0011,62.856310886568515,-90.154290620987567
matlab_0012,65.795166704851098,-91.0441876342488
matlab_0013,68.928321783997546,-92.075164302251608
matlab_0014,72.288268512138799,-93.267869453017127
matlab_0015,75.913777805815371,-94.646917101940744
matlab_0016,79.851445109680341,-96.241801613827121
matlab_0017,84.15769203117722,-98.088076860222415
matlab_0018,88.90138444971295,-100.22888999886911
matlab_0019,94.167294558596282,-102.71699728556131
matlab_0020,100.06073303606382,-105.61744352194204
matlab_0021,106.7138262758491,-109.0111678829111
matlab_0022,114.29414163737771,-112.99992249932735
matlab_0023,123.01672006802981,-117.71308218262573
matlab_0024,133.16114433504842,-123.31722819852483
matlab_0025,145.09620051169873,-130.02988321960783
matlab_0026,159.31624829501703,-138.13959742285275
matlab_0027,176.4961030238066,-148.03599512868391
matlab_0028,197.57601854569782,-160.25588366996701
matlab_0029,223.89719875929509,-175.55609451269331
matlab_0030,257.42527353959906,-195.03244986428578
matlab_0031,301.13348738674364,-220.32170653783456
matlab_0032,359.69048603381702,-253.96023264410681
matlab_0033,440.76391317253609,-300.05636979648551
matlab_0034,557.65983890169821,-365.63605100682287
matlab_0035,735.12306584814553,-463.56361302875621
matlab_0036,1023.4898159988261,-619.57488679919436
matlab_0037,1538.3741901489632,-891.71742342418975
matlab_0038,2596.0353366960312,-1435.6066254521602
matlab_0039,5338.1716032989552,-2800.0833788806431
matlab_0040,16773.901695008277,-8257.4473069199194
matlab_0041,313228.62859750696,-140302.22461285119
matlab_0042,313228.62859750696,-140302.22461285119
matlab_0043,16773.901695008277,-8257.4473069199194
matlab_0044,5338.1716032989552,-2800.0833788806431
matlab_0045,2596.0353366960312,-1435.6066254521602
matlab_0046,1538.3741901489632,-891.71742342418975
matlab_0047,1023.4898159988261,-619.57488679919436
matlab_0048,735.12306584814553,-463.56361302875621
matlab_0049,557.65983890169821,-365.63605100682287
matlab_0050,440.76391317253609,-300.05636979648551
matlab_0051,359.69048603381702,-253.96023264410681
matlab_0052,301.13348738674364,-220.32170653783456
matlab_0053,257.42527353959906,-195.03244986428578
matlab_0054,223.89719875929509,-175.55609451269331
matlab_0055,197.57601854569782,-160.25588366996701
matlab_0056,176.4961030238066,-148.03599512868391
matlab_0057,159.31624829501703,-138.13959742285275
matlab_0058,145.09620051169873,-130.02988321960783
matlab_0059,133.16114433504842,-123.31722819852483
matlab_0060,123.01672006802981,-117.71308218262573
matlab_0061,114.29414163737771,-112.99992249932735
matlab_0062,106.7138262758491,-109.0111678829111
matlab_0063,100.06073303606382,-105.61744352194204
matlab_0064,94.167294558596282,-102.71699728556131
matlab_0065,88.90138444971295,-100.22888999886911
matlab_0066,84.15769203117722,-98.088076860222415
matlab_0067,79.851445109680341,-96.241801613827121
matlab_0068,75.913777805815371,-94.646917101940744
matlab_0069,72.288268512138799,-93.267869453017127
matlab_0070,68.928321783997546,-92.075164302251608
matlab_0071,65.795166704851098,-91.0441876342488
matlab_0072,62.856310886568515,-90.154290620987567
matlab_0073,60.084334889788458,-89.388073169119409
matlab_0074,57.455943530830915,-88.730818590911738
matlab_0075,54.951212824582768,-88.170044336256836
matlab_0076,52.552987172698558,-87.695142690226874
matlab_0077,50.246392819991947,-87.297091834106382
matlab_0078,48.018441899925023,-86.968222420219604
matlab_0079,45.857707480217719,-86.702028324347978
matlab_0080,43.754054527915365,-86.493012862361539
matlab_0081,41.69841507658807,-86.33656373425211
matlab_0082,39.682598404422585,-86.228851462294188
matlab_0083,37.699128939703805,-86.166747244738943
matlab_0084,35.741106056519413,-86.147757042120062
matlab_0085,33.802081021791835,-86.169969415636146
matlab_0086,31.875947187237951,-86.232015194710684
matlab_0087,29.956840146476374,-86.333037500037975
matlab_0088,28.039045041823442,-86.472671016666212
matlab_0089,26.116908538776883,-86.651029720103566
matlab_0090,24.184753211058545,-86.868702523673974
matlab_0091,22.236792210474615,-87.126756550741206
matlab_0092,20.267042143079806,-87.42674795215386
matlab_0093,18.269232040596417,-87.770740397002768
matlab_0094,16.236706203615327,-88.161331572455225
