sample_id,fx,fy
matlab_0000,-8.4768307692238665,-132.99414943560458
matlab_0001,-6.2694716003752315,-133.17800491890378
matlab_0002,-4.0347328474897042,-133.44283488948392
matlab_0003,-1.7667540508498931,-133.79373148778359
matlab_0004,0.54095496064926063,-134.23692864737615
matlab_0005,2.8956541261635973,-134.7799299933514
matlab_0006,5.3055375947493113,-135.43166704821641
matlab_0007,7.7799289882254978,-136.20269391691446
matlab_0008,10.329515619624102,-137.10542635838374
matlab_0009,12.96663205464222,-138.15443540144662
matlab_0010,15.705606407662632,-139.36680860901475
matlab_0011,18.563186797045418,-140.76259598855248
matlab_0012,21.55907084124247,-142.36536274259723
matlab_0013,24.716568524505849,-144.20287805366172
matlab_0014,28.063439021186721,-146.30797862529784
matlab_0015,31.632956349070213,-148.71965880508461
matlab_0016,35.465278822141869,-151.48445734069696
matlab_0017,39.609225901508282,-154.6582364714161
matlab_0018,44.12460734584792,-158.30848562170544
matlab_0019,49.085309982845551,-162.51733479999422
matlab_0020,54.583437144263584,-167.3855402887304
matlab_0021,60.734931222521638,-173.03782066395112
matlab_0022,67.687317831960669,-179.63009621716134
matlab_0023,75.63053585291334,-187.35945528491064
matlab_0024,84.812338778748796,-196.478097567357
matlab_0025,95.560606041907491,-207.3131929267399
matlab_0026,108.316336476214,-220.2957335424083
matlab_0027,123.68357439979513,-236.00339689481163
matlab_0028,142.50694342125175,-255.2258445899663
matlab_0029,165.99565404224694,-279.06708533546765
matlab_0030,195.92865302724732,-309.11129002976963
matlab_0031,235.0075471161413,-347.70180222656944
matlab_0032,287.49225551097572,-398.43205235809069
matlab_0033,360.41017622115839,-467.0565057396775
matlab_0034,466.0138433632743,-563.29373769163828
matlab_0035,627.20393965612425,-704.6930203661085
matlab_0036,890.81981729727988,-925.82003123139748
matlab_0037,1365.0879165281158,-1303.2623918865099
matlab_0038,2348.0423427892738,-2038.0886792978554
matlab_0039,4923.9644176174297,-3821.4241888108127
matlab_0040,15814.997248850952,-10631.910163639264
matlab_0041,304685.95856264501,-161218.59191797153
matlab_0042,304685.95856264501,-161218.59191797153
matlab_0043,15814.997248850952,-10631.910163639264
matlab_0044,4923.9644176174297,-3821.4241888108127
matlab_0045,2348.0423427892738,-2038.0886792978554
matlab_0046,1365.0879165281158,-1303.2623918865099
matlab_0047,890.81981729727988,-925.82003123139748
matlab_0048,627.20393965612425,-704.6930203661085
matlab_0049,466.0138433632743,-563.29373769163828
matlab_0050,360.41017622115839,-467.0565057396775
matlab_0051,287.49225551097572,-398.43205235809069
matlab_0052,235.0075471161413,-347.70180222656944
matlab_0053,195.92865302724732,-309.11129002976963
matlab_0054,165.99565404224694,-279.06708533546765
matlab_0055,142.50694342125175,-255.2258445899663
matlab_0056,123.68357439979513,-236.00339689481163
matlab_0057,108.316336476214,-220.2957335424083
matlab_0058,95.560606041907491,-207.3131929267399
matlab_0059,84.812338778748796,-196.478097567357
matlab_0060,75.63053585291334,-187.35945528491064
matlab_0061,67.687317831960669,-179.63009621716134
matlab_0062,60.734931222521638,-173.03782066395112
matlab_0063,54.583437144263584,-167.3855402887304
matlab_0064,49.085309982845551,-162.51733479999422
matlab_0065,44.12460734584792,-158.30848562170544
matlab_0066,39.609225901508282,-154.6582364714161
matlab_0067,35.465278822141869,-151.48445734069696
matlab_0068,31.632956349070213,-148.71965880508461
matlab_0069,28.063439021186721,-146.30797862529784
matlab_0070,24.716568524505849,-144.20287805366172
matlab_0071,21.55907084124247,-142.36536274259723
matlab_0072,18.563186797045418,-140.76259598855248
matlab_0073,15.705606407662632,-139.36680860901475
matlab_0074,12.96663205464222,-138.15443540144662
matlab_0075,10.329515619624102,-137.10542635838374
matlab_0076,7.7799289882254978,-136.20269391691446
matlab_0077,5.3055375947493113,-135.43166704821641
matlab_0078,2.8956541261635973,-134.7799299933514
matlab_0079,0.54095496064926063,-134.23692864737615
matlab_0080,-1.7667540508498931,-133.79373148778359
matlab_0081,-4.0347328474897042,-133.44283488948392
matlab_0082,-6.2694716003752315,-133.17800491890378
matlab_0083,-8.4768307692238665,-132.99414943560458
matlab_0084,-10.662161923821644,-132.88721568275201
matlab_0085,-12.830413505499429,-132.85410961452951
matlab_0086,-14.986224966413477,-132.89263406091717
