sample_id,x,y,vx,vy,ax,ay
matlab_0000,7,4,0,0,0,0
matlab_0001,7,4,0,0,0,0
matlab_0002,7,4,0,0,0,0
matlab_0003,7,4,0,0,0,0
matlab_0004,7,4,0,0,0,0
matlab_0005,7,4,0,0,0,0
matlab_0006,7,4,0,0,0,0
matlab_0007,7,4,0,0,0,0
matlab_0008,7,4,0,0,0,0
matlab_0009,7,4,0,0,0,0
matlab_0010,7,4,0,0,0,0
matlab_0011,7,4,0,0,0,0
matlab_0012,7,4,0,0,0,0
matlab_0013,7,4,0,0,0,0
matlab_0014,7,4,0,0,0,0
matlab_0015,7,4,0,0,0,0
matlab_0016,7,4,0,0,0,0
matlab_0017,7,4,0,0,0,0
matlab_0018,7,4,0,0,0,0
matlab_0019,7,4,0,0,0,0
matlab_0020,7,4,0,0,0,0
matlab_0021,7,4,0,0,0,0
matlab_0022,7,4,0,0,0,0
matlab_0023,7,4,0,0,0,0
matlab_0024,7,4,0,0,0,0
matlab_0025,7,4,0,0,0,0
matlab_0026,7,4,0,0,0,0
matlab_0027,7,4,0,0,0,0
matlab_0028,7,4,0,0,0,0
matlab_0029,7,4,0,0,0,0
matlab_0030,7,4,0,0,0,0
matlab_0031,7,4,0,0,0,0
matlab_0032,7,4,0,0,0,0
matlab_0033,7,4,0,0,0,0
matlab_0034,7,4,0,0,0,0
matlab_0035,7,4,0,0,0,0
matlab_0036,7,4,0,0,0,0
matlab_0037,7,4,0,0,0,0
matlab_0038,7,4,0,0,0,0
matlab_0039,7,4,0,0,0,0
matlab_0040,7,4,0,0,0,0
matlab_0041,7,4,0,0,0,0
matlab_0042,7,4,0,0,0,0
matlab_0043,7,4,0,0,0,0
matlab_0044,7,4,0,0,0,0
matlab_0045,7,4,0,0,0,0
matlab_0046,7,4,0,0,0,0
matlab_0047,7,4,0,0,0,0
matlab_0048,7,4,0,0,0,0
matlab_0049,7,4,0,0,0,0
matlab_0050,7,4,0,0,0,0
matlab_0051,7,4,0,0,0,0
matlab_0052,7,4,0,0,0,0
matlab_0053,7,4,0,0,0,0
matlab_0054,7,4,0,0,0,0
matlab_0055,7,4,0,0,0,0
matlab_0056,7,4,0,0,0,0
matlab_0057,7,4,0,0,0,0
matlab_0058,7,4,0,0,0,0
matlab_0059,7,4,0,0,0,0
matlab_0060,7,4,0,0,0,0
matlab_0061,7,4,0,0,0,0
matlab_0062,7,4,0,0,0,0
matlab_0063,7,4,0,0,0,0
matlab_0064,7,4,0,0,0,0
matlab_0065,7,4,0,0,0,0
matlab_0066,7,4,0,0,0,0
matlab_0067,7,4,0,0,0,0
matlab_0068,7,4,0,0,0,0
matlab_0069,7,4,0,0,0,0
matlab_0070,7,4,0,0,0,0
matlab_0071,7,4,0,0,0,0
matlab_0072,7,4,0,0,0,0
matlab_0073,7,4,0,0,0,0
matlab_0074,7,4,0,0,0,0
matlab_0075,7,4,0,0,0,0
matlab_0076,7,4,0,0,0,0
matlab_0077,7,4,0,0,0,0
matlab_0078,7,4,0,0,0,0
matlab_0079,7,4,0,0,0,0
matlab_0080,7,4,0,0,0,0
matlab_0081,7,4,0,0,0,0
matlab_0082,7,4,0,0,0,0
matlab_0083,7,4,0,0,0,0
matlab_0084,7,4,0,0,0,0
