sample_id,x,y,vx,vy,ax,ay
matlab_0000,23,10,0,0,0,0
matlab_0001,23,10,0,0,0,0
matlab_0002,23,10,0,0,0,0
matlab_0003,23,10,0,0,0,0
matlab_0004,23,10,0,0,0,0
matlab_0005,23,10,0,0,0,0
matlab_0006,23,10,0,0,0,0
matlab_0007,23,10,0,0,0,0
matlab_0008,23,10,0,0,0,0
matlab_0009,23,10,0,0,0,0
matlab_0010,23,10,0,0,0,0
matlab_0011,23,10,0,0,0,0
matlab_0012,23,10,0,0,0,0
matlab_0013,23,10,0,0,0,0
matlab_0014,23,10,0,0,0,0
matlab_0015,23,10,0,0,0,0
matlab_0016,23,10,0,0,0,0
matlab_0017,23,10,0,0,0,0
matlab_0018,23,10,0,0,0,0
matlab_0019,23,10,0,0,0,0
matlab_0020,23,10,0,0,0,0
matlab_0021,23,10,0,0,0,0
matlab_0022,23,10,0,0,0,0
matlab_0023,23,10,0,0,0,0
matlab_0024,23,10,0,0,0,0
matlab_0025,23,10,0,0,0,0
matlab_0026,23,10,0,0,0,0
matlab_0027,23,10,0,0,0,0
matlab_0028,23,10,0,0,0,0
matlab_0029,23,10,0,0,0,0
matlab_0030,23,10,0,0,0,0
matlab_0031,23,10,0,0,0,0
matlab_0032,23,10,0,0,0,0
matlab_0033,23,10,0,0,0,0
matlab_0034,23,10,0,0,0,0
matlab_0035,23,10,0,0,0,0
matlab_0036,23,10,0,0,0,0
matlab_0037,23,10,0,0,0,0
matlab_0038,23,10,0,0,0,0
matlab_0039,23,10,0,0,0,0
matlab_0040,23,10,0,0,0,0
matlab_0041,23,10,0,0,0,0
matlab_0042,23,10,0,0,0,0
matlab_0043,23,10,0,0,0,0
matlab_0044,23,10,0,0,0,0
matlab_0045,23,10,0,0,0,0
matlab_0046,23,10,0,0,0,0
matlab_0047,23,10,0,0,0,0
matlab_0048,23,10,0,0,0,0
matlab_0049,23,10,0,0,0,0
matlab_0050,23,10,0,0,0,0
matlab_0051,23,10,0,0,0,0
matlab_0052,23,10,0,0,0,0
matlab_0053,23,10,0,0,0,0
matlab_0054,23,10,0,0,0,0
matlab_0055,23,10,0,0,0,0
matlab_0056,23,10,0,0,0,0
matlab_0057,23,10,0,0,0,0
matlab_0058,23,10,0,0,0,0
matlab_0059,23,10,0,0,0,0
matlab_0060,23,10,0,0,0,0
matlab_0061,23,10,0,0,0,0
matlab_0062,23,10,0,0,0,0
matlab_0063,23,10,0,0,0,0
matlab_0064,23,10,0,0,0,0
matlab_0065,23,10,0,0,0,0
matlab_0066,23,10,0,0,0,0
matlab_0067,23,10,0,0,0,0
matlab_0068,23,10,0,0,0,0
matlab_0069,23,10,0,0,0,0
matlab_0070,23,10,0,0,0,0
matlab_0071,23,10,0,0,0,0
matlab_0072,23,10,0,0,0,0
matlab_0073,23,10,0,0,0,0
matlab_0074,23,10,0,0,0,0
matlab_0075,23,10,0,0,0,0
matlab_0076,23,10,0,0,0,0
matlab_0077,23,10,0,0,0,0
matlab_0078,23,10,0,0,0,0
matlab_0079,23,10,0,0,0,0
matlab_0080,23,10,0,0,0,0
matlab_0081,23,10,0,0,0,0
matlab_0082,23,10,0,0,0,0
matlab_0083,23,10,0,0,0,0
matlab_0084,23,10,0,0,0,0
matlab_0085,23,10,0,0,0,0
matlab_0086,23,10,0,0,0,0
matlab_0087,23,10,0,0,0,0
matlab_0088,23,10,0,0,0,0
matlab_0089,23,10,0,0,0,0
matlab_0090,23,10,0,0,0,0
matlab_0091,23,10,0,0,0,0
