sample_id,x,y,vx,vy,ax,ay
matlab_0000,43,32,-16.705164880012152,-2.2273553173349536,1.5296161164289317,-18.730960876346256
matlab_0001,42.7217971972469,31.960273793935997,-16.678922655369089,-2.5399246607215265,1.6191719980808728,-18.779661382643837
matlab_0002,42.444044118527223,31.915330687985598,-16.651203514364539,-2.8534225922608862,1.7067408303688811,-18.842508462092713
matlab_0003,42.166765073570801,31.865153206464498,-16.622045916352153,-3.16809119857834,1.7916765684938967,-18.920287450168825
matlab_0004,41.889983639902553,31.809719721855856,-16.591499361451916,-3.484187102914035,1.8732989921726158,-19.013960129211263
matlab_0005,41.61372247368864,31.749004187225612,-16.55962503194937,-3.8019845528555223,1.9508848904954283,-19.124683029252729
matlab_0006,41.338003108609968,31.68297581444067,-16.52649659133257,-4.1217788483657776,2.0236579099029446,-19.253830085644008
matlab_0007,41.062845739935121,31.611598691876708,-16.4922011659723,-4.4438901894119107,2.090776726210767,-19.403020490675033
matlab_0008,40.788268990497357,31.534831333854335,-16.456840540768297,-4.7686680383111151,2.151321118016535,-19.574152808850755
matlab_0009,40.514289654695162,31.452626152295828,-16.420532607998279,-5.0964961121209535,2.2042754095245218,-19.769446724213946
matlab_0010,40.240922415901196,31.364928838965,-16.383413118615096,-5.4277981462976159,2.2485086071496707,-19.991494175958131
matlab_0011,39.968179531742386,31.271677644034135,-16.345637798006898,-5.7630446041582193,2.2827503641907523,-20.243322147025953
matlab_0012,39.696070480548585,31.172802533468523,-16.307384904672674,-6.1027605497712551,2.3055616545565512,-20.528470043339365
matlab_0013,39.424601560790272,31.068224203646238,-16.2688583316103,-6.4475349579853152,2.3152986962033335,-20.851085500564039
matlab_0014,39.153775433439485,30.957852926483511,-16.230291378183484,-6.7980318088562068,2.3100682036191582,-21.216043668912285
matlab_0015,38.883590594765479,30.841587191776771,-16.191951357227698,-7.1550034109733165,2.287671417301933,-21.62909668125755
matlab_0016,38.614040763938846,30.719312105035197,-16.154145251567044,-7.5193065279167177,2.2455334849846125,-22.097062290747935
matlab_0017,38.345114165720673,30.590897488124476,-16.117226700800867,-7.8919220568581974,2.180613548132424,-22.628063844477481
matlab_0018,38.07679268311422,30.456195615679025,-16.081604690219301,-8.2739792463230106,2.089289158453985,-23.231838249134547
matlab_0019,37.809050847668658,30.315038501205514,-16.047754439361643,-8.6667857679946785,1.9672061696997041,-23.920135005773158
matlab_0020,37.54185462545194,30.167234621290358,-16.016231163457856,-9.0718654147995856,1.8090816432799155,-24.707238706715348
matlab_0021,37.275159943535286,30.01256493171266,-15.987687630145285,-9.4910058442518643,1.6084419786690134,-25.610661112416018
matlab_0022,37.008910883655659,29.850777981688221,-15.962896792416171,-9.9263197142595896,1.3572704778331861,-26.652069487133588
matlab_0023,36.743037444284809,29.681583866123251,-15.942781303232202,-10.380323912567116,1.0455263139534043,-27.85854924091397
matlab_0024,36.477452736175366,29.504646661776391,-15.928452498187127,-10.856043591406907,0.66047777748015513,-29.26434774753286
matlab_0025,36.212049424168463,29.319574857792063,-15.921262618406166,-11.357150762949582,0.1857622120835174,-30.91332388285284
matlab_0026,35.946695150991935,29.125909092143438,-15.9228758858332,-11.888151920977808,-0.39996472752122436,-32.862454447822202
matlab_0027,35.681226562795047,28.923106207110774,-15.935366967605884,-12.454646618955451,-1.1250114496045853,-35.186960706451082
matlab_0028,35.41544137742283,28.710518178559887,-15.961360141612221,-13.063691088703145,-2.0276300497784163,-37.987984367999722
matlab_0029,35.149087653537798,28.487363750761894,-16.004230513340563,-13.724321383053372,-3.1606178868192458,-41.404396329109744
matlab_0030,34.881848957238759,28.252689433014208,-16.068402638970756,-14.448325965525129,-4.5986482049406838,-45.631536066193533
matlab_0031,34.613323343573832,28.005314535934517,-16.159807296246417,-15.251421726131994,-6.4503761082409383,-50.952038275493933
matlab_0032,34.34299270060739,27.743751459368969,-16.286605326205073,-16.155108622913769,-8.8792922091365192,-57.788727885593566
matlab_0033,34.070176480027648,27.466086079440561,-16.460383986602295,-17.189720271645104,-12.141494780551124,-66.80005437727678
matlab_0034,33.79395892038621,27.169790721642624,-16.698237483658367,-18.399703624264816,-16.658398215369502,-79.063074673926224
matlab_0035,33.51306861010822,26.851416509513694,-17.026620005083085,-19.853349577826652,-23.16765047680849,-96.451762934940916
matlab_0036,33.225665943749149,26.506053730745023,-17.4890749915842,-21.662218320913702,-33.067999480618496,-122.49805777288122
matlab_0037,32.928935046263739,26.126302147237954,-18.163463413622175,-24.02422614475913,-49.314509448339017,-164.61798738492817
matlab_0038,32.618203826009349,25.700064569056401,-19.206422273500547,-27.334280560158014,-79.197197562702812,-240.99282153827806
matlab_0039,32.28468932932438,25.204929892948677,-20.996462795449997,-32.538553151912836,-145.68287427261004,-408.53632397206798
matlab_0040,31.907752103840952,24.589008171396245,-24.813077913099409,-42.806511703259623,-363.56177846293042,-949.78514268773756
matlab_0041,31.400100670974513,23.636470314886662,-42.348060570900827,-86.782481231299016,-3397.0680139447668,-8366.5469220481355
matlab_0042,31.400100670974513,23.636470314886662,42.348060570900827,86.782481231299016,-3397.0680139447668,-8366.5469220481355
matlab_0043,31.907752103840952,24.589008171396245,24.813077913099409,42.806511703259623,-363.56177846293042,-949.78514268773756
matlab_0044,32.28468932932438,25.204929892948677,20.996462795449997,32.538553151912836,-145.68287427261004,-408.53632397206798
matlab_0045,32.618203826009349,25.700064569056401,19.206422273500547,27.334280560158014,-79.197197562702812,-240.99282153827806
matlab_0046,32.928935046263739,26.126302147237954,18.163463413622175,24.02422614475913,-49.314509448339017,-164.61798738492817
matlab_0047,33.225665943749149,26.506053730745023,17.4890749915842,21.662218320913702,-33.067999480618496,-122.49805777288122
matlab_0048,33.51306861010822,26.851416509513694,17.026620005083085,19.853349577826652,-23.16765047680849,-96.451762934940916
matlab_0049,33.79395892038621,27.169790721642624,16.698237483658367,18.399703624264816,-16.658398215369502,-79.063074673926224
