sample_id,x,y,vx,vy,ax,ay
matlab_0000,45,17,0,0,0,0
matlab_0001,45,17,0,0,0,0
matlab_0002,45,17,0,0,0,0
matlab_0003,45,17,0,0,0,0
matlab_0004,45,17,0,0,0,0
matlab_0005,45,17,0,0,0,0
matlab_0006,45,17,0,0,0,0
matlab_0007,45,17,0,0,0,0
matlab_0008,45,17,0,0,0,0
matlab_0009,45,17,0,0,0,0
matlab_0010,45,17,0,0,0,0
matlab_0011,45,17,0,0,0,0
matlab_0012,45,17,0,0,0,0
matlab_0013,45,17,0,0,0,0
matlab_0014,45,17,0,0,0,0
matlab_0015,45,17,0,0,0,0
matlab_0016,45,17,0,0,0,0
matlab_0017,45,17,0,0,0,0
matlab_0018,45,17,0,0,0,0
matlab_0019,45,17,0,0,0,0
matlab_0020,45,17,0,0,0,0
matlab_0021,45,17,0,0,0,0
matlab_0022,45,17,0,0,0,0
matlab_0023,45,17,0,0,0,0
matlab_0024,45,17,0,0,0,0
matlab_0025,45,17,0,0,0,0
matlab_0026,45,17,0,0,0,0
matlab_0027,45,17,0,0,0,0
matlab_0028,45,17,0,0,0,0
matlab_0029,45,17,0,0,0,0
matlab_0030,45,17,0,0,0,0
matlab_0031,45,17,0,0,0,0
matlab_0032,45,17,0,0,0,0
matlab_0033,45,17,0,0,0,0
matlab_0034,45,17,0,0,0,0
matlab_0035,45,17,0,0,0,0
matlab_0036,45,17,0,0,0,0
matlab_0037,45,17,0,0,0,0
matlab_0038,45,17,0,0,0,0
matlab_0039,45,17,0,0,0,0
matlab_0040,45,17,0,0,0,0
matlab_0041,45,17,0,0,0,0
matlab_0042,45,17,0,0,0,0
matlab_0043,45,17,0,0,0,0
matlab_0044,45,17,0,0,0,0
matlab_0045,45,17,0,0,0,0
matlab_0046,45,17,0,0,0,0
matlab_0047,45,17,0,0,0,0
matlab_0048,45,17,0,0,0,0
matlab_0049,45,17,0,0,0,0
matlab_0050,45,17,0,0,0,0
matlab_0051,45,17,0,0,0,0
matlab_0052,45,17,0,0,0,0
matlab_0053,45,17,0,0,0,0
matlab_0054,45,17,0,0,0,0
matlab_0055,45,17,0,0,0,0
matlab_0056,45,17,0,0,0,0
matlab_0057,45,17,0,0,0,0
matlab_0058,45,17,0,0,0,0
matlab_0059,45,17,0,0,0,0
matlab_0060,45,17,0,0,0,0
matlab_0061,45,17,0,0,0,0
matlab_0062,45,17,0,0,0,0
matlab_0063,45,17,0,0,0,0
matlab_0064,45,17,0,0,0,0
matlab_0065,45,17,0,0,0,0
matlab_0066,45,17,0,0,0,0
matlab_0067,45,17,0,0,0,0
matlab_0068,45,17,0,0,0,0
matlab_0069,45,17,0,0,0,0
matlab_0070,45,17,0,0,0,0
matlab_0071,45,17,0,0,0,0
matlab_0072,45,17,0,0,0,0
matlab_0073,45,17,0,0,0,0
matlab_0074,45,17,0,0,0,0
matlab_0075,45,17,0,0,0,0
matlab_0076,45,17,0,0,0,0
matlab_0077,45,17,0,0,0,0
matlab_0078,45,17,0,0,0,0
matlab_0079,45,17,0,0,0,0
matlab_0080,45,17,0,0,0,0
matlab_0081,45,17,0,0,0,0
matlab_0082,45,17,0,0,0,0
matlab_0083,45,17,0,0,0,0
matlab_0084,45,17,0,0,0,0
matlab_0085,45,17,0,0,0,0
matlab_0086,45,17,0,0,0,0
matlab_0087,45,17,0,0,0,0
matlab_0088,45,17,0,0,0,0
matlab_0089,45,17,0,0,0,0
matlab_0090,45,17,0,0,0,0
matlab_0091,45,17,0,0,0,0
matlab_0092,45,17,0,0,0,0
matlab_0093,45,17,0,0,0,0
matlab_0094,45,17,0,0,0,0
matlab_0095,45,17,0,0,0,0
matlab_0096,45,17,0,0,0,0
matlab_0097,45,17,0,0,0,0
matlab_0098,45,17,0,0,0,0
matlab_0099,45,17,0,0,0,0
matlab_0100,45,17,0,0,0,0
matlab_0101,45,17,0,0,0,0
matlab_0102,45,17,0,0,0,0
matlab_0103,45,17,0,0,0,0
matlab_0104,45,17,0,0,0,0
matlab_0105,45,17,0,0,0,0
matlab_0106,45,17,0,0,0,0
matlab_0107,45,17,0,0,0,0
matlab_0108,45,17,0,0,0,0
matlab_0109,45,17,0,0,0,0
matlab_0110,45,17,0,0,0,0
matlab_0111,45,17,0,0,0,0
matlab_0112,45,17,0,0,0,0
matlab_0113,45,17,0,0,0,0
matlab_0114,45,17,0,0,0,0
matlab_0115,45,17,0,0,0,0
matlab_0116,45,17,0,0,0,0
matlab_0117,45,17,0,0,0,0
matlab_0118,45,17,0,0,0,0
matlab_0119,45,17,0,0,0,0
matlab_0120,45,17,0,0,0,0
matlab_0121,45,17,0,0,0,0
matlab_0122,45,17,0,0,0,0
matlab_0123,45,17,0,0,0,0
matlab_0124,45,17,0,0,0,0
matlab_0125,45,17,0,0,0,0
matlab_0126,45,17,0,0,0,0
matlab_0127,45,17,0,0,0,0
matlab_0128,45,17,0,0,0,0
