sample_id,theta_delta_rad,omega_rad_s,alpha_rad_s2
matlab_0000,0,0.20052719065466765,-0.036021392044203973
matlab_0001,0.0033373668933099343,0.19997170452419499,-0.030668668557400986
matlab_0002,0.0066662104757913565,0.19950388490126583,-0.025499007710353808
matlab_0003,0.0099879670851658053,0.19912079780520445,-0.020498544893929358
matlab_0004,0.013304026035463712,0.1988197314646549,-0.015654463050382424
matlab_0005,0.016615733179496495,0.19859817965613577,-0.010954898681983681
matlab_0006,0.019924394206217111,0.19845382652564944,-0.0063888576754643003
matlab_0007,0.023231277696386554,0.19838453273933274,-0.0019461398178031808
matlab_0008,0.026537617957536619,0.19838832282664928,0.0023827289771806101
matlab_0009,0.029844617657066863,0.19846337359490987,0.0066065575881273531
matlab_0010,0.033153450270425433,0.19860800350727367,0.010733544501244894
matlab_0011,0.036465262359607176,0.19882066292808859,0.014771327178864813
matlab_0012,0.039781175695702498,0.19909992514971758,0.01872702655917843
matlab_0013,0.043102289237861191,0.19944447812402821,0.022607287195563666
matlab_0014,0.046429680979842958,0.19985311682968504,0.02641831348366501
matlab_0015,0.049764409674215526,0.20032473621340396,0.030165902371906486
matlab_0016,0.053107516443302361,0.20085832464953857,0.033855472905358827
matlab_0017,0.056460026285089948,0.20145295786785195,0.037492092912887513
matlab_0018,0.059822949481516396,0.20210779330420037,0.041080503112525736
matlab_0019,0.063197282915840702,0.20282206483317353,0.044625138879348263
matlab_0020,0.066584011305146407,0.20359507784558178,0.048130149893229161
matlab_0021,0.069984108353439489,0.20442620463709774,0.051599417860231159
matlab_0022,0.073398537830270894,0.20531488007741611,0.055036572480611806
matlab_0023,0.076828254579317967,0.20626059753202236,0.05844500581813062
matlab_0024,0.080274205460923009,0.20726290501109756,0.06182788520926772
matlab_0025,0.083737330232178442,0.20832140152228712,0.065188164836769896
matlab_0026,0.087218562367769925,0.2094357336060105,0.068528596079464987
matlab_0027,0.09071882982446422,0.21060559203378423,0.071851736739279221
matlab_0028,0.094239055751797585,0.21183070865160855,0.075159959236722432
matlab_0029,0.09778015915125049,0.2131108533519285,0.078455457857599067
matlab_0030,0.10134305548591682,0.2144458311589984,0.081740255126227249
matlab_0031,0.10492865724244815,0.21583547941366504,0.08501620737393209
matlab_0032,0.10853787444681018,0.21727966504469873,0.088285009565848269
matlab_0033,0.11217161513520368,0.21877828191479187,0.091548199444138653
matlab_0034,0.11583078578129569,0.22033124823029637,0.094807161041415275
matlab_0035,0.11951629168074185,0.22193850400461498,0.09806312761449254
matlab_0036,0.12322903729381185,0.22360000856599127,0.10131718404545149
matlab_0037,0.12696992654679096,0.22531573810118305,0.10457026875435924
matlab_0038,0.13073986309268559,0.22708568322724171,0.1078231751657954
matlab_0039,0.13453975053164335,0.22890984658429678,0.11107655276955573
matlab_0040,0.13837049259138401,0.23078824044290758,0.11433090781449182
matlab_0041,0.14223299326783156,0.23272088432018553,0.1175866036733693
matlab_0042,0.14223299326783156,-0.23272088432018553,0.1175866036733693
matlab_0043,0.13837049259138401,-0.23078824044290758,0.11433090781449182
matlab_0044,0.13453975053164335,-0.22890984658429678,0.11107655276955573
matlab_0045,0.13073986309268559,-0.22708568322724171,0.1078231751657954
matlab_0046,0.12696992654679096,-0.22531573810118305,0.10457026875435924
matlab_0047,0.12322903729381185,-0.22360000856599127,0.10131718404545149
matlab_0048,0.11951629168074185,-0.22193850400461498,0.09806312761449254
matlab_0049,0.11583078578129569,-0.22033124823029637,0.094807161041415275
matlab_0050,0.11217161513520368,-0.21877828191479187,0.091548199444138653
matlab_0051,0.10853787444681018,-0.21727966504469873,0.088285009565848269
matlab_0052,0.10492865724244815,-0.21583547941366504,0.08501620737393209
matlab_0053,0.10134305548591682,-0.2144458311589984,0.081740255126227249
matlab_0054,0.09778015915125049,-0.2131108533519285,0.078455457857599067
matlab_0055,0.094239055751797585,-0.21183070865160855,0.075159959236722432
matlab_0056,0.09071882982446422,-0.21060559203378423,0.071851736739279221
matlab_0057,0.087218562367769925,-0.2094357336060105,0.068528596079464987
matlab_0058,0.083737330232178442,-0.20832140152228712,0.065188164836769896
matlab_0059,0.080274205460923009,-0.20726290501109756,0.06182788520926772
matlab_0060,0.076828254579317967,-0.20626059753202236,0.05844500581813062
