sample_id,theta_delta_rad,omega_rad_s,alpha_rad_s2
matlab_0000,0,0.95807435535007879,-0.23660185385226712
matlab_0001,0.015935205632084726,0.95415975309974321,-0.23320579410342596
matlab_0002,0.031805624405380817,0.9502990355634614,-0.23013258447919274
matlab_0003,0.047612110402307062,0.94648697278621075,-0.22736437266338105
matlab_0004,0.063355432950137791,0.94271862008085738,-0.22488475558571641
matlab_0005,0.079036281180469903,0.93898929499524264,-0.22267864726813591
matlab_0006,0.094655268222517686,0.93529455636718495,-0.22073216014930974
matlab_0007,0.11021293506323704,0.93163018525614105,-0.21903249831652519
matlab_0008,0.12570975410397445,0.92799216756474978,-0.21756786127428646
matlab_0009,0.14114613244039198,0.92437667818486269,-0.21632735705119924
matlab_0010,0.15652241488983032,0.9207800665213558,-0.21530092359516742
matlab_0011,0.17183888678797477,0.91719884326343548,-0.21447925753520475
matlab_0012,0.18709577657462129,0.91362966828755632,-0.21385374949923941
matlab_0013,0.20229325818652821,0.91006933958876912,-0.21341642527364826
matlab_0014,0.21743145327371716,0.90651478314848677,-0.21315989217403486
matlab_0015,0.23251043325413012,0.90296304365656721,-0.21307729006976095
matlab_0016,0.24753022122025792,0.89941127601433901,-0.21316224656844673
matlab_0017,0.26249079371019945,0.89585673755296535,-0.21340883592238322
matlab_0018,0.27739208235457635,0.89229678090841746,-0.2138115412676293
matlab_0019,0.29223397540980156,0.88872884750045766,-0.21436521984945911
matlab_0020,0.30701631918736294,0.88515046156847887,-0.21506507092555693
matlab_0021,0.32173891938805022,0.88155922472191162,-0.21590660607162929
matlab_0022,0.33640154234937825,0.87795281096723921,-0.21688562164350761
matlab_0023,0.3510039162138554,0.87432896217755696,-0.21799817317586465
matlab_0024,0.36554573202522489,0.87068548397405787,-0.21924055152077185
matlab_0025,0.38002664475929437,0.86702024199194816,-0.22060926054991817
matlab_0026,0.394446274295571,0.86333115850607134,-0.22210099626265631
matlab_0027,0.40880420633549064,0.85961620939400707,-0.22371262715849149
matlab_0028,0.42309999327270664,0.85587342141664846,-0.22544117574736952
matlab_0029,0.43733315502057746,0.85210086979825372,-0.22728380108441187
matlab_0030,0.45150317980169774,0.84829667608976334,-0.22923778222777527
matlab_0031,0.46560952490408192,0.84445900630075632,-0.23130050252919057
matlab_0032,0.47965161740835316,0.84058606928686486,-0.23346943467671066
matlab_0033,0.49362885489010999,0.83667611538070208,-0.23574212641826275
matlab_0034,0.50754060610141805,0.83272743525550597,-0.23811618690300818
matlab_0035,0.52138621163524457,0.82873835901166548,-0.24058927358522425
matlab_0036,0.53516498457644968,0.82470725547716639,-0.24315907964264563
matlab_0037,0.54887621114285667,0.82063253171373685,-0.24582332186790384
matlab_0038,0.56251915131974273,0.81651263272110508,-0.24857972899803507
matlab_0039,0.57609303949100821,0.81234604133232435,-0.25142603045298501
matlab_0040,0.58959708507014441,0.8081312782935437,-0.2543599454596891
matlab_0041,0.60303047313402147,0.80386690252196158,-0.25737917254371245
matlab_0042,0.60303047313402147,-0.80386690252196158,-0.25737917254371245
matlab_0043,0.58959708507014441,-0.8081312782935437,-0.2543599454596891
matlab_0044,0.57609303949100821,-0.81234604133232435,-0.25142603045298501
matlab_0045,0.56251915131974273,-0.81651263272110508,-0.24857972899803507
matlab_0046,0.54887621114285667,-0.82063253171373685,-0.24582332186790384
matlab_0047,0.53516498457644968,-0.82470725547716639,-0.24315907964264563
matlab_0048,0.52138621163524457,-0.82873835901166548,-0.24058927358522425
matlab_0049,0.50754060610141805,-0.83272743525550597,-0.23811618690300818
matlab_0050,0.49362885489010999,-0.83667611538070208,-0.23574212641826275
matlab_0051,0.47965161740835316,-0.84058606928686486,-0.23346943467671066
matlab_0052,0.46560952490408192,-0.84445900630075632,-0.23130050252919057
matlab_0053,0.45150317980169774,-0.84829667608976334,-0.22923778222777527
matlab_0054,0.43733315502057746,-0.85210086979825372,-0.22728380108441187
matlab_0055,0.42309999327270664,-0.85587342141664846,-0.22544117574736952
matlab_0056,0.40880420633549064,-0.85961620939400707,-0.22371262715849149
matlab_0057,0.394446274295571,-0.86333115850607134,-0.22210099626265631
matlab_0058,0.38002664475929437,-0.86702024199194816,-0.22060926054991817
matlab_0059,0.36554573202522489,-0.87068548397405787,-0.21924055152077185
matlab_0060,0.3510039162138554,-0.87432896217755696,-0.21799817317586465
matlab_0061,0.33640154234937825,-0.87795281096723921,-0.21688562164350761
matlab_0062,0.32173891938805022,-0.88155922472191162,-0.21590660607162929
matlab_0063,0.30701631918736294,-0.88515046156847887,-0.21506507092555693
matlab_0064,0.29223397540980156,-0.88872884750045766,-0.21436521984945911
matlab_0065,0.27739208235457635,-0.89229678090841746,-0.2138115412676293
matlab_0066,0.26249079371019945,-0.89585673755296535,-0.21340883592238322
matlab_0067,0.24753022122025792,-0.89941127601433901,-0.21316224656844673
matlab_0068,0.23251043325413012,-0.90296304365656721,-0.21307729006976095
