sample_id,theta_delta_rad,omega_rad_s,alpha_rad_s2
matlab_0000,0,-0.1095925477380975,-0.17500919579599042
matlab_0001,-0.0018511511856223878,-0.11256410332984051,-0.18167296414001666
matlab_0002,-0.0037527807816499087,-0.1156516012956372,-0.18892877950459616
matlab_0003,-0.0057069052635048551,-0.11886525054116664,-0.19681863055929827
matlab_0004,-0.0077157173769504123,-0.12221601253273701,-0.20539096364030174
matlab_0005,-0.0097815996149122758,-0.12571571573828258,-0.2147015268894879
matlab_0006,-0.011907139726620566,-0.12937718555012084,-0.22481438928579622
matlab_0007,-0.014095148542971739,-0.1332143928948111,-0.23580317084567004
matlab_0008,-0.01634868046089806,-0.13724262541747168,-0.24775252996303035
matlab_0009,-0.018671057001233657,-0.14147868599386981,-0.26075996637636684
matlab_0010,-0.021065893942640371,-0.14594112442822688,-0.27493801455651234
matlab_0011,-0.023537132643076594,-0.15065050961151916,-0.29041692373612926
matlab_0012,-0.026089076296142114,-0.15562975124423345,-0.30734794921097525
matlab_0013,-0.028726432040293029,-0.16090448260584048,-0.32590741755453212
matlab_0014,-0.031454360055093819,-0.16650351897013069,-0.34630177973730836
matlab_0015,-0.034278531054684799,-0.17245941038528603,-0.36877393621393784
matlab_0016,-0.037205193944213774,-0.178809113033575,-0.39361121469146976
matlab_0017,-0.040241255867144374,-0.18559481079112888,-0.42115551613372143
matlab_0018,-0.043394377478020676,-0.1928649286950786,-0.45181633499661872
matlab_0019,-0.04667308707994848,-0.20067539392511222,-0.48608763221373646
matlab_0020,-0.05008691834530217,-0.20909121930334512,-0.52456993501340055
matlab_0021,-0.053646577803501141,-0.21818851175687037,-0.5679996206876804
matlab_0022,-0.057364150295227748,-0.22805704758803746,-0.61728821527296485
matlab_0023,-0.061253353404971247,-0.2388036138969778,-0.67357587186329781
matlab_0024,-0.06532985587009231,-0.25055640091754261,-0.73830527007291979
matlab_0025,-0.069611680712703475,-0.26347085942308618,-0.81332548377918035
matlab_0026,-0.074119722288284104,-0.27773763766360315,-0.90104075527893646
