sample_id,theta_delta_rad,omega_rad_s,alpha_rad_s2
matlab_0000,0,1.1136776586674768,0.063395982560080957
matlab_0001,0.018570912208631052,1.1148808427643704,0.081050745790083228
matlab_0002,0.037164348660825519,1.1163817861428442,0.099144176601517101
matlab_0003,0.055785337754643338,1.11818867155191,0.11778197613451534
matlab_0004,0.074439059273227803,1.1203115030574515,0.13707726656234104
matlab_0005,0.093130875846953787,1.122762243588755,0.15715229223176647
matlab_0006,0.11186636695536456,1.1255549828719871,0.1781403745553439
matlab_0007,0.13065136601341698,1.1287061404951608,0.20018818473921318
matlab_0008,0.14949200117518013,1.1322347100400982,0.22345841386223028
matlab_0009,0.16839474059896298,1.1361625517027467,0.24813294000525146
matlab_0010,0.18736644305656602,1.1405147426957618,0.27441661864602102
matlab_0011,0.20641441494323609,1.1453199971090799,0.3025418575781918
matlab_0012,0.22554647496395841,1.1506111699618631,0.33277418425010824
matlab_0013,0.24477102804877382,1.1564258641395333,0.36541907597849338
matlab_0014,0.26409715040261594,1.1628071640866962,0.40083040814914189
matlab_0015,0.28353468804721693,1.1698045269582429,0.43942099117576494
matlab_0016,0.30309437179654664,1.1774748710351319,0.48167582664894826
matlab_0017,0.32278795236769975,1.1858839134710464,0.52816893599082237
matlab_0018,0.34262836032872768,1.195107826128893,0.57958492985694687
matlab_0019,0.36262989691220016,1.2052353012654613,0.6367469373539526
matlab_0020,0.38280846350484188,1.2163701509169511,0.70065316869959682
matlab_0021,0.40318184004401125,1.2286346092446396,0.77252534998869693
matlab_0022,0.42377002588270019,1.2421735723053171,0.85387371543647317
matlab_0023,0.44459566133466044,1.2571601048841146,0.94658545110976167
matlab_0024,0.46568455470430292,1.2738026854350442,1.0530469239650824
matlab_0025,0.48706634911600366,1.2923548744327047,1.1763155062867743
matlab_0026,0.50877537743788315,1.3131284231835347,1.3203657385535454
matlab_0027,0.53085177458596444,1.3365113663167953,1.490449544825772
matlab_0028,0.55334294876416745,1.3629934985144343,1.6936360772312795
matlab_0029,0.57630556414200118,1.3932030760564267,1.9396429971148423
matlab_0030,0.59980827037104412,1.4279610874026036,2.2421569183093411
matlab_0031,0.62393555398600808,1.4683639657441383,2.6210077052387537
matlab_0032,0.64879333159364627,1.5159141932683597,3.1059030721810355
matlab_0033,0.67451735477834074,1.5727353914026039,3.7431735151725638
matlab_0034,0.70128637145443706,1.6419450449577462,4.6087182807191347
matlab_0035,0.72934380874339455,1.7283423138835075,5.8347989417539168
matlab_0036,0.75903586535301626,1.8397828885628988,7.671088354981781
matlab_0037,0.79088431406659998,1.9902325301731643,10.642679177926498
matlab_0038,0.82574276392774859,2.2076183597317431,16.039059948321803
matlab_0039,0.86519515617144771,2.5590057525652199,27.903860478474446
matlab_0040,0.91291798282653636,3.2696074839690463,66.348890147245342
matlab_0041,0.98425985024697482,6.3811120311813001,595.32199521230689
matlab_0042,0.98425985024697482,-6.3811120311813001,595.32199521230689
matlab_0043,0.91291798282653636,-3.2696074839690463,66.348890147245342
matlab_0044,0.86519515617144771,-2.5590057525652199,27.903860478474446
matlab_0045,0.82574276392774859,-2.2076183597317431,16.039059948321803
matlab_0046,0.79088431406659998,-1.9902325301731643,10.642679177926498
matlab_0047,0.75903586535301626,-1.8397828885628988,7.671088354981781
matlab_0048,0.72934380874339455,-1.7283423138835075,5.8347989417539168
matlab_0049,0.70128637145443706,-1.6419450449577462,4.6087182807191347
matlab_0050,0.67451735477834074,-1.5727353914026039,3.7431735151725638
matlab_0051,0.64879333159364627,-1.5159141932683597,3.1059030721810355
matlab_0052,0.62393555398600808,-1.4683639657441383,2.6210077052387537
matlab_0053,0.59980827037104412,-1.4279610874026036,2.2421569183093411
matlab_0054,0.57630556414200118,-1.3932030760564267,1.9396429971148423
matlab_0055,0.55334294876416745,-1.3629934985144343,1.6936360772312795
matlab_0056,0.53085177458596444,-1.3365113663167953,1.490449544825772
matlab_0057,0.50877537743788315,-1.3131284231835347,1.3203657385535454
matlab_0058,0.48706634911600366,-1.2923548744327047,1.1763155062867743
matlab_0059,0.46568455470430292,-1.2738026854350442,1.0530469239650824
matlab_0060,0.44459566133466044,-1.2571601048841146,0.94658545110976167
matlab_0061,0.42377002588270019,-1.2421735723053171,0.85387371543647317
matlab_0062,0.40318184004401125,-1.2286346092446396,0.77252534998869693
matlab_0063,0.38280846350484188,-1.2163701509169511,0.70065316869959682
matlab_0064,0.36262989691220016,-1.2052353012654613,0.6367469373539526
matlab_0065,0.34262836032872768,-1.195107826128893,0.57958492985694687
matlab_0066,0.32278795236769975,-1.1858839134710464,0.52816893599082237
matlab_0067,0.30309437179654664,-1.1774748710351319,0.48167582664894826
matlab_0068,0.28353468804721693,-1.1698045269582429,0.43942099117576494
matlab_0069,0.26409715040261594,-1.1628071640866962,0.40083040814914189
matlab_0070,0.24477102804877382,-1.1564258641395333,0.36541907597849338
matlab_0071,0.22554647496395841,-1.1506111699618631,0.33277418425010824
matlab_0072,0.20641441494323609,-1.1453199971090799,0.3025418575781918
matlab_0073,0.18736644305656602,-1.1405147426957618,0.27441661864602102
matlab_0074,0.16839474059896298,-1.1361625517027467,0.24813294000525146
matlab_0075,0.14949200117518013,-1.1322347100400982,0.22345841386223028
matlab_0076,0.13065136601341698,-1.1287061404951608,0.20018818473921318
matlab_0077,0.11186636695536456,-1.1255549828719871,0.1781403745553439
matlab_0078,0.093130875846953787,-1.122762243588755,0.15715229223176647
matlab_0079,0.074439059273227803,-1.1203115030574515,0.13707726656234104
matlab_0080,0.055785337754643338,-1.11818867155191,0.11778197613451534
matlab_0081,0.037164348660825519,-1.1163817861428442,0.099144176601517101
matlab_0082,0.018570912208631052,-1.1148808427643704,0.081050745790083228
matlab_0083,0,-1.1136776586674768,0.063395982560080971
matlab_0084,-0.018553294374132445,-1.112765761481002,0.046080107163753596
matlab_0085,-0.037093783081445286,-1.1121403018926383,0.029007919923961397
matlab_0086,-0.055626210520768549,-1.1117979876217161,0.012087581980752762
matlab_0087,-0.074155278858966112,-1.1117370369139969,-0.0047705129018463339
matlab_0088,-0.092685672946161146,-1.111957150271373,-0.021654802588250723
matlab_0089,-0.11122208490550478,-1.1124594995567934,-0.038653581225827266
matlab_0090,-0.12976923868262813,-1.1132467340040069,-0.055856006808312555
matlab_0091,-0.14833191483514496,-1.1143230030272164,-0.07335311314395454
matlab_0092,-0.16691497584382553,-1.115693996080956,-0.091238847468880335
matlab_0093,-0.18552339223412995,-1.1173670001773528,-0.10961115541723385
matlab_0094,-0.20416226981004604,-1.119350976038844,-0.1285731362654092
matlab_0095,-0.2228368783216923,-1.1216566542617674,-0.14823429335265018
matlab_0096,-0.24155268191466028,-1.1242966533037531,-0.16871190742885395
matlab_0097,-0.26031537174333153,-1.1272856216008647,-0.19013256452066313
matlab_0098,-0.279130901173402,-1.1306404066869575,-0.2126338749194967
