sample_id,x,y,vx,vy,ax,ay
pmks_positive_0000,11.558369312705356,8.0275636815556481,-4.2176548246134278,4.7735131817147662,-4.9988113144963826,-4.4167178041276971
pmks_positive_0001,11.487384372657523,8.1065047780355801,-4.3003217475359872,4.6991779263248388,-4.9209676170844769,-4.5032864033771594
pmks_positive_0002,11.415032531859509,8.1841949933795171,-4.3816787507960946,4.6234112558165927,-4.8416249452659219,-4.588483257963837
pmks_positive_0003,11.34133582938291,8.260610662395262,-4.4617010522624323,4.5462362494518338,-4.7608074675871643,-4.6722824161005017
pmks_positive_0004,11.266316713957217,8.3357285081297796,-4.5403642763667831,4.467676415485113,-4.6785398018348037,-4.7546583517518073
pmks_positive_0005,11.189998037131716,8.4095256489595762,-4.6176444615290562,4.3877556840028831,-4.5948470075367718,-4.835585972409759
pmks_positive_0006,11.112403046314679,8.4819796055606655,-4.6935180674562211,4.3064983996341599,-4.509754578328959,-4.9150406267371425
pmks_positive_0007,11.033555377691993,8.5530683077559893,-4.7679619823129089,4.2239293141349226,-4.4232884341896153,-4.9929981120765534
pmks_positive_0008,10.953479049027335,8.6227701012382081,-4.8409535297614994,4.1400735788484786,-4.3354749135438606,-5.0694346818227674
pmks_positive_0009,10.872198452346131,8.6910637541658105,-4.9124704758695552,4.0549567370441242,-4.2463407652407525,-5.1443270526561831
pmks_positive_0010,10.789738346505514,8.7579284636305381,-4.9824910358824894,3.9686047161364173,-4.1559131404053247,-5.2176524116351422
pmks_positive_0011,10.706123849652531,8.8233438619941555,-5.0509938808594192,3.881043819787438,-4.0642195841680948,-5.2893884231449828
pmks_positive_0012,10.621380431572916,8.8872900230926284,-5.1179581441701636,3.7923007198944361,-3.9712880272745479,-5.3595132357016784
pmks_positive_0013,10.535533905932745,8.9497474683058265,-5.18336342785142,3.7024024484653122,-3.877146777577162,-5.4280054886080089
pmks_positive_0014,10.44861042241534,9.0106971724908984,-5.2471898088201847,3.6113763893844086,-3.7818245114125633,-5.4948443184602409
pmks_positive_0015,10.360636458755828,9.0701205697775151,-5.3094178449425122,3.5192502700711081,-3.6853502648664294,-5.5600093655033156
pmks_positive_0016,10.271638812675763,9.1279995592232197,-5.3700285809557879,3.4260521530338028,-3.5877534249288292,-5.6234807798326409
pmks_positive_0017,10.181644593720279,9.1843165103271343,-5.4290035542426658,3.3318104273217695,-3.4890637205426467,-5.6852392274405448
pmks_positive_0018,10.090681215000265,9.2390542684004018,-5.4863248004549829,3.2365537998776022,-3.389311213547868,-5.7452658961056207
pmks_positive_0019,9.9987763848420599,9.2921961597916578,-5.5419748589858617,3.1403112867927909,-3.2885262895244471,-5.8035425011231041
pmks_positive_0020,9.9059580983472344,9.3437259969659863,-5.5959367782883778,3.0431122044691454,-3.1867396485365691,-5.8600512908745674
pmks_positive_0021,9.8122546288650021,9.3936280834358019,-5.64819412103917,2.9449861606887269,-3.0839822957811047,-5.914775052235238
pmks_positive_0022,9.7176945193798971,9.4418872185421545,-5.6987309691454078,2.8459630455950427,-2.9802855321431396,-5.9676971158172849
pmks_positive_0023,9.6223065738172906,9.4884887020849931,-5.7475319285935971,2.7460730225882068,-2.8756809446614096,-6.0188013610474727
pmks_positive_0024,9.5261198482694454,9.5334183388009937,-5.7945821341387456,2.6453465191368841,-2.7702003969065885,-6.0680722210776485
