sample_id,x,y,vx,vy,ax,ay
pmks_positive_0000,48.059561065300194,20.065375137862642,-15.669062084495685,140.51165248907728,-1557.4017920273429,-5934.0275547301653
pmks_positive_0001,47.688062531975859,21.857577155120705,-25.395647392019008,84.911274849581076,-141.25786089520648,-1914.1284595601139
pmks_positive_0002,47.256752942414039,23.062608628518934,-25.906079486544968,62.248101632784874,31.622712292125243,-970.33167116554228
pmks_positive_0003,46.831394983949359,23.986226604581162,-25.05857441429248,49.621823581679671,61.145016959620392,-592.52901143132249
pmks_positive_0004,46.422418909580237,24.741154730059552,-24.017957591948189,41.495680037178118,61.654111463000774,-401.58906272697254
pmks_positive_0005,46.030428452967378,25.382729306020465,-23.038303207283569,35.798288846653989,55.466153221117906,-291.17799243615082
pmks_positive_0006,45.653824393264046,25.942502138145869,-22.17439568419702,31.567425455369822,48.21167173956097,-221.42963676554572
pmks_positive_0007,45.290624631786528,26.440247375861389,-21.428417379715651,28.291916453564962,41.433654737170457,-174.51847201343469
pmks_positive_0008,44.938954160378579,26.889199023350841,-20.788515801297098,25.673900542627162,35.50188210047925,-141.45627142367999
pmks_positive_0009,44.597165270510303,27.298653448598181,-20.240241807663807,23.527615138432953,30.427514759196093,-117.2947624830685
pmks_positive_0010,44.263846187085271,27.675388624665633,-19.770014004801357,21.731008930966002,26.117911761638698,-99.12032772477761
pmks_positive_0011,43.937797168463405,28.024494377715499,-19.366022429144543,20.200508038396364,22.460638494842694,-85.123620740209688
pmks_positive_0012,43.617999866210141,28.349885562405369,-19.018288594223744,18.876932149167299,19.350621497701603,-74.131433107355207
pmks_positive_0013,43.303588294883959,28.654633657251583,-18.718466297836066,17.717192466224162,16.697491635995483,-65.355311713094807
pmks_positive_0014,42.993823735227814,28.941189020721048,-18.459587600942353,16.689172752677816,14.426039563935436,-58.249155698120184
pmks_positive_0015,42.688073800785652,29.211534510782464,-18.235823195045619,15.768451768121697,12.474481977279812,-52.424855419124263
pmks_positive_0016,42.385795224274965,29.467294479968835,-18.0422769198276,14.936136290702635,10.792258908775194,-47.600377793904002
pmks_positive_0017,42.086519765043263,29.709813873764126,-17.874816331671525,14.177388251704693,9.3379627439130424,-43.566754690502925
pmks_positive_0018,41.789842666098025,29.940216772484796,-17.729935328827533,13.480399258779064,8.0775735445873345,-40.166484246131638
pmks_positive_0019,41.495413170791515,30.159450474352198,-17.604643469259326,12.835661346792364,6.9830170233379949,-37.279040947485981
pmks_positive_0020,41.202926697701898,30.368319203111788,-17.496376874866414,12.235438575146221,6.0310083171395661,-34.810936746493397
pmks_positive_0021,40.912118351380641,30.567510236787101,-17.402926366512176,11.673377699849395,5.2021322683862801,-32.688767616755094
pmks_positive_0022,40.622757512400575,30.757614411599715,-17.322379286346251,11.144216977293091,4.4801133990790571,-30.854261657579034
pmks_positive_0023,40.334643302998529,30.939142391087604,-17.253072188010407,10.643565392801969,3.8512358105662985,-29.260695653551757
pmks_positive_0024,40.047600766430506,31.112537705365312,-17.193552174134865,10.16773320994462,3.3038808473021013,-27.870263966198763
pmks_positive_0025,39.761477631026082,31.278187297789291,-17.142545138620498,9.7136004430356593,2.828157127204721,-26.652120924589056
pmks_positive_0026,39.476141555714896,31.43643012717628,-17.098929546391989,9.2785137109869318,2.4156031115219205,-25.580906571225654
pmks_positive_0027,39.191477774050696,31.587564238117817,-17.061714675420031,8.8602045801267248,2.058946809249266,-24.635624004202416
pmks_positive_0028,38.907387069707717,31.731852613371164,-17.030022472619198,8.4567243524660789,1.7519106575052814,-23.798775661085632
pmks_positive_0029,38.623784029035484,31.869528049767126,-17.003072351393349,8.066391564476131,1.4890522810946576,-23.055692500150453
pmks_positive_0030,38.34059552627108,32.000797245070501,-16.980168395729713,7.6877493998091744,1.2656338829362592,-22.394008409530038
pmks_positive_0031,38.057759404997554,32.125844242592294,-16.960688542844419,7.3195309004690072,1.0775145928111594,-21.80324503613943
pmks_positive_0032,37.775223325842575,32.244833349470518,-16.944075400370107,6.9606303608329281,0.92106131598648378,-21.27448134218286
pmks_positive_0033,37.492943755571716,32.357911620851034,-16.929828420232745,6.6100796596937483,0.79307456136798238,-20.80008873433292
pmks_positive_0034,37.210885076908639,32.465210983875814,-16.917497203720746,6.2670285631634712,0.69072645630070961,-20.373517350155947
pmks_positive_0035,36.929018801812688,32.566850061095728,-16.906675753881444,5.9307282411366131,0.61150872158583081,-19.989122557701656
pmks_positive_0036,36.647322873721308,32.662935741695769,-16.896997524646693,5.6005173999614648,0.55318882328701491,-19.642023291148512
pmks_positive_0037,36.365781046544129,32.75356454003277,-16.888131142796887,5.2758105568602334,0.51377286593228022,-19.327985760764967
pmks_positive_0038,36.084382330074391,32.838823773904359,-16.879776700417775,4.9560880767623763,0.49147406638484431,-19.043327516791525
pmks_positive_0039,35.803120493038783,32.918792589288635,-16.87166253296612,4.6408876663649545,0.48468586540679615,-18.784837940220658
pmks_positive_0040,35.521993616298865,32.993542853711695,-16.863542412276693,4.3297970784121027,0.49195890733381192,-18.549712069183215
pmks_positive_0041,35.241003689794873,33.063139936681296,-16.855193095472284,4.0224478251148446,0.51198125694411201,-18.335495313113313
pmks_positive_0042,34.960156247724754,33.127643392588624,-16.846412180290876,3.7185097360992172,0.54356133395510953,-18.140037105729739
pmks_positive_0043,34.679460037208003,33.187107558988352,-16.837016225230368,3.4176862253760127,0.5856131353383911,-17.961451937253706
pmks_positive_0044,34.398926716321078,33.241582081110479,-16.826839099447309,3.1197101551676925,0.6371433882545583,-17.798086512179253
pmks_positive_0045,34.118570577928956,33.291112371749975,-16.815730532792077,2.8243402032313223,0.69724033533354135,-17.648492020806263
pmks_positive_0046,33.838408296191915,33.335740014255634,-16.803554840920771,2.5313576555123776,0.76506390196385154,-17.511400705265853
pmks_positive_0047,33.558458693011048,33.375503115142813,-16.790189804259708,2.2405635582889198,0.83983703433312673,-17.385706055023803
pmks_positive_0048,33.278742522002688,33.410436611843942,-16.775525682844805,1.9517761739739592,0.92083802883913235,-17.270446091359101
pmks_positive_0049,32.999282267867159,33.440572540249981,-16.759464351823684,1.6648286928805358,1.0073936994822139,-17.164789301586485
pmks_positive_0050,32.720101959250961,33.465940265958359,-16.741918544782571,1.379567159858806,1.0988732509807688,-17.068022866952873
pmks_positive_0051,32.441226993397819,33.486566682503984,-16.722811194117153,1.0958485800573292,1.1946827424298194,-16.97954289715004
pmks_positive_0052,32.162683971048352,33.502476379291224,-16.70207485946781,0.8135391723473191,1.2942600399716415,-16.898846442434177
pmks_positive_0053,31.884500540184298,33.513691781449936,-16.679651236838858,0.53251274234144796,1.3970701676389279,-16.825525104028969
pmks_positive_0054,31.606705247323838,33.520233263393493,-16.655490742464949,0.25264914955956197,1.5026009736298347,-16.759260106809403
pmks_positive_0055,31.329327395162444,33.522119237449857,-16.629552166815319,-0.026167154770222911,1.610359034992221,-16.699818737241163
pmks_positive_0056,31.052396905420085,33.519366218556414,-16.60180239537868,-0.30404854147128391,1.7198657272066158,-16.647052085477686
pmks_positive_0057,30.775944185801258,33.511988865646565,-16.572216194082063,-0.5811055902066824,1.8306533864764196,-16.600894065119931
pmks_positive_0058,30.5,33.5,-16.540776058405005,-0.8574484706087302,1.9422614916194725,-16.561361718676032
pmks_positive_0059,30.224595339687806,33.483410600470954,-16.507472126492811,-1.1331883394933755,2.0542327891354191,-16.528556852773292
pmks_positive_0060,29.949761297405935,33.462229775138134,-16.472302157892589,-1.4084387769576261,2.1661092790074767,-16.502669086262976
pmks_positive_0061,29.675528939244998,33.436464708526827,-16.435271580981304,-1.6833172859028245,2.2774279696390507,-16.483980438386524
pmks_positive_0062,29.401929176130352,33.406120583124533,-16.396393613783836,-1.9579468820601666,2.3877162973846251,-16.472871635406761
pmks_positive_0063,29.128992632437921,33.371200473432687,-16.355689464760871,-2.2324578050636061,2.4964870885276564,-16.469830375327025
pmks_positive_0064,28.856749510537817,33.331705210251549,-16.313188622368816,-2.5069893857098817,2.6032329180541143,-16.475461865152226
pmks_positive_0065,28.585229449694516,33.287633212261817,-16.268929244868456,-2.7816921105331058,2.7074196885132555,-16.490502038261063
pmks_positive_0066,28.31446137753511,33.238980281219277,-16.222958665129507,-3.0567299325557435,2.8084792113456634,-16.515833977117598
pmks_positive_0067,28.044473352018343,33.185739356185138,-16.175334029233394,-3.3322828870333012,2.9058005191955671,-16.552508217139756
pmks_positive_0068,27.775292391483653,33.127900221131938,-16.126123092766871,-3.6085500838278373,2.9987195665333992,-16.601767802525195
pmks_positive_0069,27.506944289908791,33.065449158939089,-16.075405205159843,-3.8857531645869576,3.0865068814957359,-16.665079219966444
pmks_positive_0070,27.239453413933372,32.998368543151678,-16.02327252070576,-4.1641403343492538,3.168352605665087,-16.744170673450945
pmks_positive_0071,26.97284247747551,32.926636356826485,-15.969831485634423,-4.4439911051519623,3.2433481888165279,-16.841079613646723
pmks_positive_0072,26.707132288834771,32.850225625204466,-15.915204664643438,-4.7256219259140666,3.3104637753708701,-16.958212042765663
pmks_positive_0073,26.442341463970386,32.769103745659073,-15.859532988837277,-5.0093929214199377,3.3685200039394703,-17.098416943689845
pmks_positive_0074,26.178486098081677,32.68323169414213,-15.802978531769567,-5.2957160280342599,3.4161525050432355,-17.265080323051613
pmks_positive_0075,25.915579385575505,32.592563081864242,-15.745727953663621,-5.5850649011153877,3.4517667717332641,-17.462244948527463
pmks_positive_0076,25.653631175811423,32.497043028757744,-15.687996799418341,-5.8779870880496112,3.4734802136779015,-17.694764105627108
pmks_positive_0077,25.392647448426423,32.396606810746569,-15.630034898862462,-6.1751191247186252,3.4790469657451562,-17.968500910164749
pmks_positive_0078,25.132629687209619,32.291178225086028,-15.572133205608678,-6.4772054418530089,3.4657592189161193,-18.290589370791679
pmks_positive_0079,24.873574124914363,32.180667600725414,-15.514632535457299,-6.7851222910618461,3.4303161777381215,-18.669780258602561
