sample_id,x,y,vx,vy,ax,ay
pmks_positive_0000,7,4,0,0,0,0
pmks_positive_0001,7,4,0,0,0,0
pmks_positive_0002,7,4,0,0,0,0
pmks_positive_0003,7,4,0,0,0,0
pmks_positive_0004,7,4,0,0,0,0
pmks_positive_0005,7,4,0,0,0,0
pmks_positive_0006,7,4,0,0,0,0
pmks_positive_0007,7,4,0,0,0,0
pmks_positive_0008,7,4,0,0,0,0
pmks_positive_0009,7,4,0,0,0,0
pmks_positive_0010,7,4,0,0,0,0
pmks_positive_0011,7,4,0,0,0,0
pmks_positive_0012,7,4,0,0,0,0
pmks_positive_0013,7,4,0,0,0,0
pmks_positive_0014,7,4,0,0,0,0
pmks_positive_0015,7,4,0,0,0,0
pmks_positive_0016,7,4,0,0,0,0
pmks_positive_0017,7,4,0,0,0,0
pmks_positive_0018,7,4,0,0,0,0
pmks_positive_0019,7,4,0,0,0,0
pmks_positive_0020,7,4,0,0,0,0
pmks_positive_0021,7,4,0,0,0,0
pmks_positive_0022,7,4,0,0,0,0
pmks_positive_0023,7,4,0,0,0,0
pmks_positive_0024,7,4,0,0,0,0
pmks_positive_0025,7,4,0,0,0,0
pmks_positive_0026,7,4,0,0,0,0
pmks_positive_0027,7,4,0,0,0,0
pmks_positive_0028,7,4,0,0,0,0
pmks_positive_0029,7,4,0,0,0,0
pmks_positive_0030,7,4,0,0,0,0
pmks_positive_0031,7,4,0,0,0,0
pmks_positive_0032,7,4,0,0,0,0
pmks_positive_0033,7,4,0,0,0,0
pmks_positive_0034,7,4,0,0,0,0
pmks_positive_0035,7,4,0,0,0,0
pmks_positive_0036,7,4,0,0,0,0
pmks_positive_0037,7,4,0,0,0,0
pmks_positive_0038,7,4,0,0,0,0
pmks_positive_0039,7,4,0,0,0,0
pmks_positive_0040,7,4,0,0,0,0
pmks_positive_0041,7,4,0,0,0,0
pmks_positive_0042,7,4,0,0,0,0
pmks_positive_0043,7,4,0,0,0,0
pmks_positive_0044,7,4,0,0,0,0
pmks_positive_0045,7,4,0,0,0,0
pmks_positive_0046,7,4,0,0,0,0
pmks_positive_0047,7,4,0,0,0,0
pmks_positive_0048,7,4,0,0,0,0
pmks_positive_0049,7,4,0,0,0,0
pmks_positive_0050,7,4,0,0,0,0
pmks_positive_0051,7,4,0,0,0,0
pmks_positive_0052,7,4,0,0,0,0
pmks_positive_0053,7,4,0,0,0,0
pmks_positive_0054,7,4,0,0,0,0
pmks_positive_0055,7,4,0,0,0,0
pmks_positive_0056,7,4,0,0,0,0
pmks_positive_0057,7,4,0,0,0,0
pmks_positive_0058,7,4,0,0,0,0
pmks_positive_0059,7,4,0,0,0,0
pmks_positive_0060,7,4,0,0,0,0
pmks_positive_0061,7,4,0,0,0,0
pmks_positive_0062,7,4,0,0,0,0
pmks_positive_0063,7,4,0,0,0,0
pmks_positive_0064,7,4,0,0,0,0
pmks_positive_0065,7,4,0,0,0,0
pmks_positive_0066,7,4,0,0,0,0
pmks_positive_0067,7,4,0,0,0,0
pmks_positive_0068,7,4,0,0,0,0
pmks_positive_0069,7,4,0,0,0,0
pmks_positive_0070,7,4,0,0,0,0
pmks_positive_0071,7,4,0,0,0,0
pmks_positive_0072,7,4,0,0,0,0
pmks_positive_0073,7,4,0,0,0,0
pmks_positive_0074,7,4,0,0,0,0
pmks_positive_0075,7,4,0,0,0,0
pmks_positive_0076,7,4,0,0,0,0
pmks_positive_0077,7,4,0,0,0,0
pmks_positive_0078,7,4,0,0,0,0
pmks_positive_0079,7,4,0,0,0,0
pmks_positive_0080,7,4,0,0,0,0
pmks_positive_0081,7,4,0,0,0,0
pmks_positive_0082,7,4,0,0,0,0
pmks_positive_0083,7,4,0,0,0,0
pmks_positive_0084,7,4,0,0,0,0
pmks_positive_0085,7,4,0,0,0,0
pmks_positive_0086,7,4,0,0,0,0
pmks_positive_0087,7,4,0,0,0,0
pmks_positive_0088,7,4,0,0,0,0
pmks_positive_0089,7,4,0,0,0,0
pmks_positive_0090,7,4,0,0,0,0
pmks_positive_0091,7,4,0,0,0,0
pmks_positive_0092,7,4,0,0,0,0
pmks_positive_0093,7,4,0,0,0,0
pmks_positive_0094,7,4,0,0,0,0
pmks_positive_0095,7,4,0,0,0,0
pmks_positive_0096,7,4,0,0,0,0
pmks_positive_0097,7,4,0,0,0,0
pmks_positive_0098,7,4,0,0,0,0
pmks_positive_0099,7,4,0,0,0,0
