sample_id,x,y,vx,vy,ax,ay
pmks_positive_0000,23,10,0,0,0,0
pmks_positive_0001,23,10,0,0,0,0
pmks_positive_0002,23,10,0,0,0,0
pmks_positive_0003,23,10,0,0,0,0
pmks_positive_0004,23,10,0,0,0,0
pmks_positive_0005,23,10,0,0,0,0
pmks_positive_0006,23,10,0,0,0,0
pmks_positive_0007,23,10,0,0,0,0
pmks_positive_0008,23,10,0,0,0,0
pmks_positive_0009,23,10,0,0,0,0
pmks_positive_0010,23,10,0,0,0,0
pmks_positive_0011,23,10,0,0,0,0
pmks_positive_0012,23,10,0,0,0,0
pmks_positive_0013,23,10,0,0,0,0
pmks_positive_0014,23,10,0,0,0,0
pmks_positive_0015,23,10,0,0,0,0
pmks_positive_0016,23,10,0,0,0,0
pmks_positive_0017,23,10,0,0,0,0
pmks_positive_0018,23,10,0,0,0,0
pmks_positive_0019,23,10,0,0,0,0
pmks_positive_0020,23,10,0,0,0,0
pmks_positive_0021,23,10,0,0,0,0
pmks_positive_0022,23,10,0,0,0,0
pmks_positive_0023,23,10,0,0,0,0
pmks_positive_0024,23,10,0,0,0,0
pmks_positive_0025,23,10,0,0,0,0
pmks_positive_0026,23,10,0,0,0,0
pmks_positive_0027,23,10,0,0,0,0
pmks_positive_0028,23,10,0,0,0,0
pmks_positive_0029,23,10,0,0,0,0
pmks_positive_0030,23,10,0,0,0,0
pmks_positive_0031,23,10,0,0,0,0
pmks_positive_0032,23,10,0,0,0,0
pmks_positive_0033,23,10,0,0,0,0
pmks_positive_0034,23,10,0,0,0,0
pmks_positive_0035,23,10,0,0,0,0
pmks_positive_0036,23,10,0,0,0,0
pmks_positive_0037,23,10,0,0,0,0
pmks_positive_0038,23,10,0,0,0,0
pmks_positive_0039,23,10,0,0,0,0
pmks_positive_0040,23,10,0,0,0,0
pmks_positive_0041,23,10,0,0,0,0
pmks_positive_0042,23,10,0,0,0,0
pmks_positive_0043,23,10,0,0,0,0
pmks_positive_0044,23,10,0,0,0,0
pmks_positive_0045,23,10,0,0,0,0
pmks_positive_0046,23,10,0,0,0,0
pmks_positive_0047,23,10,0,0,0,0
pmks_positive_0048,23,10,0,0,0,0
pmks_positive_0049,23,10,0,0,0,0
pmks_positive_0050,23,10,0,0,0,0
pmks_positive_0051,23,10,0,0,0,0
pmks_positive_0052,23,10,0,0,0,0
pmks_positive_0053,23,10,0,0,0,0
pmks_positive_0054,23,10,0,0,0,0
pmks_positive_0055,23,10,0,0,0,0
pmks_positive_0056,23,10,0,0,0,0
pmks_positive_0057,23,10,0,0,0,0
pmks_positive_0058,23,10,0,0,0,0
pmks_positive_0059,23,10,0,0,0,0
pmks_positive_0060,23,10,0,0,0,0
pmks_positive_0061,23,10,0,0,0,0
pmks_positive_0062,23,10,0,0,0,0
pmks_positive_0063,23,10,0,0,0,0
pmks_positive_0064,23,10,0,0,0,0
pmks_positive_0065,23,10,0,0,0,0
pmks_positive_0066,23,10,0,0,0,0
pmks_positive_0067,23,10,0,0,0,0
pmks_positive_0068,23,10,0,0,0,0
pmks_positive_0069,23,10,0,0,0,0
pmks_positive_0070,23,10,0,0,0,0
pmks_positive_0071,23,10,0,0,0,0
pmks_positive_0072,23,10,0,0,0,0
pmks_positive_0073,23,10,0,0,0,0
pmks_positive_0074,23,10,0,0,0,0
pmks_positive_0075,23,10,0,0,0,0
pmks_positive_0076,23,10,0,0,0,0
pmks_positive_0077,23,10,0,0,0,0
pmks_positive_0078,23,10,0,0,0,0
pmks_positive_0079,23,10,0,0,0,0
pmks_positive_0080,23,10,0,0,0,0
pmks_positive_0081,23,10,0,0,0,0
pmks_positive_0082,23,10,0,0,0,0
pmks_positive_0083,23,10,0,0,0,0
pmks_positive_0084,23,10,0,0,0,0
pmks_positive_0085,23,10,0,0,0,0
pmks_positive_0086,23,10,0,0,0,0
pmks_positive_0087,23,10,0,0,0,0
pmks_positive_0088,23,10,0,0,0,0
pmks_positive_0089,23,10,0,0,0,0
pmks_positive_0090,23,10,0,0,0,0
pmks_positive_0091,23,10,0,0,0,0
