sample_id,x,y,vx,vy,ax,ay
pmks_positive_0000,45,17,0,0,0,0
pmks_positive_0001,45,17,0,0,0,0
pmks_positive_0002,45,17,0,0,0,0
pmks_positive_0003,45,17,0,0,0,0
pmks_positive_0004,45,17,0,0,0,0
pmks_positive_0005,45,17,0,0,0,0
pmks_positive_0006,45,17,0,0,0,0
pmks_positive_0007,45,17,0,0,0,0
pmks_positive_0008,45,17,0,0,0,0
pmks_positive_0009,45,17,0,0,0,0
pmks_positive_0010,45,17,0,0,0,0
pmks_positive_0011,45,17,0,0,0,0
pmks_positive_0012,45,17,0,0,0,0
pmks_positive_0013,45,17,0,0,0,0
pmks_positive_0014,45,17,0,0,0,0
pmks_positive_0015,45,17,0,0,0,0
pmks_positive_0016,45,17,0,0,0,0
pmks_positive_0017,45,17,0,0,0,0
pmks_positive_0018,45,17,0,0,0,0
pmks_positive_0019,45,17,0,0,0,0
pmks_positive_0020,45,17,0,0,0,0
pmks_positive_0021,45,17,0,0,0,0
pmks_positive_0022,45,17,0,0,0,0
pmks_positive_0023,45,17,0,0,0,0
pmks_positive_0024,45,17,0,0,0,0
pmks_positive_0025,45,17,0,0,0,0
pmks_positive_0026,45,17,0,0,0,0
pmks_positive_0027,45,17,0,0,0,0
pmks_positive_0028,45,17,0,0,0,0
pmks_positive_0029,45,17,0,0,0,0
pmks_positive_0030,45,17,0,0,0,0
pmks_positive_0031,45,17,0,0,0,0
pmks_positive_0032,45,17,0,0,0,0
pmks_positive_0033,45,17,0,0,0,0
pmks_positive_0034,45,17,0,0,0,0
pmks_positive_0035,45,17,0,0,0,0
pmks_positive_0036,45,17,0,0,0,0
pmks_positive_0037,45,17,0,0,0,0
pmks_positive_0038,45,17,0,0,0,0
pmks_positive_0039,45,17,0,0,0,0
pmks_positive_0040,45,17,0,0,0,0
pmks_positive_0041,45,17,0,0,0,0
pmks_positive_0042,45,17,0,0,0,0
pmks_positive_0043,45,17,0,0,0,0
pmks_positive_0044,45,17,0,0,0,0
pmks_positive_0045,45,17,0,0,0,0
pmks_positive_0046,45,17,0,0,0,0
pmks_positive_0047,45,17,0,0,0,0
pmks_positive_0048,45,17,0,0,0,0
pmks_positive_0049,45,17,0,0,0,0
pmks_positive_0050,45,17,0,0,0,0
pmks_positive_0051,45,17,0,0,0,0
pmks_positive_0052,45,17,0,0,0,0
pmks_positive_0053,45,17,0,0,0,0
pmks_positive_0054,45,17,0,0,0,0
pmks_positive_0055,45,17,0,0,0,0
pmks_positive_0056,45,17,0,0,0,0
pmks_positive_0057,45,17,0,0,0,0
pmks_positive_0058,45,17,0,0,0,0
pmks_positive_0059,45,17,0,0,0,0
pmks_positive_0060,45,17,0,0,0,0
pmks_positive_0061,45,17,0,0,0,0
pmks_positive_0062,45,17,0,0,0,0
pmks_positive_0063,45,17,0,0,0,0
pmks_positive_0064,45,17,0,0,0,0
pmks_positive_0065,45,17,0,0,0,0
pmks_positive_0066,45,17,0,0,0,0
pmks_positive_0067,45,17,0,0,0,0
pmks_positive_0068,45,17,0,0,0,0
pmks_positive_0069,45,17,0,0,0,0
pmks_positive_0070,45,17,0,0,0,0
pmks_positive_0071,45,17,0,0,0,0
pmks_positive_0072,45,17,0,0,0,0
pmks_positive_0073,45,17,0,0,0,0
pmks_positive_0074,45,17,0,0,0,0
pmks_positive_0075,45,17,0,0,0,0
pmks_positive_0076,45,17,0,0,0,0
pmks_positive_0077,45,17,0,0,0,0
pmks_positive_0078,45,17,0,0,0,0
pmks_positive_0079,45,17,0,0,0,0
pmks_positive_0080,45,17,0,0,0,0
pmks_positive_0081,45,17,0,0,0,0
pmks_positive_0082,45,17,0,0,0,0
pmks_positive_0083,45,17,0,0,0,0
pmks_positive_0084,45,17,0,0,0,0
pmks_positive_0085,45,17,0,0,0,0
pmks_positive_0086,45,17,0,0,0,0
pmks_positive_0087,45,17,0,0,0,0
pmks_positive_0088,45,17,0,0,0,0
pmks_positive_0089,45,17,0,0,0,0
pmks_positive_0090,45,17,0,0,0,0
pmks_positive_0091,45,17,0,0,0,0
pmks_positive_0092,45,17,0,0,0,0
pmks_positive_0093,45,17,0,0,0,0
pmks_positive_0094,45,17,0,0,0,0
pmks_positive_0095,45,17,0,0,0,0
pmks_positive_0096,45,17,0,0,0,0
