sample_id,theta_delta_rad,omega_rad_s,alpha_rad_s2
pmks_positive_0000,-1.012290966156713,1.0471975511965976,0
pmks_positive_0001,-0.99483767363676978,1.0471975511965976,0
pmks_positive_0002,-0.97738438111682657,1.0471975511965976,0
pmks_positive_0003,-0.95993108859688314,1.0471975511965976,0
pmks_positive_0004,-0.94247779607693971,1.0471975511965976,0
pmks_positive_0005,-0.92502450355699628,1.0471975511965976,0
pmks_positive_0006,-0.90757121103705285,1.0471975511965976,0
pmks_positive_0007,-0.89011791851710953,1.0471975511965976,0
pmks_positive_0008,-0.87266462599716621,1.0471975511965976,0
pmks_positive_0009,-0.85521133347722289,1.0471975511965976,0
pmks_positive_0010,-0.83775804095727957,1.0471975511965976,0
pmks_positive_0011,-0.82030474843733636,1.0471975511965976,0
pmks_positive_0012,-0.80285145591739304,1.0471975511965976,0
pmks_positive_0013,-0.78539816339744961,1.0471975511965976,0
pmks_positive_0014,-0.76794487087750629,1.0471975511965976,0
pmks_positive_0015,-0.75049157835756297,1.0471975511965976,0
pmks_positive_0016,-0.73303828583761965,1.0471975511965976,0
pmks_positive_0017,-0.71558499331767611,1.0471975511965976,0
pmks_positive_0018,-0.69813170079773279,1.0471975511965976,0
pmks_positive_0019,-0.68067840827778947,1.0471975511965976,0
pmks_positive_0020,-0.66322511575784615,1.0471975511965976,0
pmks_positive_0021,-0.64577182323790283,1.0471975511965976,0
pmks_positive_0022,-0.62831853071795951,1.0471975511965976,0
pmks_positive_0023,-0.61086523819801619,1.0471975511965976,0
pmks_positive_0024,-0.59341194567807287,1.0471975511965976,0
pmks_positive_0025,-0.57595865315812955,1.0471975511965976,0
pmks_positive_0026,-0.55850536063818623,1.0471975511965976,0
pmks_positive_0027,-0.54105206811824291,1.0471975511965976,0
pmks_positive_0028,-0.52359877559829959,1.0471975511965976,0
pmks_positive_0029,-0.50614548307835627,1.0471975511965976,0
pmks_positive_0030,-0.48869219055841295,1.0471975511965976,0
pmks_positive_0031,-0.47123889803846963,1.0471975511965976,0
pmks_positive_0032,-0.45378560551852631,1.0471975511965976,0
pmks_positive_0033,-0.43633231299858299,1.0471975511965976,0
pmks_positive_0034,-0.41887902047863967,1.0471975511965976,0
pmks_positive_0035,-0.40142572795869635,1.0471975511965976,0
pmks_positive_0036,-0.38397243543875303,1.0471975511965976,0
pmks_positive_0037,-0.36651914291880971,1.0471975511965976,0
pmks_positive_0038,-0.3490658503988664,1.0471975511965976,0
pmks_positive_0039,-0.33161255787892308,1.0471975511965976,0
pmks_positive_0040,-0.31415926535897976,1.0471975511965976,0
pmks_positive_0041,-0.29670597283903644,1.0471975511965976,0
pmks_positive_0042,-0.27925268031909312,1.0471975511965976,0
pmks_positive_0043,-0.2617993877991498,1.0471975511965976,0
pmks_positive_0044,-0.24434609527920648,1.0471975511965976,0
pmks_positive_0045,-0.22689280275926316,1.0471975511965976,0
pmks_positive_0046,-0.20943951023931984,1.0471975511965976,0
pmks_positive_0047,-0.19198621771937652,1.0471975511965976,0
pmks_positive_0048,-0.1745329251994332,1.0471975511965976,0
pmks_positive_0049,-0.15707963267948988,1.0471975511965976,0
pmks_positive_0050,-0.13962634015954656,1.0471975511965976,0
pmks_positive_0051,-0.12217304763960324,1.0471975511965976,0
pmks_positive_0052,-0.10471975511965992,1.0471975511965976,0
pmks_positive_0053,-0.087266462599716599,1.0471975511965976,0
pmks_positive_0054,-0.069813170079773279,1.0471975511965976,0
pmks_positive_0055,-0.052359877559829959,1.0471975511965976,0
pmks_positive_0056,-0.03490658503988664,1.0471975511965976,0
pmks_positive_0057,-0.01745329251994332,1.0471975511965976,0
pmks_positive_0058,0,1.0471975511965976,0
pmks_positive_0059,0.01745329251994332,1.0471975511965976,0
pmks_positive_0060,0.03490658503988664,1.0471975511965976,0
pmks_positive_0061,0.052359877559829959,1.0471975511965976,0
pmks_positive_0062,0.069813170079773279,1.0471975511965976,0
pmks_positive_0063,0.087266462599716599,1.0471975511965976,0
pmks_positive_0064,0.10471975511965992,1.0471975511965976,0
pmks_positive_0065,0.12217304763960324,1.0471975511965976,0
pmks_positive_0066,0.13962634015954656,1.0471975511965976,0
pmks_positive_0067,0.15707963267948988,1.0471975511965976,0
pmks_positive_0068,0.1745329251994332,1.0471975511965976,0
pmks_positive_0069,0.19198621771937652,1.0471975511965976,0
pmks_positive_0070,0.20943951023931984,1.0471975511965976,0
pmks_positive_0071,0.22689280275926316,1.0471975511965976,0
pmks_positive_0072,0.24434609527920648,1.0471975511965976,0
pmks_positive_0073,0.2617993877991498,1.0471975511965976,0
pmks_positive_0074,0.27925268031909312,1.0471975511965976,0
pmks_positive_0075,0.29670597283903621,1.0471975511965976,0
pmks_positive_0076,0.31415926535897931,1.0471975511965976,0
pmks_positive_0077,0.33161255787892241,1.0471975511965976,0
pmks_positive_0078,0.34906585039886551,1.0471975511965976,0
pmks_positive_0079,0.3665191429188086,1.0471975511965976,0
pmks_positive_0080,0.3839724354387517,1.0471975511965976,0
pmks_positive_0081,0.4014257279586948,1.0471975511965976,0
pmks_positive_0082,0.4188790204786379,1.0471975511965976,0
pmks_positive_0083,0.436332312998581,1.0471975511965976,0
pmks_positive_0084,0.45378560551852409,1.0471975511965976,0
pmks_positive_0085,0.47123889803846719,1.0471975511965976,0
pmks_positive_0086,0.48869219055841029,1.0471975511965976,0
pmks_positive_0087,0.50614548307835339,1.0471975511965976,0
pmks_positive_0088,0.52359877559829648,1.0471975511965976,0
pmks_positive_0089,0.54105206811823958,1.0471975511965976,0
pmks_positive_0090,0.55850536063818268,1.0471975511965976,0
pmks_positive_0091,0.57595865315812578,1.0471975511965976,0
pmks_positive_0092,0.59341194567806888,1.0471975511965976,0
pmks_positive_0093,0.61086523819801197,1.0471975511965976,0
pmks_positive_0094,0.62831853071795507,1.0471975511965976,0
pmks_positive_0095,0.64577182323789817,1.0471975511965976,0
pmks_positive_0096,0.66322511575784127,1.0471975511965976,0
pmks_positive_0097,0.68067840827778436,1.0471975511965976,0
pmks_positive_0098,0.69813170079772746,1.0471975511965976,0
pmks_positive_0099,0.71558499331767056,1.0471975511965976,0
pmks_negative_0000,0.71558499331767056,-1.0471975511965976,0
pmks_negative_0001,0.69813170079772746,-1.0471975511965976,0
pmks_negative_0002,0.68067840827778436,-1.0471975511965976,0
pmks_negative_0003,0.66322511575784127,-1.0471975511965976,0
pmks_negative_0004,0.64577182323789817,-1.0471975511965976,0
pmks_negative_0005,0.62831853071795507,-1.0471975511965976,0
pmks_negative_0006,0.61086523819801197,-1.0471975511965976,0
pmks_negative_0007,0.59341194567806888,-1.0471975511965976,0
pmks_negative_0008,0.57595865315812578,-1.0471975511965976,0
pmks_negative_0009,0.55850536063818268,-1.0471975511965976,0
pmks_negative_0010,0.54105206811823958,-1.0471975511965976,0
pmks_negative_0011,0.52359877559829648,-1.0471975511965976,0
pmks_negative_0012,0.50614548307835339,-1.0471975511965976,0
pmks_negative_0013,0.48869219055841029,-1.0471975511965976,0
pmks_negative_0014,0.47123889803846719,-1.0471975511965976,0
pmks_negative_0015,0.45378560551852409,-1.0471975511965976,0
pmks_negative_0016,0.436332312998581,-1.0471975511965976,0
pmks_negative_0017,0.4188790204786379,-1.0471975511965976,0
pmks_negative_0018,0.4014257279586948,-1.0471975511965976,0
pmks_negative_0019,0.3839724354387517,-1.0471975511965976,0
pmks_negative_0020,0.3665191429188086,-1.0471975511965976,0
pmks_negative_0021,0.34906585039886551,-1.0471975511965976,0
pmks_negative_0022,0.33161255787892241,-1.0471975511965976,0
pmks_negative_0023,0.31415926535897931,-1.0471975511965976,0
pmks_negative_0024,0.29670597283903621,-1.0471975511965976,0
pmks_negative_0025,0.27925268031909312,-1.0471975511965976,0
pmks_negative_0026,0.2617993877991498,-1.0471975511965976,0
pmks_negative_0027,0.24434609527920648,-1.0471975511965976,0
pmks_negative_0028,0.22689280275926316,-1.0471975511965976,0
pmks_negative_0029,0.20943951023931984,-1.0471975511965976,0
pmks_negative_0030,0.19198621771937652,-1.0471975511965976,0
pmks_negative_0031,0.1745329251994332,-1.0471975511965976,0
pmks_negative_0032,0.15707963267948988,-1.0471975511965976,0
pmks_negative_0033,0.13962634015954656,-1.0471975511965976,0
pmks_negative_0034,0.12217304763960324,-1.0471975511965976,0
pmks_negative_0035,0.10471975511965992,-1.0471975511965976,0
pmks_negative_0036,0.087266462599716599,-1.0471975511965976,0
pmks_negative_0037,0.069813170079773279,-1.0471975511965976,0
pmks_negative_0038,0.052359877559829959,-1.0471975511965976,0
pmks_negative_0039,0.03490658503988664,-1.0471975511965976,0
pmks_negative_0040,0.01745329251994332,-1.0471975511965976,0
pmks_negative_0041,0,-1.0471975511965976,0
pmks_negative_0042,-0.01745329251994332,-1.0471975511965976,0
