sample_id,theta_delta_rad,omega_rad_s,alpha_rad_s2
pmks_positive_0000,-0.44210602674931498,2.6404150849314072,-50.820713289840199
pmks_positive_0001,-0.403858079268124,2.0107189740590123,-28.262681574899538
pmks_positive_0002,-0.37372958597204836,1.6320379638228897,-18.313106703534004
pmks_positive_0003,-0.34878914254104287,1.3756447312550746,-12.938231524096331
pmks_positive_0004,-0.32748987634596854,1.1893159622194898,-9.6655813234386834
pmks_positive_0005,-0.30890078239482655,1.0473468391090246,-7.5085729713831491
pmks_positive_0006,-0.29241228001192321,0.93544121541831604,-6.0043100276237871
pmks_positive_0007,-0.27760101644866519,0.84494418376385372,-4.9099279421597819
pmks_positive_0008,-0.26415984809692383,0.77027786937702303,-4.0871028197442234
pmks_positive_0009,-0.2518582961723449,0.7076703135436343,-3.45192923044557
pmks_positive_0010,-0.24051869872919709,0.65447149948347061,-2.9509055477590564
pmks_positive_0011,-0.23000106770079873,0.60876089434717406,-2.5485043212361469
pmks_positive_0012,-0.22019306460288199,0.56911029504951482,-2.2203267962830613
pmks_positive_0013,-0.21100313267941939,0.53443427516988362,-1.9491352628240164
pmks_positive_0014,-0.2023556538262227,0.50389243838221032,-1.7224528339300327
pmks_positive_0015,-0.19418744833245505,0.47682355604939708,-1.5310576017529631
pmks_positive_0016,-0.18644519090141931,0.45270000806112282,-1.3680078116105616
pmks_positive_0017,-0.17908346750665188,0.43109553915351356,-1.2279933324384855
pmks_positive_0018,-0.17206329020674244,0.4116619757551469,-1.106893731507536
pmks_positive_0019,-0.16535094551070323,0.39411211118893419,-1.0014706694194597
pmks_positive_0020,-0.15891708982047092,0.37820692361470359,-0.90914969420227598
pmks_positive_0021,-0.15273603068194058,0.36374589272754682,-0.8278627976850581
pmks_positive_0022,-0.14678514968200396,0.3505595689184508,-0.75593305697391344
pmks_positive_0023,-0.14104443466222211,0.3385038039354264,-0.69198892644687071
pmks_positive_0024,-0.1354960972476823,0.32745522358515927,-0.63489974605588539
pmks_positive_0025,-0.13012425764296687,0.3173076402858247,-0.5837266472488174
pmks_positive_0026,-0.12491468296424935,0.30796918478634777,-0.53768477951343085
pmks_positive_0027,-0.11985456854823806,0.29935999386543455,-0.49611395995167984
pmks_positive_0028,-0.11493235403704288,0.29141033194575722,-0.45845565934204968
pmks_positive_0029,-0.11013756781119599,0.28405905434310302,-0.42423480386865686
pmks_positive_0030,-0.10546069468992625,0.27725234169667057,-0.39304527151680335
pmks_positive_0031,-0.10089306285067334,0.27094265129596862,-0.36453824817469493
pmks_positive_0032,-0.096426746718949241,0.26508784311972716,-0.33841281545531321
pmks_positive_0033,-0.092054483203070525,0.259650447542776,-0.3144082936099879
pmks_positive_0034,-0.087769599138371845,0.25459704863287574,-0.29229797469187557
pmks_positive_0035,-0.08356594819362928,0.24989776231231869,-0.27188396445835561
pmks_positive_0036,-0.079437855801831325,0.2455257928043989,-0.25299291416299441
pmks_positive_0037,-0.075380070925737175,0.24145705401846626,-0.23547247089494394
pmks_positive_0038,-0.071387723669086134,0.23766984506713576,-0.21918831142044093
pmks_positive_0039,-0.067456287907051327,0.23414457111719855,-0.20402165241606252
pmks_positive_0040,-0.063581548242368668,0.23086350237297024,-0.18986715163142154
pmks_positive_0041,-0.059759570702541287,0.22781056526875937,-0.17663113140515063
pmks_positive_0042,-0.055986676683376535,0.22497116097518727,-0.16423006921145233
pmks_positive_0043,-0.052259419718530153,0.22233200715558876,-0.15258931037824619
pmks_positive_0044,-0.048574564716628021,0.21988099958448448,-0.14164196642540561
pmks_positive_0045,-0.044929069359266383,0.21760709079202636,-0.13132796910258981
pmks_positive_0046,-0.041320067396546034,0.21550018335102405,-0.12159325552567268
pmks_positive_0047,-0.037744853613325358,0.21355103579620194,-0.11238906409926652
pmks_positive_0048,-0.034200870270226447,0.21175117947391475,-0.10367132438590776
pmks_positive_0049,-0.030685694849587886,0.21009284487685759,-0.095400126907815963
pmks_positive_0050,-0.027197028958814429,0.20856889623200917,-0.087539261175316185
pmks_positive_0051,-0.023732688262576906,0.20717277328884995,-0.080055812129325221
pmks_positive_0052,-0.020290593331567353,0.20589843940502703,-0.072919806744410565
pmks_positive_0053,-0.01686876130948467,0.20474033515312065,-0.066103903827667176
pmks_positive_0054,-0.013465298311948537,0.20369333677906712,-0.059583121117719462
pmks_positive_0055,-0.010078392481415843,0.20275271893340913,-0.05333459467804269
pmks_positive_0056,-0.0067063076311714154,0.2019141211736008,-0.047337366322108831
pmks_positive_0057,-0.0033473774192586681,0.20117351780128706,-0.041572195430574777
pmks_positive_0058,0,0.2005271906546674,-0.036021392044204292
pmks_positive_0059,0.0033373668933098233,0.19997170452419488,-0.030668668557402357
pmks_positive_0060,0.006666210475791412,0.19950388490126603,-0.025499007710351851
pmks_positive_0061,0.0099879670851657498,0.19912079780520461,-0.020498544893931103
pmks_positive_0062,0.013304026035463934,0.19881973146465487,-0.015654463050381207
pmks_positive_0063,0.016615733179496661,0.1985981796561358,-0.010954898681983738
pmks_positive_0064,0.019924394206216944,0.19845382652564947,-0.0063888576754641546
pmks_positive_0065,0.02323127769638661,0.19838453273933279,-0.0019461398178132194
pmks_positive_0066,0.026537617957536563,0.19838832282664895,0.0023827289771924942
pmks_positive_0067,0.029844617657066919,0.19846337359490979,0.0066065575881145699
pmks_positive_0068,0.033153450270425322,0.19860800350727384,0.010733544501243641
pmks_positive_0069,0.036465262359607342,0.19882066292808867,0.01477132717886509
pmks_positive_0070,0.039781175695702276,0.19909992514971764,0.018727026559179905
pmks_positive_0071,0.04310228923786108,0.19944447812402816,0.022607287195563375
pmks_positive_0072,0.046429680979843124,0.19985311682968476,0.026418313483665967
pmks_positive_0073,0.04976440967421536,0.20032473621340371,0.030165902371906972
pmks_positive_0074,0.053107516443302194,0.20085832464953823,0.033855472905358619
pmks_positive_0075,0.056460026285089893,0.20145295786785192,0.037492092912887243
pmks_positive_0076,0.059822949481516396,0.20210779330420048,0.041080503112525757
pmks_positive_0077,0.063197282915840758,0.20282206483317378,0.044625138879348714
pmks_positive_0078,0.066584011305146462,0.20359507784558173,0.048130149893229834
pmks_positive_0079,0.069984108353439489,0.2044262046370976,0.051599417860231367
