sample_id,theta_delta_rad,omega_rad_s,alpha_rad_s2
pmks_positive_0000,-0.17064850189869596,6.5050920021919953,-413.33509186408583
pmks_positive_0001,-0.098201415404269063,2.9662769059212972,-108.20876273989656
pmks_positive_0002,-0.060099350643584223,1.7702219305152169,-47.230278118391503
pmks_positive_0003,-0.035930828409805785,1.1891021023884858,-25.604743087826968
pmks_positive_0004,-0.019129465809604604,0.85429464032880009,-15.700478962206619
pmks_positive_0005,-0.006792330818693057,0.64069753031979226,-10.430730032303305
pmks_positive_0006,0.0025985303401138693,0.49476680360546266,-7.3329009584194154
pmks_positive_0007,0.0099266028340218582,0.39001371589591127,-5.3769620161567753
pmks_positive_0008,0.015746215831326252,0.31194876441856539,-4.0736925323491242
pmks_positive_0009,0.02042516581538624,0.25203466569348493,-3.1680030393600589
pmks_positive_0010,0.02421828344486468,0.20494401746489527,-2.5169891396865309
pmks_positive_0011,0.027308339628414183,0.16719672346080622,-2.0358943309058488
pmks_positive_0012,0.029830176117134566,0.13643277632633555,-1.672056254476014
pmks_positive_0013,0.031885638249971648,0.11100107433066714,-1.3914630189076609
pmks_positive_0014,0.033553189319724119,0.089715581914856068,-1.1714176486640697
pmks_positive_0015,0.034894310824158767,0.071704816517657921,-0.9963432997956404
pmks_positive_0016,0.035957886347175283,0.056315710486284642,-0.85528673568626057
pmks_positive_0017,0.036783279286754664,0.043050362989448532,-0.74038040941524996
pmks_positive_0018,0.037402540638633616,0.031523342506504959,-0.64586615128281433
pmks_positive_0019,0.037842023076875869,0.021432199951724379,-0.56745875427117554
pmks_positive_0020,0.038123581034888651,0.012536689840357551,-0.50192126447240415
pmks_positive_0021,0.038265476506722448,0.0046438611324352841,-0.44677554061890662
pmks_positive_0022,0.038283072039585905,-0.0024028155174383725,-0.40010124200572811
pmks_positive_0023,0.03818936742758286,-0.0087314943061635453,-0.36039382650724039
pmks_positive_0024,0.03799541998446733,-0.01444798940450126,-0.32646266847659899
pmks_positive_0025,0.037710676979798047,-0.01964035710607781,-0.29735692034662925
pmks_positive_0026,0.037343241022017568,-0.024382414053063017,-0.2723108595879945
pmks_positive_0027,0.036900083698550093,-0.028736466649335352,-0.25070311724010186
pmks_positive_0028,0.036387218887058731,-0.03275544888887863,-0.23202592647630021
pmks_positive_0029,0.035809844341976371,-0.036484611794304456,-0.2158616921723592
pmks_positive_0030,0.035172458108739937,-0.03996286965641932,-0.20186497003888568
pmks_positive_0031,0.034478954803049203,-0.043223881194389496,-0.18974848505202732
pmks_positive_0032,0.033732705661796467,-0.046296924243759585,-0.17927219567959757
pmks_positive_0033,0.032936625420143237,-0.049207608360366542,-0.17023467592439578
pmks_positive_0034,0.032093228421031114,-0.051978459260001789,-0.16246627648471876
pmks_positive_0035,0.03120467586607871,-0.054629401232642108,-0.15582366270869222
pmks_positive_0036,0.030272815732079558,-0.057178157834987045,-0.15018542627228157
pmks_positive_0037,0.029299216577388126,-0.059640586752156458,-0.14544854043330072
pmks_positive_0038,0.02828519622690881,-0.062030961356251482,-0.14152548277284988
pmks_positive_0039,0.027231846138049881,-0.064362208907526211,-0.13834188975382639
pmks_positive_0040,0.02614005210158378,-0.066646113348422173,-0.13583463789146033
pmks_positive_0041,0.025010511812317643,-0.068893489088875853,-0.13395026947582955
pmks_positive_0042,0.02384374974835321,-0.071114330967718076,-0.13264369850333568
pmks_positive_0043,0.022640129719574117,-0.073317944621364969,-0.13187714614026277
pmks_positive_0044,0.021399865381983796,-0.075513060738582868,-0.1316192656615742
pmks_positive_0045,0.020123028961706591,-0.07770793608446383,-0.13184442512813779
pmks_positive_0046,0.018809558388483374,-0.079910443704862388,-0.1325321226380991
pmks_positive_0047,0.017459263001553593,-0.082128154348263954,-0.13366651422868472
pmks_positive_0048,0.016071827959427437,-0.084368410846545616,-0.13523603873108681
pmks_positive_0049,0.014646817458031203,-0.086638396964078809,-0.13723312733178775
pmks_positive_0050,0.013183676838131472,-0.088945202045166885,-0.13965398845980576
pmks_positive_0051,0.011681733641936254,-0.091295882654155919,-0.14249846104665981
pmks_positive_0052,0.010140197659759431,-0.093697522304651129,-0.14576993131469587
pmks_positive_0053,0.0085581599899298699,-0.096157290309549476,-0.14947531014197038
pmks_positive_0054,0.006934591118247721,-0.098682500749085911,-0.15362506980432791
pmks_positive_0055,0.0052683380067889973,-0.10128067254843034,-0.15823334060336852
pmks_positive_0056,0.0035581201651493505,-0.10395959167900268,-0.16331806960370973
pmks_positive_0057,0.0018025246599516487,-0.10672737654972696,-0.16890124552143607
pmks_positive_0058,0,-0.10959254773809717,-0.17500919579599686
pmks_positive_0059,-0.0018511511856229845,-0.11256410332984126,-0.18167296414001222
pmks_positive_0060,-0.0037527807816500197,-0.11565160129563658,-0.18892877950459838
pmks_positive_0061,-0.0057069052635051326,-0.11886525054116638,-0.1968186305592981
pmks_positive_0062,-0.0077157173769510229,-0.12221601253273835,-0.20539096364030524
pmks_positive_0063,-0.0097815996149125811,-0.12571571573828327,-0.21470152688948452
pmks_positive_0064,-0.011907139726620733,-0.12937718555012068,-0.22481438928579578
pmks_positive_0065,-0.014095148542972294,-0.13321439289481102,-0.23580317084566471
pmks_positive_0066,-0.016348680460898088,-0.13724262541747231,-0.24775252996303501
pmks_positive_0067,-0.018671057001233907,-0.14147868599386962,-0.2607599663763619
pmks_positive_0068,-0.021065893942640204,-0.14594112442822602,-0.27493801455651096
pmks_positive_0069,-0.023537132643076705,-0.15065050961151849,-0.29041692373612832
pmks_positive_0070,-0.026089076296141975,-0.15562975124423328,-0.30734794921097669
pmks_positive_0071,-0.028726432040292835,-0.16090448260583956,-0.32590741755452951
pmks_positive_0072,-0.031454360055093819,-0.16650351897013052,-0.34630177973730836
pmks_positive_0073,-0.034278531054684633,-0.17245941038528559,-0.36877393621393756
pmks_positive_0074,-0.037205193944213885,-0.17880911303357469,-0.39361121469146887
pmks_positive_0075,-0.040241255867143957,-0.18559481079112802,-0.42115551613372071
pmks_positive_0076,-0.043394377478021148,-0.1928649286950786,-0.45181633499662138
pmks_positive_0077,-0.046673087079948175,-0.20067539392511125,-0.48608763221373247
pmks_positive_0078,-0.050086918345301892,-0.20909121930334462,-0.5245699350133981
pmks_positive_0079,-0.05364657780350067,-0.21818851175686976,-0.56799962068767829
pmks_positive_0080,-0.057364150295226887,-0.22805704758803547,-0.61728821527295863
pmks_positive_0081,-0.061253353404970998,-0.23880361389697552,-0.67357587186329093
pmks_positive_0082,-0.06532985587009231,-0.25055640091754261,-0.73830527007291857
pmks_positive_0083,-0.069611680712703281,-0.26347085942308418,-0.81332548377917402
pmks_positive_0084,-0.074119722288283521,-0.2777376376636026,-0.90104075527893135
pmks_positive_0085,-0.078878419124829333,-0.29359352992351156,-1.0046281470802776
pmks_positive_0086,-0.083916643913943198,-0.31133688621027239,-1.1283636438875688
pmks_positive_0087,-0.089268902773226536,-0.33134980146007892,-1.2781241598570969
pmks_positive_0088,-0.094976985934505889,-0.35413091293416099,-1.4621847132603423
pmks_positive_0089,-0.10109229627395037,-0.38034536570172756,-1.6925306872688042
pmks_positive_0090,-0.10767922980589643,-0.41090367743310174,-1.9871110771565692
pmks_positive_0091,-0.11482025365557751,-0.44709156833276542,-2.3739066975621466
pmks_positive_0092,-0.1226238544351519,-0.49079485079612056,-2.8987359893438045
pmks_positive_0093,-0.13123762709943998,-0.54491426651662456,-3.641404876955455
pmks_positive_0094,-0.140871258557833,-0.6141943596686269,-4.7524915104356902
pmks_positive_0095,-0.15184043240888484,-0.70706362869934658,-6.5485200606619181
pmks_positive_0096,-0.1646610164517755,-0.84036390242484582,-9.8063801550249572
pmks_positive_0097,-0.18028912541672565,-1.0545092722345819,-16.960921127175055
pmks_positive_0098,-0.20094126159957199,-1.4851057220175909,-40.11504493324481
pmks_positive_0099,-0.2358575144893072,-3.3602807860537021,-358.24521235687791
pmks_negative_0000,-0.2358575144893072,3.3602807860537021,-358.24521235687791
pmks_negative_0001,-0.20094126159957199,1.4851057220175909,-40.11504493324481
pmks_negative_0002,-0.18028912541672565,1.0545092722345819,-16.960921127175055
pmks_negative_0003,-0.1646610164517755,0.84036390242484582,-9.8063801550249572
pmks_negative_0004,-0.15184043240888484,0.70706362869934658,-6.5485200606619181
pmks_negative_0005,-0.140871258557833,0.6141943596686269,-4.7524915104356902
pmks_negative_0006,-0.13123762709943998,0.54491426651662456,-3.641404876955455
pmks_negative_0007,-0.1226238544351519,0.49079485079612056,-2.8987359893438045
pmks_negative_0008,-0.11482025365557751,0.44709156833276542,-2.3739066975621466
pmks_negative_0009,-0.10767922980589643,0.41090367743310174,-1.9871110771565692
pmks_negative_0010,-0.10109229627395037,0.38034536570172756,-1.6925306872688042
pmks_negative_0011,-0.094976985934505889,0.35413091293416099,-1.4621847132603423
pmks_negative_0012,-0.089268902773226536,0.33134980146007892,-1.2781241598570969
pmks_negative_0013,-0.083916643913943198,0.31133688621027239,-1.1283636438875688
pmks_negative_0014,-0.078878419124829333,0.29359352992351156,-1.0046281470802776
pmks_negative_0015,-0.074119722288283521,0.2777376376636026,-0.90104075527893135
pmks_negative_0016,-0.069611680712703281,0.26347085942308418,-0.81332548377917402
pmks_negative_0017,-0.06532985587009231,0.25055640091754261,-0.73830527007291857
pmks_negative_0018,-0.061253353404970998,0.23880361389697552,-0.67357587186329093
pmks_negative_0019,-0.057364150295226887,0.22805704758803547,-0.61728821527295863
pmks_negative_0020,-0.05364657780350067,0.21818851175686976,-0.56799962068767829
pmks_negative_0021,-0.050086918345301892,0.20909121930334462,-0.5245699350133981
pmks_negative_0022,-0.046673087079948175,0.20067539392511125,-0.48608763221373247
pmks_negative_0023,-0.043394377478021148,0.1928649286950786,-0.45181633499662138
pmks_negative_0024,-0.040241255867143957,0.18559481079112802,-0.42115551613372071
pmks_negative_0025,-0.037205193944213885,0.17880911303357469,-0.39361121469146887
pmks_negative_0026,-0.034278531054684633,0.17245941038528559,-0.36877393621393756
pmks_negative_0027,-0.031454360055093819,0.16650351897013052,-0.34630177973730836
pmks_negative_0028,-0.028726432040292835,0.16090448260583956,-0.32590741755452951
pmks_negative_0029,-0.026089076296141975,0.15562975124423328,-0.30734794921097669
pmks_negative_0030,-0.023537132643076705,0.15065050961151849,-0.29041692373612832
pmks_negative_0031,-0.021065893942640204,0.14594112442822602,-0.27493801455651096
pmks_negative_0032,-0.018671057001233907,0.14147868599386962,-0.2607599663763619
