sample_id,theta_delta_rad,omega_rad_s,alpha_rad_s2
pmks_positive_0000,-1.7387490585355412,14.480151017622054,-719.44140145074311
pmks_positive_0001,-1.5615065551623413,8.102042234966758,-205.59432700489779
pmks_positive_0002,-1.4485280485953891,5.7481506725818621,-97.125021501238123
pmks_positive_0003,-1.3639379503103997,4.5139768206166533,-56.455613216402831
pmks_positive_0004,-1.2954888927330863,3.7539592428328477,-36.821497007554107
pmks_positive_0005,-1.2374610644059201,3.2396784063850901,-25.847370866644017
pmks_positive_0006,-1.1867082072290942,2.8693446085492935,-19.092827541917714
pmks_positive_0007,-1.1413111945250707,2.5906222563266574,-14.640893595704043
pmks_positive_0008,-1.1000121981033222,2.3738135033398624,-11.552611054146722
pmks_positive_0009,-1.0619419179001559,2.2007988929196185,-9.3235692944529625
pmks_positive_0010,-1.0264745507322883,2.0598900592881604,-7.6629340789235521
pmks_positive_0011,-0.99314475726229268,1.9432066575738396,-6.3933510686077542
pmks_positive_0012,-0.96159728396148947,1.8452415155255326,-5.4016295866290509
pmks_positive_0013,-0.93155493213244989,1.762029698573343,-4.6127505084776965
pmks_positive_0014,-0.90279738998924497,1.6906441678805098,-3.9753865714820962
pmks_positive_0015,-0.87514678244207134,1.6288773668477878,-3.4534528050329838
pmks_positive_0016,-0.84845753031182991,1.5750333363988225,-3.0209772709889302
pmks_positive_0017,-0.8226090621849923,1.5277880114096758,-2.6588796690302896
pmks_positive_0018,-0.79750046657567919,1.4860929426554117,-2.3528873562934765
pmks_positive_0019,-0.77304649555891569,1.4491074611484127,-2.0921516357648828
pmks_positive_0020,-0.74917452965448894,1.4161499362100856,-1.8683075775521669
pmks_positive_0021,-0.72582223924933698,1.3866621351661041,-1.6748219274062335
pmks_positive_0022,-0.70293575920965012,1.3601827508436779,-1.506532397829017
pmks_positive_0023,-0.6804682472962309,1.3363274582571072,-1.3593167008333826
pmks_positive_0024,-0.65837873352707788,1.3147736960289484,-1.2298511614774859
pmks_positive_0025,-0.63663119282298619,1.2952489167026449,-1.1154322216643631
pmks_positive_0026,-0.61519379093914872,1.2775214178410867,-1.0138427725063734
pmks_positive_0027,-0.59403826626735401,1.2613931166205263,-0.92325088909666864
pmks_positive_0028,-0.57313941917999545,1.2466938044375335,-0.84213228801787554
pmks_positive_0029,-0.55247468723490045,1.2332765402646257,-0.76921035951106642
pmks_positive_0030,-0.53202378948172657,1.2210139285973725,-0.70340936280459532
pmks_positive_0031,-0.51176842679487011,1.2097950906986072,-0.6438175810179666
pmks_positive_0032,-0.49169202794397071,1.1995231837402993,-0.58965808316608048
pmks_positive_0033,-0.47177953324012756,1.1901133563141724,-0.54026534773665358
pmks_positive_0034,-0.45201720923422894,1.1814910540317134,-0.49506644001729866
pmks_positive_0035,-0.43239248921610174,1.1735906079354603,-0.45356575432206037
