sample_id,sweep_id,sweep_index,input_angle_rad,input_direction,time_s,jacobian_condition,eligibility
pmks_positive_0000,pmks_positive,0,0.72365403805281037,1,-0.96666666666666801,85.440253722382309,eligible
pmks_positive_0001,pmks_positive,1,0.74110733057275369,1,-0.95000000000000129,53.206472692704175,eligible
pmks_positive_0002,pmks_positive,2,0.7585606230926969,1,-0.93333333333333457,40.799319936209656,eligible
pmks_positive_0003,pmks_positive,3,0.77601391561264033,1,-0.91666666666666785,33.931822124968733,eligible
pmks_positive_0004,pmks_positive,4,0.79346720813258376,1,-0.90000000000000113,29.459209119482232,eligible
pmks_positive_0005,pmks_positive,5,0.81092050065252719,1,-0.88333333333333441,26.262397575983478,eligible
pmks_positive_0006,pmks_positive,6,0.82837379317247062,1,-0.8666666666666677,23.836028007867601,eligible
pmks_positive_0007,pmks_positive,7,0.84582708569241394,1,-0.85000000000000098,21.915725162310373,eligible
pmks_positive_0008,pmks_positive,8,0.86328037821235726,1,-0.83333333333333426,20.348507217001313,eligible
pmks_positive_0009,pmks_positive,9,0.88073367073230058,1,-0.81666666666666754,19.039078395358107,eligible
pmks_positive_0010,pmks_positive,10,0.8981869632522439,1,-0.80000000000000082,17.924638184636944,eligible
pmks_positive_0011,pmks_positive,11,0.91564025577218711,1,-0.7833333333333341,16.961920085051165,eligible
pmks_positive_0012,pmks_positive,12,0.93309354829213043,1,-0.76666666666666738,16.120024157517772,eligible
pmks_positive_0013,pmks_positive,13,0.95054684081207386,1,-0.75000000000000067,15.376217366979835,eligible
pmks_positive_0014,pmks_positive,14,0.96800013333201718,1,-0.73333333333333395,14.713353089768891,eligible
pmks_positive_0015,pmks_positive,15,0.9854534258519605,1,-0.71666666666666723,14.118221214002057,eligible
pmks_positive_0016,pmks_positive,16,1.0029067183719038,1,-0.70000000000000051,13.580457011424299,eligible
pmks_positive_0017,pmks_positive,17,1.0203600108918474,1,-0.68333333333333379,13.091798280365978,eligible
pmks_positive_0018,pmks_positive,18,1.0378133034117907,1,-0.66666666666666707,12.645566667382893,eligible
