matlab_sample_id,matlab_sweep_id,matlab_sweep_index,input_angle_rad,input_direction,jacobian_condition,eligibility,pmks_sample_id,status,reason
matlab_0000,matlab_sweep_00,0,0,1,2.3700823497242069,eligible,pmks_positive_0000,matched,
matlab_0001,matlab_sweep_00,1,0.017453292519943295,1,2.3697354359953025,eligible,pmks_positive_0001,matched,
matlab_0002,matlab_sweep_00,2,0.034906585039886584,1,2.3686955726797674,eligible,pmks_positive_0002,matched,
matlab_0003,matlab_sweep_00,3,0.052359877559829897,1,2.3669653873778023,eligible,pmks_positive_0003,matched,
matlab_0004,matlab_sweep_00,4,0.069813170079773182,1,2.3645492394608678,eligible,pmks_positive_0004,matched,
matlab_0005,matlab_sweep_00,5,0.08726646259971646,1,2.3614531904141729,eligible,pmks_positive_0005,matched,
matlab_0006,matlab_sweep_00,6,0.10471975511965977,1,2.3576849628812604,eligible,pmks_positive_0006,matched,
matlab_0007,matlab_sweep_00,7,0.12217304763960304,1,2.3532538889605936,eligible,pmks_positive_0007,matched,
matlab_0008,matlab_sweep_00,8,0.13962634015954634,1,2.348170848440164,eligible,pmks_positive_0008,matched,
matlab_0009,matlab_sweep_00,9,0.15707963267948966,1,2.3424481977773506,eligible,pmks_positive_0009,matched,
matlab_0010,matlab_sweep_00,10,0.17453292519943295,1,2.3360996907354128,eligible,pmks_positive_0010,matched,
matlab_0011,matlab_sweep_00,11,0.19198621771937621,1,2.3291403916731914,eligible,pmks_positive_0011,matched,
matlab_0012,matlab_sweep_00,12,0.20943951023931953,1,2.3215865825498683,eligible,pmks_positive_0012,matched,
matlab_0013,matlab_sweep_00,13,0.22689280275926285,1,2.3134556647511784,eligible,pmks_positive_0013,matched,
matlab_0014,matlab_sweep_00,14,0.24434609527920612,1,2.3047660568673729,eligible,pmks_positive_0014,matched,
matlab_0015,matlab_sweep_00,15,0.26179938779914935,1,2.2955370895571132,eligible,pmks_positive_0015,matched,
matlab_0016,matlab_sweep_00,16,0.27925268031909273,1,2.2857888986160635,eligible,pmks_positive_0016,matched,
matlab_0017,matlab_sweep_00,17,0.29670597283903605,1,2.2755423173361446,eligible,pmks_positive_0017,matched,
matlab_0018,matlab_sweep_00,18,0.31415926535897931,1,2.2648187691925221,eligible,pmks_positive_0018,matched,
matlab_0019,matlab_sweep_00,19,0.33161255787892274,1,2.2536401618330015,eligible,pmks_positive_0019,matched,
matlab_0020,matlab_sweep_00,20,0.34906585039886606,1,2.2420287832703698,eligible,pmks_positive_0020,matched,
matlab_0021,matlab_sweep_00,21,0.36651914291880927,1,2.2300072010952601,eligible,pmks_positive_0021,matched,
matlab_0022,matlab_sweep_00,22,0.38397243543875265,1,2.217598165437177,eligible,pmks_positive_0022,matched,
matlab_0023,matlab_sweep_00,23,0.40142572795869602,1,2.204824516307176,eligible,pmks_positive_0023,matched,
matlab_0024,matlab_sweep_00,24,0.41887902047863929,1,2.1917090958593799,eligible,pmks_positive_0024,matched,
matlab_0025,matlab_sweep_00,25,0.43633231299858261,1,2.1782746660120167,eligible,pmks_positive_0025,matched,
matlab_0026,matlab_sweep_00,26,0.45378560551852593,1,2.1645438317741368,eligible,pmks_positive_0026,matched,
matlab_0027,matlab_sweep_00,27,0.47123889803846924,1,2.1505389705328239,eligible,pmks_positive_0027,matched,
matlab_0028,matlab_sweep_00,28,0.48869219055841256,1,2.1362821674693135,eligible,pmks_positive_0028,matched,
matlab_0029,matlab_sweep_00,29,0.50614548307835594,1,2.121795157191793,eligible,pmks_positive_0029,matched,
matlab_0030,matlab_sweep_00,30,0.52359877559829915,1,2.1070992715987598,eligible,pmks_positive_0030,matched,
matlab_0031,matlab_sweep_00,31,0.54105206811824258,1,2.0922153939202812,eligible,pmks_positive_0031,matched,
matlab_0032,matlab_sweep_00,32,0.55850536063818579,1,2.0771639188255691,eligible,pmks_positive_0032,matched,
matlab_0033,matlab_sweep_00,33,0.57595865315812911,1,2.0619647184342758,eligible,pmks_positive_0033,matched,
matlab_0034,matlab_sweep_00,34,0.59341194567807243,1,2.0466371140256343,eligible,pmks_positive_0034,matched,
matlab_0035,matlab_sweep_00,35,0.61086523819801575,1,2.0311998532040443,eligible,pmks_positive_0035,matched,
matlab_0036,matlab_sweep_00,36,0.62831853071795907,1,2.0156710922512859,eligible,pmks_positive_0036,matched,
matlab_0037,matlab_sweep_00,37,0.64577182323790239,1,2.0000683833742472,eligible,pmks_positive_0037,matched,
matlab_0038,matlab_sweep_00,38,0.66322511575784571,1,1.9844086665419338,eligible,pmks_positive_0038,matched,
matlab_0039,matlab_sweep_00,39,0.68067840827778903,1,1.9687082655963009,eligible,pmks_positive_0039,matched,
matlab_0040,matlab_sweep_00,40,0.69813170079773235,1,1.952982888317518,eligible,pmks_positive_0040,matched,
matlab_0041,matlab_sweep_00,41,0.71558499331767567,1,1.9372476301247712,eligible,pmks_positive_0041,matched,
matlab_0042,matlab_sweep_00,42,0.73303828583761899,1,1.9215169810984254,eligible,pmks_positive_0042,matched,
matlab_0043,matlab_sweep_00,43,0.75049157835756219,1,1.9058048360172763,eligible,pmks_positive_0043,matched,
matlab_0044,matlab_sweep_00,44,0.76794487087750563,1,1.8901245071155059,eligible,pmks_positive_0044,matched,
matlab_0045,matlab_sweep_00,45,0.78539816339744906,1,1.8744887392770255,eligible,pmks_positive_0045,matched,
matlab_0046,matlab_sweep_00,46,0.80285145591739226,1,1.8589097273997539,eligible,pmks_positive_0046,matched,
matlab_0047,matlab_sweep_00,47,0.82030474843733558,1,1.8433991356785706,eligible,pmks_positive_0047,matched,
matlab_0048,matlab_sweep_00,48,0.8377580409572789,1,1.8279681185726351,eligible,pmks_positive_0048,matched,
matlab_0049,matlab_sweep_00,49,0.85521133347722234,1,1.8126273432403632,eligible,pmks_positive_0049,matched,
matlab_0050,matlab_sweep_00,50,0.87266462599716554,1,1.7973870132428622,eligible,pmks_positive_0050,matched,
matlab_0051,matlab_sweep_00,51,0.89011791851710886,1,1.7822568933341347,eligible,pmks_positive_0051,matched,
matlab_0052,matlab_sweep_00,52,0.90757121103705218,1,1.7672463351732519,eligible,pmks_positive_0052,matched,
matlab_0053,matlab_sweep_00,53,0.9250245035569955,1,1.7523643038099088,eligible,pmks_positive_0053,matched,
matlab_0054,matlab_sweep_00,54,0.94247779607693871,1,1.7376194048100466,eligible,pmks_positive_0054,matched,
matlab_0055,matlab_sweep_00,55,0.95993108859688214,1,1.7230199119021774,eligible,pmks_positive_0055,matched,
matlab_0056,matlab_sweep_00,56,0.97738438111682546,1,1.7085737950377669,eligible,pmks_positive_0056,matched,
