sample_id,x,y,vx,vy,ax,ay
matlab_0000,472.56,-20.800000000000001,-11.184322381968943,-251.64080110061931,-119.12511891175723,370.14690848220295
matlab_0001,472.36408016779063,-24.818901593166956,-13.027144635552327,-245.53846852712746,-108.83209851065823,384.70889764536417
matlab_0002,472.13972400965974,-28.737286030984961,-14.701948728049711,-239.20688605977264,-98.347611289131677,398.50363218786975
matlab_0003,471.88967010482622,-32.551549145881552,-16.2061115789156,-232.65873678014731,-87.730149028228894,411.49737454248776
matlab_0004,471.61669177733501,-36.258295969531126,-17.537958235043515,-225.90720493794885,-77.038424959757918,423.66187849802884
matlab_0005,471.32358176543897,-39.854348112354835,-18.696760763250783,-218.9658863704262,-66.330796141041105,434.97447730323768
matlab_0006,471.01313698365578,-43.336749686547527,-19.682727941817262,-211.84869808016785,-55.664704277624601,445.41809997281581
matlab_0007,470.68814352343304,-46.702771768305112,-20.496986121915779,-204.56978811447178,-45.096143846744873,454.98121818285199
matlab_0008,470.35136203124023,-49.949915413049879,-21.141551765950894,-197.14344683999906,-34.679165484433518,463.65772747358818
matlab_0009,470.0055135937148,-53.075913254594838,-21.619296290186121,-189.58402063658852,-24.465421539682282,471.44676765190439
matlab_0010,469.65326624849524,-56.078729735045385,-21.933903941174869,-181.90582894675498,-14.503759511080276,478.35248827624292
matlab_0011,469.29722222688923,-58.956560026585585,-22.089823517703984,-174.12308551565059,-4.8398678082454865,484.38376589340692
matlab_0012,468.93990602088064,-61.70782771887648,-22.092214811169253,-166.24982454353906,4.4840230337011491,489.5538802687185
matlab_0013,468.58375335251498,-64.331181356515117,-21.946890677239395,-158.2998323526119,13.429381870851998,493.88015720592017
matlab_0014,468.23110110876615,-66.825489919722827,-21.660255670658231,-150.28658504573676,21.96156065395239,497.38358569631896
matlab_0015,467.88417828990561,-69.189837348144565,-21.239242174054738,-142.22319250981758,30.04992096918312,500.08841708040814
matlab_0016,467.54509800447909,-71.423516212344012,-20.691244932146525,-134.12234899392627,37.667905156313687,502.02175366789226
matlab_0017,467.21585052953526,-73.52602064034879,-20.024054866645962,-125.99629037500188,44.793054704788474,503.21313386656544
matlab_0018,466.89829744099075,-75.497038607514071,-19.245792996726493,-117.85675811404245,51.406979443387669,503.69412034297346
matlab_0019,466.59416680617085,-77.336443697204118,-18.364845227532005,-109.71496980525177,57.495281698806707,503.49789710617483
matlab_0020,466.30504941880798,-79.04428643746887,-17.38979869745285,-101.58159613100096,63.047440099132629,502.65888069865355
matlab_0021,466.03239604624412,-80.62078531522431,-16.329380296317542,-93.466743957720553,68.056658041875465,501.21234992332558
matlab_0022,465.77751564935011,-82.066317564620221,-15.192397883741856,-85.379945242504476,72.519682040000291,499.19409775878148
matlab_0023,465.54157452780657,-83.381409820493147,-13.987684651975988,-77.330151367454604,76.436595214463495,496.64010834012379
matlab_0024,465.3255963368951,-84.566728721273762,-12.724046992825654,-69.325732478395565,79.810591132431654,493.5862611306456
matlab_0025,465.13046291680701,-85.623071538622497,-11.410216145474392,-61.374481376059769,82.647733013153939,490.06806369748045
matlab_0026,464.95691587164691,-86.551356903612799,-10.054803822902947,-53.483621490397006,84.956703056211751,486.12041384593704
matlab_0027,464.80555883272268,-87.352615691614147,-8.666261940393861,-45.65981846135994,86.748546307814664,481.77739127272366
matlab_0028,464.67686033927322,-88.027982120334173,-7.2528465013439911,-37.909194851260949,88.036413087976527,477.07207837445219
matlab_0029,464.57115726940458,-88.578685107860565,-5.8225856340080053,-30.237347523404836,88.835303571862312,472.03640939838726
matlab_0030,464.48865875455368,-89.006039930149868,-4.3832517183327795,-22.649367237974289,89.161817668137189,466.70104674827019
matlab_0031,464.42945051217515,-89.311440210324363,-2.9423374949316057,-15.149860037854541,89.033912879839662,461.09528295778534
matlab_0032,464.393499533426,-89.49635026542424,-1.5070360085034009,-7.7429700230873193,88.470672381280593,455.24696661446723
matlab_0033,464.38065906527567,-89.56229783001919,-0.084224205450023529,-0.43240314180319311,87.492085107954907,449.1824503527136
matlab_0034,464.39067382960724,-89.510867170312466,1.3195500202286914,6.778548343173985,86.118839243528711,442.92655893016013
matlab_0035,464.42318542536225,-89.343692597122569,2.6980775579182925,13.886981020283597,84.372130104860005,436.50257535029436
matlab_0036,464.47773786354122,-89.062452381414289,4.0454948267188051,20.890355402940973,82.273483077105269,429.93224298890368
matlab_0037,464.55378318879337,-88.66886307186914,5.356287783556148,27.786471153413988,79.844591938987449,423.23578171560848
matlab_0038,464.65068714534891,-88.16467421032165,6.6252934427447707,34.573442667288255,77.107172644556684,416.43191606746598
matlab_0039,464.76773484907983,-87.55166343774053,7.8476991557888995,41.249675198244049,74.08283239234899,409.53791362280941
matlab_0040,464.90413643146491,-86.83163198076609,9.0190398958261433,47.813841673802841,70.792953614803452,402.56963183404224
matlab_0041,465.05903262513107,-86.006400506598425,10.135193783823322,54.264860325545342,67.258592358408649,395.54157170248686
matlab_0042,465.23150026440248,-85.077805332242392,11.192376083987011,60.601873232227788,63.50039039600599,388.46693681170797
matlab_0043,465.42055767787059,-84.0476949727136,12.187131884371789,66.824225851358804,59.538500314227591,381.3576963737267
matlab_0044,465.62516995339394,-82.917927011755637,13.116327665822702,72.931447594168645,55.392522748189847,374.22465108163351
matlab_0045,465.84425405910423,-81.690365277878698,13.97714194859825,78.923233480507648,51.081454889171852,367.07750069930177
matlab_0046,466.07668380694372,-80.366877308085535,14.76705519166201,84.799426894019859,46.623649365935435,359.92491245183004
matlab_0047,466.32129464796952,-78.949332081421801,15.483839105009265,90.560003443817834,42.036782593496355,352.77458940713456
matlab_0048,466.57688829113187,-77.439598004501477,16.125545520800312,96.205055926786258,37.33783169162519,345.63333815841855
matlab_0049,466.84223713947807,-75.839541131329952,16.690494954711863,101.73478037438402,32.543059096369454,338.50713522810014
matlab_0050,467.11608853974093,-74.151023600084656,17.177264974986166,107.14946315928566,27.668004018944945,331.40119171561548
matlab_0051,467.39716884306165,-72.375902269964811,17.584678483290592,112.44946913024341,22.727479945152147,324.32001580403954
matlab_0052,467.68418727617853,-70.516027541784823,17.911791998811754,117.63523073800916,17.735577413026057,317.26747282366227
matlab_0053,467.9758396237907,-68.573242346618315,18.157884025072864,122.70723811088997,12.705671354939525,310.24684264469215
matlab_0054,468.27081172400148,-66.549381287499756,18.32244356783422,127.66603003536349,7.6504323413445405,303.26087423646675
matlab_0055,468.56778277976628,-64.446269919926394,18.405158862141764,132.51218579502196,2.5818411154507785,296.31183728737784
matlab_0056,468.86542849013085,-62.265724157674995,18.405906357140122,137.24631781980997,-2.4887941396553899,289.40157082869479
matlab_0057,469.16242400576283,-60.009549791224487,18.324739998653655,141.86906509694958,-7.5508183085403573,282.53152884717849
matlab_0058,469.457446713857,-57.679542106864787,18.161880841748381,146.38108729499018,-12.594208082757895,275.70282290643547
matlab_0059,469.74917885796526,-55.277485595354435,17.917707018488397,150.7830595529922,-17.609549341241433,268.91626182599049
