sample_id,x,y,vx,vy,ax,ay
matlab_0000,0,0,0,0,0,0
matlab_0001,0,0,0,0,0,0
matlab_0002,0,0,0,0,0,0
matlab_0003,0,0,0,0,0,0
matlab_0004,0,0,0,0,0,0
matlab_0005,0,0,0,0,0,0
matlab_0006,0,0,0,0,0,0
matlab_0007,0,0,0,0,0,0
matlab_0008,0,0,0,0,0,0
matlab_0009,0,0,0,0,0,0
matlab_0010,0,0,0,0,0,0
matlab_0011,0,0,0,0,0,0
matlab_0012,0,0,0,0,0,0
matlab_0013,0,0,0,0,0,0
matlab_0014,0,0,0,0,0,0
matlab_0015,0,0,0,0,0,0
matlab_0016,0,0,0,0,0,0
matlab_0017,0,0,0,0,0,0
matlab_0018,0,0,0,0,0,0
matlab_0019,0,0,0,0,0,0
matlab_0020,0,0,0,0,0,0
matlab_0021,0,0,0,0,0,0
matlab_0022,0,0,0,0,0,0
matlab_0023,0,0,0,0,0,0
matlab_0024,0,0,0,0,0,0
matlab_0025,0,0,0,0,0,0
matlab_0026,0,0,0,0,0,0
matlab_0027,0,0,0,0,0,0
matlab_0028,0,0,0,0,0,0
matlab_0029,0,0,0,0,0,0
matlab_0030,0,0,0,0,0,0
matlab_0031,0,0,0,0,0,0
matlab_0032,0,0,0,0,0,0
matlab_0033,0,0,0,0,0,0
matlab_0034,0,0,0,0,0,0
matlab_0035,0,0,0,0,0,0
matlab_0036,0,0,0,0,0,0
matlab_0037,0,0,0,0,0,0
matlab_0038,0,0,0,0,0,0
matlab_0039,0,0,0,0,0,0
matlab_0040,0,0,0,0,0,0
matlab_0041,0,0,0,0,0,0
matlab_0042,0,0,0,0,0,0
matlab_0043,0,0,0,0,0,0
matlab_0044,0,0,0,0,0,0
matlab_0045,0,0,0,0,0,0
matlab_0046,0,0,0,0,0,0
matlab_0047,0,0,0,0,0,0
matlab_0048,0,0,0,0,0,0
matlab_0049,0,0,0,0,0,0
matlab_0050,0,0,0,0,0,0
matlab_0051,0,0,0,0,0,0
matlab_0052,0,0,0,0,0,0
matlab_0053,0,0,0,0,0,0
matlab_0054,0,0,0,0,0,0
matlab_0055,0,0,0,0,0,0
matlab_0056,0,0,0,0,0,0
matlab_0057,0,0,0,0,0,0
matlab_0058,0,0,0,0,0,0
matlab_0059,0,0,0,0,0,0
matlab_0060,0,0,0,0,0,0
matlab_0061,0,0,0,0,0,0
matlab_0062,0,0,0,0,0,0
matlab_0063,0,0,0,0,0,0
matlab_0064,0,0,0,0,0,0
matlab_0065,0,0,0,0,0,0
matlab_0066,0,0,0,0,0,0
matlab_0067,0,0,0,0,0,0
matlab_0068,0,0,0,0,0,0
matlab_0069,0,0,0,0,0,0
matlab_0070,0,0,0,0,0,0
matlab_0071,0,0,0,0,0,0
matlab_0072,0,0,0,0,0,0
matlab_0073,0,0,0,0,0,0
matlab_0074,0,0,0,0,0,0
matlab_0075,0,0,0,0,0,0
matlab_0076,0,0,0,0,0,0
matlab_0077,0,0,0,0,0,0
matlab_0078,0,0,0,0,0,0
matlab_0079,0,0,0,0,0,0
matlab_0080,0,0,0,0,0,0
matlab_0081,0,0,0,0,0,0
matlab_0082,0,0,0,0,0,0
matlab_0083,0,0,0,0,0,0
matlab_0084,0,0,0,0,0,0
matlab_0085,0,0,0,0,0,0
matlab_0086,0,0,0,0,0,0
matlab_0087,0,0,0,0,0,0
matlab_0088,0,0,0,0,0,0
matlab_0089,0,0,0,0,0,0
matlab_0090,0,0,0,0,0,0
matlab_0091,0,0,0,0,0,0
matlab_0092,0,0,0,0,0,0
matlab_0093,0,0,0,0,0,0
matlab_0094,0,0,0,0,0,0
matlab_0095,0,0,0,0,0,0
matlab_0096,0,0,0,0,0,0
matlab_0097,0,0,0,0,0,0
matlab_0098,0,0,0,0,0,0
matlab_0099,0,0,0,0,0,0
matlab_0100,0,0,0,0,0,0
matlab_0101,0,0,0,0,0,0
matlab_0102,0,0,0,0,0,0
matlab_0103,0,0,0,0,0,0
matlab_0104,0,0,0,0,0,0
matlab_0105,0,0,0,0,0,0
