sample_id,x,y,vx,vy,ax,ay
matlab_0000,4.5720000000000001,0,0,0,0,0
matlab_0001,4.5720000000000001,0,0,0,0,0
matlab_0002,4.5720000000000001,0,0,0,0,0
matlab_0003,4.5720000000000001,0,0,0,0,0
matlab_0004,4.5720000000000001,0,0,0,0,0
matlab_0005,4.5720000000000001,0,0,0,0,0
matlab_0006,4.5720000000000001,0,0,0,0,0
matlab_0007,4.5720000000000001,0,0,0,0,0
matlab_0008,4.5720000000000001,0,0,0,0,0
matlab_0009,4.5720000000000001,0,0,0,0,0
matlab_0010,4.5720000000000001,0,0,0,0,0
matlab_0011,4.5720000000000001,0,0,0,0,0
matlab_0012,4.5720000000000001,0,0,0,0,0
matlab_0013,4.5720000000000001,0,0,0,0,0
matlab_0014,4.5720000000000001,0,0,0,0,0
matlab_0015,4.5720000000000001,0,0,0,0,0
matlab_0016,4.5720000000000001,0,0,0,0,0
matlab_0017,4.5720000000000001,0,0,0,0,0
matlab_0018,4.5720000000000001,0,0,0,0,0
matlab_0019,4.5720000000000001,0,0,0,0,0
matlab_0020,4.5720000000000001,0,0,0,0,0
matlab_0021,4.5720000000000001,0,0,0,0,0
matlab_0022,4.5720000000000001,0,0,0,0,0
matlab_0023,4.5720000000000001,0,0,0,0,0
matlab_0024,4.5720000000000001,0,0,0,0,0
matlab_0025,4.5720000000000001,0,0,0,0,0
matlab_0026,4.5720000000000001,0,0,0,0,0
matlab_0027,4.5720000000000001,0,0,0,0,0
matlab_0028,4.5720000000000001,0,0,0,0,0
matlab_0029,4.5720000000000001,0,0,0,0,0
matlab_0030,4.5720000000000001,0,0,0,0,0
matlab_0031,4.5720000000000001,0,0,0,0,0
matlab_0032,4.5720000000000001,0,0,0,0,0
matlab_0033,4.5720000000000001,0,0,0,0,0
matlab_0034,4.5720000000000001,0,0,0,0,0
matlab_0035,4.5720000000000001,0,0,0,0,0
matlab_0036,4.5720000000000001,0,0,0,0,0
matlab_0037,4.5720000000000001,0,0,0,0,0
matlab_0038,4.5720000000000001,0,0,0,0,0
matlab_0039,4.5720000000000001,0,0,0,0,0
matlab_0040,4.5720000000000001,0,0,0,0,0
matlab_0041,4.5720000000000001,0,0,0,0,0
matlab_0042,4.5720000000000001,0,0,0,0,0
matlab_0043,4.5720000000000001,0,0,0,0,0
matlab_0044,4.5720000000000001,0,0,0,0,0
matlab_0045,4.5720000000000001,0,0,0,0,0
matlab_0046,4.5720000000000001,0,0,0,0,0
matlab_0047,4.5720000000000001,0,0,0,0,0
matlab_0048,4.5720000000000001,0,0,0,0,0
matlab_0049,4.5720000000000001,0,0,0,0,0
matlab_0050,4.5720000000000001,0,0,0,0,0
matlab_0051,4.5720000000000001,0,0,0,0,0
matlab_0052,4.5720000000000001,0,0,0,0,0
matlab_0053,4.5720000000000001,0,0,0,0,0
matlab_0054,4.5720000000000001,0,0,0,0,0
matlab_0055,4.5720000000000001,0,0,0,0,0
matlab_0056,4.5720000000000001,0,0,0,0,0
matlab_0057,4.5720000000000001,0,0,0,0,0
matlab_0058,4.5720000000000001,0,0,0,0,0
matlab_0059,4.5720000000000001,0,0,0,0,0
matlab_0060,4.5720000000000001,0,0,0,0,0
matlab_0061,4.5720000000000001,0,0,0,0,0
matlab_0062,4.5720000000000001,0,0,0,0,0
matlab_0063,4.5720000000000001,0,0,0,0,0
matlab_0064,4.5720000000000001,0,0,0,0,0
matlab_0065,4.5720000000000001,0,0,0,0,0
matlab_0066,4.5720000000000001,0,0,0,0,0
matlab_0067,4.5720000000000001,0,0,0,0,0
matlab_0068,4.5720000000000001,0,0,0,0,0
matlab_0069,4.5720000000000001,0,0,0,0,0
matlab_0070,4.5720000000000001,0,0,0,0,0
matlab_0071,4.5720000000000001,0,0,0,0,0
matlab_0072,4.5720000000000001,0,0,0,0,0
matlab_0073,4.5720000000000001,0,0,0,0,0
matlab_0074,4.5720000000000001,0,0,0,0,0
matlab_0075,4.5720000000000001,0,0,0,0,0
matlab_0076,4.5720000000000001,0,0,0,0,0
matlab_0077,4.5720000000000001,0,0,0,0,0
matlab_0078,4.5720000000000001,0,0,0,0,0
matlab_0079,4.5720000000000001,0,0,0,0,0
matlab_0080,4.5720000000000001,0,0,0,0,0
matlab_0081,4.5720000000000001,0,0,0,0,0
matlab_0082,4.5720000000000001,0,0,0,0,0
matlab_0083,4.5720000000000001,0,0,0,0,0
matlab_0084,4.5720000000000001,0,0,0,0,0
matlab_0085,4.5720000000000001,0,0,0,0,0
matlab_0086,4.5720000000000001,0,0,0,0,0
matlab_0087,4.5720000000000001,0,0,0,0,0
matlab_0088,4.5720000000000001,0,0,0,0,0
matlab_0089,4.5720000000000001,0,0,0,0,0
matlab_0090,4.5720000000000001,0,0,0,0,0
matlab_0091,4.5720000000000001,0,0,0,0,0
matlab_0092,4.5720000000000001,0,0,0,0,0
matlab_0093,4.5720000000000001,0,0,0,0,0
matlab_0094,4.5720000000000001,0,0,0,0,0
matlab_0095,4.5720000000000001,0,0,0,0,0
matlab_0096,4.5720000000000001,0,0,0,0,0
matlab_0097,4.5720000000000001,0,0,0,0,0
matlab_0098,4.5720000000000001,0,0,0,0,0
matlab_0099,4.5720000000000001,0,0,0,0,0
matlab_0100,4.5720000000000001,0,0,0,0,0
matlab_0101,4.5720000000000001,0,0,0,0,0
matlab_0102,4.5720000000000001,0,0,0,0,0
matlab_0103,4.5720000000000001,0,0,0,0,0
matlab_0104,4.5720000000000001,0,0,0,0,0
matlab_0105,4.5720000000000001,0,0,0,0,0
matlab_0106,4.5720000000000001,0,0,0,0,0
matlab_0107,4.5720000000000001,0,0,0,0,0
matlab_0108,4.5720000000000001,0,0,0,0,0
matlab_0109,4.5720000000000001,0,0,0,0,0
matlab_0110,4.5720000000000001,0,0,0,0,0
matlab_0111,4.5720000000000001,0,0,0,0,0
matlab_0112,4.5720000000000001,0,0,0,0,0
matlab_0113,4.5720000000000001,0,0,0,0,0
matlab_0114,4.5720000000000001,0,0,0,0,0
matlab_0115,4.5720000000000001,0,0,0,0,0
matlab_0116,4.5720000000000001,0,0,0,0,0
matlab_0117,4.5720000000000001,0,0,0,0,0
matlab_0118,4.5720000000000001,0,0,0,0,0
matlab_0119,4.5720000000000001,0,0,0,0,0
matlab_0120,4.5720000000000001,0,0,0,0,0
matlab_0121,4.5720000000000001,0,0,0,0,0
matlab_0122,4.5720000000000001,0,0,0,0,0
matlab_0123,4.5720000000000001,0,0,0,0,0
matlab_0124,4.5720000000000001,0,0,0,0,0
matlab_0125,4.5720000000000001,0,0,0,0,0
matlab_0126,4.5720000000000001,0,0,0,0,0
matlab_0127,4.5720000000000001,0,0,0,0,0
matlab_0128,4.5720000000000001,0,0,0,0,0
matlab_0129,4.5720000000000001,0,0,0,0,0
matlab_0130,4.5720000000000001,0,0,0,0,0
matlab_0131,4.5720000000000001,0,0,0,0,0
matlab_0132,4.5720000000000001,0,0,0,0,0
matlab_0133,4.5720000000000001,0,0,0,0,0
matlab_0134,4.5720000000000001,0,0,0,0,0
matlab_0135,4.5720000000000001,0,0,0,0,0
matlab_0136,4.5720000000000001,0,0,0,0,0
matlab_0137,4.5720000000000001,0,0,0,0,0
matlab_0138,4.5720000000000001,0,0,0,0,0
matlab_0139,4.5720000000000001,0,0,0,0,0
matlab_0140,4.5720000000000001,0,0,0,0,0
matlab_0141,4.5720000000000001,0,0,0,0,0
matlab_0142,4.5720000000000001,0,0,0,0,0
matlab_0143,4.5720000000000001,0,0,0,0,0
matlab_0144,4.5720000000000001,0,0,0,0,0
matlab_0145,4.5720000000000001,0,0,0,0,0
matlab_0146,4.5720000000000001,0,0,0,0,0
matlab_0147,4.5720000000000001,0,0,0,0,0
matlab_0148,4.5720000000000001,0,0,0,0,0
matlab_0149,4.5720000000000001,0,0,0,0,0
matlab_0150,4.5720000000000001,0,0,0,0,0
matlab_0151,4.5720000000000001,0,0,0,0,0
matlab_0152,4.5720000000000001,0,0,0,0,0
matlab_0153,4.5720000000000001,0,0,0,0,0
matlab_0154,4.5720000000000001,0,0,0,0,0
matlab_0155,4.5720000000000001,0,0,0,0,0
matlab_0156,4.5720000000000001,0,0,0,0,0
matlab_0157,4.5720000000000001,0,0,0,0,0
matlab_0158,4.5720000000000001,0,0,0,0,0
matlab_0159,4.5720000000000001,0,0,0,0,0
matlab_0160,4.5720000000000001,0,0,0,0,0
matlab_0161,4.5720000000000001,0,0,0,0,0
matlab_0162,4.5720000000000001,0,0,0,0,0
matlab_0163,4.5720000000000001,0,0,0,0,0
matlab_0164,4.5720000000000001,0,0,0,0,0
matlab_0165,4.5720000000000001,0,0,0,0,0
matlab_0166,4.5720000000000001,0,0,0,0,0
matlab_0167,4.5720000000000001,0,0,0,0,0
matlab_0168,4.5720000000000001,0,0,0,0,0
matlab_0169,4.5720000000000001,0,0,0,0,0
matlab_0170,4.5720000000000001,0,0,0,0,0
matlab_0171,4.5720000000000001,0,0,0,0,0
matlab_0172,4.5720000000000001,0,0,0,0,0
matlab_0173,4.5720000000000001,0,0,0,0,0
matlab_0174,4.5720000000000001,0,0,0,0,0
matlab_0175,4.5720000000000001,0,0,0,0,0
matlab_0176,4.5720000000000001,0,0,0,0,0
matlab_0177,4.5720000000000001,0,0,0,0,0
matlab_0178,4.5720000000000001,0,0,0,0,0
matlab_0179,4.5720000000000001,0,0,0,0,0
matlab_0180,4.5720000000000001,0,0,0,0,0
matlab_0181,4.5720000000000001,0,0,0,0,0
matlab_0182,4.5720000000000001,0,0,0,0,0
matlab_0183,4.5720000000000001,0,0,0,0,0
matlab_0184,4.5720000000000001,0,0,0,0,0
matlab_0185,4.5720000000000001,0,0,0,0,0
matlab_0186,4.5720000000000001,0,0,0,0,0
matlab_0187,4.5720000000000001,0,0,0,0,0
matlab_0188,4.5720000000000001,0,0,0,0,0
matlab_0189,4.5720000000000001,0,0,0,0,0
matlab_0190,4.5720000000000001,0,0,0,0,0
matlab_0191,4.5720000000000001,0,0,0,0,0
matlab_0192,4.5720000000000001,0,0,0,0,0
matlab_0193,4.5720000000000001,0,0,0,0,0
matlab_0194,4.5720000000000001,0,0,0,0,0
matlab_0195,4.5720000000000001,0,0,0,0,0
matlab_0196,4.5720000000000001,0,0,0,0,0
matlab_0197,4.5720000000000001,0,0,0,0,0
matlab_0198,4.5720000000000001,0,0,0,0,0
matlab_0199,4.5720000000000001,0,0,0,0,0
matlab_0200,4.5720000000000001,0,0,0,0,0
matlab_0201,4.5720000000000001,0,0,0,0,0
matlab_0202,4.5720000000000001,0,0,0,0,0
matlab_0203,4.5720000000000001,0,0,0,0,0
matlab_0204,4.5720000000000001,0,0,0,0,0
matlab_0205,4.5720000000000001,0,0,0,0,0
matlab_0206,4.5720000000000001,0,0,0,0,0
matlab_0207,4.5720000000000001,0,0,0,0,0
matlab_0208,4.5720000000000001,0,0,0,0,0
matlab_0209,4.5720000000000001,0,0,0,0,0
matlab_0210,4.5720000000000001,0,0,0,0,0
matlab_0211,4.5720000000000001,0,0,0,0,0
matlab_0212,4.5720000000000001,0,0,0,0,0
matlab_0213,4.5720000000000001,0,0,0,0,0
matlab_0214,4.5720000000000001,0,0,0,0,0
matlab_0215,4.5720000000000001,0,0,0,0,0
matlab_0216,4.5720000000000001,0,0,0,0,0
matlab_0217,4.5720000000000001,0,0,0,0,0
matlab_0218,4.5720000000000001,0,0,0,0,0
matlab_0219,4.5720000000000001,0,0,0,0,0
matlab_0220,4.5720000000000001,0,0,0,0,0
matlab_0221,4.5720000000000001,0,0,0,0,0
matlab_0222,4.5720000000000001,0,0,0,0,0
matlab_0223,4.5720000000000001,0,0,0,0,0
matlab_0224,4.5720000000000001,0,0,0,0,0
matlab_0225,4.5720000000000001,0,0,0,0,0
matlab_0226,4.5720000000000001,0,0,0,0,0
matlab_0227,4.5720000000000001,0,0,0,0,0
matlab_0228,4.5720000000000001,0,0,0,0,0
matlab_0229,4.5720000000000001,0,0,0,0,0
matlab_0230,4.5720000000000001,0,0,0,0,0
matlab_0231,4.5720000000000001,0,0,0,0,0
matlab_0232,4.5720000000000001,0,0,0,0,0
matlab_0233,4.5720000000000001,0,0,0,0,0
matlab_0234,4.5720000000000001,0,0,0,0,0
matlab_0235,4.5720000000000001,0,0,0,0,0
matlab_0236,4.5720000000000001,0,0,0,0,0
matlab_0237,4.5720000000000001,0,0,0,0,0
matlab_0238,4.5720000000000001,0,0,0,0,0
matlab_0239,4.5720000000000001,0,0,0,0,0
matlab_0240,4.5720000000000001,0,0,0,0,0
matlab_0241,4.5720000000000001,0,0,0,0,0
matlab_0242,4.5720000000000001,0,0,0,0,0
matlab_0243,4.5720000000000001,0,0,0,0,0
matlab_0244,4.5720000000000001,0,0,0,0,0
matlab_0245,4.5720000000000001,0,0,0,0,0
matlab_0246,4.5720000000000001,0,0,0,0,0
matlab_0247,4.5720000000000001,0,0,0,0,0
matlab_0248,4.5720000000000001,0,0,0,0,0
matlab_0249,4.5720000000000001,0,0,0,0,0
matlab_0250,4.5720000000000001,0,0,0,0,0
matlab_0251,4.5720000000000001,0,0,0,0,0
matlab_0252,4.5720000000000001,0,0,0,0,0
matlab_0253,4.5720000000000001,0,0,0,0,0
matlab_0254,4.5720000000000001,0,0,0,0,0
matlab_0255,4.5720000000000001,0,0,0,0,0
matlab_0256,4.5720000000000001,0,0,0,0,0
matlab_0257,4.5720000000000001,0,0,0,0,0
matlab_0258,4.5720000000000001,0,0,0,0,0
matlab_0259,4.5720000000000001,0,0,0,0,0
matlab_0260,4.5720000000000001,0,0,0,0,0
matlab_0261,4.5720000000000001,0,0,0,0,0
matlab_0262,4.5720000000000001,0,0,0,0,0
matlab_0263,4.5720000000000001,0,0,0,0,0
matlab_0264,4.5720000000000001,0,0,0,0,0
matlab_0265,4.5720000000000001,0,0,0,0,0
matlab_0266,4.5720000000000001,0,0,0,0,0
matlab_0267,4.5720000000000001,0,0,0,0,0
matlab_0268,4.5720000000000001,0,0,0,0,0
matlab_0269,4.5720000000000001,0,0,0,0,0
matlab_0270,4.5720000000000001,0,0,0,0,0
matlab_0271,4.5720000000000001,0,0,0,0,0
matlab_0272,4.5720000000000001,0,0,0,0,0
matlab_0273,4.5720000000000001,0,0,0,0,0
matlab_0274,4.5720000000000001,0,0,0,0,0
matlab_0275,4.5720000000000001,0,0,0,0,0
matlab_0276,4.5720000000000001,0,0,0,0,0
matlab_0277,4.5720000000000001,0,0,0,0,0
matlab_0278,4.5720000000000001,0,0,0,0,0
matlab_0279,4.5720000000000001,0,0,0,0,0
matlab_0280,4.5720000000000001,0,0,0,0,0
matlab_0281,4.5720000000000001,0,0,0,0,0
matlab_0282,4.5720000000000001,0,0,0,0,0
matlab_0283,4.5720000000000001,0,0,0,0,0
matlab_0284,4.5720000000000001,0,0,0,0,0
matlab_0285,4.5720000000000001,0,0,0,0,0
matlab_0286,4.5720000000000001,0,0,0,0,0
matlab_0287,4.5720000000000001,0,0,0,0,0
matlab_0288,4.5720000000000001,0,0,0,0,0
matlab_0289,4.5720000000000001,0,0,0,0,0
matlab_0290,4.5720000000000001,0,0,0,0,0
matlab_0291,4.5720000000000001,0,0,0,0,0
matlab_0292,4.5720000000000001,0,0,0,0,0
matlab_0293,4.5720000000000001,0,0,0,0,0
matlab_0294,4.5720000000000001,0,0,0,0,0
matlab_0295,4.5720000000000001,0,0,0,0,0
matlab_0296,4.5720000000000001,0,0,0,0,0
matlab_0297,4.5720000000000001,0,0,0,0,0
matlab_0298,4.5720000000000001,0,0,0,0,0
matlab_0299,4.5720000000000001,0,0,0,0,0
matlab_0300,4.5720000000000001,0,0,0,0,0
matlab_0301,4.5720000000000001,0,0,0,0,0
matlab_0302,4.5720000000000001,0,0,0,0,0
matlab_0303,4.5720000000000001,0,0,0,0,0
matlab_0304,4.5720000000000001,0,0,0,0,0
matlab_0305,4.5720000000000001,0,0,0,0,0
matlab_0306,4.5720000000000001,0,0,0,0,0
matlab_0307,4.5720000000000001,0,0,0,0,0
matlab_0308,4.5720000000000001,0,0,0,0,0
matlab_0309,4.5720000000000001,0,0,0,0,0
matlab_0310,4.5720000000000001,0,0,0,0,0
matlab_0311,4.5720000000000001,0,0,0,0,0
matlab_0312,4.5720000000000001,0,0,0,0,0
matlab_0313,4.5720000000000001,0,0,0,0,0
matlab_0314,4.5720000000000001,0,0,0,0,0
matlab_0315,4.5720000000000001,0,0,0,0,0
matlab_0316,4.5720000000000001,0,0,0,0,0
matlab_0317,4.5720000000000001,0,0,0,0,0
matlab_0318,4.5720000000000001,0,0,0,0,0
matlab_0319,4.5720000000000001,0,0,0,0,0
matlab_0320,4.5720000000000001,0,0,0,0,0
matlab_0321,4.5720000000000001,0,0,0,0,0
matlab_0322,4.5720000000000001,0,0,0,0,0
matlab_0323,4.5720000000000001,0,0,0,0,0
matlab_0324,4.5720000000000001,0,0,0,0,0
matlab_0325,4.5720000000000001,0,0,0,0,0
matlab_0326,4.5720000000000001,0,0,0,0,0
matlab_0327,4.5720000000000001,0,0,0,0,0
matlab_0328,4.5720000000000001,0,0,0,0,0
matlab_0329,4.5720000000000001,0,0,0,0,0
matlab_0330,4.5720000000000001,0,0,0,0,0
matlab_0331,4.5720000000000001,0,0,0,0,0
matlab_0332,4.5720000000000001,0,0,0,0,0
matlab_0333,4.5720000000000001,0,0,0,0,0
matlab_0334,4.5720000000000001,0,0,0,0,0
matlab_0335,4.5720000000000001,0,0,0,0,0
matlab_0336,4.5720000000000001,0,0,0,0,0
matlab_0337,4.5720000000000001,0,0,0,0,0
matlab_0338,4.5720000000000001,0,0,0,0,0
matlab_0339,4.5720000000000001,0,0,0,0,0
matlab_0340,4.5720000000000001,0,0,0,0,0
matlab_0341,4.5720000000000001,0,0,0,0,0
matlab_0342,4.5720000000000001,0,0,0,0,0
matlab_0343,4.5720000000000001,0,0,0,0,0
matlab_0344,4.5720000000000001,0,0,0,0,0
matlab_0345,4.5720000000000001,0,0,0,0,0
matlab_0346,4.5720000000000001,0,0,0,0,0
matlab_0347,4.5720000000000001,0,0,0,0,0
matlab_0348,4.5720000000000001,0,0,0,0,0
matlab_0349,4.5720000000000001,0,0,0,0,0
matlab_0350,4.5720000000000001,0,0,0,0,0
matlab_0351,4.5720000000000001,0,0,0,0,0
matlab_0352,4.5720000000000001,0,0,0,0,0
matlab_0353,4.5720000000000001,0,0,0,0,0
matlab_0354,4.5720000000000001,0,0,0,0,0
matlab_0355,4.5720000000000001,0,0,0,0,0
matlab_0356,4.5720000000000001,0,0,0,0,0
matlab_0357,4.5720000000000001,0,0,0,0,0
matlab_0358,4.5720000000000001,0,0,0,0,0
matlab_0359,4.5720000000000001,0,0,0,0,0
matlab_0360,4.5720000000000001,0,0,0,0,0
