sample_id,theta_delta_rad,omega_rad_s,alpha_rad_s2
matlab_0000,0,-0.53770780682542996,-0.09819336662115119
matlab_0001,-0.0087038492623356944,-0.53905133435115382,-0.068097666699903192
matlab_0002,-0.017425504205652032,-0.53991197372279454,-0.038465124017802825
matlab_0003,-0.026157222991892715,-0.54029791260172055,-0.0093816733033088937
matlab_0004,-0.034891407172599753,-0.54021869092335928,0.019071412939415409
matlab_0005,-0.043620622915578666,-0.53968512104934041,0.046818067366349372
matlab_0006,-0.052337620872886736,-0.53870919971141029,0.073787899433451654
matlab_0007,-0.061035354566992939,-0.53730401294133145,0.099916590847821854
matlab_0008,-0.069706997191840814,-0.53548363524718623,0.12514621153701935
matlab_0009,-0.078345956746286527,-0.53326302433667827,0.14942545445968916
matlab_0010,-0.086945889438541757,-0.53065791270223472,0.17270978916686158
matlab_0011,-0.095500711321470644,-0.52768469737182311,0.19496153553593301
matlab_0012,-0.10400460813940615,-0.52436032909491992,0.2161498604995834
matlab_0013,-0.1124520433872499,-0.5207022021770833,0.23625070184726951
matlab_0014,-0.12083776460166218,-0.51672804610164869,0.25524662426175088
matlab_0015,-0.12915680792182194,-0.51245581998611089,0.27312661364930069
matlab_0016,-0.13740450097336399,-0.50790361081690516,0.28988581651925033
matlab_0017,-0.14557646414343806,-0.50308953629282327,0.3055252316631677
matlab_0018,-0.15366861032729706,-0.49803165298744062,0.32005136167985176
matlab_0019,-0.16167714323731186,-0.49274787041783147,0.33347583199915865
matlab_0020,-0.16959855437381077,-0.48725587148346095,0.34581498499007413
matlab_0021,-0.17742961876364538,-0.48157303961812759,0.35708945651514562
matlab_0022,-0.18516738957699252,-0.4757163928815375,0.36732374193583356
matlab_0023,-0.19280919173565991,-0.46970252510752425,0.37654575810480989
matlab_0024,-0.20035261462723009,-0.46354755412464443,0.38478640732562475
matlab_0025,-0.20779550403887137,-0.45726707697314922,0.39207914864116272
matlab_0026,-0.21513595342274783,-0.45087613196094556,0.39845958115257263
matlab_0027,-0.22237229460182995,-0.44438916733063899,0.40396504339078548
matlab_0028,-0.22950308802072472,-0.43782001625023914,0.40863423208219352
matlab_0029,-0.23652711264109771,-0.4311818777914998,0.41250684298474205
matlab_0030,-0.24344335557549224,-0.42448730352179431,0.41562323583430166
matlab_0031,-0.25025100154708702,-0.41774818930732888,0.4180241248445587
matlab_0032,-0.25694942225623307,-0.41097577190667695,0.41975029565507016
matlab_0033,-0.26353816572774802,-0.40418062992322079,0.42084234912728785
matlab_0034,-0.27001694570590917,-0.39737268868224912,0.42134047195071778
matlab_0035,-0.27638563115710679,-0.39056122860220349,0.42128423364233669
matlab_0036,-0.28264423593321897,-0.38375489663898754,0.42071240920165426
matlab_0037,-0.28879290864207763,-0.37696172039637255,0.41966282641958991
matlab_0038,-0.29483192276495229,-0.37018912451351532,0.41817223662876418
matlab_0039,-0.30076166705485829,-0.36344394896155402,0.41627620752211003
matlab_0040,-0.30658263624372895,-0.35673246890444088,0.41400903655154209
matlab_0041,-0.31229542208112282,-0.3500604158038782,0.41140368334405153
matlab_0042,-0.31790070472215337,-0.34343299947384465,0.40849171953412178
matlab_0043,-0.32339924447779367,-0.33685493081617601,0.40530329440387675
matlab_0044,-0.32879187393656917,-0.33033044499455116,0.4018671147410946
matlab_0045,-0.33407949046292562,-0.32386332482963981,0.39821043736560696
matlab_0046,-0.33926304907427729,-0.31745692422275767,0.39435907283240029
matlab_0047,-0.34434355569577746,-0.31111419143894248,0.39033739889107977
matlab_0048,-0.34932206078933847,-0.30483769210266881,0.38616838236273171
matlab_0049,-0.35419965335120407,-0.29862963178036084,0.38187360818356852
matlab_0050,-0.35897745527051139,-0.29249187804333465,0.37747331445736099
matlab_0051,-0.36365661603970689,-0.28642598192275848,0.37298643245326424
matlab_0052,-0.36823830780638189,-0.28043319868464273,0.3684306305803251
matlab_0053,-0.37272372075505811,-0.27451450786777504,0.36382236146311098
matlab_0054,-0.37711405880663806,-0.26867063254093398,0.35917691133330321
matlab_0055,-0.38141053562262467,-0.26290205774770481,0.35450845103873052
matlab_0056,-0.3856143709007992,-0.25720904811783696,0.34983008805348154
matlab_0057,-0.38972678694877388,-0.25159166463342125,0.34515391894989267
matlab_0058,-0.39374900552171643,-0.24604978054629026,0.34049108186504706
matlab_0059,-0.39768224491054849,-0.24058309645005674,0.33585180856074925
matlab_0060,-0.4015277172670183,-0.23519115451619196,0.33124547573673191
matlab_0061,-0.4052866261522422,-0.2298733519085856,0.32668065531215257
matlab_0062,-0.40896016429558579,-0.22462895339523944,0.32216516344039881
matlab_0063,-0.41254951155107555,-0.21945710317914732,0.31770610806703442
matlab_0064,-0.41605583303891552,-0.21435683597319524,0.31330993488066955
matlab_0065,-0.41948027746010957,-0.20932708734602409,0.30898247154185998
matlab_0066,-0.4228239755726273,-0.20436670336741003,0.30472897010620009
matlab_0067,-0.4260880388180277,-0.19947444958284966,0.30055414758484195
matlab_0068,-0.42927355808794754,-0.19464901934775336,0.29646222460909416
matlab_0069,-0.43238160262034692,-0.18988904155203423,0.29245696218584732
matlab_0070,-0.43541321901590607,-0.1851930877659389,0.28854169654763334
matlab_0071,-0.43836943036546883,-0.18055967883779694,0.28471937211546777
matlab_0072,-0.44125123547991579,-0.17598729097396645,0.28099257260452121
matlab_0073,-0.44405960821433843,-0.17147436133068897,0.2773635503123863
matlab_0074,-0.44679549687885861,-0.1670192931468574,0.27383425363750102
matlab_0075,-0.44945982372890381,-0.16262046044588166,0.27040635288138304
matlab_0076,-0.45205348452818928,-0.15827621233392841,0.26708126439294377
matlab_0077,-0.45457734817810136,-0.15398487692084245,0.26386017311646565
matlab_0078,-0.45703225640758377,-0.14974476488904392,0.26074405360702629
matlab_0079,-0.45941902351803843,-0.14555417273464688,0.25773368957839882
matlab_0080,-0.46173843617812549,-0.1414113857039988,0.25482969204887967
matlab_0081,-0.4639912532637237,-0.13731468044777492,0.2520325161502332
matlab_0082,-0.46617820573865459,-0.13326232741371888,0.24934247666410497
matlab_0083,-0.46829999657211152,-0.12925259299808878,0.24675976234893712
matlab_0084,-0.47035730068904502,-0.12528374147486251,0.24428444911872102
matlab_0085,-0.47235076495005968,-0.12135403672078125,0.24191651213290771
matlab_0086,-0.47428100815766827,-0.11746174375336731,0.23965583685454123
matlab_0087,-0.47614862108600042,-0.11360513009815222,0.23750222913124563
matlab_0088,-0.47795416653134148,-0.10978246700048462,0.23545542435111977
matlab_0089,-0.47969817938110215,-0.105992030496472,0.23351509572293949
matlab_0090,-0.48138116669905362,-0.10223210235683032,0.23168086172735292
matlab_0091,-0.48300360782488383,-0.098500970916682903,0.22995229278302406
matlab_0092,-0.48456595448632889,-0.094796931803664664,0.22832891716895964
matlab_0093,-0.48606863092233027,-0.091118288576037043,0.22681022624156372
matlab_0094,-0.48751203401585863,-0.087463353281927614,0.22539567898232454
matlab_0095,-0.48889653343520895,-0.083830446950233714,0.22408470590946866
matlab_0096,-0.49022247178274825,-0.080217900023225278,0.22287671238442763
matlab_0097,-0.4914901647502502,-0.076624052740396395,0.22177108134156834
matlab_0098,-0.49269990128010194,-0.073047255482671811,0.22076717546734914
matlab_0099,-0.49385194373181346,-0.06948586908567328,0.2198643388528847
matlab_0100,-0.49494652805339795,-0.065938265130379661,0.21906189814184832
matlab_0101,-0.49598386395732258,-0.062402826219173077,0.21835916319371243
matlab_0102,-0.49696413510085319,-0.058877946244956424,0.21775542728053443
matlab_0103,-0.49788749927074666,-0.055362030660749052,0.21724996683384151
matlab_0104,-0.49875408857235171,-0.051853496756907147,0.2168420407566605
matlab_0105,-0.49956400962329872,-0.048350773952886457,0.21653088931438708
matlab_0106,-0.5003173437520736,-0.044852304110256966,0.21631573261698592
matlab_0107,-0.50101414720185788,-0.041356541873474782,0.21619576870398663
matlab_0108,-0.50165445134015751,-0.037861955044754071,0.21617017124286947
matlab_0109,-0.50223826287479723,-0.034367024999199518,0.21623808685075765
matlab_0110,-0.50276556407699902,-0.03087024714621979,0.21639863204882134
matlab_0111,-0.50323631301233041,-0.027370131443078451,0.21665088985849293
matlab_0112,-0.50365044378041524,-0.023865202966307179,0.21699390604848062
matlab_0113,-0.50400786676438669,-0.020354002546546322,0.21742668504165744
matlab_0114,-0.50430846889115233,-0.016835087472240454,0.21794818549121617
matlab_0115,-0.50455211390362686,-0.013307032267455565,0.2185573155360109
matlab_0116,-0.50473864264617341,-0.0097684295489156373,0.21925292774577043
matlab_0117,-0.50486787336457029,-0.0062178909671830465,0.22003381376786971
matlab_0118,-0.50493960202190635,-0.0026540482367025282,0.2208986986885966
matlab_0119,-0.50495360263187616,0.0009244457407910499,0.22184623512335111
matlab_0120,-0.50490962761101998,0.0045189156552449634,0.22287499705197764
matlab_0121,-0.50480740815151393,0.0081306624656702145,0.22398347341745192
matlab_0122,-0.50464665461619496,0.011760961972260633,0.22517006150843627
matlab_0123,-0.50442705695753287,0.015411063279950538,0.22643306014876874
