sample_id,theta_delta_rad,omega_rad_s,alpha_rad_s2
matlab_0000,0,-0.53770780682542996,0.77808194018514543
matlab_0001,-0.0085893619018606593,-0.52488804094130059,0.80777576457261302
matlab_0002,-0.016967659748506003,-0.51159837126574359,0.83620429530779494
matlab_0003,-0.025127466234533324,-0.49785991770428567,0.86328642585889659
matlab_0004,-0.033061705731338931,-0.48369504870778152,0.88894887843673909
matlab_0005,-0.040763673426255309,-0.46912725082196971,0.91312666946950316
matlab_0006,-0.048227052296401229,-0.45418099151831687,0.93576347468621812
matlab_0007,-0.05544592782189528,-0.43888157695655405,0.95681189074368111
matlab_0008,-0.062414800370090617,-0.4232550063623825,0.9762335923674571
matlab_0009,-0.069128595209746679,-0.4073278247042601,0.99399938597080317
matlab_0010,-0.075582670141054908,-0.39112697532211882,1.0100891626103963
matlab_0011,-0.081772820753726938,-0.37467965410028853,1.0244917548852364
matlab_0012,-0.087695283350387232,-0.35801316668956773,1.0372047039429295
matlab_0013,-0.093346735596013586,-0.34115479017263112,1.0482339440925039
matlab_0014,-0.09872429497563906,-0.32413164043658493,1.0575934136111831
matlab_0015,-0.10382551516183036,-0.30697054637062682,1.0653046011600902
matlab_0016,-0.10864838041024272,-0.28969793184965725,1.0713960377863161
matlab_0017,-0.11319129811579809,-0.27233970630062065,1.0759027447906357
matlab_0018,-0.1174530896735273,-0.25492116448142377,1.0788656477940075
matlab_0019,-0.12143297979698975,-0.23746689593635834,1.0803309671612376
matlab_0020,-0.12513058445334346,-0.22000070443054406,1.0803495945616177
matlab_0021,-0.12854589757779111,-0.20254553751207288,1.0789764648927154
matlab_0022,-0.13167927673134661,-0.1851234262068496,1.0762699320960407
matlab_0023,-0.13453142786486483,-0.16775543471967239,1.0722911565843336
matlab_0024,-0.13710338934927213,-0.15046161989738607,1.0671035111117237
matlab_0025,-0.1393965154271235,-0.1332610001070508,1.0607720109808203
matlab_0026,-0.1414124592342878,-0.11617153309451168,1.0533627735233364
matlab_0027,-0.14315315553291286,-0.099210102316670781,1.0449425108387398
matlab_0028,-0.14462080328818083,-0.082392511183879649,1.0355780588508265
matlab_0029,-0.14581784821185884,-0.065733484606572731,1.0253359448635111
matlab_0030,-0.14674696538563081,-0.049246677211711318,1.0142819949792503
matlab_0031,-0.14741104206679467,-0.032944687578685725,1.002480981997395
matlab_0032,-0.14781316076832418,-0.016839077839866112,0.98999631374287433
matlab_0033,-0.14795658269476974,-0.00094039799659755431,0.97688976119232329
matlab_0034,-0.1478447316050655,0.014741785684167057,0.96322122526648035
matlab_0035,-0.14748117816321615,0.03019885880567676,0.94904854074342893
matlab_0036,-0.14686962482815158,0.04542312409491911,0.9344273154140883
matlab_0037,-0.14601389132482789,0.06040776432663509,0.91941080234461181
matlab_0038,-0.14491790073000255,0.075146803434443271,0.90404980292431125
matlab_0039,-0.14358566619807722,0.089635066287113221,0.8883925982557298
matlab_0040,-0.14202127834499056,0.1038681375679307,0.87248490637847909
matlab_0041,-0.14022889330139532,0.11784232015436745,0.85636986280309324
matlab_0042,-0.13821272144025731,0.13155459335462402,0.84008802185819609
matlab_0043,-0.13597701677858409,0.14500257131773081,0.82367737641664751
matlab_0044,-0.13352606704817571,0.15818446189523216,0.80717339365738006
matlab_0045,-0.13086418442609604,0.17109902619548187,0.79060906463316627
matlab_0046,-0.12799569691196777,0.18374553903659424,0.77401496554492921
matlab_0047,-0.12492494033611168,0.19612375047125816,0.75741932876541007
matlab_0048,-0.12165625098001365,0.20823384852621463,0.74084812180461856
matlab_0049,-0.11819395878851946,0.2200764232711962,0.72432513256269559
matlab_0050,-0.1145423811515105,0.23165243230663313,0.70787205936943431
matlab_0051,-0.11070581723156225,0.24296316773639778,0.69150860446104523
matlab_0052,-0.10668854281317963,0.25401022467123496,0.67525256969169201
matlab_0053,-0.10249480564862656,0.26479547129024328,0.65911995341818153
matlab_0054,-0.098128821275046185,0.27532102047169293,0.64312504762970402
matlab_0055,-0.093594769277508982,0.28558920299048995,0.62728053451980137
matlab_0056,-0.08889678997276973,0.29560254226757232,0.61159758181419377
matlab_0057,-0.084038981488829601,0.30536373064630756,0.59608593627541251
matlab_0058,-0.079025397215880089,0.31487560716240198,0.58075401490328316
matlab_0059,-0.073860043604808689,0.32414113676679635,0.56560899343924909
matlab_0060,-0.068546878290138613,0.3331633909553377,0.55065689186256872
matlab_0061,-0.063089808515069956,0.3419455297545631,0.5359026566378905
matlab_0062,-0.057492689837129518,0.35049078500956815,0.5213502395370585
matlab_0063,-0.051759325093837072,0.35880244491753371,0.5070026729136593
matlab_0064,-0.045893463608717155,0.36688383974890809,0.49286214135740297
matlab_0065,-0.039898800618930474,0.3747383286974294,0.47893004969737107
matlab_0066,-0.033778976906756464,0.38236928779995727,0.46520708735910149
matlab_0067,-0.02753757861810624,0.38978009886741694,0.45169328911091128
matlab_0068,-0.021178137252192641,0.39697413936895259,0.43838809226032455
matlab_0069,-0.014704129807403543,0.40395477321253803,0.42529039038250033
matlab_0070,-0.008118979069343446,0.41072534236676039,0.4123985836795902
matlab_0071,-0.0014260540278727696,0.41728915927020854,0.39971062608350616
matlab_0072,0.0053713295891617552,0.42364949997680312,0.38722406922501557
matlab_0073,0.01226990867699862,0.42980959798745783,0.3749361033998389
matlab_0074,0.019266472020547987,0.43577263872061933,0.36284359566783331
matlab_0075,0.026357859476447976,0.44154175457646966,0.35094312522474996
matlab_0076,0.033540961079837173,0.44712002055183325,0.33923101618774054
matlab_0077,0.040812716084416056,0.45251045036513166,0.32770336793602955
matlab_0078,0.048170111943733662,0.45771599305299399,0.31635608314719865
matlab_0079,0.055610183241014521,0.46273953000240148,0.30518489366755824
matlab_0080,0.06313001057430867,0.46758387238444687,0.29418538435230768
matlab_0081,0.070726719403181759,0.4722517589579675,0.28335301500775129
matlab_0082,0.078397478862690662,0.47674585421341276,0.27268314056391024
matlab_0083,0.086139500549916148,0.48106874682934864,0.26217102960155347
matlab_0084,0.093950037287897192,0.48522294841596703,0.25181188135309018
matlab_0085,0.10182638187141135,0.48921089252186328,0.2416008412919935
matlab_0086,0.10976586579868042,0.49303493388216268,0.23153301542055574
matlab_0087,0.11776585799273276,0.49669734788780073,0.22160348336086333
matlab_0088,0.12582376351584834,0.50020033025743205,0.21180731034897829
matlab_0089,0.13393702228022475,0.50354599689501089,0.20213955822747884
matlab_0090,0.14210310775773349,0.50673638391758558,0.19259529552676197
matlab_0091,0.15031952569140916,0.50977344783928069,0.18316960672088628
matlab_0092,0.15858381281108636,0.51265906589878252,0.17385760073925449
matlab_0093,0.16689353555541198,0.51539503651892604,0.16465441881110679
matlab_0094,0.17524628880229054,0.51798307988819414,0.15555524171564641
matlab_0095,0.18363969460964857,0.52042483865508005,0.14655529650662621
matlab_0096,0.19207140096828068,0.52272187872734954,0.13764986277642771
matlab_0097,0.20053908056842218,0.52487569016925884,0.12883427852102555
matlab_0098,0.20904042958157243,0.52688768819075005,0.12010394566376548
matlab_0099,0.21757316645901792,0.52875921422355188,0.11145433529258218
matlab_0100,0.22613503074842556,0.53049153707997776,0.10288099266213648
matlab_0101,0.23472378192981402,0.53208585419101329,0.094379542009338416
matlab_0102,0.24333719827215994,0.53354329292104918,0.085945691227846635
matlab_0103,0.25197307571186633,0.53486491195733143,0.077575236444368589
matlab_0104,0.26062922675428557,0.53605170277286884,0.069264066536916122
matlab_0105,0.26930347939947774,0.53710459116216358,0.061008167632586728
matlab_0106,0.27799367609339098,0.53802443884972773,0.052803627619919108
matlab_0107,0.28669767270562252,0.53881204517187642,0.044646640708387871
matlab_0108,0.29541333753498122,0.53946814883282113,0.036533512065152977
matlab_0109,0.30413855034403392,0.53999342973652398,0.028460662556725233
matlab_0110,0.3128712014238999,0.54038851089622741,0.02042463362074597
matlab_0111,0.32160919069055116,0.54065396042394309,0.012422092290565862
matlab_0112,0.33035042681394144,0.5407902936025385,0.0044498363927537154
matlab_0113,0.33909282638131555,0.54079797504336169,-0.0034952000649947266
matlab_0114,0.34783431309611212,0.5406774209326034,-0.011415941300820461
matlab_0115,0.35657281701392152,0.54042900136981531,-0.019315163948687486
matlab_0116,0.36530627381701453,0.5400530428021646,-0.027195491022574545
matlab_0117,0.37403262412901861,0.53954983055812467,-0.035059385649231598
matlab_0118,0.38274981287138821,0.53891961148436873,-0.042909144567250881
matlab_0119,0.39145578866335273,0.53816259668963717,-0.050746891393778547
matlab_0120,0.40014850326711904,0.53727896439929723,-0.058574569663995289
matlab_0121,0.40882591108013133,0.53626886292420095,-0.066393935652534361
matlab_0122,0.41748596867627508,0.53513241374726472,-0.074206550990292316
matlab_0123,0.42612663439795084,0.53386971473093636,-0.082013775094616659
matlab_0124,0.43474586800099213,0.53248084344839308,-0.089816757435666805
matlab_0125,0.44334163035445173,0.53096586064089379,-0.097616429666783799
matlab_0126,0.45191188319731412,0.52932481380323237,-0.10541349765202675
matlab_0127,0.46045458895420643,0.52755774089864105,-0.1132084334295715
matlab_0128,0.46896771061222453,0.525664674203834,-0.12100146715544882
matlab_0129,0.47744921166095744,0.52364564428410865,-0.12879257907806227
matlab_0130,0.48589705609782352,0.5215006840975559,-0.13658149160006486
matlab_0131,0.49430920850078519,0.51922983322646987,-0.14436766149042921
matlab_0132,0.50268363417046946,0.51683314223297816,-0.15215027231586947
