sample_id,x,y,vx,vy,ax,ay
pmks_positive_0000,472.56,-20.800000000000001,-11.184322381968942,-251.64080110061926,-119.12511891175716,370.14690848220317
pmks_positive_0001,472.36408016779023,-24.81890159317523,-13.02714463555667,-245.53846852712724,-108.83209851065143,384.70889764536611
pmks_positive_0002,472.13972400965923,-28.737286030993165,-14.701948728053909,-239.20688605977239,-98.347611289124686,398.50363218787146
pmks_positive_0003,471.88967010482565,-32.551549145889894,-16.206111578919753,-232.65873678014705,-87.730149028221561,411.49737454248947
pmks_positive_0004,471.61669177733438,-36.258295969539347,-17.537958235047494,-225.90720493794859,-77.0384249597505,423.66187849803026
pmks_positive_0005,471.32358176543818,-39.854348112363127,-18.696760763254673,-218.96588637042581,-66.330796141033346,434.97447730323881
pmks_positive_0006,471.01313698365499,-43.336749686555862,-19.682727941821046,-211.84869808016745,-55.664704277616579,445.41809997281706
pmks_positive_0007,470.68814352343219,-46.702771768313262,-20.496986121919367,-204.56978811447149,-45.096143846736993,454.9812181828529
pmks_positive_0008,470.35136203123932,-49.949915413058157,-21.141551765954397,-197.14344683999863,-34.679165484425248,463.65772747358881
pmks_positive_0009,470.00551359371383,-53.075913254603023,-21.619296290189453,-189.58402063658809,-24.465421539673947,471.44676765190485
pmks_positive_0010,469.65326624849422,-56.078729735053493,-21.933903941178038,-181.90582894675458,-14.503759511071941,478.35248827624304
pmks_positive_0011,469.29722222688815,-58.956560026593891,-22.089823517707092,-174.12308551565013,-4.839867808236761,484.3837658934072
pmks_positive_0012,468.9399060208795,-61.707827718884779,-22.09221481117223,-166.24982454353869,4.4840230337098603,489.55388026871839
pmks_positive_0013,468.58375335251378,-64.331181356523174,-21.946890677242141,-158.2998323526115,13.429381870860581,493.88015720591989
pmks_positive_0014,468.23110110876496,-66.82548991973114,-21.66025567066092,-150.28658504573636,21.961560653961321,497.38358569631868
pmks_positive_0015,467.88417828990441,-69.189837348152722,-21.239242174057235,-142.22319250981718,30.049920969191945,500.08841708040762
pmks_positive_0016,467.54509800447789,-71.423516212352141,-20.691244932148877,-134.1223489939259,37.667905156322497,502.02175366789157
pmks_positive_0017,467.21585052953401,-73.526020640356975,-20.0240548666482,-125.99629037500158,44.793054704797363,503.21313386656487
pmks_positive_0018,466.8982974409895,-75.497038607522285,-19.245792996728607,-117.85675811404224,51.40697944339658,503.69412034297272
pmks_positive_0019,466.59416680616948,-77.336443697212161,-18.364845227533941,-109.71496980525158,57.495281698815411,503.49789710617398
pmks_positive_0020,466.30504941880656,-79.044286437476998,-17.389798697454669,-101.58159613100084,63.047440099141411,502.65888069865258
pmks_positive_0021,466.0323960462427,-80.620785315232411,-16.329380296319194,-93.46674395772034,68.056658041884219,501.21234992332438
pmks_positive_0022,465.77751564934863,-82.066317564628349,-15.192397883743382,-85.37994524250432,72.51968204000903,499.19409775878017
pmks_positive_0023,465.54157452780498,-83.381409820501503,-13.987684651977405,-77.330151367454434,76.436595214472504,496.64010834012254
pmks_positive_0024,465.32559633689362,-84.566728721281791,-12.72404699282688,-69.325732478395437,79.810591132440251,493.58626113064429
pmks_positive_0025,465.13046291680553,-85.623071538630882,-11.410216145475541,-61.374481376059755,82.647733013162849,490.06806369747926
pmks_positive_0026,464.95691587164544,-86.551356903620842,-10.054803822903915,-53.48362149039702,84.956703056220263,486.1204138459359
pmks_positive_0027,464.80555883272109,-87.352615691622248,-8.6662619403947101,-45.659818461360018,86.748546307823119,481.7773912727223
pmks_positive_0028,464.67686033927163,-88.027982120342287,-7.2528465013446972,-37.90919485126102,88.036413087984926,477.0720783744506
pmks_positive_0029,464.57115726940316,-88.57868510786848,-5.8225856340085862,-30.237347523405052,88.835303571870455,472.03640939838618
pmks_positive_0030,464.48865875455203,-89.006039930157982,-4.3832517183332049,-22.649367237974342,89.161817668145446,466.70104674826877
pmks_positive_0031,464.42945051217362,-89.311440210332549,-2.9423374949319165,-15.149860037854703,89.033912879847932,461.09528295778426
pmks_positive_0032,464.39349953342446,-89.496350265432284,-1.5070360085035652,-7.7429700230874419,88.470672381288537,455.24696661446563
pmks_positive_0033,464.38065906527413,-89.562297830027248,-0.084224205450061804,-0.43240314180334927,87.492085107962765,449.18245035271207
pmks_positive_0034,464.39067382960553,-89.510867170320694,1.3195500202287784,6.7785483431737843,86.118839243536627,442.92655893015842
pmks_positive_0035,464.42318542536066,-89.343692597130783,2.6980775579185239,13.886981020283464,84.372130104867864,436.50257535029306
pmks_positive_0036,464.47773786353963,-89.062452381422474,4.0454948267191524,20.89035540294077,82.273483077112942,429.93224298890226
pmks_positive_0037,464.55378318879178,-88.668863071877425,5.3562877835566232,27.786471153413761,79.844591938995137,423.23578171560729
pmks_positive_0038,464.65068714534732,-88.164674210329707,6.6252934427453596,34.573442667288049,77.107172644564017,416.43191606746461
pmks_positive_0039,464.76773484907824,-87.551663437748829,7.8476991557896278,41.249675198243821,74.082832392356408,409.53791362280811
pmks_positive_0040,464.90413643146331,-86.831631980774446,9.0190398958270084,47.813841673802663,70.792953614810784,402.56963183404116
pmks_positive_0041,465.05903262512959,-86.006400506606539,10.135193783824269,54.264860325545115,67.25859235841564,395.54157170248584
pmks_positive_0042,465.23150026440101,-85.077805332250506,11.192376083988055,60.601873232227462,63.500390396012875,388.46693681170683
pmks_positive_0043,465.42055767786911,-84.047694972721899,12.187131884373011,66.824225851358705,59.53850031423444,381.35769637372579
pmks_positive_0044,465.62516995339246,-82.917927011763751,13.116327665823974,72.931447594168347,55.392522748196463,374.22465108163254
pmks_positive_0045,465.8442540591027,-81.690365277886883,13.977141948599646,78.923233480507349,51.081454889178389,367.07750069930097
pmks_positive_0046,466.07668380694236,-80.36687730809372,14.767055191663516,84.799426894019618,46.623649365941809,359.92491245182924
pmks_positive_0047,466.32129464796816,-78.949332081430015,15.483839105010892,90.560003443817649,42.036782593502593,352.77458940713393
pmks_positive_0048,466.57688829113044,-77.439598004509634,16.125545520802021,96.205055926786031,37.33783169163128,345.63333815841793
pmks_positive_0049,466.84223713947677,-75.839541131338095,16.690494954713667,101.7347803743838,32.543059096375387,338.50713522809963
pmks_positive_0050,467.11608853973962,-74.151023600092799,17.177264974988059,107.1494631592854,27.668004018950771,331.40119171561503
