sample_id,x,y,vx,vy,ax,ay
pmks_positive_0000,4.5720000000000001,0,0,0,0,0
pmks_positive_0001,4.5720000000000001,0,0,0,0,0
pmks_positive_0002,4.5720000000000001,0,0,0,0,0
pmks_positive_0003,4.5720000000000001,0,0,0,0,0
pmks_positive_0004,4.5720000000000001,0,0,0,0,0
pmks_positive_0005,4.5720000000000001,0,0,0,0,0
pmks_positive_0006,4.5720000000000001,0,0,0,0,0
pmks_positive_0007,4.5720000000000001,0,0,0,0,0
pmks_positive_0008,4.5720000000000001,0,0,0,0,0
pmks_positive_0009,4.5720000000000001,0,0,0,0,0
pmks_positive_0010,4.5720000000000001,0,0,0,0,0
pmks_positive_0011,4.5720000000000001,0,0,0,0,0
pmks_positive_0012,4.5720000000000001,0,0,0,0,0
pmks_positive_0013,4.5720000000000001,0,0,0,0,0
pmks_positive_0014,4.5720000000000001,0,0,0,0,0
pmks_positive_0015,4.5720000000000001,0,0,0,0,0
pmks_positive_0016,4.5720000000000001,0,0,0,0,0
pmks_positive_0017,4.5720000000000001,0,0,0,0,0
pmks_positive_0018,4.5720000000000001,0,0,0,0,0
pmks_positive_0019,4.5720000000000001,0,0,0,0,0
pmks_positive_0020,4.5720000000000001,0,0,0,0,0
pmks_positive_0021,4.5720000000000001,0,0,0,0,0
pmks_positive_0022,4.5720000000000001,0,0,0,0,0
pmks_positive_0023,4.5720000000000001,0,0,0,0,0
pmks_positive_0024,4.5720000000000001,0,0,0,0,0
pmks_positive_0025,4.5720000000000001,0,0,0,0,0
pmks_positive_0026,4.5720000000000001,0,0,0,0,0
pmks_positive_0027,4.5720000000000001,0,0,0,0,0
pmks_positive_0028,4.5720000000000001,0,0,0,0,0
pmks_positive_0029,4.5720000000000001,0,0,0,0,0
pmks_positive_0030,4.5720000000000001,0,0,0,0,0
pmks_positive_0031,4.5720000000000001,0,0,0,0,0
pmks_positive_0032,4.5720000000000001,0,0,0,0,0
pmks_positive_0033,4.5720000000000001,0,0,0,0,0
pmks_positive_0034,4.5720000000000001,0,0,0,0,0
pmks_positive_0035,4.5720000000000001,0,0,0,0,0
pmks_positive_0036,4.5720000000000001,0,0,0,0,0
pmks_positive_0037,4.5720000000000001,0,0,0,0,0
pmks_positive_0038,4.5720000000000001,0,0,0,0,0
pmks_positive_0039,4.5720000000000001,0,0,0,0,0
pmks_positive_0040,4.5720000000000001,0,0,0,0,0
pmks_positive_0041,4.5720000000000001,0,0,0,0,0
pmks_positive_0042,4.5720000000000001,0,0,0,0,0
pmks_positive_0043,4.5720000000000001,0,0,0,0,0
pmks_positive_0044,4.5720000000000001,0,0,0,0,0
pmks_positive_0045,4.5720000000000001,0,0,0,0,0
pmks_positive_0046,4.5720000000000001,0,0,0,0,0
pmks_positive_0047,4.5720000000000001,0,0,0,0,0
pmks_positive_0048,4.5720000000000001,0,0,0,0,0
pmks_positive_0049,4.5720000000000001,0,0,0,0,0
pmks_positive_0050,4.5720000000000001,0,0,0,0,0
pmks_positive_0051,4.5720000000000001,0,0,0,0,0
pmks_positive_0052,4.5720000000000001,0,0,0,0,0
pmks_positive_0053,4.5720000000000001,0,0,0,0,0
pmks_positive_0054,4.5720000000000001,0,0,0,0,0
pmks_positive_0055,4.5720000000000001,0,0,0,0,0
pmks_positive_0056,4.5720000000000001,0,0,0,0,0
pmks_positive_0057,4.5720000000000001,0,0,0,0,0
pmks_positive_0058,4.5720000000000001,0,0,0,0,0
pmks_positive_0059,4.5720000000000001,0,0,0,0,0
pmks_positive_0060,4.5720000000000001,0,0,0,0,0
pmks_positive_0061,4.5720000000000001,0,0,0,0,0
pmks_positive_0062,4.5720000000000001,0,0,0,0,0
pmks_positive_0063,4.5720000000000001,0,0,0,0,0
pmks_positive_0064,4.5720000000000001,0,0,0,0,0
pmks_positive_0065,4.5720000000000001,0,0,0,0,0
pmks_positive_0066,4.5720000000000001,0,0,0,0,0
pmks_positive_0067,4.5720000000000001,0,0,0,0,0
pmks_positive_0068,4.5720000000000001,0,0,0,0,0
pmks_positive_0069,4.5720000000000001,0,0,0,0,0
pmks_positive_0070,4.5720000000000001,0,0,0,0,0
