sample_id,theta_delta_rad,omega_rad_s,alpha_rad_s2
pmks_positive_0000,0,-0.53770780682542996,-0.098193366621150635
pmks_positive_0001,-0.0087038492623358055,-0.53905133435115371,-0.068097666699903081
pmks_positive_0002,-0.01742550420565192,-0.53991197372279454,-0.038465124017802776
pmks_positive_0003,-0.026157222991892937,-0.54029791260172055,-0.0093816733033087185
pmks_positive_0004,-0.034891407172599975,-0.54021869092335928,0.01907141293941525
pmks_positive_0005,-0.043620622915578888,-0.5396851210493403,0.04681806736634947
pmks_positive_0006,-0.05233762087288707,-0.5387091997114104,0.07378789943345207
pmks_positive_0007,-0.061035354566992828,-0.53730401294133168,0.099916590847821868
pmks_positive_0008,-0.069706997191840925,-0.53548363524718612,0.12514621153701949
pmks_positive_0009,-0.078345956746286749,-0.53326302433667827,0.14942545445968902
pmks_positive_0010,-0.086945889438541757,-0.53065791270223461,0.17270978916686142
pmks_positive_0011,-0.095500711321470866,-0.52768469737182311,0.19496153553593323
pmks_positive_0012,-0.10400460813940615,-0.52436032909491992,0.21614986049958362
pmks_positive_0013,-0.1124520433872499,-0.52070220217708341,0.23625070184726926
pmks_positive_0014,-0.12083776460166229,-0.51672804610164857,0.25524662426175093
pmks_positive_0015,-0.12915680792182205,-0.51245581998611078,0.27312661364930063
pmks_positive_0016,-0.1374045009733641,-0.50790361081690516,0.28988581651925033
pmks_positive_0017,-0.1455764641434385,-0.50308953629282338,0.30552523166316758
pmks_positive_0018,-0.15366861032729706,-0.49803165298744068,0.32005136167985193
pmks_positive_0019,-0.16167714323731175,-0.49274787041783158,0.33347583199915848
pmks_positive_0020,-0.16959855437381066,-0.48725587148346117,0.34581498499007407
pmks_positive_0021,-0.17742961876364549,-0.48157303961812759,0.35708945651514529
pmks_positive_0022,-0.18516738957699264,-0.47571639288153755,0.36732374193583323
pmks_positive_0023,-0.19280919173566013,-0.46970252510752425,0.37654575810481006
pmks_positive_0024,-0.2003526146272302,-0.46354755412464455,0.38478640732562458
pmks_positive_0025,-0.20779550403887126,-0.45726707697314928,0.392079148641163
pmks_positive_0026,-0.21513595342274783,-0.45087613196094573,0.39845958115257246
pmks_positive_0027,-0.22237229460182961,-0.44438916733063927,0.40396504339078548
pmks_positive_0028,-0.22950308802072472,-0.43782001625023936,0.40863423208219335
pmks_positive_0029,-0.23652711264109716,-0.43118187779150025,0.41250684298474211
pmks_positive_0030,-0.24344335557549224,-0.42448730352179459,0.41562323583430172
pmks_positive_0031,-0.2502510015470869,-0.4177481893073291,0.41802412484455892
pmks_positive_0032,-0.25694942225623296,-0.410975771906677,0.41975029565507005
pmks_positive_0033,-0.26353816572774791,-0.40418062992322085,0.42084234912728768
pmks_positive_0034,-0.27001694570590906,-0.39737268868224906,0.42134047195071772
pmks_positive_0035,-0.2763856311571069,-0.39056122860220366,0.4212842336423368
pmks_positive_0036,-0.28264423593321897,-0.38375489663898754,0.42071240920165437
pmks_positive_0037,-0.28879290864207763,-0.3769617203963726,0.41966282641958991
pmks_positive_0038,-0.29483192276495229,-0.37018912451351538,0.41817223662876418
pmks_positive_0039,-0.30076166705485841,-0.36344394896155396,0.41627620752211009
pmks_positive_0040,-0.30658263624372906,-0.35673246890444082,0.41400903655154231
pmks_positive_0041,-0.31229542208112282,-0.35006041580387831,0.41140368334405153
pmks_positive_0042,-0.31790070472215315,-0.3434329994738447,0.40849171953412172
pmks_positive_0043,-0.323399244477794,-0.33685493081617601,0.4053032944038768
pmks_positive_0044,-0.32879187393656906,-0.33033044499455128,0.4018671147410946
pmks_positive_0045,-0.33407949046292573,-0.32386332482963986,0.39821043736560674
pmks_positive_0046,-0.3392630490742774,-0.31745692422275767,0.39435907283240013
pmks_positive_0047,-0.34434355569577768,-0.31111419143894237,0.39033739889107971
pmks_positive_0048,-0.3493220607893387,-0.30483769210266881,0.38616838236273165
pmks_positive_0049,-0.35419965335120429,-0.29862963178036084,0.38187360818356852
pmks_positive_0050,-0.35897745527051156,-0.29249187804333465,0.37747331445736093
pmks_positive_0051,-0.36365661603970706,-0.28642598192275837,0.37298643245326418
pmks_positive_0052,-0.36823830780638206,-0.28043319868464267,0.36843063058032494
pmks_positive_0053,-0.37272372075505839,-0.27451450786777493,0.36382236146311098
pmks_positive_0054,-0.37711405880663829,-0.26867063254093393,0.35917691133330298
pmks_positive_0055,-0.381410535622625,-0.2629020577477047,0.35450845103873035
pmks_positive_0056,-0.38561437090079964,-0.25720904811783685,0.34983008805348148
