sample_id,theta_delta_rad,omega_rad_s,alpha_rad_s2
pmks_positive_0000,0,-0.53770780682542985,0.77808194018514587
pmks_positive_0001,-0.0085893619018611034,-0.52488804094130059,0.80777576457261302
pmks_positive_0002,-0.016967659748506003,-0.51159837126574359,0.83620429530779483
pmks_positive_0003,-0.025127466234533546,-0.49785991770428573,0.86328642585889692
pmks_positive_0004,-0.033061705731338931,-0.48369504870778157,0.8889488784367392
pmks_positive_0005,-0.040763673426255753,-0.46912725082196971,0.91312666946950327
pmks_positive_0006,-0.048227052296401451,-0.45418099151831681,0.93576347468621868
pmks_positive_0007,-0.055445927821895502,-0.43888157695655428,0.95681189074368134
pmks_positive_0008,-0.062414800370091061,-0.42325500636238245,0.97623359236745721
pmks_positive_0009,-0.069128595209746679,-0.40732782470426004,0.9939993859708034
pmks_positive_0010,-0.07558267014105513,-0.39112697532211882,1.0100891626103961
pmks_positive_0011,-0.08177282075372716,-0.37467965410028847,1.0244917548852368
pmks_positive_0012,-0.087695283350387676,-0.35801316668956784,1.0372047039429295
pmks_positive_0013,-0.093346735596013364,-0.34115479017263112,1.0482339440925039
pmks_positive_0014,-0.098724294975639504,-0.32413164043658488,1.0575934136111833
pmks_positive_0015,-0.10382551516183036,-0.30697054637062671,1.0653046011600902
pmks_positive_0016,-0.10864838041024294,-0.2896979318496572,1.0713960377863159
pmks_positive_0017,-0.11319129811579809,-0.27233970630062077,1.075902744790636
pmks_positive_0018,-0.11745308967352774,-0.25492116448142399,1.0788656477940077
pmks_positive_0019,-0.12143297979698975,-0.23746689593635864,1.0803309671612378
pmks_positive_0020,-0.12513058445334346,-0.22000070443054445,1.0803495945616179
pmks_positive_0021,-0.12854589757779111,-0.20254553751207305,1.0789764648927154
pmks_positive_0022,-0.13167927673134661,-0.18512342620684985,1.0762699320960407
pmks_positive_0023,-0.13453142786486527,-0.16775543471967258,1.072291156584334
pmks_positive_0024,-0.13710338934927213,-0.15046161989738627,1.067103511111724
pmks_positive_0025,-0.13939651542712417,-0.13326100010705119,1.0607720109808207
pmks_positive_0026,-0.1414124592342878,-0.11617153309451209,1.0533627735233371
pmks_positive_0027,-0.14315315553291286,-0.099210102316671295,1.0449425108387402
pmks_positive_0028,-0.14462080328818083,-0.082392511183880079,1.0355780588508265
pmks_positive_0029,-0.14581784821185861,-0.065733484606573411,1.0253359448635118
pmks_positive_0030,-0.14674696538563081,-0.049246677211711609,1.0142819949792508
pmks_positive_0031,-0.1474110420667949,-0.032944687578686183,1.0024809819973959
pmks_positive_0032,-0.14781316076832418,-0.016839077839866434,0.98999631374287422
pmks_positive_0033,-0.14795658269476974,-0.00094039799659789702,0.97688976119232318
pmks_positive_0034,-0.14784473160506573,0.014741785684166675,0.96322122526648024
pmks_positive_0035,-0.1474811781632166,0.030198858805676576,0.94904854074342937
pmks_positive_0036,-0.14686962482815202,0.045423124094918832,0.93442731541408841
pmks_positive_0037,-0.14601389132482812,0.060407764326634805,0.91941080234461237
pmks_positive_0038,-0.14491790073000255,0.075146803434443077,0.90404980292431136
pmks_positive_0039,-0.14358566619807744,0.089635066287113041,0.88839259825572992
pmks_positive_0040,-0.14202127834499123,0.10386813756793067,0.87248490637847953
pmks_positive_0041,-0.14022889330139532,0.11784232015436732,0.85636986280309346
pmks_positive_0042,-0.13821272144025731,0.13155459335462374,0.84008802185819609
pmks_positive_0043,-0.13597701677858431,0.14500257131773103,0.82367737641664773
pmks_positive_0044,-0.13352606704817571,0.15818446189523203,0.80717339365738017
pmks_positive_0045,-0.13086418442609604,0.17109902619548181,0.79060906463316649
pmks_positive_0046,-0.12799569691196777,0.18374553903659427,0.77401496554492921
pmks_positive_0047,-0.1249249403361119,0.19612375047125835,0.75741932876541018
pmks_positive_0048,-0.12165625098001365,0.20823384852621477,0.74084812180461868
pmks_positive_0049,-0.11819395878851946,0.22007642327119636,0.72432513256269571
pmks_positive_0050,-0.1145423811515105,0.23165243230663324,0.70787205936943443
pmks_positive_0051,-0.11070581723156225,0.24296316773639798,0.69150860446104501
pmks_positive_0052,-0.10668854281317985,0.25401022467123524,0.6752525696916919
pmks_positive_0053,-0.10249480564862701,0.2647954712902435,0.65911995341818153
pmks_positive_0054,-0.098128821275046407,0.27532102047169321,0.64312504762970391
pmks_positive_0055,-0.093594769277509204,0.28558920299049029,0.62728053451980126
pmks_positive_0056,-0.088896789972770174,0.29560254226757277,0.61159758181419366
pmks_positive_0057,-0.084038981488829823,0.30536373064630801,0.59608593627541262
pmks_positive_0058,-0.079025397215880089,0.31487560716240204,0.58075401490328316
pmks_positive_0059,-0.073860043604808912,0.32414113676679651,0.56560899343924897
pmks_positive_0060,-0.068546878290138835,0.33316339095533809,0.55065689186256817
pmks_positive_0061,-0.063089808515070178,0.3419455297545631,0.53590265663789038
pmks_positive_0062,-0.057492689837129518,0.35049078500956837,0.5213502395370585
pmks_positive_0063,-0.051759325093837072,0.35880244491753371,0.50700267291365941
pmks_positive_0064,-0.045893463608717378,0.36688383974890804,0.49286214135740297
pmks_positive_0065,-0.039898800618930474,0.37473832869742962,0.47893004969737113
pmks_positive_0066,-0.033778976906756242,0.3823692877999576,0.46520708735910166
pmks_positive_0067,-0.027537578618106462,0.38978009886741721,0.45169328911091122
pmks_positive_0068,-0.021178137252192863,0.39697413936895293,0.43838809226032449
pmks_positive_0069,-0.014704129807403987,0.40395477321253814,0.42529039038250022
pmks_positive_0070,-0.008118979069343446,0.41072534236676045,0.41239858367959015
pmks_positive_0071,-0.0014260540278727696,0.41728915927020849,0.39971062608350627
pmks_positive_0072,0.0053713295891615331,0.42364949997680335,0.38722406922501551
pmks_positive_0073,0.012269908676998176,0.42980959798745799,0.37493610339983879
pmks_positive_0074,0.019266472020547987,0.43577263872061955,0.36284359566783331
pmks_positive_0075,0.026357859476447976,0.44154175457646988,0.35094312522475002
pmks_positive_0076,0.033540961079836729,0.44712002055183347,0.33923101618774043
pmks_positive_0077,0.040812716084416278,0.4525104503651316,0.32770336793602955
pmks_positive_0078,0.048170111943733884,0.45771599305299404,0.31635608314719876
pmks_positive_0079,0.055610183241014521,0.46273953000240159,0.30518489366755841
pmks_positive_0080,0.06313001057430867,0.46758387238444699,0.29418538435230762
pmks_positive_0081,0.070726719403181981,0.47225175895796734,0.28335301500775134
pmks_positive_0082,0.078397478862690662,0.47674585421341276,0.27268314056391024
pmks_positive_0083,0.08613950054991637,0.4810687468293488,0.26217102960155358
pmks_positive_0084,0.09395003728789697,0.48522294841596708,0.25181188135309013
pmks_positive_0085,0.10182638187141135,0.48921089252186345,0.24160084129199327
pmks_positive_0086,0.10976586579868064,0.4930349338821628,0.23153301542055574
pmks_positive_0087,0.11776585799273276,0.49669734788780073,0.22160348336086327
pmks_positive_0088,0.1258237635158479,0.50020033025743238,0.2118073103489781
pmks_positive_0089,0.13393702228022453,0.50354599689501089,0.20213955822747881
pmks_positive_0090,0.14210310775773327,0.50673638391758558,0.19259529552676194
pmks_positive_0091,0.15031952569140938,0.50977344783928058,0.18316960672088634
pmks_positive_0092,0.15858381281108569,0.51265906589878263,0.1738576007392541
pmks_positive_0093,0.16689353555541175,0.51539503651892626,0.16465441881110671
pmks_positive_0094,0.17524628880229076,0.51798307988819425,0.15555524171564655
pmks_positive_0095,0.18363969460964835,0.52042483865508027,0.14655529650662613
pmks_positive_0096,0.19207140096828046,0.52272187872734954,0.13764986277642766
pmks_positive_0097,0.20053908056842218,0.52487569016925906,0.12883427852102558
pmks_positive_0098,0.20904042958157243,0.52688768819075005,0.12010394566376544
