matlab_sample_id,matlab_sweep_id,matlab_sweep_index,input_angle_rad,input_direction,jacobian_condition,eligibility,pmks_sample_id,status,reason
matlab_0000,matlab_sweep_00,0,1.5707963267948966,1,1.2909084403267777,eligible,pmks_positive_0000,matched,
matlab_0001,matlab_sweep_00,1,1.5882496193148399,1,1.2908560270057041,eligible,pmks_positive_0001,matched,
matlab_0002,matlab_sweep_00,2,1.6057029118347834,1,1.2906988221527651,eligible,pmks_positive_0002,matched,
matlab_0003,matlab_sweep_00,3,1.6231562043547263,1,1.2904369310395465,eligible,pmks_positive_0003,matched,
matlab_0004,matlab_sweep_00,4,1.6406094968746698,1,1.290070528921373,eligible,pmks_positive_0004,matched,
matlab_0005,matlab_sweep_00,5,1.6580627893946132,1,1.2895998607420438,eligible,pmks_positive_0005,matched,
matlab_0006,matlab_sweep_00,6,1.6755160819145565,1,1.2890252407219147,eligible,pmks_positive_0006,matched,
matlab_0007,matlab_sweep_00,7,1.6929693744344998,1,1.288347051830748,eligible,pmks_positive_0007,matched,
matlab_0008,matlab_sweep_00,8,1.7104226669544433,1,1.28756574514716,eligible,pmks_positive_0008,matched,
matlab_0009,matlab_sweep_00,9,1.7278759594743864,1,1.2866818391068782,eligible,pmks_positive_0009,matched,
matlab_0010,matlab_sweep_00,10,1.7453292519943298,1,1.2856959186423911,eligible,pmks_positive_0010,matched,
matlab_0011,matlab_sweep_00,11,1.7627825445142733,1,1.2846086342169369,eligible,pmks_positive_0011,matched,
matlab_0012,matlab_sweep_00,12,1.7802358370342164,1,1.2834207007561025,eligible,pmks_positive_0012,matched,
matlab_0013,matlab_sweep_00,13,1.7976891295541599,1,1.2821328964806529,eligible,pmks_positive_0013,matched,
matlab_0014,matlab_sweep_00,14,1.815142422074103,1,1.2807460616444832,eligible,pmks_positive_0014,matched,
matlab_0015,matlab_sweep_00,15,1.8325957145940464,1,1.2792610971818905,eligible,pmks_positive_0015,matched,
matlab_0016,matlab_sweep_00,16,1.8500490071139899,1,1.2776789632686165,eligible,pmks_positive_0016,matched,
matlab_0017,matlab_sweep_00,17,1.8675022996339334,1,1.2760006778013335,eligible,pmks_positive_0017,matched,
matlab_0018,matlab_sweep_00,18,1.8849555921538763,1,1.2742273148004746,eligible,pmks_positive_0018,matched,
matlab_0019,matlab_sweep_00,19,1.9024088846738199,1,1.2723600027414859,eligible,pmks_positive_0019,matched,
matlab_0020,matlab_sweep_00,20,1.9198621771937632,1,1.2703999228197298,eligible,pmks_positive_0020,matched,
matlab_0021,matlab_sweep_00,21,1.9373154697137063,1,1.2683483071544219,eligible,pmks_positive_0021,matched,
matlab_0022,matlab_sweep_00,22,1.9547687622336496,1,1.2662064369370629,eligible,pmks_positive_0022,matched,
matlab_0023,matlab_sweep_00,23,1.9722220547535931,1,1.2639756405299343,eligible,pmks_positive_0023,matched,
matlab_0024,matlab_sweep_00,24,1.9896753472735362,1,1.2616572915202575,eligible,pmks_positive_0024,matched,
matlab_0025,matlab_sweep_00,25,2.0071286397934793,1,1.2592528067356594,eligible,pmks_positive_0025,matched,
matlab_0026,matlab_sweep_00,26,2.0245819323134224,1,1.2567636442265835,eligible,pmks_positive_0026,matched,
matlab_0027,matlab_sweep_00,27,2.0420352248333655,1,1.2541913012212582,eligible,pmks_positive_0027,matched,
matlab_0028,matlab_sweep_00,28,2.0594885173533086,1,1.251537312058806,eligible,pmks_positive_0028,matched,
matlab_0029,matlab_sweep_00,29,2.0769418098732517,1,1.2488032461059857,eligible,pmks_positive_0029,matched,
matlab_0030,matlab_sweep_00,30,2.0943951023931948,1,1.2459907056629886,eligible,pmks_positive_0030,matched,
