sample_id,x,y,vx,vy,ax,ay
matlab_0000,13.789999999999999,10.01,0,0,0,0
matlab_0001,13.789999999999999,10.01,0,0,0,0
matlab_0002,13.789999999999999,10.01,0,0,0,0
matlab_0003,13.789999999999999,10.01,0,0,0,0
matlab_0004,13.789999999999999,10.01,0,0,0,0
matlab_0005,13.789999999999999,10.01,0,0,0,0
matlab_0006,13.789999999999999,10.01,0,0,0,0
matlab_0007,13.789999999999999,10.01,0,0,0,0
matlab_0008,13.789999999999999,10.01,0,0,0,0
matlab_0009,13.789999999999999,10.01,0,0,0,0
matlab_0010,13.789999999999999,10.01,0,0,0,0
matlab_0011,13.789999999999999,10.01,0,0,0,0
matlab_0012,13.789999999999999,10.01,0,0,0,0
matlab_0013,13.789999999999999,10.01,0,0,0,0
matlab_0014,13.789999999999999,10.01,0,0,0,0
matlab_0015,13.789999999999999,10.01,0,0,0,0
matlab_0016,13.789999999999999,10.01,0,0,0,0
matlab_0017,13.789999999999999,10.01,0,0,0,0
matlab_0018,13.789999999999999,10.01,0,0,0,0
matlab_0019,13.789999999999999,10.01,0,0,0,0
matlab_0020,13.789999999999999,10.01,0,0,0,0
matlab_0021,13.789999999999999,10.01,0,0,0,0
matlab_0022,13.789999999999999,10.01,0,0,0,0
matlab_0023,13.789999999999999,10.01,0,0,0,0
matlab_0024,13.789999999999999,10.01,0,0,0,0
matlab_0025,13.789999999999999,10.01,0,0,0,0
matlab_0026,13.789999999999999,10.01,0,0,0,0
matlab_0027,13.789999999999999,10.01,0,0,0,0
matlab_0028,13.789999999999999,10.01,0,0,0,0
matlab_0029,13.789999999999999,10.01,0,0,0,0
matlab_0030,13.789999999999999,10.01,0,0,0,0
matlab_0031,13.789999999999999,10.01,0,0,0,0
matlab_0032,13.789999999999999,10.01,0,0,0,0
matlab_0033,13.789999999999999,10.01,0,0,0,0
matlab_0034,13.789999999999999,10.01,0,0,0,0
matlab_0035,13.789999999999999,10.01,0,0,0,0
matlab_0036,13.789999999999999,10.01,0,0,0,0
matlab_0037,13.789999999999999,10.01,0,0,0,0
matlab_0038,13.789999999999999,10.01,0,0,0,0
matlab_0039,13.789999999999999,10.01,0,0,0,0
matlab_0040,13.789999999999999,10.01,0,0,0,0
matlab_0041,13.789999999999999,10.01,0,0,0,0
matlab_0042,13.789999999999999,10.01,0,0,0,0
matlab_0043,13.789999999999999,10.01,0,0,0,0
matlab_0044,13.789999999999999,10.01,0,0,0,0
matlab_0045,13.789999999999999,10.01,0,0,0,0
matlab_0046,13.789999999999999,10.01,0,0,0,0
matlab_0047,13.789999999999999,10.01,0,0,0,0
matlab_0048,13.789999999999999,10.01,0,0,0,0
matlab_0049,13.789999999999999,10.01,0,0,0,0
matlab_0050,13.789999999999999,10.01,0,0,0,0
matlab_0051,13.789999999999999,10.01,0,0,0,0
matlab_0052,13.789999999999999,10.01,0,0,0,0
matlab_0053,13.789999999999999,10.01,0,0,0,0
matlab_0054,13.789999999999999,10.01,0,0,0,0
matlab_0055,13.789999999999999,10.01,0,0,0,0
matlab_0056,13.789999999999999,10.01,0,0,0,0
matlab_0057,13.789999999999999,10.01,0,0,0,0
matlab_0058,13.789999999999999,10.01,0,0,0,0
matlab_0059,13.789999999999999,10.01,0,0,0,0
matlab_0060,13.789999999999999,10.01,0,0,0,0
matlab_0061,13.789999999999999,10.01,0,0,0,0
matlab_0062,13.789999999999999,10.01,0,0,0,0
matlab_0063,13.789999999999999,10.01,0,0,0,0
matlab_0064,13.789999999999999,10.01,0,0,0,0
matlab_0065,13.789999999999999,10.01,0,0,0,0
matlab_0066,13.789999999999999,10.01,0,0,0,0
matlab_0067,13.789999999999999,10.01,0,0,0,0
matlab_0068,13.789999999999999,10.01,0,0,0,0
matlab_0069,13.789999999999999,10.01,0,0,0,0
matlab_0070,13.789999999999999,10.01,0,0,0,0
matlab_0071,13.789999999999999,10.01,0,0,0,0
matlab_0072,13.789999999999999,10.01,0,0,0,0
matlab_0073,13.789999999999999,10.01,0,0,0,0
matlab_0074,13.789999999999999,10.01,0,0,0,0
matlab_0075,13.789999999999999,10.01,0,0,0,0
matlab_0076,13.789999999999999,10.01,0,0,0,0
matlab_0077,13.789999999999999,10.01,0,0,0,0
matlab_0078,13.789999999999999,10.01,0,0,0,0
matlab_0079,13.789999999999999,10.01,0,0,0,0
matlab_0080,13.789999999999999,10.01,0,0,0,0
matlab_0081,13.789999999999999,10.01,0,0,0,0
matlab_0082,13.789999999999999,10.01,0,0,0,0
matlab_0083,13.789999999999999,10.01,0,0,0,0
matlab_0084,13.789999999999999,10.01,0,0,0,0
matlab_0085,13.789999999999999,10.01,0,0,0,0
matlab_0086,13.789999999999999,10.01,0,0,0,0
matlab_0087,13.789999999999999,10.01,0,0,0,0
matlab_0088,13.789999999999999,10.01,0,0,0,0
matlab_0089,13.789999999999999,10.01,0,0,0,0
matlab_0090,13.789999999999999,10.01,0,0,0,0
matlab_0091,13.789999999999999,10.01,0,0,0,0
matlab_0092,13.789999999999999,10.01,0,0,0,0
matlab_0093,13.789999999999999,10.01,0,0,0,0
matlab_0094,13.789999999999999,10.01,0,0,0,0
matlab_0095,13.789999999999999,10.01,0,0,0,0
matlab_0096,13.789999999999999,10.01,0,0,0,0
matlab_0097,13.789999999999999,10.01,0,0,0,0
matlab_0098,13.789999999999999,10.01,0,0,0,0
matlab_0099,13.789999999999999,10.01,0,0,0,0
matlab_0100,13.789999999999999,10.01,0,0,0,0
matlab_0101,13.789999999999999,10.01,0,0,0,0
matlab_0102,13.789999999999999,10.01,0,0,0,0
matlab_0103,13.789999999999999,10.01,0,0,0,0
matlab_0104,13.789999999999999,10.01,0,0,0,0
matlab_0105,13.789999999999999,10.01,0,0,0,0
matlab_0106,13.789999999999999,10.01,0,0,0,0
matlab_0107,13.789999999999999,10.01,0,0,0,0
matlab_0108,13.789999999999999,10.01,0,0,0,0
matlab_0109,13.789999999999999,10.01,0,0,0,0
matlab_0110,13.789999999999999,10.01,0,0,0,0
matlab_0111,13.789999999999999,10.01,0,0,0,0
matlab_0112,13.789999999999999,10.01,0,0,0,0
matlab_0113,13.789999999999999,10.01,0,0,0,0
