sample_id,x,y,vx,vy,ax,ay
matlab_0000,-0.96999999999999997,10.01,-6.0246322317891465,-0,-2.4590917024602086,-0
matlab_0001,-1.0366434444583401,10.01,-6.0508511566011034,-0,-2.291257465101836,-0
matlab_0002,-1.1035659945746055,10.01,-6.0752004875096617,-0,-2.1203304948989397,-0
matlab_0003,-1.1707468274102837,10.01,-6.0976464017068803,-0,-1.9463683269738672,-0
matlab_0004,-1.2381647503040636,10.01,-6.1181557366086823,-0,-1.769433052902367,-0
matlab_0005,-1.3057982084358315,10.01,-6.1366960399345052,-0,-1.5895912806065169,-0
matlab_0006,-1.3736252929408277,10.01,-6.1532356192904656,-0,-1.4069140845215369,-0
matlab_0007,-1.4416237495678086,10.01,-6.1677435911494589,-0,-1.2214769461778248,-0
matlab_0008,-1.5097709878740684,10.01,-6.1801899291233049,-0,-1.0333596853767018,-0
matlab_0009,-1.5780440909488167,10.01,-6.1905455114243493,-0,-0.84264638217482246,-0
matlab_0010,-1.6464198256555598,10.01,-6.1987821674163417,-0,-0.64942528992682202,-0
matlab_0011,-1.714874653382731,10.01,-6.2048727231574707,-0,-0.4537887396692763,-0
matlab_0012,-1.783384741291087,10.01,-6.2087910458416857,-0,-0.25583303616017766,-0
matlab_0013,-1.8519259740450664,10.01,-6.2105120870480528,-0,-0.055658345917690984,-0
matlab_0014,-1.9204739660145655,10.01,-6.210011924711889,-0,0.14663142237083382,0
matlab_0015,-1.9890040739325574,10.01,-6.2072678037356086,-0,0.35092874467391433,0
matlab_0016,-2.0574914099930428,10.01,-6.2022581751617203,-0,0.5571226152567329,0
matlab_0017,-2.1259108553731334,10.01,-6.1949627338351423,-0,0.76509868669968439,0
matlab_0018,-2.1942370741621797,10.01,-6.1853624544869827,-0,0.97473941583942247,0
matlab_0019,-2.262444527680163,10.01,-6.1734396261769255,-0,1.1859242151626612,0
matlab_0020,-2.3305074891669193,10.01,-6.1591778850367209,-0,1.398529609171163,0
matlab_0021,-2.3984000588231726,10.01,-6.1425622452626518,-0,1.6124293952275301,0
matlab_0022,-2.466096179183733,10.01,-6.1235791283101628,-0,1.8274948083849631,0
