sample_id,theta_delta_rad,omega_rad_s,alpha_rad_s2
matlab_0000,0,1.5812683023068625,0
matlab_0001,0.01745329251994332,1.5812683023068625,0
matlab_0002,0.034906585039886862,1.5812683023068625,0
matlab_0003,0.052359877559829737,1.5812683023068625,0
matlab_0004,0.069813170079773279,1.5812683023068625,0
matlab_0005,0.087266462599716599,1.5812683023068625,0
matlab_0006,0.10471975511965992,1.5812683023068625,0
matlab_0007,0.12217304763960324,1.5812683023068625,0
matlab_0008,0.13962634015954678,1.5812683023068625,0
matlab_0009,0.15707963267948988,1.5812683023068625,0
matlab_0010,0.1745329251994332,1.5812683023068625,0
matlab_0011,0.19198621771937674,1.5812683023068625,0
matlab_0012,0.20943951023931984,1.5812683023068625,0
matlab_0013,0.22689280275926338,1.5812683023068625,0
matlab_0014,0.24434609527920648,1.5812683023068625,0
matlab_0015,0.2617993877991498,1.5812683023068625,0
matlab_0016,0.27925268031909334,1.5812683023068625,0
matlab_0017,0.29670597283903688,1.5812683023068625,0
matlab_0018,0.31415926535897976,1.5812683023068625,0
matlab_0019,0.3316125578789233,1.5812683023068625,0
matlab_0020,0.34906585039886662,1.5812683023068625,0
matlab_0021,0.36651914291880971,1.5812683023068625,0
matlab_0022,0.38397243543875303,1.5812683023068625,0
matlab_0023,0.40142572795869658,1.5812683023068625,0
matlab_0024,0.41887902047863967,1.5812683023068625,0
matlab_0025,0.43633231299858277,1.5812683023068625,0
matlab_0026,0.45378560551852587,1.5812683023068625,0
matlab_0027,0.47123889803846897,1.5812683023068625,0
matlab_0028,0.48869219055841207,1.5812683023068625,0
matlab_0029,0.50614548307835516,1.5812683023068625,0
matlab_0030,0.52359877559829826,1.5812683023068625,0
matlab_0031,0.54105206811824136,1.5812683023068625,0
matlab_0032,0.55850536063818446,1.5812683023068625,0
matlab_0033,0.57595865315812755,1.5812683023068625,0
matlab_0034,0.59341194567807065,1.5812683023068625,0
matlab_0035,0.61086523819801331,1.5812683023068625,0
matlab_0036,0.62831853071795685,1.5812683023068625,0
matlab_0037,0.64577182323789994,1.5812683023068625,0
matlab_0038,0.66322511575784304,1.5812683023068625,0
matlab_0039,0.68067840827778614,1.5812683023068625,0
matlab_0040,0.69813170079772924,1.5812683023068625,0
matlab_0041,0.71558499331767234,1.5812683023068625,0
matlab_0042,0.73303828583761588,1.5812683023068625,0
matlab_0043,0.75049157835755853,1.5812683023068625,0
matlab_0044,0.76794487087750163,1.5812683023068625,0
matlab_0045,0.78539816339744473,1.5812683023068625,0
matlab_0046,0.80285145591738782,1.5812683023068625,0
matlab_0047,0.82030474843733092,1.5812683023068625,0
matlab_0048,0.83775804095727402,1.5812683023068625,0
matlab_0049,0.85521133347721712,1.5812683023068625,0
matlab_0050,0.87266462599715977,1.5812683023068625,0
matlab_0051,0.89011791851710331,1.5812683023068625,0
matlab_0052,0.90757121103704597,1.5812683023068625,0
matlab_0053,0.92502450355698951,1.5812683023068625,0
matlab_0054,0.94247779607693261,1.5812683023068625,0
matlab_0055,0.9599310885968757,1.5812683023068625,0
matlab_0056,0.9773843811168188,1.5812683023068625,0
matlab_0057,0.9948376736367619,1.5812683023068625,0
matlab_0058,1.012290966156705,1.5812683023068625,0
matlab_0059,1.0297442586766485,1.5812683023068625,0
matlab_0060,1.0471975511965912,1.5812683023068625,0
matlab_0061,1.0646508437165343,1.5812683023068625,0
matlab_0062,1.0821041362364774,1.5812683023068625,0
matlab_0063,1.0995574287564205,1.5812683023068625,0
matlab_0064,1.1170107212763636,1.5812683023068625,0
matlab_0065,1.1344640137963067,1.5812683023068625,0
matlab_0066,1.1519173063162498,1.5812683023068625,0
matlab_0067,1.1693705988361929,1.5812683023068625,0
matlab_0068,1.186823891356136,1.5812683023068625,0
matlab_0069,1.2042771838760791,1.5812683023068625,0
matlab_0070,1.2217304763960222,1.5812683023068625,0
matlab_0071,1.2391837689159653,1.5812683023068625,0
matlab_0072,1.2566370614359084,1.5812683023068625,0
matlab_0073,1.2740903539558515,1.5812683023068625,0
matlab_0074,1.291543646475795,1.5812683023068625,0
matlab_0075,1.3089969389957377,1.5812683023068625,0
matlab_0076,1.3264502315156808,1.5812683023068625,0
matlab_0077,1.3439035240356239,1.5812683023068625,0
matlab_0078,1.361356816555567,1.5812683023068625,0
matlab_0079,1.37881010907551,1.5812683023068625,0
matlab_0080,1.3962634015954531,1.5812683023068625,0
matlab_0081,1.4137166941153962,1.5812683023068625,0
matlab_0082,1.4311699866353393,1.5812683023068625,0
matlab_0083,1.4486232791552824,1.5812683023068625,0
matlab_0084,1.4660765716752255,1.5812683023068625,0
matlab_0085,1.4835298641951686,1.5812683023068625,0
matlab_0086,1.5009831567151117,1.5812683023068625,0
matlab_0087,1.5184364492350548,1.5812683023068625,0
matlab_0088,1.5358897417549979,1.5812683023068625,0
matlab_0089,1.553343034274941,1.5812683023068625,0
