sample_id,theta_delta_rad,omega_rad_s,alpha_rad_s2
matlab_0000,0,0,-0.64543089303417545
matlab_0001,-3.93142621892828e-05,-0.0071235273313953306,-0.64531294579741283
matlab_0002,-0.00015724268056871438,-0.014244451323327221,-0.64495919983340766
matlab_0003,-0.00035374216223704735,-0.021360170749042753,-0.64436994213820198
matlab_0004,-0.00062874092453713004,-0.028468088601855946,-0.64354565023027033
matlab_0005,-0.00098213855321693799,-0.035565614191813581,-0.64248699094199735
matlab_0006,-0.0014138060836503819,-0.042650165226393436,-0.64119481873544015
matlab_0007,-0.0019235861049127223,-0.049719169870019828,-0.63967017355001865
matlab_0008,-0.0025112928864481354,-0.056770068777283918,-0.6379142781918512
matlab_0009,-0.0031767125270070196,-0.06380031709487248,-0.63592853527649396
matlab_0010,-0.0039196031254884467,-0.070807386427349905,-0.63371452373876302
matlab_0011,-0.0047396949732569915,-0.077788766762097616,-0.63127399492518865
matlab_0012,-0.0056366907674605393,-0.084741968348899924,-0.6286088682863763
matlab_0013,-0.006610265844823715,-0.091664523529863207,-0.62572122668818786
matlab_0014,-0.0076600684353445025,-0.098553988515569554,-0.62261331136215459
matlab_0015,-0.0087857199352847637,-0.1054079451036065,-0.61928751651689684
matlab_0016,-0.0099868151987894116,-0.11222400233585306,-0.6157463836335596
matlab_0017,-0.011262922847447676,-0.11899979809116774,-0.61199259546934204
matlab_0018,-0.012613585597060606,-0.1257330006103953,-0.60802896979413712
matlab_0019,-0.01403832060085719,-0.13242130995088652,-0.60385845288605811
matlab_0020,-0.015536619808361074,-0.13906245936801348,-0.59948411281225156
matlab_0021,-0.017107950339094735,-0.14565421662146261,-0.59490913252185718
matlab_0022,-0.018751754870276027,-0.15219438520437745,-0.59013680277826641
matlab_0023,-0.020467452037649547,-0.15868080549373054,-0.58517051495799022
matlab_0024,-0.022254436848574422,-0.16511135582060069,-0.58001375374343911
matlab_0025,-0.024112081106475447,-0.17148395345933884,-0.57467008973676914
matlab_0026,-0.026039733845765856,-0.17779655553489385,-0.56914317202166043
matlab_0027,-0.028036721776327322,-0.18404715984787626,-0.56343672069946571
matlab_0028,-0.030102349736643941,-0.19023380561721473,-0.55755451942561984
matlab_0029,-0.032235901154675783,-0.1963545741405528,-0.55150040797152911
matlab_0030,-0.034436638515574547,-0.20240758937279996,-0.54527827483637747
matlab_0031,-0.036703803835332671,-0.20839101842351837,-0.5388920499324048
matlab_0032,-0.039036619139478201,-0.21430307197408602,-0.53234569736624693
matlab_0033,-0.041434286945939647,-0.22014200461580991,-0.52564320833785738
matlab_0034,-0.043895990751210867,-0.22590611511040554,-0.51878859417742273
matlab_0035,-0.046420895518969107,-0.2315937465744729,-0.51178587953948684
matlab_0036,-0.049008148170321952,-0.23720328658980189,-0.50463909577226362
matlab_0037,-0.051656878074865187,-0.24273316724153504,-0.49735227447884722
matlab_0038,-0.054366197541782402,-0.24818186508639423,-0.48992944128570975
matlab_0039,-0.057135202310209632,-0.25354790105333525,-0.48237460983256297
matlab_0040,-0.059962972038149598,-0.25882984027914507,-0.47469177599630819
matlab_0041,-0.062848570789219238,-0.26402629188163385,-0.46688491236046864
matlab_0042,-0.06579104751656617,-0.26913590867318021,-0.45895796294014918
matlab_0043,-0.068789436543302607,-0.27415738681750823,-0.45091483817126826
matlab_0044,-0.071842758038857202,-0.27908946543264956,-0.44275941017148279
matlab_0045,-0.074950018490655967,-0.28393092614312465,-0.4344955082789797
matlab_0046,-0.078110211170597577,-0.28868059258444329,-0.42612691487405413
matlab_0047,-0.081322316595809685,-0.29333732986306077,-0.41765736148720733
matlab_0048,-0.084585302983214206,-0.29790004397497261,-0.40909052519634448
matlab_0049,-0.087898126697459666,-0.30236768118614554,-0.40043002531455379
matlab_0050,-0.091259732691822304,-0.30673922737799608,-0.39167942036889142
matlab_0051,-0.094669054941702857,-0.31101370736112527,-0.38284220536961594
matlab_0052,-0.098125016870386883,-0.31519018416050992,-0.37392180936837566
matlab_0053,-0.1016265317667755,-0.319267758275327,-0.36492159330297524
matlab_0054,-0.10517250319481874,-0.32324556691655421,-0.3558448481255444
matlab_0055,-0.10876182539442736,-0.32712278322546035,-0.34669479321016933
matlab_0056,-0.1123933836736648,-0.33089861547603688,-0.33747457503537304
matlab_0057,-0.11606605479206245,-0.33457230626438511,-0.32818726613618565
matlab_0058,-0.11977870733493168,-0.3381431316879927,-0.31883586432000005
matlab_0059,-0.12353020207857002,-0.34161040051778718,-0.30942329213988423
matlab_0060,-0.12731939234630518,-0.34497345336576229,-0.29995239661858747
matlab_0061,-0.13114512435533943,-0.34823166185091148,-0.29042594921607373
matlab_0062,-0.13500623755438967,-0.35138442776610962,-0.28084664603309412
matlab_0063,-0.13890156495215011,-0.354431182248513,-0.27121710824300554
matlab_0064,-0.1428299334366292,-0.35737138495594328,-0.26153988274382478
matlab_0065,-0.14679016408543699,-0.36020452325165075,-0.25181744302230696
matlab_0066,-0.15078107246713657,-0.36293011139974335,-0.24205219022169144
matlab_0067,-0.15480146893378022,-0.36554768977348834,-0.23224645440465977
matlab_0068,-0.15885015890478682,-0.36805682407859069,-0.22240249600297549
matlab_0069,-0.16292594314234154,-0.37045710459346359,-0.2125225074452389
matlab_0070,-0.16702761801851196,-0.3727481454284079,-0.20260861495420049
