sample_id,time_s,theta_rad,omega_rad_s,alpha_rad_s2
motiongen_0000,0,1.571,1.581,0
motiongen_0001,0.017000000000000001,1.597,1.581,0
motiongen_0002,0.033000000000000002,1.6240000000000001,1.581,0
motiongen_0003,0.050000000000000003,1.6499999999999999,1.581,0
motiongen_0004,0.067000000000000004,1.6759999999999999,1.581,0
motiongen_0005,0.083000000000000004,1.7030000000000001,1.581,0
motiongen_0006,0.10000000000000001,1.7290000000000001,1.581,0
motiongen_0007,0.11700000000000001,1.7549999999999999,1.581,0
motiongen_0008,0.13300000000000001,1.782,1.581,0
motiongen_0009,0.14999999999999999,1.8080000000000001,1.581,0
motiongen_0010,0.16700000000000001,1.8340000000000001,1.581,0
motiongen_0011,0.183,1.861,1.581,0
motiongen_0012,0.20000000000000001,1.887,1.581,0
motiongen_0013,0.217,1.913,1.581,0
motiongen_0014,0.23300000000000001,1.9399999999999999,1.581,0
motiongen_0015,0.25,1.966,1.581,0
motiongen_0016,0.26700000000000002,1.992,1.581,0
motiongen_0017,0.28299999999999997,2.0190000000000001,1.581,0
motiongen_0018,0.29999999999999999,2.0449999999999999,1.581,0
motiongen_0019,0.317,2.0720000000000001,1.581,0
motiongen_0020,0.33300000000000002,2.0979999999999999,1.581,0
motiongen_0021,0.34999999999999998,2.1240000000000001,1.581,0
motiongen_0022,0.36699999999999999,2.1509999999999998,1.581,0
motiongen_0023,0.38300000000000001,2.177,1.581,0
motiongen_0024,0.40000000000000002,2.2029999999999998,1.581,0
motiongen_0025,0.41699999999999998,2.23,1.581,0
motiongen_0026,0.433,2.2559999999999998,1.581,0
motiongen_0027,0.45000000000000001,2.282,1.581,0
motiongen_0028,0.46700000000000003,2.3090000000000002,1.581,0
motiongen_0029,0.48299999999999998,2.335,1.581,0
motiongen_0030,0.5,2.3610000000000002,1.581,0
motiongen_0031,0.51700000000000002,2.3879999999999999,1.581,0
motiongen_0032,0.53300000000000003,2.4140000000000001,1.581,0
motiongen_0033,0.55000000000000004,2.4399999999999999,1.581,0
motiongen_0034,0.56699999999999995,2.4670000000000001,1.581,0
motiongen_0035,0.58299999999999996,2.4929999999999999,1.581,0
motiongen_0036,0.59999999999999998,2.52,1.581,0
motiongen_0037,0.61699999999999999,2.5459999999999998,1.581,0
motiongen_0038,0.63300000000000001,2.5720000000000001,1.581,0
motiongen_0039,0.65000000000000002,2.5990000000000002,1.581,0
motiongen_0040,0.66700000000000004,2.625,1.581,0
motiongen_0041,0.68300000000000005,2.6509999999999998,1.581,0
motiongen_0042,0.69999999999999996,2.6779999999999999,1.581,0
motiongen_0043,0.71699999999999997,2.7040000000000002,1.581,0
motiongen_0044,0.73299999999999998,2.73,1.581,0
motiongen_0045,0.75,2.7570000000000001,1.581,0
motiongen_0046,0.76700000000000002,2.7829999999999999,1.581,0
motiongen_0047,0.78300000000000003,2.8090000000000002,1.581,0
motiongen_0048,0.80000000000000004,2.8359999999999999,1.581,0
motiongen_0049,0.81699999999999995,2.8620000000000001,1.581,0
motiongen_0050,0.83299999999999996,2.8889999999999998,1.581,0
motiongen_0051,0.84999999999999998,2.915,1.581,0
motiongen_0052,0.86699999999999999,2.9409999999999998,1.581,0
