sample_id,sweep_id,sweep_index,input_angle_rad,input_direction,time_s,jacobian_condition,eligibility
motiongen_0000,motiongen_sweep_00,0,1.571,1,0,0,eligible
motiongen_0001,motiongen_sweep_00,1,1.597,1,0.017000000000000001,0,eligible
motiongen_0002,motiongen_sweep_00,2,1.6240000000000001,1,0.033000000000000002,0,eligible
motiongen_0003,motiongen_sweep_00,3,1.6499999999999999,1,0.050000000000000003,0,eligible
motiongen_0004,motiongen_sweep_00,4,1.6759999999999999,1,0.067000000000000004,0,eligible
motiongen_0005,motiongen_sweep_00,5,1.7030000000000001,1,0.083000000000000004,0,eligible
motiongen_0006,motiongen_sweep_00,6,1.7290000000000001,1,0.10000000000000001,0,eligible
motiongen_0007,motiongen_sweep_00,7,1.7549999999999999,1,0.11700000000000001,0,eligible
motiongen_0008,motiongen_sweep_00,8,1.782,1,0.13300000000000001,0,eligible
motiongen_0009,motiongen_sweep_00,9,1.8080000000000001,1,0.14999999999999999,0,eligible
motiongen_0010,motiongen_sweep_00,10,1.8340000000000001,1,0.16700000000000001,0,eligible
motiongen_0011,motiongen_sweep_00,11,1.861,1,0.183,0,eligible
motiongen_0012,motiongen_sweep_00,12,1.887,1,0.20000000000000001,0,eligible
motiongen_0013,motiongen_sweep_00,13,1.913,1,0.217,0,eligible
motiongen_0014,motiongen_sweep_00,14,1.9399999999999999,1,0.23300000000000001,0,eligible
motiongen_0015,motiongen_sweep_00,15,1.966,1,0.25,0,eligible
motiongen_0016,motiongen_sweep_00,16,1.992,1,0.26700000000000002,0,eligible
motiongen_0017,motiongen_sweep_00,17,2.0190000000000001,1,0.28299999999999997,0,eligible
motiongen_0018,motiongen_sweep_00,18,2.0449999999999999,1,0.29999999999999999,0,eligible
motiongen_0019,motiongen_sweep_00,19,2.0720000000000001,1,0.317,0,eligible
motiongen_0020,motiongen_sweep_00,20,2.0979999999999999,1,0.33300000000000002,0,eligible
motiongen_0021,motiongen_sweep_00,21,2.1240000000000001,1,0.34999999999999998,0,eligible
motiongen_0022,motiongen_sweep_00,22,2.1509999999999998,1,0.36699999999999999,0,eligible
motiongen_0023,motiongen_sweep_00,23,2.177,1,0.38300000000000001,0,eligible
motiongen_0024,motiongen_sweep_00,24,2.2029999999999998,1,0.40000000000000002,0,eligible
motiongen_0025,motiongen_sweep_00,25,2.23,1,0.41699999999999998,0,eligible
motiongen_0026,motiongen_sweep_00,26,2.2559999999999998,1,0.433,0,eligible
motiongen_0027,motiongen_sweep_00,27,2.282,1,0.45000000000000001,0,eligible
motiongen_0028,motiongen_sweep_00,28,2.3090000000000002,1,0.46700000000000003,0,eligible
motiongen_0029,motiongen_sweep_00,29,2.335,1,0.48299999999999998,0,eligible
motiongen_0030,motiongen_sweep_00,30,2.3610000000000002,1,0.5,0,eligible
motiongen_0031,motiongen_sweep_00,31,2.3879999999999999,1,0.51700000000000002,0,eligible
motiongen_0032,motiongen_sweep_00,32,2.4140000000000001,1,0.53300000000000003,0,eligible
motiongen_0033,motiongen_sweep_00,33,2.4399999999999999,1,0.55000000000000004,0,eligible
motiongen_0034,motiongen_sweep_00,34,2.4670000000000001,1,0.56699999999999995,0,eligible
motiongen_0035,motiongen_sweep_00,35,2.4929999999999999,1,0.58299999999999996,0,eligible
motiongen_0036,motiongen_sweep_00,36,2.52,1,0.59999999999999998,0,eligible
motiongen_0037,motiongen_sweep_00,37,2.5459999999999998,1,0.61699999999999999,0,eligible
motiongen_0038,motiongen_sweep_00,38,2.5720000000000001,1,0.63300000000000001,0,eligible
motiongen_0039,motiongen_sweep_00,39,2.5990000000000002,1,0.65000000000000002,0,eligible
motiongen_0040,motiongen_sweep_00,40,2.625,1,0.66700000000000004,0,eligible
motiongen_0041,motiongen_sweep_00,41,2.6509999999999998,1,0.68300000000000005,0,eligible
motiongen_0042,motiongen_sweep_00,42,2.6779999999999999,1,0.69999999999999996,0,eligible
motiongen_0043,motiongen_sweep_00,43,2.7040000000000002,1,0.71699999999999997,0,eligible
motiongen_0044,motiongen_sweep_00,44,2.73,1,0.73299999999999998,0,eligible
motiongen_0045,motiongen_sweep_00,45,2.7570000000000001,1,0.75,0,eligible
motiongen_0046,motiongen_sweep_00,46,2.7829999999999999,1,0.76700000000000002,0,eligible
motiongen_0047,motiongen_sweep_00,47,2.8090000000000002,1,0.78300000000000003,0,eligible
motiongen_0048,motiongen_sweep_00,48,2.8359999999999999,1,0.80000000000000004,0,eligible
motiongen_0049,motiongen_sweep_00,49,2.8620000000000001,1,0.81699999999999995,0,eligible
motiongen_0050,motiongen_sweep_00,50,2.8889999999999998,1,0.83299999999999996,0,eligible
motiongen_0051,motiongen_sweep_00,51,2.915,1,0.84999999999999998,0,eligible
motiongen_0052,motiongen_sweep_00,52,2.9409999999999998,1,0.86699999999999999,0,eligible
motiongen_0053,motiongen_sweep_00,53,2.968,1,0.88300000000000001,0,eligible
motiongen_0054,motiongen_sweep_00,54,2.9940000000000002,1,0.90000000000000002,0,eligible
motiongen_0055,motiongen_sweep_00,55,3.02,1,0.91700000000000004,0,eligible
motiongen_0056,motiongen_sweep_00,56,3.0470000000000002,1,0.93300000000000005,0,eligible
motiongen_0057,motiongen_sweep_00,57,3.073,1,0.94999999999999996,0,eligible
motiongen_0058,motiongen_sweep_00,58,3.0990000000000002,1,0.96699999999999997,0,eligible
motiongen_0059,motiongen_sweep_00,59,3.1259999999999999,1,0.98299999999999998,0,eligible
motiongen_0060,motiongen_sweep_00,60,3.1520000000000001,1,1,0,eligible
motiongen_0061,motiongen_sweep_00,61,3.1779999999999999,1,1.0169999999999999,0,eligible
motiongen_0062,motiongen_sweep_00,62,3.2050000000000001,1,1.0329999999999999,0,eligible
motiongen_0063,motiongen_sweep_00,63,3.2309999999999999,1,1.05,0,eligible
motiongen_0064,motiongen_sweep_00,64,3.2570000000000001,1,1.0669999999999999,0,eligible
motiongen_0065,motiongen_sweep_00,65,3.2839999999999998,1,1.083,0,eligible
motiongen_0066,motiongen_sweep_00,66,3.3100000000000001,1,1.1000000000000001,0,eligible
motiongen_0067,motiongen_sweep_00,67,3.3370000000000002,1,1.117,0,eligible
motiongen_0068,motiongen_sweep_00,68,3.363,1,1.133,0,eligible
motiongen_0069,motiongen_sweep_00,69,3.3889999999999998,1,1.1499999999999999,0,eligible
motiongen_0070,motiongen_sweep_00,70,3.4159999999999999,1,1.167,0,eligible
motiongen_0071,motiongen_sweep_00,71,3.4420000000000002,1,1.1830000000000001,0,eligible
motiongen_0072,motiongen_sweep_00,72,3.468,1,1.2,0,eligible
motiongen_0073,motiongen_sweep_00,73,3.4950000000000001,1,1.2170000000000001,0,eligible
motiongen_0074,motiongen_sweep_00,74,3.5209999999999999,1,1.2330000000000001,0,eligible
motiongen_0075,motiongen_sweep_00,75,3.5470000000000002,1,1.25,0,eligible
motiongen_0076,motiongen_sweep_00,76,3.5739999999999998,1,1.2669999999999999,0,eligible
motiongen_0077,motiongen_sweep_00,77,3.6000000000000001,1,1.2829999999999999,0,eligible
motiongen_0078,motiongen_sweep_00,78,3.6259999999999999,1,1.3,0,eligible
motiongen_0079,motiongen_sweep_00,79,3.653,1,1.3169999999999999,0,eligible
motiongen_0080,motiongen_sweep_00,80,3.6789999999999998,1,1.333,0,eligible
motiongen_0081,motiongen_sweep_00,81,3.706,1,1.3500000000000001,0,eligible
motiongen_0082,motiongen_sweep_00,82,3.7320000000000002,1,1.367,0,eligible
motiongen_0083,motiongen_sweep_00,83,3.758,1,1.383,0,eligible
motiongen_0084,motiongen_sweep_00,84,3.7850000000000001,1,1.3999999999999999,0,eligible
motiongen_0085,motiongen_sweep_00,85,3.8109999999999999,1,1.417,0,eligible
motiongen_0086,motiongen_sweep_00,86,3.8370000000000002,1,1.4330000000000001,0,eligible
motiongen_0087,motiongen_sweep_00,87,3.8639999999999999,1,1.45,0,eligible
motiongen_0088,motiongen_sweep_00,88,3.8900000000000001,1,1.4670000000000001,0,eligible
motiongen_0089,motiongen_sweep_00,89,3.9159999999999999,1,1.4830000000000001,0,eligible
motiongen_0090,motiongen_sweep_00,90,3.9430000000000001,1,1.5,0,eligible
motiongen_0091,motiongen_sweep_00,91,3.9689999999999999,1,1.5169999999999999,0,eligible
motiongen_0092,motiongen_sweep_00,92,3.9950000000000001,1,1.5329999999999999,0,eligible
motiongen_0093,motiongen_sweep_00,93,4.0220000000000002,1,1.55,0,eligible
motiongen_0094,motiongen_sweep_00,94,4.048,1,1.5669999999999999,0,eligible
motiongen_0095,motiongen_sweep_00,95,4.0739999999999998,1,1.583,0,eligible
motiongen_0096,motiongen_sweep_00,96,4.101,1,1.6000000000000001,0,eligible
motiongen_0097,motiongen_sweep_00,97,4.1269999999999998,1,1.617,0,eligible
motiongen_0098,motiongen_sweep_00,98,4.1539999999999999,1,1.633,0,eligible
motiongen_0099,motiongen_sweep_00,99,4.1799999999999997,1,1.6499999999999999,0,eligible
motiongen_0100,motiongen_sweep_00,100,4.2060000000000004,1,1.667,0,eligible
motiongen_0101,motiongen_sweep_00,101,4.2329999999999997,1,1.6830000000000001,0,eligible
motiongen_0102,motiongen_sweep_00,102,4.2590000000000003,1,1.7,0,eligible
motiongen_0103,motiongen_sweep_00,103,4.2850000000000001,1,1.7170000000000001,0,eligible
motiongen_0104,motiongen_sweep_00,104,4.3120000000000003,1,1.7330000000000001,0,eligible
motiongen_0105,motiongen_sweep_00,105,4.3380000000000001,1,1.75,0,eligible
motiongen_0106,motiongen_sweep_00,106,4.3639999999999999,1,1.7669999999999999,0,eligible
motiongen_0107,motiongen_sweep_00,107,4.391,1,1.7829999999999999,0,eligible
motiongen_0108,motiongen_sweep_00,108,4.4169999999999998,1,1.8,0,eligible
motiongen_0109,motiongen_sweep_00,109,4.4429999999999996,1,1.8169999999999999,0,eligible
motiongen_0110,motiongen_sweep_00,110,4.4699999999999998,1,1.833,0,eligible
motiongen_0111,motiongen_sweep_00,111,4.4960000000000004,1,1.8500000000000001,0,eligible
motiongen_0112,motiongen_sweep_00,112,4.5220000000000002,1,1.867,0,eligible
motiongen_0113,motiongen_sweep_00,113,4.5490000000000004,1,1.883,0,eligible
motiongen_0114,motiongen_sweep_00,114,4.5750000000000002,1,1.8999999999999999,0,eligible
motiongen_0115,motiongen_sweep_00,115,4.6020000000000003,1,1.917,0,eligible
motiongen_0116,motiongen_sweep_00,116,4.6280000000000001,1,1.9330000000000001,0,eligible
motiongen_0117,motiongen_sweep_00,117,4.6539999999999999,1,1.95,0,eligible
