sample_id,x,y,vx,vy,ax,ay
pmks_positive_0000,13.789999999999999,10.01,0,0,0,0
pmks_positive_0001,13.789999999999999,10.01,0,0,0,0
pmks_positive_0002,13.789999999999999,10.01,0,0,0,0
pmks_positive_0003,13.789999999999999,10.01,0,0,0,0
pmks_positive_0004,13.789999999999999,10.01,0,0,0,0
pmks_positive_0005,13.789999999999999,10.01,0,0,0,0
pmks_positive_0006,13.789999999999999,10.01,0,0,0,0
pmks_positive_0007,13.789999999999999,10.01,0,0,0,0
pmks_positive_0008,13.789999999999999,10.01,0,0,0,0
pmks_positive_0009,13.789999999999999,10.01,0,0,0,0
pmks_positive_0010,13.789999999999999,10.01,0,0,0,0
pmks_positive_0011,13.789999999999999,10.01,0,0,0,0
pmks_positive_0012,13.789999999999999,10.01,0,0,0,0
pmks_positive_0013,13.789999999999999,10.01,0,0,0,0
pmks_positive_0014,13.789999999999999,10.01,0,0,0,0
pmks_positive_0015,13.789999999999999,10.01,0,0,0,0
pmks_positive_0016,13.789999999999999,10.01,0,0,0,0
pmks_positive_0017,13.789999999999999,10.01,0,0,0,0
pmks_positive_0018,13.789999999999999,10.01,0,0,0,0
pmks_positive_0019,13.789999999999999,10.01,0,0,0,0
pmks_positive_0020,13.789999999999999,10.01,0,0,0,0
pmks_positive_0021,13.789999999999999,10.01,0,0,0,0
pmks_positive_0022,13.789999999999999,10.01,0,0,0,0
pmks_positive_0023,13.789999999999999,10.01,0,0,0,0
pmks_positive_0024,13.789999999999999,10.01,0,0,0,0
pmks_positive_0025,13.789999999999999,10.01,0,0,0,0
pmks_positive_0026,13.789999999999999,10.01,0,0,0,0
pmks_positive_0027,13.789999999999999,10.01,0,0,0,0
pmks_positive_0028,13.789999999999999,10.01,0,0,0,0
pmks_positive_0029,13.789999999999999,10.01,0,0,0,0
pmks_positive_0030,13.789999999999999,10.01,0,0,0,0
pmks_positive_0031,13.789999999999999,10.01,0,0,0,0
pmks_positive_0032,13.789999999999999,10.01,0,0,0,0
pmks_positive_0033,13.789999999999999,10.01,0,0,0,0
pmks_positive_0034,13.789999999999999,10.01,0,0,0,0
pmks_positive_0035,13.789999999999999,10.01,0,0,0,0
pmks_positive_0036,13.789999999999999,10.01,0,0,0,0
pmks_positive_0037,13.789999999999999,10.01,0,0,0,0
pmks_positive_0038,13.789999999999999,10.01,0,0,0,0
pmks_positive_0039,13.789999999999999,10.01,0,0,0,0
pmks_positive_0040,13.789999999999999,10.01,0,0,0,0
pmks_positive_0041,13.789999999999999,10.01,0,0,0,0
pmks_positive_0042,13.789999999999999,10.01,0,0,0,0
pmks_positive_0043,13.789999999999999,10.01,0,0,0,0
pmks_positive_0044,13.789999999999999,10.01,0,0,0,0
pmks_positive_0045,13.789999999999999,10.01,0,0,0,0
pmks_positive_0046,13.789999999999999,10.01,0,0,0,0
pmks_positive_0047,13.789999999999999,10.01,0,0,0,0
pmks_positive_0048,13.789999999999999,10.01,0,0,0,0
pmks_positive_0049,13.789999999999999,10.01,0,0,0,0
pmks_positive_0050,13.789999999999999,10.01,0,0,0,0
pmks_positive_0051,13.789999999999999,10.01,0,0,0,0
pmks_positive_0052,13.789999999999999,10.01,0,0,0,0
pmks_positive_0053,13.789999999999999,10.01,0,0,0,0
pmks_positive_0054,13.789999999999999,10.01,0,0,0,0
pmks_positive_0055,13.789999999999999,10.01,0,0,0,0
pmks_positive_0056,13.789999999999999,10.01,0,0,0,0
pmks_positive_0057,13.789999999999999,10.01,0,0,0,0
pmks_positive_0058,13.789999999999999,10.01,0,0,0,0
pmks_positive_0059,13.789999999999999,10.01,0,0,0,0
pmks_positive_0060,13.789999999999999,10.01,0,0,0,0
pmks_positive_0061,13.789999999999999,10.01,0,0,0,0
pmks_positive_0062,13.789999999999999,10.01,0,0,0,0
pmks_positive_0063,13.789999999999999,10.01,0,0,0,0
pmks_positive_0064,13.789999999999999,10.01,0,0,0,0
pmks_positive_0065,13.789999999999999,10.01,0,0,0,0
pmks_positive_0066,13.789999999999999,10.01,0,0,0,0
pmks_positive_0067,13.789999999999999,10.01,0,0,0,0
pmks_positive_0068,13.789999999999999,10.01,0,0,0,0
pmks_positive_0069,13.789999999999999,10.01,0,0,0,0
pmks_positive_0070,13.789999999999999,10.01,0,0,0,0
pmks_positive_0071,13.789999999999999,10.01,0,0,0,0
pmks_positive_0072,13.789999999999999,10.01,0,0,0,0
pmks_positive_0073,13.789999999999999,10.01,0,0,0,0
pmks_positive_0074,13.789999999999999,10.01,0,0,0,0
pmks_positive_0075,13.789999999999999,10.01,0,0,0,0
pmks_positive_0076,13.789999999999999,10.01,0,0,0,0
pmks_positive_0077,13.789999999999999,10.01,0,0,0,0
pmks_positive_0078,13.789999999999999,10.01,0,0,0,0
pmks_positive_0079,13.789999999999999,10.01,0,0,0,0
pmks_positive_0080,13.789999999999999,10.01,0,0,0,0
pmks_positive_0081,13.789999999999999,10.01,0,0,0,0
pmks_positive_0082,13.789999999999999,10.01,0,0,0,0
pmks_positive_0083,13.789999999999999,10.01,0,0,0,0
pmks_positive_0084,13.789999999999999,10.01,0,0,0,0
pmks_positive_0085,13.789999999999999,10.01,0,0,0,0
pmks_positive_0086,13.789999999999999,10.01,0,0,0,0
pmks_positive_0087,13.789999999999999,10.01,0,0,0,0
pmks_positive_0088,13.789999999999999,10.01,0,0,0,0
pmks_positive_0089,13.789999999999999,10.01,0,0,0,0
pmks_positive_0090,13.789999999999999,10.01,0,0,0,0
pmks_positive_0091,13.789999999999999,10.01,0,0,0,0
pmks_positive_0092,13.789999999999999,10.01,0,0,0,0
pmks_positive_0093,13.789999999999999,10.01,0,0,0,0
pmks_positive_0094,13.789999999999999,10.01,0,0,0,0
pmks_positive_0095,13.789999999999999,10.01,0,0,0,0
pmks_positive_0096,13.789999999999999,10.01,0,0,0,0
pmks_positive_0097,13.789999999999999,10.01,0,0,0,0
pmks_positive_0098,13.789999999999999,10.01,0,0,0,0
pmks_positive_0099,13.789999999999999,10.01,0,0,0,0
pmks_positive_0100,13.789999999999999,10.01,0,0,0,0
pmks_positive_0101,13.789999999999999,10.01,0,0,0,0
pmks_positive_0102,13.789999999999999,10.01,0,0,0,0
pmks_positive_0103,13.789999999999999,10.01,0,0,0,0
pmks_positive_0104,13.789999999999999,10.01,0,0,0,0
pmks_positive_0105,13.789999999999999,10.01,0,0,0,0
pmks_positive_0106,13.789999999999999,10.01,0,0,0,0
pmks_positive_0107,13.789999999999999,10.01,0,0,0,0
pmks_positive_0108,13.789999999999999,10.01,0,0,0,0
pmks_positive_0109,13.789999999999999,10.01,0,0,0,0
pmks_positive_0110,13.789999999999999,10.01,0,0,0,0
pmks_positive_0111,13.789999999999999,10.01,0,0,0,0
pmks_positive_0112,13.789999999999999,10.01,0,0,0,0
pmks_positive_0113,13.789999999999999,10.01,0,0,0,0
pmks_positive_0114,13.789999999999999,10.01,0,0,0,0
pmks_positive_0115,13.789999999999999,10.01,0,0,0,0
