sample_id,x,y,vx,vy,ax,ay
pmks_positive_0000,13.789999999999999,13.82,-6.0246322317891474,0,0,-9.5265599811844304
pmks_positive_0001,13.723506331473949,13.819419718545852,-6.0237146511192856,-0.10514433034434233,0.16626139674079013,-9.5251090399563694
pmks_positive_0002,13.65703291756347,13.817679050942754,-6.0209621886136544,-0.21025663270710754,0.33247214864952551,-9.5207566582429255
pmks_positive_0003,13.590600006714382,13.814778527414926,-6.0163756826990058,-0.31530488886274732,0.49858162632105052,-9.5135041618217482
pmks_positive_0004,13.52422783503488,13.810719031489931,-6.0099565304694664,-0.42025710009481315,0.66453923119933045,-9.5033537598734963
pmks_positive_0005,13.45793662013142,13.805501799729551,-6.0017066872609899,-0.52508129694306682,0.83029441099024881,-9.4903085443089292
pmks_positive_0006,13.391746554950238,13.799128421353121,-5.9916286660557319,-0.62974554894169499,0.99579667506033731,-9.4743724888270791
pmks_positive_0007,13.325677801626385,13.791600837753437,-5.9797255367165869,-0.73421797434563429,1.1609956098167049,-9.4555504477048302
pmks_positive_0008,13.259750485342147,13.782921341905382,-5.9660009250520538,-0.83846674984205927,1.3258408940635058,-9.433848154318234
pmks_positive_0009,13.193984688196718,13.773092577667475,-5.9504590117118035,-0.94246012024407011,1.4902823143302624,-9.4092722193960956
pmks_positive_0010,13.128400443088992,13.762117538976513,-5.9331045309131945,-1.0461664081636404,1.654269780167388,-9.3818301290062625
pmks_positive_0011,13.06301772761536,13.7499995689356,-5.9139427689991937,-1.149554023660843,1.8177533394042042,-9.3515302422753024
pmks_positive_0012,12.997856457984332,13.7367423587958,-5.8929795628281072,-1.252591473866459,1.9806831933648665,-9.3183817888422382
pmks_positive_0013,12.93293648294987,13.722349946831745,-5.870221297995605,-1.3552473725750063,2.1430097120375162,-9.282394866047099
pmks_positive_0014,12.868277577765262,13.706826717111547,-5.8456749068896272,-1.4574904498052916,2.3046834491920789,-9.2435804358551881
pmks_positive_0015,12.803899438159393,13.690177398161349,-5.819347866578684,-1.5592895613255391,2.4656551574420478,-9.2019503215179395
pmks_positive_0016,12.739821674337231,13.672407061524995,-5.7912481965342941,-1.6606136981402295,2.6258758032457217,-9.1575172039714623
pmks_positive_0017,12.67606380500637,13.653521120219164,-5.7613844561881562,-1.7614319959357421,2.7852965818422994,-9.1102946179737927
pmks_positive_0018,12.612645251431447,13.633525327084534,-5.7297657423248802,-1.8617137444819176,2.9438689321182743,-9.060296947982085
