sample_id,theta_delta_rad,omega_rad_s,alpha_rad_s2
pmks_positive_0000,0,1.5812683023068625,0
pmks_positive_0001,0.01745329251994332,1.5812683023068625,0
pmks_positive_0002,0.034906585039886862,1.5812683023068625,0
pmks_positive_0003,0.052359877559830181,1.5812683023068625,0
pmks_positive_0004,0.069813170079773723,1.5812683023068625,0
pmks_positive_0005,0.087266462599716821,1.5812683023068625,0
pmks_positive_0006,0.10471975511966014,1.5812683023068625,0
pmks_positive_0007,0.12217304763960368,1.5812683023068625,0
pmks_positive_0008,0.139626340159547,1.5812683023068625,0
pmks_positive_0009,0.1570796326794901,1.5812683023068625,0
pmks_positive_0010,0.17453292519943364,1.5812683023068625,0
pmks_positive_0011,0.19198621771937718,1.5812683023068625,0
pmks_positive_0012,0.20943951023932073,1.5812683023068625,0
pmks_positive_0013,0.22689280275926382,1.5812683023068625,0
pmks_positive_0014,0.24434609527920692,1.5812683023068625,0
pmks_positive_0015,0.26179938779915002,1.5812683023068625,0
pmks_positive_0016,0.27925268031909312,1.5812683023068625,0
pmks_positive_0017,0.29670597283903666,1.5812683023068625,0
pmks_positive_0018,0.31415926535897998,1.5812683023068625,0
pmks_positive_0019,0.33161255787892308,1.5812683023068625,0
pmks_positive_0020,0.3490658503988664,1.5812683023068625,0
pmks_positive_0021,0.36651914291880971,1.5812683023068625,0
pmks_positive_0022,0.38397243543875281,1.5812683023068625,0
pmks_positive_0023,0.40142572795869591,1.5812683023068625,0
pmks_positive_0024,0.41887902047863901,1.5812683023068625,0
pmks_positive_0025,0.43633231299858233,1.5812683023068625,0
pmks_positive_0026,0.45378560551852543,1.5812683023068625,0
pmks_positive_0027,0.47123889803846852,1.5812683023068625,0
pmks_positive_0028,0.48869219055841162,1.5812683023068625,0
pmks_positive_0029,0.50614548307835472,1.5812683023068625,0
pmks_positive_0030,0.52359877559829782,1.5812683023068625,0
pmks_positive_0031,0.54105206811824091,1.5812683023068625,0
pmks_positive_0032,0.55850536063818446,1.5812683023068625,0
pmks_positive_0033,0.57595865315812755,1.5812683023068625,0
pmks_positive_0034,0.59341194567807065,1.5812683023068625,0
pmks_positive_0035,0.61086523819801331,1.5812683023068625,0
pmks_positive_0036,0.6283185307179564,1.5812683023068625,0
pmks_positive_0037,0.6457718232378995,1.5812683023068625,0
pmks_positive_0038,0.6632251157578426,1.5812683023068625,0
pmks_positive_0039,0.6806784082777857,1.5812683023068625,0
pmks_positive_0040,0.69813170079772879,1.5812683023068625,0
pmks_positive_0041,0.71558499331767189,1.5812683023068625,0
pmks_positive_0042,0.73303828583761499,1.5812683023068625,0
pmks_positive_0043,0.75049157835755809,1.5812683023068625,0
pmks_positive_0044,0.76794487087750118,1.5812683023068625,0
pmks_positive_0045,0.78539816339744428,1.5812683023068625,0
pmks_positive_0046,0.80285145591738738,1.5812683023068625,0
pmks_positive_0047,0.82030474843733048,1.5812683023068625,0
pmks_positive_0048,0.83775804095727358,1.5812683023068625,0
pmks_positive_0049,0.85521133347721667,1.5812683023068625,0
pmks_positive_0050,0.87266462599715977,1.5812683023068625,0
pmks_positive_0051,0.89011791851710287,1.5812683023068625,0
pmks_positive_0052,0.90757121103704597,1.5812683023068625,0
pmks_positive_0053,0.92502450355698906,1.5812683023068625,0
pmks_positive_0054,0.94247779607693216,1.5812683023068625,0
pmks_positive_0055,0.95993108859687526,1.5812683023068625,0
pmks_positive_0056,0.97738438111681836,1.5812683023068625,0
pmks_positive_0057,0.99483767363676145,1.5812683023068625,0
pmks_positive_0058,1.0122909661567041,1.5812683023068625,0
pmks_positive_0059,1.0297442586766472,1.5812683023068625,0
pmks_positive_0060,1.0471975511965907,1.5812683023068625,0
pmks_positive_0061,1.0646508437165338,1.5812683023068625,0
pmks_positive_0062,1.0821041362364769,1.5812683023068625,0
pmks_positive_0063,1.09955742875642,1.5812683023068625,0
pmks_positive_0064,1.1170107212763631,1.5812683023068625,0
pmks_positive_0065,1.1344640137963062,1.5812683023068625,0
pmks_positive_0066,1.1519173063162489,1.5812683023068625,0
pmks_positive_0067,1.169370598836192,1.5812683023068625,0
pmks_positive_0068,1.1868238913561355,1.5812683023068625,0
pmks_positive_0069,1.2042771838760786,1.5812683023068625,0
pmks_positive_0070,1.2217304763960217,1.5812683023068625,0
pmks_positive_0071,1.2391837689159648,1.5812683023068625,0
pmks_positive_0072,1.2566370614359079,1.5812683023068625,0
pmks_positive_0073,1.274090353955851,1.5812683023068625,0
pmks_positive_0074,1.2915436464757937,1.5812683023068625,0
pmks_positive_0075,1.3089969389957372,1.5812683023068625,0
pmks_positive_0076,1.3264502315156803,1.5812683023068625,0
pmks_positive_0077,1.3439035240356234,1.5812683023068625,0
pmks_positive_0078,1.3613568165555665,1.5812683023068625,0
pmks_positive_0079,1.3788101090755096,1.5812683023068625,0
pmks_positive_0080,1.3962634015954527,1.5812683023068625,0
pmks_positive_0081,1.4137166941153958,1.5812683023068625,0
pmks_positive_0082,1.4311699866353389,1.5812683023068625,0
pmks_positive_0083,1.448623279155282,1.5812683023068625,0
pmks_positive_0084,1.4660765716752251,1.5812683023068625,0
pmks_positive_0085,1.4835298641951682,1.5812683023068625,0
pmks_positive_0086,1.5009831567151113,1.5812683023068625,0
pmks_positive_0087,1.5184364492350544,1.5812683023068625,0
pmks_positive_0088,1.5358897417549975,1.5812683023068625,0
pmks_positive_0089,1.5533430342749406,1.5812683023068625,0
pmks_positive_0090,1.5707963267948837,1.5812683023068625,0
pmks_positive_0091,1.5882496193148268,1.5812683023068625,0
pmks_positive_0092,1.6057029118347699,1.5812683023068625,0
pmks_positive_0093,1.623156204354713,1.5812683023068625,0
pmks_positive_0094,1.6406094968746561,1.5812683023068625,0
pmks_positive_0095,1.6580627893945992,1.5812683023068625,0
pmks_positive_0096,1.6755160819145423,1.5812683023068625,0
pmks_positive_0097,1.6929693744344854,1.5812683023068625,0
pmks_positive_0098,1.7104226669544285,1.5812683023068625,0
pmks_positive_0099,1.7278759594743716,1.5812683023068625,0
pmks_positive_0100,1.7453292519943147,1.5812683023068625,0
pmks_positive_0101,1.7627825445142578,1.5812683023068625,0
pmks_positive_0102,1.7802358370342009,1.5812683023068625,0
pmks_positive_0103,1.7976891295541439,1.5812683023068625,0
pmks_positive_0104,1.815142422074087,1.5812683023068625,0
pmks_positive_0105,1.8325957145940301,1.5812683023068625,0
pmks_positive_0106,1.8500490071139732,1.5812683023068625,0
pmks_positive_0107,1.8675022996339163,1.5812683023068625,0
pmks_positive_0108,1.8849555921538594,1.5812683023068625,0
pmks_positive_0109,1.9024088846738025,1.5812683023068625,0
pmks_positive_0110,1.9198621771937456,1.5812683023068625,0
pmks_positive_0111,1.9373154697136883,1.5812683023068625,0
pmks_positive_0112,1.9547687622336314,1.5812683023068625,0
pmks_positive_0113,1.9722220547535745,1.5812683023068625,0
pmks_positive_0114,1.9896753472735176,1.5812683023068625,0
pmks_positive_0115,2.0071286397934607,1.5812683023068625,0
pmks_positive_0116,2.0245819323134038,1.5812683023068625,0
pmks_positive_0117,2.0420352248333469,1.5812683023068625,0
pmks_positive_0118,2.0594885173532904,1.5812683023068625,0
pmks_positive_0119,2.0769418098732335,1.5812683023068625,0
pmks_positive_0120,2.0943951023931766,1.5812683023068625,0
pmks_positive_0121,2.1118483949131197,1.5812683023068625,0
pmks_positive_0122,2.1293016874330628,1.5812683023068625,0
pmks_positive_0123,2.1467549799530059,1.5812683023068625,0
pmks_positive_0124,2.164208272472949,1.5812683023068625,0
pmks_positive_0125,2.1816615649928921,1.5812683023068625,0
pmks_positive_0126,2.1991148575128352,1.5812683023068625,0
pmks_positive_0127,2.2165681500327783,1.5812683023068625,0
pmks_positive_0128,2.2340214425527214,1.5812683023068625,0
pmks_positive_0129,2.2514747350726645,1.5812683023068625,0
pmks_positive_0130,2.2689280275926076,1.5812683023068625,0
